Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,19675.0,19226.0,18777.0,18331.0,17892.0,17462.0,17044.0,16642.0,16258.0,15895.0,15538.0,15170.0,14890.0,14739.0,14664.000000000002,14589.0,14554.0,14376.0,13965.0,13415.999999999998,12904.000000000002,12380.999999999998,11992.0,11824.000000000002,11799.000000000002,11753.0,11714.0,11665.999999999998,11585.999999999998,11482.000000000002,11384.0,11280.0,11169.0,11050.999999999998,10915.0,10770.999999999998,10640.999999999998,10392.000000000002,9964.0,9431.000000000002,8901.0,8327.0,7906.000000000001,7740.0,7726.0,7682.0,7669.0,7500.0,7069.0,6480.0,5931.0,5364.0,4931.999999999999,4721.0,4652.0,4563.0,4499.0,4365.0,4104.0,3768.9999999999995,3468.0,3166.0000000000005,2948.0,2861.0,2856.9999999999995,2840.0,2827.0,2786.0,2691.0000000000005,2557.0,2433.0000000000005,2315.0,2162.0,1960.9999999999998,1729.0,1501.9999999999998,1276.0,1061.0,867.0,693.0,523.0,355.0,231.99999999999997,172.0,155.0,144.00000000000003,145.0,141.0,118.00000000000001,85.0,61.0,46.0,38.0,27.999999999999996,17.0,11.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,4.0
1951,20262.0,19699.0,19200.0,18719.0,18256.0,17811.0,17387.0,16984.0,16598.0,16227.0,15874.0,15532.0,15187.000000000002,14910.0,14732.000000000002,14610.999999999998,14494.000000000002,14413.0,14210.999999999998,13811.0,13296.0,12814.0,12325.0,11956.0,11783.0,11740.0,11677.999999999998,11619.000000000002,11567.0,11507.0,11437.999999999998,11374.0,11310.0,11206.0,11046.0,10839.0,10628.0,10423.0,10142.000000000002,9755.0,9305.0,8850.0,8359.0,7982.0,7792.000000000001,7713.999999999999,7614.0,7540.0,7338.999999999999,6928.999999999999,6393.0,5888.999999999999,5372.999999999999,4963.0,4730.0,4612.0,4480.0,4368.0,4212.0,3972.0,3685.0,3424.0,3163.9999999999995,2970.0,2878.0,2850.0,2813.0,2782.0,2719.0,2597.0,2434.0,2281.0,2130.0,1965.0,1781.0,1585.0,1393.0,1203.0,1016.0,833.0,657.9999999999999,490.0,325.0,204.0,147.0,134.0,129.0,129.0,123.00000000000001,102.0,73.0,52.00000000000001,39.0,32.0,24.0,13.999999999999998,12.0,9.000000000000002,6.0,3.0,4.0
1952,21186.0,20377.0,19711.0,19162.0,18648.0,18168.0,17719.0,17301.0,16913.0,16543.0,16184.999999999998,15844.000000000002,15517.999999999998,15194.0,14921.0,14715.0,14549.000000000002,14389.000000000002,14262.0,14036.0,13648.0,13167.0,12716.0,12260.0,11912.0,11735.0,11673.0,11595.0,11515.999999999998,11460.0,11421.0,11388.0,11356.0,11332.0,11237.0,11034.0,10755.0,10478.0,10197.000000000002,9885.0,9538.0,9172.0,8793.0,8387.0,8054.0,7841.0,7697.0,7541.0,7404.0,7172.000000000001,6782.999999999999,6301.0,5843.0,5377.000000000001,4991.000000000001,4737.0,4569.0,4393.0,4233.000000000001,4056.0,3836.9999999999995,3598.0000000000005,3378.0,3160.0,2991.0,2893.9999999999995,2841.0,2784.0,2736.0,2651.0000000000005,2501.0,2309.0,2126.0,1943.0,1765.0,1598.0,1440.0,1281.0,1130.0,971.0,797.9999999999999,622.0,457.0,294.0,175.0,122.0,111.99999999999999,114.0,111.99999999999999,105.0,86.0,61.0,42.0,33.0,27.000000000000004,20.0,12.0,10.0,6.999999999999999,4.0,5.0
1953,22290.0,21288.0,20407.0,19680.999999999996,19083.0,18538.0,18042.0,17589.000000000004,17178.0,16805.0,16453.0,16110.0,15780.0,15470.0,15170.0,14900.0,14668.0,14456.0,14254.000000000002,14081.0,13830.0,13455.0,13009.0,12590.0,12170.0,11843.0,11662.0,11581.0,11487.0,11388.0,11327.0,11310.0,11312.999999999998,11314.0,11330.0,11244.000000000002,10998.0,10648.0,10305.0,9949.0,9606.0,9300.0,9019.0,8717.0,8396.0,8109.0,7872.000000000001,7664.0,7452.000000000001,7252.999999999999,6990.0,6622.999999999999,6195.0,5784.0,5371.0,5008.999999999999,4733.000000000001,4516.0,4297.0,4090.0,3891.0,3693.0,3503.0,3324.0,3148.9999999999995,3005.0,2903.0,2826.0,2748.9999999999995,2683.9999999999995,2576.0,2399.0,2178.0,1966.9999999999998,1751.0,1560.0,1411.0,1290.0,1167.0,1053.0,922.9999999999999,760.9999999999999,585.0,422.00000000000006,262.0,147.0,96.0,91.0,99.0,94.0,86.0,70.0,48.0,33.0,26.000000000000004,21.0,15.0,9.000000000000002,6.999999999999999,4.0,5.0
1954,23454.0,22287.0,21256.999999999996,20352.999999999996,19596.0,18950.0,18375.999999999996,17865.0,17410.0,17006.0,16650.0,16315.999999999998,15988.0,15671.0,15378.0,15102.0,14837.0,14578.0,14322.000000000002,14079.0,13859.000000000002,13585.999999999998,13224.0,12815.0,12427.999999999998,12045.0,11740.0,11556.0,11457.0,11347.000000000002,11229.000000000002,11163.0,11168.0,11206.0,11240.0,11296.0,11218.0,10932.0,10511.0,10103.0,9673.0,9299.0,9036.0,8840.0,8617.0,8382.0,8140.000000000001,7881.0,7609.0,7341.0,7081.0,6787.999999999999,6444.0,6072.0,5709.0,5349.0,5013.0,4716.0,4450.0,4189.0,3933.9999999999995,3714.0,3540.0,3398.0,3261.0,3130.0,3011.0,2904.0,2802.0,2706.0000000000005,2623.9999999999995,2494.0,2290.0,2041.9999999999998,1801.9999999999998,1555.0,1351.9999999999998,1220.9999999999998,1137.0,1049.0000000000002,974.0000000000001,872.0,722.0,546.0,387.0,230.0,117.0,71.0,69.0,83.0,77.0,68.0,53.0,36.00000000000001,24.0,19.0,15.0,11.000000000000002,6.0,4.0,6.0
1955,24581.999999999996,23298.0,22153.000000000004,21136.999999999996,20240.0,19451.0,18761.0,18159.000000000004,17635.0,17178.0,16784.000000000004,16445.999999999996,16131.0,15820.0,15515.0,15240.0,14990.0,14730.0,14445.0,14145.0,13862.0,13597.999999999998,13302.0,12955.0,12583.0,12231.0,11884.0,11602.0,11415.999999999998,11298.0,11174.000000000002,11036.0,10967.0,10993.0,11065.999999999998,11133.0,11228.0,11159.0,10832.0,10343.0,9871.0,9369.0,8967.0,8746.0,8636.000000000002,8491.0,8343.0,8147.0,7867.000000000001,7532.0,7209.0,6888.999999999999,6566.0,6247.000000000001,5932.0,5617.999999999999,5311.0,5001.0,4685.0,4371.0,4069.0,3768.0000000000005,3528.0,3376.0000000000005,3283.0,3188.0,3100.0,3008.0,2897.0,2771.0000000000005,2656.0,2556.0,2406.0,2176.0,1900.0,1632.0,1355.0,1140.0,1028.0,982.0,930.0,893.0,820.0,680.9999999999999,506.0,350.0,198.0,88.00000000000001,45.0,47.0,67.0,59.00000000000001,49.0,37.00000000000001,23.0,15.0,12.0,10.0,6.999999999999999,4.0,6.0
1956,25888.0,24522.0,23265.0,22130.0,21109.0,20198.0,19383.0,18654.0,18026.0,17502.0,17061.0,16676.0,16347.999999999998,16034.000000000002,15706.0,15376.0,15078.0,14800.999999999998,14529.000000000002,14257.0,13984.000000000002,13724.0,13489.0,13200.0,12827.0,12410.0,12014.000000000002,11617.0,11309.000000000002,11136.0,11056.0,10965.0,10870.0,10805.0,10772.0,10750.0,10731.0,10732.999999999998,10620.0,10331.0,9930.0,9537.0,9118.0,8774.0,8565.0,8437.000000000002,8282.0,8128.0,7920.0,7624.0,7271.0,6930.0,6586.0,6256.0,5952.999999999999,5669.0,5386.0,5112.0,4827.0,4524.0,4215.0,3918.9999999999995,3623.9999999999995,3393.0000000000005,3256.9999999999995,3182.0,3103.9999999999995,3033.0,2948.0,2830.0,2688.0,2558.0000000000005,2441.0,2281.0,2055.0,1791.0,1534.0,1268.0,1062.0,950.0,900.0,845.0,805.0,735.0,608.0,450.0,304.0,168.99999999999997,78.0,42.0,40.99999999999999,57.0,50.0,40.99999999999999,31.0,19.0,12.0,10.0,6.999999999999999,4.0,6.0
1957,27087.0,25699.0,24403.000000000004,23176.0,22053.0,21031.0,20107.0,19268.0,18502.0,17850.0,17327.0,16902.0,16528.0,16210.999999999998,15897.0,15555.0,15200.999999999998,14880.0,14575.999999999998,14293.0,14035.0,13789.000000000002,13554.0,13347.000000000002,13067.0,12669.0,12206.0,11767.000000000002,11321.0,10987.0,10829.0,10787.0,10730.0,10677.999999999998,10617.0,10524.0,10407.0,10302.0,10210.0,10054.0,9802.999999999998,9491.0,9177.999999999998,8844.0,8560.0,8363.0,8218.0,8054.0,7893.0,7673.999999999999,7362.0,6992.000000000001,6632.000000000001,6266.0,5928.999999999999,5644.0,5393.0,5140.0,4899.0,4641.0,4351.0,4048.0,3760.0,3472.0,3250.0,3128.9999999999995,3073.0,3012.0,2958.9999999999995,2881.0,2756.0,2598.0000000000005,2453.0000000000005,2319.0,2150.0,1928.0000000000002,1676.9999999999998,1432.0,1179.0,980.0,869.0000000000001,815.0,759.0,716.0,649.0,534.0,392.99999999999994,257.0,139.0,69.0,38.0,35.0,47.0,40.99999999999999,34.0,25.0,16.0,10.0,6.999999999999999,4.0,6.999999999999999
1958,28180.999999999996,26807.0,25516.0,24249.000000000004,23053.0,21944.000000000004,20921.999999999996,19987.000000000004,19125.0,18323.0,17648.0,17127.0,16719.0,16355.999999999998,16050.0,15738.0,15380.999999999998,15003.0,14660.0,14331.0,14037.0,13792.0,13574.000000000002,13364.0,13186.0,12915.0,12492.0,11985.0,11504.000000000002,11009.0,10650.0,10507.0,10502.0,10479.000000000002,10470.0,10413.0,10262.0,10050.0,9857.999999999998,9673.0,9474.0,9262.0,9039.0,8807.0,8558.0,8333.0,8150.0,7987.0,7814.0,7647.0,7417.000000000001,7090.0,6704.0,6326.000000000001,5938.0,5593.999999999999,5327.000000000001,5109.0,4887.0,4680.0,4449.0,4173.0,3876.0000000000005,3596.0,3313.9999999999995,3103.0,2998.0,2960.0,2916.0000000000005,2880.0,2810.0,2679.0,2505.0,2345.0,2195.0,2017.0,1799.0000000000002,1561.9999999999998,1328.0,1087.0,897.0,787.0,730.0,670.9999999999999,626.0,562.0,458.99999999999994,335.0,210.0,110.0,59.00000000000001,35.0,30.0,37.00000000000001,32.0,26.000000000000004,19.0,12.0,8.0,4.0,6.999999999999999
1959,29195.999999999996,27859.0,26573.0,25340.999999999996,24089.000000000004,22925.0,21830.0,20808.000000000004,19862.000000000004,18977.999999999996,18140.0,17442.0,16923.0,16532.0,16180.0,15886.0,15575.0,15204.0,14802.0,14437.000000000002,14082.0,13777.999999999998,13546.0,13356.0,13171.0,13022.0,12760.0,12312.999999999998,11762.0,11239.0,10695.0,10311.0,10183.0,10215.0,10226.0,10260.0,10208.0,9998.0,9691.0,9413.0,9134.0,8892.999999999998,8719.0,8586.0,8434.0,8270.0,8103.999999999999,7934.0,7754.0,7572.0,7399.0,7157.999999999999,6817.0,6414.0,6018.0,5609.0,5258.999999999999,5008.999999999999,4824.0,4633.999999999999,4460.0,4256.0,3993.0000000000005,3703.0000000000005,3431.0,3156.0,2953.9999999999995,2865.0,2846.0,2819.0,2800.0,2739.0,2601.0000000000005,2411.0,2235.9999999999995,2070.0,1883.0,1670.0,1446.0,1224.0,996.0,814.0,705.0,644.0,583.0,536.0,475.0,382.99999999999994,276.99999999999994,163.0,80.0,49.0,31.0,24.0,27.000000000000004,23.0,18.000000000000004,13.999999999999998,8.0,4.0,6.999999999999999
1960,30166.0,28872.0,27596.999999999996,26346.999999999996,25129.0,23950.0,22816.999999999996,21735.0,20713.0,19755.0,18847.0,17973.0,17250.999999999996,16734.0,16359.000000000002,16018.0,15735.0,15425.999999999998,15040.0,14614.0,14227.0,13845.999999999998,13530.999999999998,13312.999999999998,13150.0,12989.0,12870.0,12616.0,12144.0,11549.000000000002,10982.999999999998,10390.999999999998,9981.0,9868.0,9937.999999999998,9982.000000000002,10059.0,10011.000000000002,9743.0,9341.000000000002,8977.0,8605.0,8321.0,8185.000000000001,8142.000000000001,8070.0,7990.0,7882.999999999999,7726.0,7529.0,7337.999999999999,7157.999999999999,6907.0,6550.0,6131.0,5716.0,5285.0,4928.0,4696.000000000001,4544.0,4385.0,4244.0,4066.0,3818.0,3533.0,3268.9999999999995,3001.0000000000005,2808.9999999999995,2736.0,2735.0,2723.9999999999995,2723.9999999999995,2670.0,2525.0,2320.0,2130.0,1946.9999999999998,1751.0,1543.0000000000002,1331.0,1121.0,905.0,732.0,624.0,558.9999999999999,496.0,446.0,387.99999999999994,309.0,220.0,115.99999999999999,51.0,39.0,27.999999999999996,18.000000000000004,16.0,13.999999999999998,11.000000000000002,8.0,4.0,6.999999999999999
1961,31055.999999999996,29688.000000000004,28405.0,27136.0,25891.0,24679.000000000004,23497.0,22340.0,21291.999999999996,20394.000000000004,19610.0,18861.0,18155.0,17512.999999999996,16936.0,16410.999999999996,15932.0,15505.0,15074.000000000002,14613.0,14145.999999999998,13708.0,13276.0,12930.0,12710.999999999998,12568.0,12431.0,12334.000000000002,12122.0,11717.0,11200.999999999998,10716.0,10215.0,9851.0,9707.0,9702.0,9677.0,9674.0,9590.0,9360.0,9041.0,8750.0,8458.0,8216.000000000002,8058.0,7954.0,7831.0,7697.999999999999,7565.0,7430.0,7285.0,7140.0,7006.0,6792.999999999999,6462.000000000001,6058.0,5662.999999999999,5254.0,4908.0,4669.0,4499.0,4322.0,4156.000000000001,3975.0,3756.0,3520.0,3300.0,3078.9999999999995,2909.0,2816.0000000000005,2768.9999999999995,2717.0,2671.9999999999995,2586.0000000000005,2431.0,2229.0,2040.0,1857.0,1661.0,1453.0,1240.9999999999998,1031.0,819.0000000000001,650.0,547.0,488.0,434.0,390.0,337.99999999999994,267.0,185.0,96.99999999999999,43.0,33.0,24.0,15.0,13.000000000000002,10.0,6.999999999999999,4.0,6.999999999999999
1962,31874.000000000004,30668.000000000004,29245.0,27973.000000000004,26709.0,25465.999999999996,24259.0,23073.0,21891.0,20875.0,20099.0,19489.0,18898.0,18360.0,17797.0,17159.000000000004,16483.0,15866.0,15293.0,14740.0,14204.0,13694.0,13206.0,12720.999999999998,12345.0,12125.0,12002.0,11887.0,11812.999999999998,11642.999999999998,11304.0,10866.0,10460.999999999998,10052.0,9732.000000000002,9559.0,9478.0,9383.0,9300.0,9180.0,8988.0,8752.0,8533.999999999998,8322.000000000002,8121.0,7941.0,7776.0,7602.0,7414.0,7256.0,7142.0,7050.0,6950.0,6862.0,6688.0,6381.0,5992.000000000001,5616.000000000001,5230.0,4894.0,4648.0,4460.0,4263.999999999999,4074.0,3888.0,3699.0,3512.0,3335.0,3161.0,3012.0,2898.9999999999995,2807.0,2711.9999999999995,2623.9999999999995,2506.0,2340.0,2142.0,1952.0,1769.0000000000002,1574.0,1365.0,1152.0000000000002,943.0,734.0000000000001,569.0,470.0,418.0,372.00000000000006,335.0,288.00000000000006,225.0,151.0,77.0,36.00000000000001,27.999999999999996,20.0,13.000000000000002,10.0,6.999999999999999,4.0,6.999999999999999
1963,32540.0,31405.0,30199.0,28814.0,27552.0,26291.999999999996,25051.0,23849.0,22656.999999999996,21449.0,20465.999999999996,19813.0,19375.0,18942.999999999996,18572.0,18089.000000000004,17389.0,16561.0,15805.0,15088.0,14412.0,13800.0,13248.0,12709.000000000002,12171.0,11765.0,11542.0,11440.0,11347.000000000002,11296.0,11168.0,10895.0,10535.0,10210.0,9892.999999999998,9618.0,9414.0,9257.0,9093.0,8930.0,8773.0,8619.0,8466.000000000002,8322.000000000002,8189.0,8029.999999999999,7827.999999999999,7601.0,7376.0,7132.999999999999,6949.0,6857.0,6818.0,6763.0,6720.0,6585.0,6303.0,5928.999999999999,5571.000000000001,5207.999999999999,4883.0,4628.0,4422.0,4208.0,3993.0000000000005,3802.0,3643.0000000000005,3505.0,3372.0,3245.0,3117.0,2984.0,2845.0,2708.9999999999995,2576.0,2426.0,2249.0,2055.0,1865.0,1682.0,1486.9999999999998,1277.0000000000002,1063.0,856.0,649.0,488.0,393.99999999999994,347.00000000000006,311.0,278.99999999999994,239.0,183.0,117.0,57.99999999999999,28.999999999999996,22.000000000000004,16.0,10.0,6.0,4.0,6.999999999999999
1964,32948.0,31938.000000000004,30826.0,29636.0,28360.0,27109.0,25854.0,24616.999999999996,23419.0,22223.000000000004,20991.0,20040.0,19511.0,19246.0,18973.0,18770.0,18366.0,17605.999999999996,16627.0,15732.999999999998,14870.0,14072.000000000002,13385.0,12790.0,12200.999999999998,11610.999999999998,11174.000000000002,10950.0,10868.0,10798.0,10770.0,10684.000000000002,10477.0,10195.0,9951.0,9725.0,9495.0,9261.000000000002,9029.0,8796.0,8552.0,8359.0,8243.0,8173.999999999999,8102.0,8048.999999999999,7932.0,7707.999999999999,7421.0,7144.0,6847.0,6636.0,6567.0,6580.0,6571.000000000001,6572.999999999999,6477.0,6220.0,5862.0,5523.0,5182.0,4867.0,4605.0,4382.0,4149.0,3909.0,3714.0,3583.9999999999995,3495.0,3406.0,3326.0,3220.0,3066.0000000000005,2881.0,2703.9999999999995,2526.9999999999995,2344.0,2157.0,1966.0,1776.0,1593.0000000000002,1399.0,1188.0,973.0,767.0,563.0,406.0,318.0,276.99999999999994,249.0,223.99999999999997,188.99999999999997,141.0,83.0,38.0,22.000000000000004,17.0,12.0,6.999999999999999,4.0,6.999999999999999
1965,33027.0,32214.0,31266.0,30208.000000000004,29064.0,27861.0,26623.0,25375.0,24143.0,22952.0,21754.0,20499.000000000004,19583.0,19178.0,19087.0,18972.0,18938.0,18615.0,17794.0,16666.0,15635.0,14630.0,13710.0,12949.000000000002,12312.999999999998,11674.000000000002,11033.0,10565.999999999998,10341.0,10279.000000000002,10232.000000000002,10227.0,10183.0,10042.0,9840.0,9676.0,9543.0,9357.999999999998,9094.0,8787.0,8484.0,8161.0,7932.0,7854.0,7867.999999999999,7870.0,7897.0,7821.000000000001,7575.0,7228.0,6900.0,6548.999999999999,6313.0,6266.0,6332.000000000001,6367.999999999999,6416.0,6359.0,6127.000000000001,5784.0,5465.0,5147.0,4843.0,4575.0,4334.0,4083.0,3818.0,3619.0,3518.9999999999995,3478.9999999999995,3433.9999999999995,3401.0000000000005,3316.9999999999995,3143.9999999999995,2913.0000000000005,2694.0,2474.0,2259.0,2061.0,1874.0,1685.0,1501.9999999999998,1309.0000000000002,1097.9999999999998,882.0,677.9999999999999,477.00000000000006,322.99999999999994,240.0,206.00000000000003,186.00000000000003,168.0,139.0,99.0,49.0,19.0,15.0,11.000000000000002,6.999999999999999,4.0,6.999999999999999
1966,32836.0,32674.999999999996,31926.0,31033.0,30018.0,28906.0,27726.0,26508.000000000004,25244.0,23944.000000000004,22650.0,21351.0,19994.0,18980.999999999996,18494.0,18334.0,18152.0,18049.0,17695.0,16902.0,15840.0,14876.0,13945.0,13095.0,12387.0,11794.0,11203.0,10614.0,10191.0,9997.0,9958.0,9934.0,9949.0,9922.0,9797.0,9609.0,9457.0,9333.0,9160.0,8913.0,8627.0,8343.0,8037.000000000001,7822.0,7754.0,7774.0,7781.000000000001,7811.0,7739.0,7496.0,7151.0,6825.0,6474.0,6236.000000000001,6183.0,6239.0,6267.0,6305.0,6240.0,6006.0,5662.000000000001,5341.0,5022.0,4716.0,4446.000000000001,4204.0,3952.0,3686.0000000000005,3484.0,3378.0,3331.0000000000005,3280.0,3242.0,3150.0,2968.0,2728.0,2500.0,2271.0,2055.0,1865.0,1693.0,1518.0,1350.0,1174.0000000000002,981.0,782.9999999999999,592.0000000000001,410.0,282.0,209.0,176.00000000000003,158.0,141.0,117.0,83.0,40.99999999999999,18.000000000000004,13.999999999999998,9.000000000000002,5.0,6.999999999999999
1967,32347.0,32158.0,32292.0,31608.0,30770.0,29800.0,28720.0,27565.0,26370.0,25090.0,23721.999999999996,22327.0,20929.000000000004,19471.0,18363.0,17793.0,17566.0,17316.0,17143.0,16760.0,15995.999999999998,15001.0,14104.000000000002,13249.0,12469.000000000002,11815.0,11264.000000000002,10722.999999999998,10186.0,9807.0,9645.0,9629.0,9626.0,9661.0,9652.000000000002,9543.0,9369.0,9229.0,9113.999999999998,8953.0,8725.0,8458.0,8193.0,7905.0,7705.0,7647.0,7672.000000000001,7684.0,7718.999999999999,7650.0,7410.0,7068.0,6742.999999999999,6393.0,6153.0,6093.0,6141.0,6160.0,6188.0,6116.000000000001,5877.999999999999,5534.0,5212.000000000001,4891.999999999999,4585.0,4314.0,4071.0000000000005,3816.9999999999995,3551.0,3346.0,3235.0,3181.0,3123.0,3078.9999999999995,2981.0000000000005,2790.0,2540.0,2304.0000000000005,2068.0,1850.0,1668.0000000000002,1510.0,1350.0,1198.0,1038.0,863.0,684.0,506.0,344.0,240.0,178.00000000000003,145.0,129.0,115.0,95.0,67.0,33.0,18.000000000000004,12.0,6.0,6.0
1968,31684.0,31851.0,31766.0,31912.0,31293.000000000004,30510.0,29584.0,28535.999999999996,27406.0,26232.0,24938.000000000004,23503.0,22006.0,20509.0,18950.0,17746.0,17096.0,16800.0,16483.0,16241.0,15829.0,15092.0,14164.000000000002,13335.0,12555.0,11845.0,11244.000000000002,10737.0,10244.000000000002,9759.0,9424.0,9294.0,9300.0,9318.999999999998,9375.0,9383.0,9290.0,9130.0,9001.0,8896.0,8748.0,8537.0,8291.0,8045.0,7775.0,7588.999999999999,7540.0,7571.000000000001,7587.999999999999,7627.000000000001,7561.0,7324.0,6985.0,6661.000000000001,6313.0,6070.0,6004.0,6044.0,6053.0,6072.0,5992.000000000001,5752.000000000001,5407.0,5084.0,4762.0,4455.0,4181.999999999999,3938.0,3683.0000000000005,3416.0000000000005,3208.9999999999995,3092.0,3030.0,2966.0,2917.0,2812.0,2612.0,2353.0,2109.0,1864.0,1645.0,1470.9999999999998,1328.0,1183.0,1045.0,903.0,745.0,584.0,420.0,276.99999999999994,198.0,147.0,115.0,100.0,89.00000000000001,73.0,51.0,25.0,15.0,6.999999999999999,6.0
