Time,Births
1950,21924.0
1951,24755.0
1952,26969.0
1953,28936.0
1954,30961.0
1955,32840.0
1956,35350.0
1957,38161.0
1958,41157.0
1959,44133.0
1960,50167.0
1961,52295.0
1962,54218.0
1963,56277.0
1964,58917.0
1965,61628.0
1966,66127.0
1967,71702.0
1968,77794.0
1969,83704.0
1970,86265.0
1971,89671.0
1972,92321.0
1973,94461.0
1974,96470.0
1975,92994.0
1976,92824.0
1977,93038.0
1978,93750.0
1979,95034.0
1980,92289.0
1981,96707.0
1982,101494.0
1983,106617.0
1984,112062.0
1985,101703.0
1986,106402.0
1987,111618.0
1988,117468.0
1989,124140.0
1990,112228.0
1991,122970.0
1992,134687.0
1993,146961.0
1994,159137.0
1995,146049.0
1996,151795.0
1997,156766.0
1998,161126.0
1999,165143.0
2000,157431.0
2001,161312.0
2002,165277.0
2003,169684.0
2004,174920.0
2005,172327.0
2006,179266.0
2007,187300.0
2008,196304.0
2009,206153.0
2010,194062.0
2011,204537.0
2012,215800.0
2013,227243.0
2014,238168.0
2015,202545.0
2016,209395.0
2017,215122.0
2018,219843.0
2019,223679.0
2020,210737.0
2021,212597.0
2022,213339.0
2023,213462.0
2024,213597.0
2025,200057.0
2026,200598.0
2027,201759.0
2028,203341.0
2029,205020.0
2030,194124.0
2031,196044.0
2032,197971.0
2033,199834.0
2034,201582.0
2035,192034.0
2036,193474.0
2037,194727.0
2038,195747.0
2039,196470.0
2040,187419.0
2041,187650.0
2042,187567.0
2043,187228.0
2044,186726.0
2045,178327.0
2046,177808.0
2047,177199.0
2048,176571.0
2049,176019.0
2050,169567.0
2051,169447.0
2052,169476.0
2053,169628.0
2054,169845.0
2055,165370.0
2056,165774.0
2057,166203.0
2058,166612.0
2059,166940.0
2060,163337.0
2061,163551.0
2062,163635.0
2063,163575.0
2064,163359.0
2065,160293.0
2066,159923.0
2067,159398.0
2068,158722.0
2069,157905.0
2070,155666.0
2071,154764.0
2072,153749.0
2073,152636.0
2074,151448.0
2075,149459.0
2076,148323.0
2077,147156.0
2078,145971.0
2079,144785.0
2080,143044.0
2081,142043.0
2082,141072.0
2083,140126.0
2084,139198.0
2085,138132.0
2086,137401.0
2087,136697.0
2088,136002.0
2089,135294.0
2090,134865.0
2091,134261.0
2092,133638.0
2093,132979.0
2094,132264.0
2095,131384.0
2096,130702.0
2097,129970.0
2098,129183.0
2099,128336.0
