Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.14540985,0.02536704,0.02536704,0.02536704,0.02536704,0.00386644,0.00386644,0.00386644,0.00386644,0.00386644,0.00275724,0.00275724,0.00275724,0.00275724,0.00275724,0.00409023,0.00409023,0.00409023,0.00409023,0.00409023,0.00585798,0.00585798,0.00585798,0.00585798,0.00585798,0.00639132,0.00639132,0.00639132,0.00639132,0.00639132,0.00730358,0.00730358,0.00730358,0.00730358,0.00730358,0.00879212,0.00879212,0.00879212,0.00879212,0.00879212,0.01101286,0.01101286,0.01101286,0.01101286,0.01101286,0.01386216,0.01386216,0.01386216,0.01386216,0.01386216,0.01876099,0.01876099,0.01876099,0.01876099,0.01876099,0.02547057,0.02547057,0.02547057,0.02547057,0.02547057,0.03684209,0.03684209,0.03684209,0.03684209,0.03684209,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.17869612,0.17869612,0.17869612,0.17869612,0.17869612,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.36979352,0.36979352,0.36979352,0.36979352,0.36979352,0.49719032,0.49719032,0.49719032,0.49719032,0.49719032,0.61196555
1951,0.14540985,0.02536704,0.02536704,0.02536704,0.02536704,0.00386644,0.00386644,0.00386644,0.00386644,0.00386644,0.00275724,0.00275724,0.00275724,0.00275724,0.00275724,0.00409023,0.00409023,0.00409023,0.00409023,0.00409023,0.00585798,0.00585798,0.00585798,0.00585798,0.00585798,0.00639132,0.00639132,0.00639132,0.00639132,0.00639132,0.00730358,0.00730358,0.00730358,0.00730358,0.00730358,0.00879212,0.00879212,0.00879212,0.00879212,0.00879212,0.01101286,0.01101286,0.01101286,0.01101286,0.01101286,0.01386216,0.01386216,0.01386216,0.01386216,0.01386216,0.01876099,0.01876099,0.01876099,0.01876099,0.01876099,0.02547057,0.02547057,0.02547057,0.02547057,0.02547057,0.03684209,0.03684209,0.03684209,0.03684209,0.03684209,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.17869612,0.17869612,0.17869612,0.17869612,0.17869612,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.36979352,0.36979352,0.36979352,0.36979352,0.36979352,0.49719032,0.49719032,0.49719032,0.49719032,0.49719032,0.61196555
1952,0.14540985,0.02536704,0.02536704,0.02536704,0.02536704,0.00386644,0.00386644,0.00386644,0.00386644,0.00386644,0.00275724,0.00275724,0.00275724,0.00275724,0.00275724,0.00409023,0.00409023,0.00409023,0.00409023,0.00409023,0.00585798,0.00585798,0.00585798,0.00585798,0.00585798,0.00639132,0.00639132,0.00639132,0.00639132,0.00639132,0.00730358,0.00730358,0.00730358,0.00730358,0.00730358,0.00879212,0.00879212,0.00879212,0.00879212,0.00879212,0.01101286,0.01101286,0.01101286,0.01101286,0.01101286,0.01386216,0.01386216,0.01386216,0.01386216,0.01386216,0.01876099,0.01876099,0.01876099,0.01876099,0.01876099,0.02547057,0.02547057,0.02547057,0.02547057,0.02547057,0.03684209,0.03684209,0.03684209,0.03684209,0.03684209,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.17869612,0.17869612,0.17869612,0.17869612,0.17869612,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.36979352,0.36979352,0.36979352,0.36979352,0.36979352,0.49719032,0.49719032,0.49719032,0.49719032,0.49719032,0.61196555
1953,0.14540985,0.02536704,0.02536704,0.02536704,0.02536704,0.00386644,0.00386644,0.00386644,0.00386644,0.00386644,0.00275724,0.00275724,0.00275724,0.00275724,0.00275724,0.00409023,0.00409023,0.00409023,0.00409023,0.00409023,0.00585798,0.00585798,0.00585798,0.00585798,0.00585798,0.00639132,0.00639132,0.00639132,0.00639132,0.00639132,0.00730358,0.00730358,0.00730358,0.00730358,0.00730358,0.00879212,0.00879212,0.00879212,0.00879212,0.00879212,0.01101286,0.01101286,0.01101286,0.01101286,0.01101286,0.01386216,0.01386216,0.01386216,0.01386216,0.01386216,0.01876099,0.01876099,0.01876099,0.01876099,0.01876099,0.02547057,0.02547057,0.02547057,0.02547057,0.02547057,0.03684209,0.03684209,0.03684209,0.03684209,0.03684209,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.17869612,0.17869612,0.17869612,0.17869612,0.17869612,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.36979352,0.36979352,0.36979352,0.36979352,0.36979352,0.49719032,0.49719032,0.49719032,0.49719032,0.49719032,0.61196555
1954,0.14540985,0.02536704,0.02536704,0.02536704,0.02536704,0.00386644,0.00386644,0.00386644,0.00386644,0.00386644,0.00275724,0.00275724,0.00275724,0.00275724,0.00275724,0.00409023,0.00409023,0.00409023,0.00409023,0.00409023,0.00585798,0.00585798,0.00585798,0.00585798,0.00585798,0.00639132,0.00639132,0.00639132,0.00639132,0.00639132,0.00730358,0.00730358,0.00730358,0.00730358,0.00730358,0.00879212,0.00879212,0.00879212,0.00879212,0.00879212,0.01101286,0.01101286,0.01101286,0.01101286,0.01101286,0.01386216,0.01386216,0.01386216,0.01386216,0.01386216,0.01876099,0.01876099,0.01876099,0.01876099,0.01876099,0.02547057,0.02547057,0.02547057,0.02547057,0.02547057,0.03684209,0.03684209,0.03684209,0.03684209,0.03684209,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.05299980000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.07870310000000001,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.11956489999999999,0.17869612,0.17869612,0.17869612,0.17869612,0.17869612,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.26296970000000003,0.36979352,0.36979352,0.36979352,0.36979352,0.36979352,0.49719032,0.49719032,0.49719032,0.49719032,0.49719032,0.61196555
1955,0.11904577,0.01771052,0.01771052,0.01771052,0.01771052,0.00339206,0.00339206,0.00339206,0.00339206,0.00339206,0.00247409,0.00247409,0.00247409,0.00247409,0.00247409,0.00370336,0.00370336,0.00370336,0.00370336,0.00370336,0.00529875,0.00529875,0.00529875,0.00529875,0.00529875,0.00574766,0.00574766,0.00574766,0.00574766,0.00574766,0.00655802,0.00655802,0.00655802,0.00655802,0.00655802,0.00793254,0.00793254,0.00793254,0.00793254,0.00793254,0.01003592,0.01003592,0.01003592,0.01003592,0.01003592,0.0128322,0.0128322,0.0128322,0.0128322,0.0128322,0.01757237,0.01757237,0.01757237,0.01757237,0.01757237,0.0241863,0.0241863,0.0241863,0.0241863,0.0241863,0.03521716,0.03521716,0.03521716,0.03521716,0.03521716,0.05104824,0.05104824,0.05104824,0.05104824,0.05104824,0.07626568,0.07626568,0.07626568,0.07626568,0.07626568,0.11634008,0.11634008,0.11634008,0.11634008,0.11634008,0.174905,0.174905,0.174905,0.174905,0.174905,0.25882912,0.25882912,0.25882912,0.25882912,0.25882912,0.36570966,0.36570966,0.36570966,0.36570966,0.36570966,0.49292807,0.49292807,0.49292807,0.49292807,0.49292807,0.60489671
1956,0.11904577,0.01771052,0.01771052,0.01771052,0.01771052,0.00339206,0.00339206,0.00339206,0.00339206,0.00339206,0.00247409,0.00247409,0.00247409,0.00247409,0.00247409,0.00370336,0.00370336,0.00370336,0.00370336,0.00370336,0.00529875,0.00529875,0.00529875,0.00529875,0.00529875,0.00574766,0.00574766,0.00574766,0.00574766,0.00574766,0.00655802,0.00655802,0.00655802,0.00655802,0.00655802,0.00793254,0.00793254,0.00793254,0.00793254,0.00793254,0.01003592,0.01003592,0.01003592,0.01003592,0.01003592,0.0128322,0.0128322,0.0128322,0.0128322,0.0128322,0.01757237,0.01757237,0.01757237,0.01757237,0.01757237,0.0241863,0.0241863,0.0241863,0.0241863,0.0241863,0.03521716,0.03521716,0.03521716,0.03521716,0.03521716,0.05104824,0.05104824,0.05104824,0.05104824,0.05104824,0.07626568,0.07626568,0.07626568,0.07626568,0.07626568,0.11634008,0.11634008,0.11634008,0.11634008,0.11634008,0.174905,0.174905,0.174905,0.174905,0.174905,0.25882912,0.25882912,0.25882912,0.25882912,0.25882912,0.36570966,0.36570966,0.36570966,0.36570966,0.36570966,0.49292807,0.49292807,0.49292807,0.49292807,0.49292807,0.60489671
1957,0.11904577,0.01771052,0.01771052,0.01771052,0.01771052,0.00339206,0.00339206,0.00339206,0.00339206,0.00339206,0.00247409,0.00247409,0.00247409,0.00247409,0.00247409,0.00370336,0.00370336,0.00370336,0.00370336,0.00370336,0.00529875,0.00529875,0.00529875,0.00529875,0.00529875,0.00574766,0.00574766,0.00574766,0.00574766,0.00574766,0.00655802,0.00655802,0.00655802,0.00655802,0.00655802,0.00793254,0.00793254,0.00793254,0.00793254,0.00793254,0.01003592,0.01003592,0.01003592,0.01003592,0.01003592,0.0128322,0.0128322,0.0128322,0.0128322,0.0128322,0.01757237,0.01757237,0.01757237,0.01757237,0.01757237,0.0241863,0.0241863,0.0241863,0.0241863,0.0241863,0.03521716,0.03521716,0.03521716,0.03521716,0.03521716,0.05104824,0.05104824,0.05104824,0.05104824,0.05104824,0.07626568,0.07626568,0.07626568,0.07626568,0.07626568,0.11634008,0.11634008,0.11634008,0.11634008,0.11634008,0.174905,0.174905,0.174905,0.174905,0.174905,0.25882912,0.25882912,0.25882912,0.25882912,0.25882912,0.36570966,0.36570966,0.36570966,0.36570966,0.36570966,0.49292807,0.49292807,0.49292807,0.49292807,0.49292807,0.60489671
1958,0.11904577,0.01771052,0.01771052,0.01771052,0.01771052,0.00339206,0.00339206,0.00339206,0.00339206,0.00339206,0.00247409,0.00247409,0.00247409,0.00247409,0.00247409,0.00370336,0.00370336,0.00370336,0.00370336,0.00370336,0.00529875,0.00529875,0.00529875,0.00529875,0.00529875,0.00574766,0.00574766,0.00574766,0.00574766,0.00574766,0.00655802,0.00655802,0.00655802,0.00655802,0.00655802,0.00793254,0.00793254,0.00793254,0.00793254,0.00793254,0.01003592,0.01003592,0.01003592,0.01003592,0.01003592,0.0128322,0.0128322,0.0128322,0.0128322,0.0128322,0.01757237,0.01757237,0.01757237,0.01757237,0.01757237,0.0241863,0.0241863,0.0241863,0.0241863,0.0241863,0.03521716,0.03521716,0.03521716,0.03521716,0.03521716,0.05104824,0.05104824,0.05104824,0.05104824,0.05104824,0.07626568,0.07626568,0.07626568,0.07626568,0.07626568,0.11634008,0.11634008,0.11634008,0.11634008,0.11634008,0.174905,0.174905,0.174905,0.174905,0.174905,0.25882912,0.25882912,0.25882912,0.25882912,0.25882912,0.36570966,0.36570966,0.36570966,0.36570966,0.36570966,0.49292807,0.49292807,0.49292807,0.49292807,0.49292807,0.60489671
1959,0.11904577,0.01771052,0.01771052,0.01771052,0.01771052,0.00339206,0.00339206,0.00339206,0.00339206,0.00339206,0.00247409,0.00247409,0.00247409,0.00247409,0.00247409,0.00370336,0.00370336,0.00370336,0.00370336,0.00370336,0.00529875,0.00529875,0.00529875,0.00529875,0.00529875,0.00574766,0.00574766,0.00574766,0.00574766,0.00574766,0.00655802,0.00655802,0.00655802,0.00655802,0.00655802,0.00793254,0.00793254,0.00793254,0.00793254,0.00793254,0.01003592,0.01003592,0.01003592,0.01003592,0.01003592,0.0128322,0.0128322,0.0128322,0.0128322,0.0128322,0.01757237,0.01757237,0.01757237,0.01757237,0.01757237,0.0241863,0.0241863,0.0241863,0.0241863,0.0241863,0.03521716,0.03521716,0.03521716,0.03521716,0.03521716,0.05104824,0.05104824,0.05104824,0.05104824,0.05104824,0.07626568,0.07626568,0.07626568,0.07626568,0.07626568,0.11634008,0.11634008,0.11634008,0.11634008,0.11634008,0.174905,0.174905,0.174905,0.174905,0.174905,0.25882912,0.25882912,0.25882912,0.25882912,0.25882912,0.36570966,0.36570966,0.36570966,0.36570966,0.36570966,0.49292807,0.49292807,0.49292807,0.49292807,0.49292807,0.60489671
