Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1519891891222422,0.19087644485194846,0.22998853949328368,0.2668190076287198,0.2991069734150636,0.3251456961081062,0.34397253726531335,0.35558928663698686,0.36088581336422726,0.36125544446438457,0.35835184564852585,0.3538606390853078,0.348495891603612,0.34202669074254005,0.33421267145514255,0.3248553696334411,0.31380874506760026,0.30098935248024083,0.28638560107260935,0.27006482383598224,0.2521764339976452,0.23292363481637562,0.2120315755105038,0.18902671247822447,0.16397941112587108,0.13753296487147876,0.11081369861188735,0.08527006596105574,0.06232942388150016,0.04304967060966357,0.027945610429410593,0.016959430205303834,0.009570830901619077,0.0049959214365339335,0.002399363066204047,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14009970611537598,0.17785053347957877,0.2162922328510424,0.25291971262090235,0.2854096409914358,0.31195144584325213,0.33146409845418556,0.343841213323867,0.349892155166323,0.35096090734072366,0.34867834103497597,0.34472571604279667,0.3398092857642549,0.333679543675103,0.32607988428859563,0.3168004739129173,0.3056922832283234,0.29271080920277553,0.2779180873656768,0.26145016054163683,0.24351478984244215,0.22436080794244923,0.20376932576953496,0.18132169469075726,0.15710119036262926,0.13171266123699218,0.10619483432739883,0.08187357281021285,0.06004992007743883,0.041685325715369995,0.027247695261530452,0.01668498768986213,0.00952237509486998,0.005039201100250151,0.0024600777955526487,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13083592749864534,0.16780802366761302,0.20589139575639945,0.2425702510145437,0.27545130667658346,0.30261760533263976,0.3228722440502947,0.3360105936286201,0.34277803416585284,0.34448775858690245,0.3427665553431569,0.33930859743316344,0.33481410249375504,0.32900196135831966,0.3215862055437693,0.3123336876679289,0.30108285670478296,0.2878304432062947,0.2727238195825205,0.25597772950351994,0.2378653506715226,0.21868413925058172,0.19825299213110212,0.17617727721040852,0.1525348639573057,0.1278906605696969,0.10321205245998866,0.0797342377115912,0.05866954124218261,0.04091424103053535,0.026907343012382855,0.01660512645645366,0.009568176181632724,0.005122385875281267,0.0025351993696255595,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12363581199172191,0.1601344461621573,0.19813303033492324,0.23509346140378473,0.268544135758108,0.2964573044542702,0.31752027885249806,0.33143705046044886,0.3389021653448162,0.3412135900898174,0.3400102215041597,0.3370144090122929,0.33292245677724175,0.3274109751889871,0.3201536608648866,0.3108840081050753,0.2994200429881572,0.2858020926300055,0.2702732319717873,0.2531355459515584,0.23473350067574605,0.21541549200948426,0.19502347170822062,0.17316224380842807,0.14989007484534453,0.12573114700972474,0.10159455837367688,0.0786500137317275,0.05805065754382211,0.04065228171704732,0.026879526258967716,0.01669962243556289,0.009701290524673797,0.00524420479454144,0.0026251039657108457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11807317349691539,0.15435868290373464,0.19251112936361708,0.2299592745415491,0.2641445713246837,0.2929230056597871,0.31486458127123124,0.32958653229118384,0.3377430987603448,0.34063015619672043,0.3399127779354763,0.33735501138764523,0.33365160334558036,0.3284281277627952,0.3213087418187123,0.3119850599035821,0.3002480297140815,0.2861838800493105,0.27014055419008504,0.252514936363533,0.2337276392986885,0.21417976681466,0.19372413158991192,0.17194492137433676,0.14886937735801464,0.12498037406177943,0.10113917736603731,0.07847015368892263,0.05809102529955138,0.04083717343612546,0.027131077593367255,0.016953750606984418,0.009916868561258278,0.005404008030615115,0.0027303147676700536,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11381777128190537,0.15011061438761802,0.18862269378507138,0.22673986732036489,0.26180831052541303,0.29156188717047316,0.3144508618865472,0.33000874206301134,0.3388578900303982,0.3423031411701795,0.34204788821802456,0.3399097487534786,0.33658444908972035,0.33163956993224186,0.3246421980177696,0.3152349687667856,0.3031761898665848,0.28860004153137586,0.27196712242157983,0.253775270874768,0.23452504566599242,0.21467146182345448,0.1940679353340401,0.1722614065025747,0.14923862172720956,0.12544051057868008,0.10168883054293512,0.07907894009678978,0.05871264455097657,0.041421701720478654,0.027637070069160333,0.017356658020001622,0.010211570361171096,0.005601618895817254,0.00285148739212791,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11060710280506159,0.14709081367753374,0.18613586011699595,0.22507675084300802,0.2611568554669619,0.2919823175696908,0.3158809634698318,0.33230455021810257,0.3418502470306603,0.34584098775959016,0.34602873221741454,0.34429482915224446,0.3413386849849946,0.3366648318024548,0.3297775664435819,0.3202649904260111,0.30784833664838007,0.29271126932627645,0.27543300182604924,0.2566168222765742,0.23684575195563917,0.21662922868856724,0.19581257916910802,0.17389166398668432,0.15080476811213683,0.12695008930937043,0.10311643328387364,0.08038346159119154,0.05985331378938652,0.042368482312952906,0.028377972498568355,0.017900044313351633,0.01058307009904471,0.0058372003651593046,0.0029893958565475275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10822616326330575,0.14504851319850967,0.18476641398168317,0.22465618974542645,0.261852207228705,0.29382819117945735,0.3187871833781747,0.3361005762977067,0.34634551615359527,0.3508702927763995,0.35148367259670604,0.35013898803548044,0.34754219305488476,0.3431318989175986,0.3363460320141402,0.32671445441238506,0.3139182014726575,0.29819111720833247,0.2802344834201313,0.26075932273911007,0.24043198298195106,0.2198159308116686,0.19874108027923937,0.1766409235592484,0.1533986462377465,0.12936880537871548,0.1053123331869815,0.0823040088488847,0.06145991708150071,0.043645731770573966,0.029337291750446547,0.018577030489969858,0.011029611214049724,0.006111127616636085,0.0031449181223612904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10648275732188539,0.1437504487823435,0.1842396888915533,0.22516419030214405,0.26354555022224324,0.2967224286417917,0.32277205809472653,0.34098675610474133,0.3519272332957958,0.3569720759573277,0.357992428787434,0.3570192078337765,0.35476792643457544,0.35061137078338583,0.34392050504440536,0.3341658887021775,0.32098712404764945,0.3046677334710652,0.2860309276655017,0.26589457145712825,0.24500680709869885,0.22398330082985932,0.20263221971418482,0.18031557928631042,0.156855861274471,0.13256286002466044,0.10817342626462277,0.08476623914623169,0.06348291565121782,0.04522343818232763,0.03049890127564999,0.019380271548850875,0.01154866305846191,0.006423043960864483,0.003318398599845916,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1051677622414323,0.1429247058481454,0.1842156935516363,0.22619212743287337,0.2657643866415325,0.3001382990954663,0.3272677622530344,0.34636800563371395,0.357984574747016,0.363527337448471,0.36493059009655093,0.36430353801322624,0.36237427124562244,0.3584548940114853,0.351854000396833,0.3419864649135513,0.3284526642107934,0.31158368077559506,0.2923188730356724,0.2715768921928016,0.25018205007158983,0.22879758924579685,0.20720336143749402,0.18468167134991734,0.16098857508132386,0.1363870672721904,0.11159239761360078,0.08769463382039575,0.06587178475920627,0.047069398441623965,0.03184310989355876,0.020298068702447065,0.012133362695513824,0.006768924428951801,0.003507478191251213,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
