Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,124897.0,91412.0,67778.0,52782.0,45211.00000000001,43851.00000000001,47490.0,54913.99999999999,64908.99999999999,76263.0,90110.0,107586.0,115735.0,108648.0,92156.0,77164.0,60485.0,50769.0,53095.0,62681.99999999999,70307.0,78584.0,81258.0,74536.0,62015.0,50975.0,39833.0,31490.0,28083.000000000004,28008.000000000004,27304.000000000004,26497.0,26801.0,28338.0,30656.0,33251.0,36305.0,38260.99999999999,38316.0,37118.0,36150.99999999999,35154.0,34092.0,33104.0,32150.0,31058.000000000004,29879.0,28771.0,27801.0,26947.0,26116.0,25323.0,24682.0,24238.000000000004,23956.999999999996,23665.0,23288.0,23279.0,23811.999999999996,24619.0,25346.0,26165.0,26195.999999999996,24997.0,23003.0,21080.0,19040.0,17279.0,16076.0,15222.999999999998,14245.999999999998,13254.000000000002,12210.999999999998,11057.0,9853.0,8717.0,7627.999999999999,6622.000000000001,5731.0,4936.0,4181.999999999999,3476.0000000000005,2859.0,2346.0,1919.0,1541.9999999999998,1215.0,943.0,721.0,544.0,387.99999999999994,293.0,234.0,170.0,98.0,57.99999999999999,48.0,37.00000000000001,25.0,12.0,15.0
1951,109287.0,116675.0,88960.0,68999.0,55917.0,48842.0,46585.0,47956.0,53667.0,63477.0,75565.0,89456.0,106581.0,114560.0,107602.0,91420.0,76703.0,60335.0,50766.00000000001,52963.0,62255.0,69626.0,77628.99999999999,80168.0,73541.0,61258.99999999999,50425.0,39494.0,31299.0,27929.000000000004,27816.0,27092.0,26268.0,26535.999999999996,28017.0,30266.0,32785.0,35755.0,37647.0,37674.0,36473.0,35497.0,34494.0,33422.0,32419.000000000004,31445.999999999996,30338.0,29143.0,28021.0,27043.000000000004,26182.0,25340.999999999996,24535.0,23875.0,23403.000000000004,23087.0,22761.0,22357.0,22296.0,22737.0,23432.0,24053.0,24761.999999999996,24732.0,23546.999999999996,21618.000000000004,19758.0,17791.0,16085.999999999998,14905.0,14056.0,13094.000000000002,12122.0,11110.999999999998,10010.0,8870.0,7798.999999999999,6775.0,5840.0,5024.0,4306.999999999999,3631.9999999999995,3003.9999999999995,2458.0,2005.9999999999998,1631.0,1301.0,1024.0,795.9999999999999,607.0,451.0,320.0,242.0,193.99999999999997,140.0,80.0,50.0,39.0,27.000000000000004,13.000000000000002,17.0
1952,104530.0,92086.0,110930.0,88324.0,71567.0,60102.0,53373.99999999999,50192.0,49367.0,53510.0,63333.99999999999,76381.0,90592.99999999999,107714.0,115685.0,108715.0,92515.0,77776.00000000001,61387.0,51772.0,53886.0,63073.0,70341.00000000001,78235.0,80692.0,74027.0,61735.0,50888.00000000001,39945.0,31734.0,28331.999999999996,28180.0,27421.999999999996,26566.0,26804.000000000004,28258.000000000004,30484.0,32980.0,35926.0,37793.0,37794.00000000001,36565.0,35562.0,34531.0,33429.0,32391.0,31381.0,30235.0,29000.0,27843.000000000004,26836.0,25951.0,25083.000000000004,24249.000000000004,23557.0,23050.0,22691.999999999996,22327.0,21889.0,21775.0,22135.0,22734.0,23264.0,23879.0,23787.0,22594.0,20690.0,18854.0,16919.0,15235.0,14052.999999999998,13190.0,12224.0,11252.0,10254.000000000002,9181.000000000002,8083.0,7053.999999999999,6072.999999999999,5188.0,4430.0,3776.0000000000005,3163.9999999999995,2600.0,2114.0,1712.0,1381.0,1090.0,856.0,669.0,508.0,370.0,259.0,198.0,158.0,113.0,65.0,42.0,27.999999999999996,13.999999999999998,19.0
1953,106329.0,99323.0,92516.0,105800.0,88202.99999999999,74572.0,64668.00000000001,58248.99999999999,54117.0,51076.0,53668.0,63563.0,77652.0,92270.0,109488.0,117497.00000000001,110473.99999999999,94160.0,79313.0,62806.99999999999,53089.0,55132.0,64266.99999999999,71473.99999999999,79305.0,81693.0,74951.00000000001,62578.0,51653.0,40635.0,32358.000000000004,28905.0,28713.0,27915.0,27021.0,27230.0,28668.000000000004,30884.0,33370.0,36309.0,38162.0,38137.0,36873.00000000001,35836.0,34772.0,33633.0,32554.000000000004,31500.0,30308.000000000004,29026.0,27826.0,26785.999999999996,25872.0,24971.999999999996,24104.0,23375.999999999996,22829.0,22428.0,22022.0,21546.999999999996,21379.0,21659.000000000004,22164.0,22605.999999999996,23130.0,22976.0,21767.0,19877.0,18055.0,16140.0,14469.000000000002,13277.999999999998,12395.999999999998,11421.0,10443.0,9451.0,8401.0,7337.999999999999,6345.0,5403.0,4563.0,3859.0,3263.0,2711.0000000000005,2209.0,1779.0000000000002,1426.0,1137.0,885.0,693.0,544.0,410.0,290.0,198.99999999999997,154.0,122.0,88.00000000000001,49.0,31.0,16.0,21.0
1954,112175.0,108448.0,103571.0,97859.0,100676.0,88140.0,77668.0,69338.00000000001,63227.0,58131.0,52843.0,53864.0,63838.0,78993.0,94031.0,111360.0,119414.0,112331.0,95892.00000000001,80925.0,64289.0,54458.99999999999,56431.99999999999,65521.0,72671.0,80444.0,82764.0,75939.0,63474.0,52463.0,41361.00000000001,33012.0,29505.0,29272.0,28434.0,27500.999999999996,27680.999999999996,29101.999999999996,31309.0,33788.00000000001,36722.0,38562.0,38510.0,37210.0,36138.00000000001,35040.0,33861.99999999999,32741.0,31642.0,30404.0,29072.0,27829.0,26753.0,25809.0,24875.999999999996,23974.0,23209.0,22621.0,22177.0,21726.999999999996,21215.0,20991.999999999996,21191.999999999996,21603.0,21955.0,22386.999999999996,22171.0,20944.000000000004,19067.0,17257.0,15363.0,13702.0,12502.0,11601.0,10615.0,9631.0,8644.0,7617.000000000001,6587.999999999999,5632.000000000001,4727.0,3933.0000000000005,3282.0,2747.0,2255.0,1814.0,1442.0,1138.0,892.0,677.0,528.0,418.0,312.0,209.0,139.0,110.0,87.0,61.0,34.0,17.0,24.0
1955,120374.0,118339.0,114427.0,109040.0,102579.0,95447.0,88047.00000000001,80779.0,74046.0,68250.0,62178.00000000001,54616.00000000001,54044.0,64095.0,80325.0,95783.99999999999,113217.99999999999,121314.0,114175.0,97613.99999999999,82530.0,65768.0,55828.99999999999,57729.0,66768.99999999999,73858.0,81569.0,83820.0,76913.0,64360.0,53266.00000000001,42083.0,33663.00000000001,30103.0,29829.0,28950.0,27978.0,28129.0,29531.999999999996,31730.0,34200.0,37128.0,38954.0,38875.0,37538.00000000001,36431.99999999999,35299.0,34083.0,32919.00000000001,31774.0,30490.0,29109.0,27822.0,26711.0,25736.0,24771.0,23833.000000000004,23031.0,22403.000000000004,21914.0,21421.0,20871.0,20593.000000000004,20711.0,21026.0,21287.0,21625.999999999996,21346.999999999996,20102.999999999996,18240.0,16442.999999999996,14570.0,12921.0,11712.0,10790.0,9794.0,8804.0,7824.0,6819.0,5826.000000000001,4907.0,4041.0000000000005,3292.0,2697.0,2222.0,1791.0,1414.0000000000002,1099.0,845.0,642.0,467.0,360.0,290.0,212.0,127.0,78.0,65.0,50.0,35.0,18.000000000000004,26.000000000000004
1956,129340.0,124337.0,121357.00000000001,116814.0,111059.0,104444.0,97370.0,90240.0,83154.0,76363.99999999999,70372.0,64209.99999999999,56608.99999999999,56020.0,66085.0,82345.0,97831.0,115296.0,123395.0,116214.0,99581.0,84427.0,67592.0,57568.99999999999,59373.99999999999,68308.0,75290.0,82890.0,85040.0,78051.99999999999,65430.00000000001,54266.99999999999,43016.00000000001,34532.0,30909.000000000004,30574.0,29638.0,28610.0,28710.0,30070.0,32229.0,34661.0,37553.00000000001,39340.0,39217.0,37833.0,36680.0,35501.0,34241.0,33034.0,31846.999999999996,30521.0,29098.000000000004,27768.0,26611.0,25590.999999999996,24578.000000000004,23592.0,22745.0,22078.000000000004,21554.000000000004,21026.999999999996,20448.0,20123.0,20164.0,20386.0,20560.0,20811.0,20473.0,19218.0,17374.000000000004,15597.999999999998,13754.000000000002,12127.0,10925.0,10003.0,9015.0,8037.000000000001,7086.0,6140.0,5223.0,4378.0,3589.0,2911.0,2371.0,1942.0,1553.0000000000002,1222.9999999999998,954.0000000000001,731.0,547.0,395.0,306.0,246.00000000000003,180.0,107.0,68.0,53.0,37.00000000000001,19.0,28.999999999999996
1957,138335.0,136782.0,128058.0,124135.0,118967.00000000001,112855.0,106098.0,99098.0,92255.0,85366.0,78533.0,72357.0,66116.0,58493.0,57888.00000000001,67945.0,84201.00000000001,99683.0,117141.0,125227.0,118018.99999999999,101348.0,86156.0,69283.0,59196.99999999999,60901.0,69712.0,76571.0,84042.0,86087.0,79032.0,66368.0,55159.0,43864.0,35333.0,31654.0,31258.000000000004,30266.0,29184.0,29234.0,30546.999999999996,32662.0,35051.0,37900.0,39646.0,39478.0,38049.0,36853.0,35630.0,34327.0,33080.0,31854.0,30488.000000000004,29026.0,27655.0,26456.0,25391.0,24333.000000000004,23300.0,22409.000000000004,21705.0,21147.0,20587.0,19980.999999999996,19609.0,19572.0,19700.0,19785.999999999996,19948.0,19553.0,18288.0,16468.0,14717.0,12905.0,11305.0,10112.0,9192.0,8214.0,7249.0,6330.0,5445.0,4606.0,3838.0,3128.0,2521.0,2039.0000000000002,1656.0,1311.0,1030.0,805.9999999999999,615.0,451.0,322.0,251.0,201.0,146.0,86.0,55.99999999999999,39.0,21.0,31.0
1958,146917.0,144886.0,141124.0,131572.99999999997,126712.0,120927.0,114467.99999999999,107581.0,100666.0,94120.0,87441.0,80576.00000000001,74223.99999999999,67917.0,60282.0,59663.00000000001,69696.0,85921.0,101374.0,118797.00000000001,126855.0,119633.0,102952.00000000001,87745.0,70863.0,60730.0,62328.99999999999,71003.0,77728.00000000001,85059.0,86994.0,79883.0,67199.0,55961.00000000001,44641.00000000001,36077.0,32347.0,31892.0,30845.0,29711.0,29710.0,30974.0,33042.0,35384.0,38187.0,39885.99999999999,39675.0,38204.0,36965.0,35701.0,34358.00000000001,33071.99999999999,31808.000000000004,30405.0,28906.0,27497.0,26256.999999999996,25149.0,24048.0,22969.0,22037.0,21296.999999999996,20706.0,20113.0,19480.999999999996,19063.0,18948.0,18980.999999999996,18979.0,19052.0,18600.0,17328.0,15535.0,13810.0,12035.0,10464.0,9282.0,8363.999999999998,7399.0,6447.999999999999,5564.0,4740.0,3981.0000000000005,3291.0000000000005,2662.0,2127.0,1703.0,1367.0,1067.0,834.0000000000001,655.9999999999999,497.00000000000006,354.0,248.0,195.0,156.0,113.0,66.0,40.99999999999999,22.000000000000004,34.0
1959,154978.99999999997,152351.0,148369.0,143252.0,134935.0,129144.0,122750.0,115951.00000000001,108942.0,102118.0,95877.00000000001,89414.0,82525.0,76006.0,69638.0,62001.00000000001,61369.0,71366.0,87542.99999999999,102948.0,120318.0,128340.0,121112.00000000001,104437.99999999999,89234.0,72361.0,62192.0,63687.0,72212.0,78797.0,85979.0,87804.0,80645.0,67953.0,56700.0,45367.0,36779.0,33004.0,32489.000000000004,31389.0,30205.0,30151.999999999996,31366.999999999996,33385.0,35677.0,38430.0,40083.0,39828.0,38316.0,37037.0,35732.0,34350.0,33027.0,31728.0,30289.0,28755.0,27309.0,26029.0,24880.0,23737.0,22614.0,21640.0,20866.0,20242.0,19618.0,18960.0,18496.0,18304.000000000004,18242.0,18153.0,18137.0,17628.0,16351.0,14585.999999999998,12890.999999999998,11152.999999999998,9612.0,8443.0,7530.0,6577.000000000001,5642.0,4792.0,4031.0000000000005,3353.0,2742.0,2193.0,1732.0,1365.9999999999998,1078.0,821.0,638.0,506.0,380.0,257.0,175.0,139.0,111.0,79.0,45.0,23.0,36.00000000000001
