Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.17136389,0.03512196,0.03512196,0.03512196,0.03512196,0.00949717,0.00949717,0.00949717,0.00949717,0.00949717,0.00512693,0.00512693,0.00512693,0.00512693,0.00512693,0.00628052,0.00628052,0.00628052,0.00628052,0.00628052,0.00885561,0.00885561,0.00885561,0.00885561,0.00885561,0.00961512,0.00961512,0.00961512,0.00961512,0.00961512,0.01060735,0.01060735,0.01060735,0.01060735,0.01060735,0.01217538,0.01217538,0.01217538,0.01217538,0.01217538,0.01429185,0.01429185,0.01429185,0.01429185,0.01429185,0.01643546,0.01643546,0.01643546,0.01643546,0.01643546,0.02032575,0.02032575,0.02032575,0.02032575,0.02032575,0.02502863,0.02502863,0.02502863,0.02502863,0.02502863,0.03451713,0.03451713,0.03451713,0.03451713,0.03451713,0.04952138,0.04952138,0.04952138,0.04952138,0.04952138,0.07542185,0.07542185,0.07542185,0.07542185,0.07542185,0.11632903,0.11632903,0.11632903,0.11632903,0.11632903,0.18398848,0.18398848,0.18398848,0.18398848,0.18398848,0.28887068,0.28887068,0.28887068,0.28887068,0.28887068,0.43514516,0.43514516,0.43514516,0.43514516,0.43514516,0.57052804,0.57052804,0.57052804,0.57052804,0.57052804,0.6890838
1951,0.17136389,0.03512196,0.03512196,0.03512196,0.03512196,0.00949717,0.00949717,0.00949717,0.00949717,0.00949717,0.00512693,0.00512693,0.00512693,0.00512693,0.00512693,0.00628052,0.00628052,0.00628052,0.00628052,0.00628052,0.00885561,0.00885561,0.00885561,0.00885561,0.00885561,0.00961512,0.00961512,0.00961512,0.00961512,0.00961512,0.01060735,0.01060735,0.01060735,0.01060735,0.01060735,0.01217538,0.01217538,0.01217538,0.01217538,0.01217538,0.01429185,0.01429185,0.01429185,0.01429185,0.01429185,0.01643546,0.01643546,0.01643546,0.01643546,0.01643546,0.02032575,0.02032575,0.02032575,0.02032575,0.02032575,0.02502863,0.02502863,0.02502863,0.02502863,0.02502863,0.03451713,0.03451713,0.03451713,0.03451713,0.03451713,0.04952138,0.04952138,0.04952138,0.04952138,0.04952138,0.07542185,0.07542185,0.07542185,0.07542185,0.07542185,0.11632903,0.11632903,0.11632903,0.11632903,0.11632903,0.18398848,0.18398848,0.18398848,0.18398848,0.18398848,0.28887068,0.28887068,0.28887068,0.28887068,0.28887068,0.43514516,0.43514516,0.43514516,0.43514516,0.43514516,0.57052804,0.57052804,0.57052804,0.57052804,0.57052804,0.6890838
1952,0.17136389,0.03512196,0.03512196,0.03512196,0.03512196,0.00949717,0.00949717,0.00949717,0.00949717,0.00949717,0.00512693,0.00512693,0.00512693,0.00512693,0.00512693,0.00628052,0.00628052,0.00628052,0.00628052,0.00628052,0.00885561,0.00885561,0.00885561,0.00885561,0.00885561,0.00961512,0.00961512,0.00961512,0.00961512,0.00961512,0.01060735,0.01060735,0.01060735,0.01060735,0.01060735,0.01217538,0.01217538,0.01217538,0.01217538,0.01217538,0.01429185,0.01429185,0.01429185,0.01429185,0.01429185,0.01643546,0.01643546,0.01643546,0.01643546,0.01643546,0.02032575,0.02032575,0.02032575,0.02032575,0.02032575,0.02502863,0.02502863,0.02502863,0.02502863,0.02502863,0.03451713,0.03451713,0.03451713,0.03451713,0.03451713,0.04952138,0.04952138,0.04952138,0.04952138,0.04952138,0.07542185,0.07542185,0.07542185,0.07542185,0.07542185,0.11632903,0.11632903,0.11632903,0.11632903,0.11632903,0.18398848,0.18398848,0.18398848,0.18398848,0.18398848,0.28887068,0.28887068,0.28887068,0.28887068,0.28887068,0.43514516,0.43514516,0.43514516,0.43514516,0.43514516,0.57052804,0.57052804,0.57052804,0.57052804,0.57052804,0.6890838
1953,0.17136389,0.03512196,0.03512196,0.03512196,0.03512196,0.00949717,0.00949717,0.00949717,0.00949717,0.00949717,0.00512693,0.00512693,0.00512693,0.00512693,0.00512693,0.00628052,0.00628052,0.00628052,0.00628052,0.00628052,0.00885561,0.00885561,0.00885561,0.00885561,0.00885561,0.00961512,0.00961512,0.00961512,0.00961512,0.00961512,0.01060735,0.01060735,0.01060735,0.01060735,0.01060735,0.01217538,0.01217538,0.01217538,0.01217538,0.01217538,0.01429185,0.01429185,0.01429185,0.01429185,0.01429185,0.01643546,0.01643546,0.01643546,0.01643546,0.01643546,0.02032575,0.02032575,0.02032575,0.02032575,0.02032575,0.02502863,0.02502863,0.02502863,0.02502863,0.02502863,0.03451713,0.03451713,0.03451713,0.03451713,0.03451713,0.04952138,0.04952138,0.04952138,0.04952138,0.04952138,0.07542185,0.07542185,0.07542185,0.07542185,0.07542185,0.11632903,0.11632903,0.11632903,0.11632903,0.11632903,0.18398848,0.18398848,0.18398848,0.18398848,0.18398848,0.28887068,0.28887068,0.28887068,0.28887068,0.28887068,0.43514516,0.43514516,0.43514516,0.43514516,0.43514516,0.57052804,0.57052804,0.57052804,0.57052804,0.57052804,0.6890838
1954,0.17136389,0.03512196,0.03512196,0.03512196,0.03512196,0.00949717,0.00949717,0.00949717,0.00949717,0.00949717,0.00512693,0.00512693,0.00512693,0.00512693,0.00512693,0.00628052,0.00628052,0.00628052,0.00628052,0.00628052,0.00885561,0.00885561,0.00885561,0.00885561,0.00885561,0.00961512,0.00961512,0.00961512,0.00961512,0.00961512,0.01060735,0.01060735,0.01060735,0.01060735,0.01060735,0.01217538,0.01217538,0.01217538,0.01217538,0.01217538,0.01429185,0.01429185,0.01429185,0.01429185,0.01429185,0.01643546,0.01643546,0.01643546,0.01643546,0.01643546,0.02032575,0.02032575,0.02032575,0.02032575,0.02032575,0.02502863,0.02502863,0.02502863,0.02502863,0.02502863,0.03451713,0.03451713,0.03451713,0.03451713,0.03451713,0.04952138,0.04952138,0.04952138,0.04952138,0.04952138,0.07542185,0.07542185,0.07542185,0.07542185,0.07542185,0.11632903,0.11632903,0.11632903,0.11632903,0.11632903,0.18398848,0.18398848,0.18398848,0.18398848,0.18398848,0.28887068,0.28887068,0.28887068,0.28887068,0.28887068,0.43514516,0.43514516,0.43514516,0.43514516,0.43514516,0.57052804,0.57052804,0.57052804,0.57052804,0.57052804,0.6890838
1955,0.15985536,0.02967669,0.02967669,0.02967669,0.02967669,0.00792163,0.00792163,0.00792163,0.00792163,0.00792163,0.00435726,0.00435726,0.00435726,0.00435726,0.00435726,0.00553316,0.00553316,0.00553316,0.00553316,0.00553316,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.00855873,0.00855873,0.00855873,0.00855873,0.00855873,0.00950489,0.00950489,0.00950489,0.00950489,0.00950489,0.01099639,0.01099639,0.01099639,0.01099639,0.01099639,0.01302172,0.01302172,0.01302172,0.01302172,0.01302172,0.01517908,0.01517908,0.01517908,0.01517908,0.01517908,0.01911381,0.01911381,0.01911381,0.01911381,0.01911381,0.02381594,0.02381594,0.02381594,0.02381594,0.02381594,0.0332901,0.0332901,0.0332901,0.0332901,0.0332901,0.04833241,0.04833241,0.04833241,0.04833241,0.04833241,0.0742516,0.0742516,0.0742516,0.0742516,0.0742516,0.11565969,0.11565969,0.11565969,0.11565969,0.11565969,0.18449752,0.18449752,0.18449752,0.18449752,0.18449752,0.29226141,0.29226141,0.29226141,0.29226141,0.29226141,0.44579849,0.44579849,0.44579849,0.44579849,0.44579849,0.59066469,0.59066469,0.59066469,0.59066469,0.59066469,0.72048191
1956,0.15985536,0.02967669,0.02967669,0.02967669,0.02967669,0.00792163,0.00792163,0.00792163,0.00792163,0.00792163,0.00435726,0.00435726,0.00435726,0.00435726,0.00435726,0.00553316,0.00553316,0.00553316,0.00553316,0.00553316,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.00855873,0.00855873,0.00855873,0.00855873,0.00855873,0.00950489,0.00950489,0.00950489,0.00950489,0.00950489,0.01099639,0.01099639,0.01099639,0.01099639,0.01099639,0.01302172,0.01302172,0.01302172,0.01302172,0.01302172,0.01517908,0.01517908,0.01517908,0.01517908,0.01517908,0.01911381,0.01911381,0.01911381,0.01911381,0.01911381,0.02381594,0.02381594,0.02381594,0.02381594,0.02381594,0.0332901,0.0332901,0.0332901,0.0332901,0.0332901,0.04833241,0.04833241,0.04833241,0.04833241,0.04833241,0.0742516,0.0742516,0.0742516,0.0742516,0.0742516,0.11565969,0.11565969,0.11565969,0.11565969,0.11565969,0.18449752,0.18449752,0.18449752,0.18449752,0.18449752,0.29226141,0.29226141,0.29226141,0.29226141,0.29226141,0.44579849,0.44579849,0.44579849,0.44579849,0.44579849,0.59066469,0.59066469,0.59066469,0.59066469,0.59066469,0.72048191
1957,0.15985536,0.02967669,0.02967669,0.02967669,0.02967669,0.00792163,0.00792163,0.00792163,0.00792163,0.00792163,0.00435726,0.00435726,0.00435726,0.00435726,0.00435726,0.00553316,0.00553316,0.00553316,0.00553316,0.00553316,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.00855873,0.00855873,0.00855873,0.00855873,0.00855873,0.00950489,0.00950489,0.00950489,0.00950489,0.00950489,0.01099639,0.01099639,0.01099639,0.01099639,0.01099639,0.01302172,0.01302172,0.01302172,0.01302172,0.01302172,0.01517908,0.01517908,0.01517908,0.01517908,0.01517908,0.01911381,0.01911381,0.01911381,0.01911381,0.01911381,0.02381594,0.02381594,0.02381594,0.02381594,0.02381594,0.0332901,0.0332901,0.0332901,0.0332901,0.0332901,0.04833241,0.04833241,0.04833241,0.04833241,0.04833241,0.0742516,0.0742516,0.0742516,0.0742516,0.0742516,0.11565969,0.11565969,0.11565969,0.11565969,0.11565969,0.18449752,0.18449752,0.18449752,0.18449752,0.18449752,0.29226141,0.29226141,0.29226141,0.29226141,0.29226141,0.44579849,0.44579849,0.44579849,0.44579849,0.44579849,0.59066469,0.59066469,0.59066469,0.59066469,0.59066469,0.72048191
1958,0.15985536,0.02967669,0.02967669,0.02967669,0.02967669,0.00792163,0.00792163,0.00792163,0.00792163,0.00792163,0.00435726,0.00435726,0.00435726,0.00435726,0.00435726,0.00553316,0.00553316,0.00553316,0.00553316,0.00553316,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.00855873,0.00855873,0.00855873,0.00855873,0.00855873,0.00950489,0.00950489,0.00950489,0.00950489,0.00950489,0.01099639,0.01099639,0.01099639,0.01099639,0.01099639,0.01302172,0.01302172,0.01302172,0.01302172,0.01302172,0.01517908,0.01517908,0.01517908,0.01517908,0.01517908,0.01911381,0.01911381,0.01911381,0.01911381,0.01911381,0.02381594,0.02381594,0.02381594,0.02381594,0.02381594,0.0332901,0.0332901,0.0332901,0.0332901,0.0332901,0.04833241,0.04833241,0.04833241,0.04833241,0.04833241,0.0742516,0.0742516,0.0742516,0.0742516,0.0742516,0.11565969,0.11565969,0.11565969,0.11565969,0.11565969,0.18449752,0.18449752,0.18449752,0.18449752,0.18449752,0.29226141,0.29226141,0.29226141,0.29226141,0.29226141,0.44579849,0.44579849,0.44579849,0.44579849,0.44579849,0.59066469,0.59066469,0.59066469,0.59066469,0.59066469,0.72048191
1959,0.15985536,0.02967669,0.02967669,0.02967669,0.02967669,0.00792163,0.00792163,0.00792163,0.00792163,0.00792163,0.00435726,0.00435726,0.00435726,0.00435726,0.00435726,0.00553316,0.00553316,0.00553316,0.00553316,0.00553316,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.007863600000000002,0.00855873,0.00855873,0.00855873,0.00855873,0.00855873,0.00950489,0.00950489,0.00950489,0.00950489,0.00950489,0.01099639,0.01099639,0.01099639,0.01099639,0.01099639,0.01302172,0.01302172,0.01302172,0.01302172,0.01302172,0.01517908,0.01517908,0.01517908,0.01517908,0.01517908,0.01911381,0.01911381,0.01911381,0.01911381,0.01911381,0.02381594,0.02381594,0.02381594,0.02381594,0.02381594,0.0332901,0.0332901,0.0332901,0.0332901,0.0332901,0.04833241,0.04833241,0.04833241,0.04833241,0.04833241,0.0742516,0.0742516,0.0742516,0.0742516,0.0742516,0.11565969,0.11565969,0.11565969,0.11565969,0.11565969,0.18449752,0.18449752,0.18449752,0.18449752,0.18449752,0.29226141,0.29226141,0.29226141,0.29226141,0.29226141,0.44579849,0.44579849,0.44579849,0.44579849,0.44579849,0.59066469,0.59066469,0.59066469,0.59066469,0.59066469,0.72048191
