Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.16262011,0.02491797,0.02491797,0.02491797,0.02491797,0.00660341,0.00660341,0.00660341,0.00660341,0.00660341,0.00397277,0.00397277,0.00397277,0.00397277,0.00397277,0.00543437,0.00543437,0.00543437,0.00543437,0.00543437,0.00750134,0.00750134,0.00750134,0.00750134,0.00750134,0.00806729,0.00806729,0.00806729,0.00806729,0.00806729,0.00888584,0.00888584,0.00888584,0.00888584,0.00888584,0.01014768,0.01014768,0.01014768,0.01014768,0.01014768,0.01183646,0.01183646,0.01183646,0.01183646,0.01183646,0.01384835,0.01384835,0.01384835,0.01384835,0.01384835,0.01779463,0.01779463,0.01779463,0.01779463,0.01779463,0.02316207,0.02316207,0.02316207,0.02316207,0.02316207,0.04309687,0.04309687,0.04309687,0.04309687,0.04309687,0.08042962,0.08042962,0.08042962,0.08042962,0.08042962,0.13731297,0.13731297,0.13731297,0.13731297,0.13731297,0.20020054,0.20020054,0.20020054,0.20020054,0.20020054,0.29011559,0.29011559,0.29011559,0.29011559,0.29011559,0.40875832,0.40875832,0.40875832,0.40875832,0.40875832,0.55169736,0.55169736,0.55169736,0.55169736,0.55169736,0.73948727,0.73948727,0.73948727,0.73948727,0.73948727,0.94517985
1951,0.16262011,0.02491797,0.02491797,0.02491797,0.02491797,0.00660341,0.00660341,0.00660341,0.00660341,0.00660341,0.00397277,0.00397277,0.00397277,0.00397277,0.00397277,0.00543437,0.00543437,0.00543437,0.00543437,0.00543437,0.00750134,0.00750134,0.00750134,0.00750134,0.00750134,0.00806729,0.00806729,0.00806729,0.00806729,0.00806729,0.00888584,0.00888584,0.00888584,0.00888584,0.00888584,0.01014768,0.01014768,0.01014768,0.01014768,0.01014768,0.01183646,0.01183646,0.01183646,0.01183646,0.01183646,0.01384835,0.01384835,0.01384835,0.01384835,0.01384835,0.01779463,0.01779463,0.01779463,0.01779463,0.01779463,0.02316207,0.02316207,0.02316207,0.02316207,0.02316207,0.04309687,0.04309687,0.04309687,0.04309687,0.04309687,0.08042962,0.08042962,0.08042962,0.08042962,0.08042962,0.13731297,0.13731297,0.13731297,0.13731297,0.13731297,0.20020054,0.20020054,0.20020054,0.20020054,0.20020054,0.29011559,0.29011559,0.29011559,0.29011559,0.29011559,0.40875832,0.40875832,0.40875832,0.40875832,0.40875832,0.55169736,0.55169736,0.55169736,0.55169736,0.55169736,0.73948727,0.73948727,0.73948727,0.73948727,0.73948727,0.94517985
1952,0.16262011,0.02491797,0.02491797,0.02491797,0.02491797,0.00660341,0.00660341,0.00660341,0.00660341,0.00660341,0.00397277,0.00397277,0.00397277,0.00397277,0.00397277,0.00543437,0.00543437,0.00543437,0.00543437,0.00543437,0.00750134,0.00750134,0.00750134,0.00750134,0.00750134,0.00806729,0.00806729,0.00806729,0.00806729,0.00806729,0.00888584,0.00888584,0.00888584,0.00888584,0.00888584,0.01014768,0.01014768,0.01014768,0.01014768,0.01014768,0.01183646,0.01183646,0.01183646,0.01183646,0.01183646,0.01384835,0.01384835,0.01384835,0.01384835,0.01384835,0.01779463,0.01779463,0.01779463,0.01779463,0.01779463,0.02316207,0.02316207,0.02316207,0.02316207,0.02316207,0.04309687,0.04309687,0.04309687,0.04309687,0.04309687,0.08042962,0.08042962,0.08042962,0.08042962,0.08042962,0.13731297,0.13731297,0.13731297,0.13731297,0.13731297,0.20020054,0.20020054,0.20020054,0.20020054,0.20020054,0.29011559,0.29011559,0.29011559,0.29011559,0.29011559,0.40875832,0.40875832,0.40875832,0.40875832,0.40875832,0.55169736,0.55169736,0.55169736,0.55169736,0.55169736,0.73948727,0.73948727,0.73948727,0.73948727,0.73948727,0.94517985
1953,0.16262011,0.02491797,0.02491797,0.02491797,0.02491797,0.00660341,0.00660341,0.00660341,0.00660341,0.00660341,0.00397277,0.00397277,0.00397277,0.00397277,0.00397277,0.00543437,0.00543437,0.00543437,0.00543437,0.00543437,0.00750134,0.00750134,0.00750134,0.00750134,0.00750134,0.00806729,0.00806729,0.00806729,0.00806729,0.00806729,0.00888584,0.00888584,0.00888584,0.00888584,0.00888584,0.01014768,0.01014768,0.01014768,0.01014768,0.01014768,0.01183646,0.01183646,0.01183646,0.01183646,0.01183646,0.01384835,0.01384835,0.01384835,0.01384835,0.01384835,0.01779463,0.01779463,0.01779463,0.01779463,0.01779463,0.02316207,0.02316207,0.02316207,0.02316207,0.02316207,0.04309687,0.04309687,0.04309687,0.04309687,0.04309687,0.08042962,0.08042962,0.08042962,0.08042962,0.08042962,0.13731297,0.13731297,0.13731297,0.13731297,0.13731297,0.20020054,0.20020054,0.20020054,0.20020054,0.20020054,0.29011559,0.29011559,0.29011559,0.29011559,0.29011559,0.40875832,0.40875832,0.40875832,0.40875832,0.40875832,0.55169736,0.55169736,0.55169736,0.55169736,0.55169736,0.73948727,0.73948727,0.73948727,0.73948727,0.73948727,0.94517985
1954,0.16262011,0.02491797,0.02491797,0.02491797,0.02491797,0.00660341,0.00660341,0.00660341,0.00660341,0.00660341,0.00397277,0.00397277,0.00397277,0.00397277,0.00397277,0.00543437,0.00543437,0.00543437,0.00543437,0.00543437,0.00750134,0.00750134,0.00750134,0.00750134,0.00750134,0.00806729,0.00806729,0.00806729,0.00806729,0.00806729,0.00888584,0.00888584,0.00888584,0.00888584,0.00888584,0.01014768,0.01014768,0.01014768,0.01014768,0.01014768,0.01183646,0.01183646,0.01183646,0.01183646,0.01183646,0.01384835,0.01384835,0.01384835,0.01384835,0.01384835,0.01779463,0.01779463,0.01779463,0.01779463,0.01779463,0.02316207,0.02316207,0.02316207,0.02316207,0.02316207,0.04309687,0.04309687,0.04309687,0.04309687,0.04309687,0.08042962,0.08042962,0.08042962,0.08042962,0.08042962,0.13731297,0.13731297,0.13731297,0.13731297,0.13731297,0.20020054,0.20020054,0.20020054,0.20020054,0.20020054,0.29011559,0.29011559,0.29011559,0.29011559,0.29011559,0.40875832,0.40875832,0.40875832,0.40875832,0.40875832,0.55169736,0.55169736,0.55169736,0.55169736,0.55169736,0.73948727,0.73948727,0.73948727,0.73948727,0.73948727,0.94517985
1955,0.14702977,0.02068466,0.02068466,0.02068466,0.02068466,0.00570343,0.00570343,0.00570343,0.00570343,0.00570343,0.00351299,0.00351299,0.00351299,0.00351299,0.00351299,0.00491196,0.00491196,0.00491196,0.00491196,0.00491196,0.00677032,0.00677032,0.00677032,0.00677032,0.00677032,0.00730286,0.00730286,0.00730286,0.00730286,0.00730286,0.0080823,0.0080823,0.0080823,0.0080823,0.0080823,0.00932194,0.00932194,0.00932194,0.00932194,0.00932194,0.01100514,0.01100514,0.01100514,0.01100514,0.01100514,0.01314574,0.01314574,0.01314574,0.01314574,0.01314574,0.01711006,0.01711006,0.01711006,0.01711006,0.01711006,0.02248204,0.02248204,0.02248204,0.02248204,0.02248204,0.04181957,0.04181957,0.04181957,0.04181957,0.04181957,0.07838006,0.07838006,0.07838006,0.07838006,0.07838006,0.13394245,0.13394245,0.13394245,0.13394245,0.13394245,0.19672875,0.19672875,0.19672875,0.19672875,0.19672875,0.28697546,0.28697546,0.28697546,0.28697546,0.28697546,0.40569029,0.40569029,0.40569029,0.40569029,0.40569029,0.55167304,0.55167304,0.55167304,0.55167304,0.55167304,0.74220568,0.74220568,0.74220568,0.74220568,0.74220568,0.95053266
1956,0.14702977,0.02068466,0.02068466,0.02068466,0.02068466,0.00570343,0.00570343,0.00570343,0.00570343,0.00570343,0.00351299,0.00351299,0.00351299,0.00351299,0.00351299,0.00491196,0.00491196,0.00491196,0.00491196,0.00491196,0.00677032,0.00677032,0.00677032,0.00677032,0.00677032,0.00730286,0.00730286,0.00730286,0.00730286,0.00730286,0.0080823,0.0080823,0.0080823,0.0080823,0.0080823,0.00932194,0.00932194,0.00932194,0.00932194,0.00932194,0.01100514,0.01100514,0.01100514,0.01100514,0.01100514,0.01314574,0.01314574,0.01314574,0.01314574,0.01314574,0.01711006,0.01711006,0.01711006,0.01711006,0.01711006,0.02248204,0.02248204,0.02248204,0.02248204,0.02248204,0.04181957,0.04181957,0.04181957,0.04181957,0.04181957,0.07838006,0.07838006,0.07838006,0.07838006,0.07838006,0.13394245,0.13394245,0.13394245,0.13394245,0.13394245,0.19672875,0.19672875,0.19672875,0.19672875,0.19672875,0.28697546,0.28697546,0.28697546,0.28697546,0.28697546,0.40569029,0.40569029,0.40569029,0.40569029,0.40569029,0.55167304,0.55167304,0.55167304,0.55167304,0.55167304,0.74220568,0.74220568,0.74220568,0.74220568,0.74220568,0.95053266
1957,0.14702977,0.02068466,0.02068466,0.02068466,0.02068466,0.00570343,0.00570343,0.00570343,0.00570343,0.00570343,0.00351299,0.00351299,0.00351299,0.00351299,0.00351299,0.00491196,0.00491196,0.00491196,0.00491196,0.00491196,0.00677032,0.00677032,0.00677032,0.00677032,0.00677032,0.00730286,0.00730286,0.00730286,0.00730286,0.00730286,0.0080823,0.0080823,0.0080823,0.0080823,0.0080823,0.00932194,0.00932194,0.00932194,0.00932194,0.00932194,0.01100514,0.01100514,0.01100514,0.01100514,0.01100514,0.01314574,0.01314574,0.01314574,0.01314574,0.01314574,0.01711006,0.01711006,0.01711006,0.01711006,0.01711006,0.02248204,0.02248204,0.02248204,0.02248204,0.02248204,0.04181957,0.04181957,0.04181957,0.04181957,0.04181957,0.07838006,0.07838006,0.07838006,0.07838006,0.07838006,0.13394245,0.13394245,0.13394245,0.13394245,0.13394245,0.19672875,0.19672875,0.19672875,0.19672875,0.19672875,0.28697546,0.28697546,0.28697546,0.28697546,0.28697546,0.40569029,0.40569029,0.40569029,0.40569029,0.40569029,0.55167304,0.55167304,0.55167304,0.55167304,0.55167304,0.74220568,0.74220568,0.74220568,0.74220568,0.74220568,0.95053266
1958,0.14702977,0.02068466,0.02068466,0.02068466,0.02068466,0.00570343,0.00570343,0.00570343,0.00570343,0.00570343,0.00351299,0.00351299,0.00351299,0.00351299,0.00351299,0.00491196,0.00491196,0.00491196,0.00491196,0.00491196,0.00677032,0.00677032,0.00677032,0.00677032,0.00677032,0.00730286,0.00730286,0.00730286,0.00730286,0.00730286,0.0080823,0.0080823,0.0080823,0.0080823,0.0080823,0.00932194,0.00932194,0.00932194,0.00932194,0.00932194,0.01100514,0.01100514,0.01100514,0.01100514,0.01100514,0.01314574,0.01314574,0.01314574,0.01314574,0.01314574,0.01711006,0.01711006,0.01711006,0.01711006,0.01711006,0.02248204,0.02248204,0.02248204,0.02248204,0.02248204,0.04181957,0.04181957,0.04181957,0.04181957,0.04181957,0.07838006,0.07838006,0.07838006,0.07838006,0.07838006,0.13394245,0.13394245,0.13394245,0.13394245,0.13394245,0.19672875,0.19672875,0.19672875,0.19672875,0.19672875,0.28697546,0.28697546,0.28697546,0.28697546,0.28697546,0.40569029,0.40569029,0.40569029,0.40569029,0.40569029,0.55167304,0.55167304,0.55167304,0.55167304,0.55167304,0.74220568,0.74220568,0.74220568,0.74220568,0.74220568,0.95053266
1959,0.14702977,0.02068466,0.02068466,0.02068466,0.02068466,0.00570343,0.00570343,0.00570343,0.00570343,0.00570343,0.00351299,0.00351299,0.00351299,0.00351299,0.00351299,0.00491196,0.00491196,0.00491196,0.00491196,0.00491196,0.00677032,0.00677032,0.00677032,0.00677032,0.00677032,0.00730286,0.00730286,0.00730286,0.00730286,0.00730286,0.0080823,0.0080823,0.0080823,0.0080823,0.0080823,0.00932194,0.00932194,0.00932194,0.00932194,0.00932194,0.01100514,0.01100514,0.01100514,0.01100514,0.01100514,0.01314574,0.01314574,0.01314574,0.01314574,0.01314574,0.01711006,0.01711006,0.01711006,0.01711006,0.01711006,0.02248204,0.02248204,0.02248204,0.02248204,0.02248204,0.04181957,0.04181957,0.04181957,0.04181957,0.04181957,0.07838006,0.07838006,0.07838006,0.07838006,0.07838006,0.13394245,0.13394245,0.13394245,0.13394245,0.13394245,0.19672875,0.19672875,0.19672875,0.19672875,0.19672875,0.28697546,0.28697546,0.28697546,0.28697546,0.28697546,0.40569029,0.40569029,0.40569029,0.40569029,0.40569029,0.55167304,0.55167304,0.55167304,0.55167304,0.55167304,0.74220568,0.74220568,0.74220568,0.74220568,0.74220568,0.95053266
