Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,663,592,533,487,451,424,405,393,387,384,386,393,396,392,382,376,369,364,359,355,350,342,338,340,344,346,351,343,316,279,243,206,177,162,156,149,143,138,133,129,127,126,124,121,116,113,109,106,104,102,100,97,96,98,100,102,104,105,102,98,94,90,85,79,73,67,61,55,51,48,45,42,39,36,34,32,30,28,25,23,20,17,15,13,11,10,8,7,6,4,3,2,2,1,1,0,0,0,0,0,0
1951,640,640,577,525,482,448,421,401,388,382,380,383,389,391,386,376,367,360,354,349,345,341,334,330,332,336,340,344,337,311,274,239,203,174,160,154,147,140,135,131,127,126,125,124,120,115,111,107,104,102,100,98,95,94,96,98,100,102,102,99,95,91,87,82,76,70,64,58,52,48,45,42,39,36,33,31,29,27,25,23,20,17,15,12,11,9,8,7,6,5,3,2,2,1,1,0,0,0,0,0,0
1952,637,603,619,565,518,479,447,421,399,385,379,378,381,387,389,382,370,361,353,345,341,338,333,327,324,326,331,334,339,333,308,271,237,201,173,158,152,145,138,133,129,126,125,125,124,120,115,110,106,102,100,98,96,94,93,94,96,98,99,100,97,93,88,84,79,74,68,62,55,50,46,43,39,36,33,31,29,27,25,23,20,17,15,12,10,8,7,6,5,4,4,3,2,1,1,1,0,0,0,0,0
1953,649,623,596,599,553,512,477,446,420,397,382,376,376,379,385,386,378,366,355,345,337,332,330,326,320,318,320,325,329,335,329,304,269,235,200,172,157,151,143,136,130,127,125,125,125,124,120,114,109,104,100,98,96,94,92,92,92,94,96,97,97,95,90,86,81,76,71,65,59,53,47,43,40,37,33,30,28,26,24,22,20,18,15,12,9,7,6,5,4,4,3,2,2,1,1,1,0,0,0,0,0
1954,670,647,622,595,579,541,506,474,446,420,395,379,373,374,377,382,383,374,360,349,338,329,324,322,318,313,311,314,320,324,330,324,300,266,232,198,171,156,149,141,134,128,125,124,124,125,125,120,114,108,103,99,96,94,93,91,90,91,92,94,95,95,92,88,83,79,74,68,62,56,50,45,41,37,34,31,28,25,23,21,20,18,15,12,9,7,4,3,3,3,2,2,1,1,1,0,0,0,0,0,0
1955,699,674,647,619,589,559,529,499,471,445,419,393,375,370,372,375,380,380,370,355,342,330,320,315,314,311,306,305,308,314,319,325,320,297,262,230,196,169,154,148,139,131,126,123,123,123,125,125,120,113,107,101,97,94,93,91,89,89,89,91,92,93,93,90,85,81,76,71,65,60,54,48,42,38,35,31,28,25,22,20,18,17,15,12,9,7,4,2,1,1,1,1,1,0,0,0,0,0,0,0,0
1956,731,689,663,637,609,581,553,525,498,470,442,416,390,371,365,366,368,372,371,361,347,334,322,313,309,308,306,302,301,305,310,315,322,317,294,260,227,193,166,152,146,139,131,126,123,122,122,123,123,118,111,105,100,95,92,91,90,88,88,88,89,90,91,90,87,83,78,73,68,62,57,51,45,40,36,32,29,26,23,20,18,16,14,12,10,8,5,3,2,1,1,1,1,1,0,0,0,0,0,0,0
1957,765,728,679,652,626,599,572,546,521,496,468,440,413,386,367,360,360,361,363,362,352,338,326,314,306,302,302,300,297,297,301,307,312,319,314,291,257,224,190,164,150,144,138,131,126,123,121,121,121,120,116,109,103,98,93,91,90,89,87,86,87,87,88,89,88,85,80,75,70,65,59,54,48,42,37,33,30,26,23,20,18,15,13,12,10,8,6,4,2,1,1,1,1,0,0,0,0,0,0,0,0
1958,797,754,714,668,641,615,589,564,540,518,494,467,438,411,383,364,355,355,354,355,353,343,329,318,307,298,295,296,295,292,292,297,303,309,316,311,288,254,221,187,161,148,143,137,131,126,123,121,119,120,118,113,107,101,96,91,89,88,87,86,85,85,86,86,87,86,82,77,72,67,61,56,51,45,40,35,31,27,24,21,18,15,13,11,9,7,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0
1959,826,779,736,696,659,631,605,580,556,534,515,493,466,436,408,380,360,351,349,347,348,344,335,321,310,299,291,289,290,289,288,289,294,300,306,313,308,286,251,219,185,158,145,142,136,131,127,123,120,118,118,116,111,105,99,94,90,88,87,86,85,84,84,84,85,85,83,80,74,69,64,58,53,48,42,37,32,28,25,22,19,16,13,11,8,6,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0
1960,852,802,757,717,682,650,621,595,571,549,529,512,492,465,434,406,378,357,347,344,341,340,336,326,313,302,292,285,283,284,285,284,285,290,297,303,311,306,283,249,216,182,156,143,140,135,131,127,123,120,117,116,114,109,103,98,92,88,86,86,85,84,83,83,83,83,83,81,77,72,66,61,55,50,45,40,34,29,26,22,19,16,14,11,8,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0
1961,867,832,788,747,710,676,645,616,590,567,545,525,508,487,459,428,398,369,348,337,335,332,332,328,319,307,296,287,280,279,281,281,281,282,287,294,299,306,302,280,246,215,181,156,143,139,134,129,125,121,117,115,114,112,107,101,96,91,87,85,84,83,82,81,81,80,80,80,78,74,68,63,57,52,47,42,37,32,27,23,20,17,14,11,9,7,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0
1962,877,834,815,775,738,703,671,641,612,586,563,541,522,504,483,454,422,391,361,339,329,326,324,324,321,312,301,291,282,277,275,277,278,278,280,285,291,296,303,298,276,244,213,181,156,143,138,133,127,122,119,115,113,112,110,106,100,95,90,86,84,83,81,80,79,78,78,77,77,75,71,65,60,54,49,44,39,34,29,25,21,17,14,11,9,7,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0
1963,881,846,812,798,763,729,697,667,638,609,583,560,539,519,501,479,450,416,385,353,330,320,318,316,316,314,306,295,286,278,273,272,274,276,276,278,282,288,293,299,294,273,242,212,180,156,143,138,131,125,120,116,113,111,110,108,104,98,94,89,85,83,81,80,78,77,76,75,74,74,72,67,62,57,51,46,41,36,31,27,22,18,15,12,9,6,5,3,3,2,1,0,0,0,0,0,0,0,0,0,0
1964,878,852,825,798,781,751,721,692,663,635,606,580,557,536,516,499,476,445,411,378,346,322,312,310,309,309,307,300,289,281,274,269,269,272,273,273,275,280,285,290,296,291,271,240,211,180,156,143,137,130,124,118,114,111,109,108,107,103,97,92,88,84,82,80,78,76,75,74,73,72,71,69,64,59,53,48,42,38,33,29,24,20,16,13,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0,0,0
1965,870,853,833,812,789,765,739,713,686,659,632,603,577,554,534,514,496,473,441,406,372,338,314,303,302,301,302,300,293,284,276,270,266,266,269,271,271,273,278,283,287,292,288,268,238,210,180,156,143,137,129,122,116,112,109,107,107,105,101,96,91,87,83,81,79,77,74,73,71,70,69,68,65,61,56,50,45,39,35,30,26,22,18,14,10,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,854,856,841,823,803,782,758,734,708,682,655,627,599,572,549,527,506,487,463,432,397,363,330,306,296,296,296,297,297,290,281,274,267,263,263,266,267,268,270,275,280,285,291,286,266,236,207,177,153,140,134,127,120,114,110,108,106,105,103,99,94,89,85,81,79,77,75,72,70,69,67,66,64,62,57,52,46,41,36,31,27,22,18,14,11,8,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1967,834,834,842,829,814,795,775,753,729,704,678,652,624,595,568,544,521,499,479,454,423,388,355,322,299,290,290,291,293,293,287,278,271,265,261,261,263,265,264,266,272,278,283,289,285,265,235,206,175,151,138,132,125,118,113,109,106,104,103,101,97,92,88,83,80,77,75,73,70,68,66,64,63,61,58,54,48,43,37,32,27,23,19,15,11,8,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0
1968,812,820,822,829,819,805,788,769,748,725,701,675,648,620,591,564,539,515,492,471,446,414,380,347,315,292,283,285,286,290,290,285,276,269,263,259,259,261,262,261,263,269,275,281,288,284,264,233,204,173,148,135,130,123,116,111,107,104,102,102,100,96,91,86,82,78,75,73,71,68,66,64,62,60,58,54,50,44,39,34,29,24,20,16,11,8,6,4,3,2,1,0,0,0,0,0,0,0,0,0,0
1969,790,803,811,814,817,808,796,781,763,743,721,697,672,645,617,588,560,534,510,486,463,437,406,372,339,307,285,277,279,281,286,287,282,273,267,261,257,257,258,259,258,260,266,273,279,287,284,263,232,202,171,146,133,128,121,115,109,106,103,101,100,98,94,89,84,80,76,73,71,69,66,64,61,59,57,54,51,46,41,35,30,25,20,16,12,8,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0
1970,770,786,798,804,806,804,797,787,774,758,739,717,694,669,642,614,585,556,530,504,479,455,429,397,363,331,300,278,271,274,277,282,284,279,271,264,259,255,255,256,257,255,257,263,271,278,286,283,262,230,200,169,144,131,126,119,113,108,104,101,99,98,97,93,87,83,78,74,71,69,67,64,62,59,56,53,51,47,43,37,32,26,21,17,13,9,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1971,751,764,778,789,795,798,797,793,785,771,753,734,711,687,662,635,606,577,548,521,496,471,447,421,390,357,326,295,274,268,271,274,280,282,277,268,262,256,252,252,254,255,255,256,262,269,275,283,279,259,227,198,166,142,129,124,117,110,106,102,99,98,97,95,91,86,81,76,72,69,66,64,61,59,56,53,50,47,43,39,33,28,22,18,14,10,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0
1972,735,750,758,770,780,786,790,791,789,782,768,749,728,705,681,654,627,598,568,540,513,487,462,439,413,383,351,321,291,271,265,268,272,278,280,275,266,259,253,249,250,252,254,254,256,261,268,273,280,276,255,225,195,164,140,127,122,115,108,103,100,97,96,96,94,90,84,79,74,69,66,64,61,59,56,53,49,46,43,39,35,29,24,18,14,10,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0
1973,726,737,746,752,762,771,778,782,784,785,780,766,745,723,699,674,647,620,591,560,531,504,479,454,431,405,376,345,316,287,267,261,265,269,275,278,273,264,257,250,246,247,250,252,253,255,260,266,271,277,272,252,222,192,162,138,125,119,113,106,101,98,96,94,95,93,89,83,77,71,67,64,61,58,56,53,50,46,43,39,36,30,25,20,14,10,7,5,4,2,1,0,0,0,0,0,0,0,0,0,0
1974,731,733,736,741,746,754,762,768,774,778,781,777,763,741,718,693,667,640,612,583,552,523,496,471,446,423,398,369,339,311,282,263,258,262,266,273,276,271,261,254,247,243,244,248,251,252,255,259,264,268,274,269,249,219,190,160,136,123,117,110,103,98,95,94,93,93,92,87,81,75,69,64,61,58,56,53,50,46,43,39,36,32,26,21,15,10,6,4,3,2,1,1,0,0,0,0,0,0,0,0,0
1975,755,742,736,733,735,739,745,752,759,765,770,776,774,759,736,712,687,660,632,604,574,543,514,487,462,437,414,390,362,332,305,278,260,255,259,264,270,273,268,259,251,244,240,242,246,249,251,254,258,262,266,271,265,245,215,187,157,134,121,115,108,101,96,93,92,91,92,91,86,79,73,67,62,58,56,53,50,47,43,39,35,32,28,22,17,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,802,750,736,729,727,729,735,743,751,757,762,766,770,766,751,727,702,676,649,621,592,563,532,502,476,452,429,407,384,357,329,302,276,259,254,258,262,268,271,266,257,250,244,240,241,245,248,249,251,256,260,263,268,262,242,212,184,154,131,118,112,105,98,93,90,88,88,88,86,82,75,69,63,58,54,52,49,46,43,39,35,31,27,23,19,14,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0
1977,867,812,743,728,721,719,723,730,740,749,755,757,759,762,757,741,716,691,665,637,608,580,550,519,490,465,442,420,400,377,351,324,299,274,257,252,256,259,265,267,263,255,249,243,240,241,244,246,246,248,252,256,260,264,259,239,209,181,151,127,115,109,102,95,90,87,85,84,84,82,77,71,65,59,54,50,47,44,42,38,35,31,27,23,19,15,11,7,4,1,0,0,0,0,0,0,0,0,0,0,0
