Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,2357,2266,2172,2076,1980,1885,1793,1705,1622,1545,1472,1398,1349,1336,1346,1354,1367,1369,1348,1312,1280,1250,1211,1159,1099,1039,974,922,891,873,854,837,808,757,694,636,578,533,508,496,484,474,468,463,461,459,457,457,461,466,470,478,466,423,362,304,243,202,194,207,217,227,235,237,234,233,235,229,213,190,168,145,124,109,98,86,74,63,53,43,34,26,20,15,12,9,6,5,3,2,1,1,1,1,0,0,0,0,0,0,0
1951,3035,2398,2284,2176,2072,1974,1882,1797,1715,1635,1559,1488,1418,1374,1367,1383,1399,1418,1423,1400,1359,1322,1287,1243,1188,1125,1062,993,939,909,893,876,862,834,782,717,657,598,551,525,514,501,491,483,479,476,474,472,472,476,480,484,492,480,436,372,313,249,207,198,211,221,231,239,240,236,235,236,230,213,189,166,141,120,105,93,81,69,58,48,39,31,23,17,13,10,7,6,4,3,2,1,1,1,1,0,0,0,0,0,0
1952,3421,3055,2342,2211,2092,1984,1886,1801,1727,1656,1581,1509,1444,1382,1344,1344,1366,1387,1413,1421,1397,1352,1312,1273,1226,1169,1106,1042,973,919,890,878,863,852,826,776,712,653,594,548,523,511,498,487,480,475,473,471,468,468,472,476,480,487,474,430,368,308,246,203,194,207,216,226,233,234,229,227,228,221,203,180,156,132,111,95,84,72,60,50,41,33,25,19,14,10,8,6,4,3,2,1,1,1,1,0,0,0,0,0,0
1953,3596,3171,2811,2254,2107,1979,1868,1774,1695,1634,1574,1506,1439,1381,1326,1296,1302,1330,1357,1388,1399,1374,1327,1283,1241,1191,1133,1071,1006.9999999999999,938,886,859,849,838,830,807,759,696,639,582,538,512,501,488,477,470,465,462,460,458,458,461,465,468,475,462,419,358,300,238,197,188,200,208,217,224,224,219,217,216,209,192,168,145,121,100,85,74,62,51,41,33,26,20,15,11,8,6,4,3,2,2,1,1,1,0,0,0,0,0,0
1954,3650,3213,2840,2527,2169,2005.9999999999998,1869,1757,1664,1593,1544,1494,1434,1371,1319,1272,1249,1261,1295,1327,1364,1377,1352,1302,1255,1209,1157,1099,1038,974,905,853,829,822,813,808,789,743,681,626,571,527,503,491,479,468,460,455,453,451,448,448,450,454,457,463,451,408,349,292,232,191,182,193,201,209,215,214,209,206,205,198,180,157,133,110,89,74,64,53,42,33,26,20,15,11,8,5,4,3,2,2,1,1,1,0,0,0,0,0,0
1955,3661,3247,2889,2582,2321,2103,1923,1778,1662,1571,1506,1468,1428,1374,1315,1270,1229,1213,1232,1271,1309,1351,1367,1342,1288,1238,1189,1134,1074,1012.9999999999999,949,880,829,807,802,796,794,777,733,672,618,564,521,497,486,473,462,454,449,447,445,442,441,444,447,449,456,443,401,342,286,227,186,177,188,195,203,208,207,201,198,196,188,170,147,124,100,79,65,55,44,34,25,19,14,10,7,4,3,1,1,1,1,1,0,0,0,0,0,0,0
1956,3522,3462,3094,2767,2482,2234,2020,1836,1691,1589,1521,1474,1450,1425,1388,1346,1316,1291,1284,1301,1332,1362,1395,1401,1365,1301,1241,1180,1115,1050,984,916,843,790,767,764,759,759,743,701,643,590,538,497,474,463,451,440,433,428,425,423,420,420,422,424,426,431,419,379,323,270,213,174,165,175,182,189,193,191,184,179,176,168,151,129,108,86,67,54,45,36,28,21,15,11,8,5,4,2,1,1,1,1,0,0,0,0,0,0,0
1957,3498,3220,3356,3022,2718,2446,2205,1990,1796,1649,1559,1511,1479,1467,1456,1434,1407,1392,1380,1381,1398,1422,1444,1469,1466,1420,1345,1273,1200,1124,1051,980,907,829,772,749,746,742,744,730,688,630,578,527,487,464,453,441,431,423,418,415,413,410,409,411,413,414,419,406,367,313,260,205,167,158,167,173,180,183,180,172,166,162,153,137,116,95,74,57,45,38,30,23,17,12,9,6,4,3,2,1,1,1,1,0,0,0,0,0,0
1958,3622,3407,3188,3323,3016,2728,2463,2223,2001.9999999999998,1796,1644,1563,1533,1515,1516,1518,1510,1498,1496,1498,1506,1523,1541,1557,1574,1562,1504,1417,1332,1245,1158,1075,998,917,832,771,746,744,741,744,731,690,631,578,528,487,464,453,441,430,422,417,414,412,409,408,409,410,411,415,403,364,309,257,202,164,154,163,168,175,178,173,164,157,151,142,125,105,85,65,48,37,31,24,18,13,9,6,4,3,2,1,1,1,1,0,0,0,0,0,0
1959,3931,3761,3569,3360,3343,3057,2781,2520,2277,2047.0000000000002,1824,1664,1591,1580,1577,1590,1606,1613,1615,1627,1643,1660,1676,1688,1697,1707,1685,1615,1513,1413,1311,1210,1117,1031,942,849,782,755,754,752,757,745,703,642,588,536,495,472,460,448,437,428,423,420,417,414,412,413,414,415,419,405,366,310,258,202,163,153,161,166,172,175,169,158,149,143,132,115,95,76,56,40,30,24,19,13,9,6,4,3,2,1,1,1,0,0,0,0,0,0,0
