Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,30056,28084,26377,24914,23671,22624,21750,21027,20430,19937,19548,19266,18944,18511,18016,17578,17167,16788,16453,16148,15845,15552,15240,14893,14523,14162,13801,13449,13111,12783,12452,12120,11787,11453,11118,10785,10460,10118,9749,9368,8990,8608,8267,7989,7751,7511,7281,7018,6699,6346,6005,5664,5349,5076,4832,4587,4349,4102,3835,3559,3296,3042,2801,2578,2371,2171,1977,1808,1674,1564,1460,1367,1267,1152,1029,916,809,709,615,528,446,369,301,244,196,153,115,84,61,44,29,20,16,11,6,3,2,2,1,1,1
1951,32259.999999999996,29331,27493,25905,24544,23389,22417,21608,20928,20348,19853,19457,19157,18821,18384,17890,17447,17029,16644,16306.000000000002,15998,15693,15397,15084,14737,14369,14009,13650,13299,12962,12633,12302,11969,11636,11301,10965,10631,10305,9963,9595,9214,8838,8458,8117.000000000001,7838,7599,7357,7125,6862,6543,6191,5852,5512,5198,4925,4681,4435,4197,3951,3686,3412,3151,2900,2662,2442,2239,2044,1854,1689,1556,1446,1343,1251,1154,1044,927,819,719,625,539,461,387,318,258,207,166,128,96,70,51,36,24,17,13,9,5,2,2,1,1,1
1952,33995,31275,28592,26889,25420,24163,23095,22199,21455,20818,20256,19760,19355,19039,18689,18247,17755,17309,16883,16493,16151,15841,15533,15235,14920,14573,14207,13849,13492,13143,12806,12476,12145,11812,11479,11144,10806,10472,10145,9802,9435,9057,8682,8303,7963,7684,7443,7199,6966,6702,6384,6034,5696,5358,5045,4773,4527,4282,4043.9999999999995,3798,3535,3264,3006,2756,2521,2306,2107,1915,1731,1569,1438,1329,1227,1135,1041,935,824,723,629,542,464,393,327,267,214,171,135,103,77,57,41,28,18,13,10,7,4,2,1,1,1
1953,35298,32444.000000000004,29974,27889,26318,24966,23811,22830,22007,21327,20733,20187,19689,19276,18943,18579,18132,17641,17190,16758,16361,16015,15702,15391,15090,14774,14427,14062,13705,13351,13002,12665,12335,12003,11670,11335,10999,10661,10326,9997,9654,9288,8910,8536,8157.999999999999,7819,7539,7295,7050,6815,6550,6233,5884,5547,5210,4898,4625,4379,4133,3895,3650,3388,3120,2863,2616,2384,2172,1977,1790,1610,1452,1322,1213,1112,1020.9999999999999,929,828,723,628,540,459,389,326,268,216,171,134,105,78,58,43,31,21,13,9,7,5,3,1,1,1
1954,36205,33399,30953,28839,27228,25787,24551,23495,22599,21849,21232,20680,20150,19649,19227,18876,18497,18045,17554,17098,16658,16254.000000000002,15903,15587,15273,14969,14650,14303,13939,13583,13229,12882,12544,12212,11879,11545,11209,10872,10532,10195,9865,9521,9154,8777,8404,8026,7687,7405,7159,6912,6675,6409,6091,5743,5406,5070,4759,4485,4238,3992,3753,3507,3247,2980,2726,2480,2251,2041,1850,1667,1491,1336,1208,1099,998,909,819,722,622,533,451,377,314,260,210,165,128,98,75,54,39,29,21,13,8,6,4,3,2,1,1
1955,36753,34166,31879,29869,28114,26592,25281,24159,23203,22391,21713,21159,20648,20133,19629,19197,18829,18434,17976,17485,17024,16574,16163,15807,15488,15171,14862,14541,14194,13830,13474,13121,12774,12435,12102,11767,11431,11095,10755,10413,10075,9742,9396,9029,8652,8279,7902,7562,7278,7030,6781,6541,6273,5955,5607,5271,4935,4624,4349,4101,3853,3614,3368,3108,2843,2590,2346,2119,1913,1725,1545,1373,1222,1094,985,885,797,709,616,522,439,363,296,240,193,151,115,85,62,45,29,20,16,11,6,3,2,2,1,1,1
1956,36816,35718,33408,31334,29481,27836,26379,25091,23982,23048,22259,21582,21011,20486,19968,19467,19031,18655,18255,17795,17303,16841,16391,15980,15625,15308,14991,14685,14365,14018,13654,13299,12946,12598,12259,11925,11589,11253,10916,10577,10235,9897,9565,9220,8853,8477,8105,7729,7389,7105,6855,6604,6363,6094,5776,5430,5095,4762,4452,4179,3930,3683,3444,3201,2945,2685,2438,2200,1979,1779,1597,1423,1258,1113,991,887,792,708,626,541,456,381,312,253,204,163,127,96,71,52,37,24,17,13,9,5,2,2,1,1,1
1957,36798,35014,34777,32737.000000000004,30869,29169,27629,26233,24964,23866,22952,22185,21506,20917,20377,19854,19354,18913,18529,18122,17659,17166,16702,16250,15838,15483,15166,14851,14545,14226,13878,13514,13157,12804,12455,12115,11779,11442,11104,10766,10425,10084,9745,9412,9066,8700,8324,7952,7576,7235,6949,6697,6444,6201,5930,5613,5267,4934,4602,4292,4019,3770,3523,3284,3043,2790,2535,2293,2060,1844,1649,1473,1305,1147,1006.9999999999999,890,791,701,622,546,468,391,323,263,211,168,133,102,77,57,41,29,19,13,10,7,4,2,1,1,1
1958,36807,35445,34079,33877,32103,30441,28891,27454,26118,24868,23779,22883,22136,21456,20848,20291,19763,19264,18818,18425,18011,17544,17049,16583,16129.000000000002,15714,15359,15042,14727,14423,14104,13755,13389,13031,12677,12327,11985,11647,11308,10968,10628,10286,9944,9604,9271,8924,8557,8180,7808,7432,7090,6802,6548,6292,6046,5774,5456,5111,4778,4447,4138,3864,3614,3367,3128,2888,2639,2388,2150,1922,1711,1522,1351,1189,1036,902,790,696,610,536,466,395,326,267,214,169,133,104,78,58,44,31,21,13,9,7,5,3,1,1,1
1959,36982,35937,34815,33632,32980,31473,30016,28616,27283,26006,24774,23695,22817,22091,21408,20781,20208,19675,19176,18725,18324,17903,17431,16934,16466,16009,15593,15237,14920,14606,14302,13983,13634,13266,12907,12551,12200,11856,11516,11175,10833,10491,10149,9805,9465,9130,8783,8415,8038,7665,7288,6946,6656,6398,6140,5892,5618,5299,4955,4622,4292,3983,3709,3458,3211,2972,2733,2487,2241,2007.0000000000002,1785,1579,1394,1229,1073,926,798,691,601,520,450,386,322,261,210,165,127,98,75,54,40,30,21,13,8,6,4,3,2,1,1
