Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,30055.999999999996,28084.0,26377.0,24914.0,23671.0,22624.000000000004,21750.0,21026.999999999996,20430.0,19937.0,19548.0,19266.0,18944.000000000004,18511.0,18016.0,17578.0,17167.0,16788.0,16453.0,16148.0,15845.0,15552.0,15240.0,14892.999999999998,14523.0,14162.0,13800.999999999998,13449.000000000002,13110.999999999998,12783.0,12452.0,12120.0,11787.0,11453.0,11118.0,10785.0,10460.0,10118.0,9749.0,9368.0,8990.0,8607.999999999998,8267.000000000002,7989.0,7751.0,7511.0,7281.000000000001,7018.0,6699.0,6346.0,6005.0,5664.0,5349.0,5076.000000000001,4832.0,4587.0,4349.0,4102.0,3835.0,3558.9999999999995,3296.0000000000005,3042.0,2801.0,2578.0000000000005,2371.0,2171.0,1976.9999999999998,1808.0,1674.0000000000002,1564.0,1460.0,1367.0,1267.0000000000002,1152.0000000000002,1029.0000000000002,915.9999999999999,809.0,709.0000000000001,615.0,528.0,446.0,369.0,301.0,244.0,196.0,153.0,115.0,84.0,61.0,44.00000000000001,28.999999999999996,20.0,16.0,11.000000000000002,6.0,3.0,2.0,2.0,1.0,1.0,1.0
1951,32259.999999999996,29331.0,27493.000000000004,25905.0,24544.0,23389.0,22416.999999999996,21608.0,20928.0,20348.0,19852.999999999996,19457.0,19157.0,18820.999999999996,18384.0,17890.0,17447.0,17029.0,16644.000000000004,16305.999999999998,15998.0,15693.0,15397.0,15084.000000000002,14737.0,14369.000000000002,14009.0,13650.0,13299.000000000002,12962.0,12633.0,12302.0,11969.000000000002,11636.0,11300.999999999998,10965.0,10630.999999999998,10305.0,9963.0,9595.0,9214.0,8838.0,8458.0,8117.000000000001,7837.999999999999,7599.0,7357.0,7125.0,6862.0,6542.999999999999,6191.0,5852.0,5512.0,5197.999999999999,4925.0,4681.0,4435.0,4197.0,3951.0,3686.0000000000005,3412.0,3151.0000000000005,2900.0,2662.0,2441.9999999999995,2239.0,2044.0,1854.0,1689.0,1556.0,1446.0,1343.0000000000002,1251.0,1154.0000000000002,1044.0,927.0,819.0000000000001,719.0000000000001,625.0,539.0,461.0,387.0,318.0,258.0,207.0,166.0,128.0,96.0,70.0,51.0,36.00000000000001,24.0,17.0,13.000000000000002,9.000000000000002,5.0,2.0,2.0,1.0,1.0,1.0
1952,33995.0,31275.0,28592.0,26889.0,25420.0,24163.0,23095.0,22199.0,21455.0,20818.0,20256.0,19760.0,19355.0,19039.0,18689.0,18247.0,17755.0,17309.0,16883.0,16493.0,16151.0,15841.0,15533.0,15235.0,14920.0,14573.0,14207.0,13849.0,13492.0,13142.999999999998,12806.0,12476.0,12145.0,11812.000000000002,11479.000000000002,11144.0,10806.0,10472.000000000002,10145.0,9802.0,9435.0,9057.0,8682.0,8302.999999999998,7962.999999999999,7684.0,7443.0,7199.0,6966.0,6702.000000000001,6383.999999999999,6034.0,5696.000000000001,5358.0,5045.0,4773.0,4527.0,4282.0,4043.9999999999995,3798.0,3535.0,3264.0,3006.0,2756.0,2521.0,2306.0,2106.9999999999995,1915.0,1730.9999999999998,1569.0,1438.0000000000002,1329.0,1227.0,1135.0,1041.0,935.0,824.0000000000001,723.0,629.0,542.0,463.99999999999994,392.99999999999994,327.0,267.0,214.0,171.0,135.0,103.00000000000001,77.0,57.0,40.99999999999999,27.999999999999996,18.000000000000004,13.000000000000002,10.0,6.999999999999999,4.0,2.0,1.0,1.0,1.0
1953,35298.0,32444.000000000004,29974.0,27889.0,26318.0,24965.999999999996,23811.0,22830.0,22006.999999999996,21327.0,20733.0,20187.0,19689.0,19276.0,18942.999999999996,18579.0,18132.0,17641.0,17190.0,16758.0,16361.0,16015.0,15702.0,15390.999999999998,15090.0,14774.0,14427.0,14062.000000000002,13705.0,13351.0,13002.0,12665.0,12335.0,12003.0,11670.0,11335.0,10999.0,10661.0,10325.999999999998,9997.0,9654.0,9288.0,8910.0,8536.0,8157.999999999999,7819.0,7539.0,7295.0,7050.0,6815.0,6550.0,6233.0,5883.999999999999,5547.000000000001,5210.0,4898.0,4625.0,4379.0,4133.0,3895.0,3650.0,3388.0,3120.0,2863.0,2616.0,2384.0,2171.9999999999995,1976.9999999999998,1790.0,1610.0,1452.0,1321.9999999999998,1213.0,1112.0,1020.9999999999999,929.0,828.0,723.0,628.0,540.0,458.99999999999994,389.0,326.0,268.0,216.00000000000003,171.0,134.0,105.0,78.0,57.99999999999999,43.0,31.0,21.0,13.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,1.0,1.0,1.0
1954,36205.0,33399.0,30953.000000000004,28839.000000000004,27228.0,25787.0,24551.0,23495.0,22599.0,21849.0,21232.0,20680.0,20150.0,19649.0,19227.0,18875.999999999996,18497.0,18045.0,17554.000000000004,17098.0,16658.0,16254.000000000002,15902.999999999998,15587.0,15273.0,14969.000000000002,14650.0,14302.999999999998,13939.0,13583.0,13229.000000000002,12882.0,12544.0,12212.0,11879.000000000002,11545.0,11209.000000000002,10872.0,10532.0,10195.0,9865.0,9521.0,9154.0,8777.000000000002,8404.0,8026.0,7687.0,7405.0,7159.0,6912.000000000001,6675.0,6409.0,6091.0,5742.999999999999,5406.000000000001,5070.0,4758.999999999999,4485.0,4238.0,3992.0,3753.0,3506.9999999999995,3247.0,2980.0,2726.0000000000005,2480.0,2251.0,2041.0,1850.0,1666.9999999999998,1490.9999999999998,1335.9999999999998,1208.0,1099.0,998.0,909.0,819.0000000000001,722.0,622.0,532.9999999999999,451.0,377.0,314.0,260.0,210.0,165.0,128.0,98.0,75.0,54.00000000000001,39.0,28.999999999999996,21.0,13.000000000000002,8.0,6.0,4.0,3.0,2.0,1.0,1.0
1955,36753.0,34166.0,31879.0,29869.0,28114.0,26592.0,25281.0,24159.000000000004,23203.000000000004,22391.0,21713.0,21159.000000000004,20648.000000000004,20133.0,19629.0,19197.0,18829.0,18434.0,17976.0,17485.0,17024.0,16574.0,16163.0,15807.0,15488.0,15171.0,14862.0,14540.999999999998,14194.0,13830.0,13474.0,13120.999999999998,12774.0,12435.0,12102.0,11767.000000000002,11431.0,11095.0,10755.0,10413.0,10075.0,9742.0,9396.0,9029.0,8652.000000000002,8279.0,7902.0,7562.0,7278.0,7030.0,6781.000000000001,6541.0,6273.0,5955.0,5607.0,5271.0,4935.0,4624.0,4349.0,4101.0,3853.0,3614.0,3368.0000000000005,3108.0,2843.0,2590.0,2346.0,2119.0,1913.0,1725.0,1545.0,1373.0000000000002,1222.0,1094.0,985.0,885.0,797.0,709.0000000000001,616.0,522.0,439.0,363.0,296.00000000000006,240.0,193.0,151.0,115.0,85.0,62.0,45.0,28.999999999999996,20.0,16.0,11.000000000000002,6.0,3.0,2.0,2.0,1.0,1.0,1.0
1956,36816.0,35718.0,33408.0,31334.0,29480.999999999996,27836.0,26379.0,25090.999999999996,23982.0,23048.0,22259.0,21581.999999999996,21011.0,20486.0,19968.0,19467.0,19031.0,18655.0,18255.0,17795.0,17303.0,16840.999999999996,16391.0,15980.0,15625.0,15308.0,14991.0,14685.0,14365.0,14017.999999999998,13654.000000000002,13299.000000000002,12946.0,12597.999999999998,12259.0,11925.0,11589.0,11253.0,10915.999999999998,10577.0,10235.0,9897.0,9565.0,9220.0,8853.0,8477.0,8105.0,7729.0,7388.999999999999,7105.0,6855.0,6604.0,6363.0,6093.999999999999,5776.0,5430.0,5095.0,4762.0,4452.0,4178.999999999999,3930.0,3683.0000000000005,3444.0,3201.0,2945.0,2685.0,2438.0,2200.0,1979.0,1779.0000000000002,1597.0,1423.0,1258.0,1113.0,991.0,887.0,792.0,708.0,626.0,541.0,456.0,381.0,312.0,253.0,204.0,163.0,127.0,96.0,71.0,52.00000000000001,37.00000000000001,24.0,17.0,13.000000000000002,9.000000000000002,5.0,2.0,2.0,1.0,1.0,1.0
1957,36798.0,35014.0,34777.0,32736.999999999996,30869.0,29169.0,27629.0,26233.0,24964.000000000004,23866.0,22952.0,22185.0,21506.0,20916.999999999996,20377.0,19854.0,19354.0,18913.0,18529.0,18122.0,17659.000000000004,17166.0,16702.0,16250.0,15838.0,15482.999999999998,15165.999999999998,14851.0,14545.0,14226.0,13878.0,13514.000000000002,13157.0,12804.0,12455.0,12115.0,11779.000000000002,11442.0,11104.000000000002,10765.999999999998,10425.0,10084.0,9745.0,9412.0,9066.0,8700.0,8324.0,7952.000000000001,7576.000000000001,7235.0,6949.0,6697.0,6444.0,6201.000000000001,5930.0,5613.0,5267.0,4934.0,4602.0,4292.0,4019.0,3770.0,3523.0,3284.0,3043.0,2790.0,2535.0,2293.0,2060.0,1844.0,1649.0,1473.0,1305.0,1147.0,1007.0000000000001,890.0,790.9999999999999,701.0,622.0,546.0,468.0,391.0,322.99999999999994,263.0,211.00000000000003,168.0,133.0,102.0,77.0,57.0,40.99999999999999,28.999999999999996,19.0,13.000000000000002,10.0,6.999999999999999,4.0,2.0,1.0,1.0,1.0
1958,36806.99999999999,35445.0,34079.0,33876.99999999999,32103.0,30441.0,28891.0,27454.0,26118.000000000004,24868.000000000004,23779.0,22883.000000000004,22136.0,21456.0,20848.000000000004,20291.0,19762.999999999996,19264.0,18817.999999999996,18425.0,18011.0,17544.0,17049.0,16583.0,16129.000000000002,15714.0,15359.000000000002,15042.0,14727.0,14423.0,14104.000000000002,13755.0,13389.000000000002,13030.999999999998,12677.0,12327.0,11985.0,11647.0,11308.0,10968.0,10628.0,10286.0,9943.999999999998,9604.0,9271.0,8924.0,8557.0,8180.0,7808.0,7432.0,7090.0,6802.000000000001,6547.999999999999,6292.000000000001,6046.0,5774.0,5456.0,5111.000000000001,4778.000000000001,4447.0,4138.0,3864.0,3614.0,3367.0,3128.0,2888.0,2639.0,2388.0,2150.0,1922.0,1710.9999999999998,1521.9999999999998,1351.0,1189.0,1036.0,902.0,790.0,696.0,610.0,536.0,466.0,395.0,326.0,267.0,214.0,168.99999999999997,133.0,104.00000000000001,78.0,57.99999999999999,44.00000000000001,31.0,21.0,13.000000000000002,9.000000000000002,6.999999999999999,5.0,3.0,1.0,1.0,1.0
1959,36982.0,35937.0,34815.0,33632.0,32980.0,31473.000000000004,30016.0,28616.0,27283.0,26006.0,24774.0,23695.0,22816.999999999996,22090.999999999996,21408.0,20781.0,20208.0,19675.0,19176.0,18725.0,18324.0,17903.0,17430.999999999996,16934.0,16465.999999999996,16009.0,15593.0,15237.0,14920.0,14606.0,14302.0,13982.999999999998,13634.0,13265.999999999998,12907.0,12550.999999999998,12200.0,11856.0,11515.999999999998,11175.0,10833.0,10491.0,10149.0,9805.0,9465.0,9130.0,8783.0,8415.0,8038.0,7665.0,7287.999999999999,6946.000000000001,6656.000000000001,6398.0,6140.0,5892.0,5617.999999999999,5298.999999999999,4955.0,4622.0,4292.0,3983.0,3708.9999999999995,3458.0,3211.0000000000005,2972.0,2733.0,2487.0,2241.0,2006.9999999999998,1785.0,1579.0,1394.0000000000002,1229.0,1073.0,925.9999999999999,797.9999999999999,691.0,601.0,520.0,450.0,386.0,322.0,261.0,210.0,165.0,127.0,98.0,75.0,54.00000000000001,40.0,30.0,21.0,13.000000000000002,8.0,6.0,4.0,3.0,2.0,1.0,1.0
