Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,15093,15047,15110,15263,15488,15767,16081,16413,16744,17055,17365,17691,17836,17709,17399,17061,16630,16309.999999999998,16206,16203,16122,16049,15663,14805,13650,12571,11536,10542,9638,8853,8090,7284,7017,7541,8568,9566,10654,11458,11742,11681,11675,11634,11577,11552,11513,11413,11315,10963,10243,9306,8394,7433,6750,6524,6599,6630,6675,6708,6676,6601,6563,6554,6472,6276,6005,5735,5439,5188,5020,4897,4752,4610,4391,4051.9999999999995,3638,3238,2834,2472,2183,1947,1708,1478,1266,1071,894,734,590,466,364,280,198,141,113,81,44,24,20,15,10,5,5
1951,15357,14948,14912,14986,15153,15391,15686,16018,16361,16690,16993,17296,17612,17758,17649,17368,17056,16653,16351,16247,16234.000000000002,16143.999999999998,16061,15669,14811,13660,12582,11547,10553,9650,8865,8103,7297,7025,7539,8552,9536,10609,11400,11675,11606,11592,11544,11479,11444,11395,11286,11178,10821,10105,9175,8271,7317,6637,6407,6473,6494,6530,6553,6511,6425,6375,6354,6262,6058,5782,5506,5208,4951,4772,4637,4481,4329,4107,3775,3375,2990,2602,2255,1980,1755,1530,1314,1117,938,778,633,505,399,310,235,164,117,94,67,37,22,17,11,5,6
1952,15816,15153,14829,14803,14889,15069,15322,15632,15983,16337,16666,16961,17257,17564,17710,17620,17368,17081,16705,16419,16315.999999999998,16292.000000000002,16193.999999999998,16101,15702,14842,13693,12614,11578,10583,9679,8893,8129,7322,7046,7550,8551,9523,10583,11362,11628,11551,11530,11474,11402,11357,11298,11178,11060,10698,9984,9061,8162.000000000001,7215,6537,6302,6358,6371,6397,6410,6357,6261,6199,6166,6063,5852,5570,5288,4986,4722,4533,4385,4219,4057.0000000000005,3831,3505,3119,2748,2375,2043.0000000000002,1781,1568,1355,1152,970,808,664,532,421,334,257,190,130,94,75,53,29,18,12,6,6
1953,16331,15467,14869,14732,14716,14815,15008,15275,15602,15973,16338.000000000002,16666,16954,17243,17542,17690,17617,17393,17132,16782,16512,16409,16375,16268,16165,15758,14895,13746,12666,11626,10628,9722,8934,8167,7358,7077,7573,8563,9524,10573,11341,11598,11514,11485,11422,11341,11287,11217,11088,10959,10592,9878,8960,8066.000000000001,7123,6446,6206,6253,6256,6274,6277,6214,6106,6033,5987,5874,5654,5366,5079,4772,4501,4301,4140,3963,3791,3561,3241,2868,2510,2152,1835,1584,1382,1183,993,825,678,551,433,338,269,205,145,97,71,57,40,21,12,6,6
1954,16795,15840,15149,14695,14652,14646,14757,14964,15246,15589,15980,16358,16686,16966,17250,17540,17689,17635,17438,17202,16878,16624,16521,16477,16361,16248.000000000002,15832,14966,13815,12731,11688,10686,9776,8985,8215,7402,7116,7604,8584,9536,10574,11334,11582,11490,11453,11383,11294,11230,11149,11010,10871,10497,9783,8870,7979,7040,6363,6117,6154,6149,6158,6151,6077,5957,5873,5815,5691,5463,5168,4874,4562,4285,4074,3900,3711,3528,3294,2981,2620,2274,1931,1628,1389,1198,1010.9999999999999,835,680,549,438,334,256,204,152,100,64,48,38,26,14,6,7
1955,17141,16210.999999999998,15513,15023,14720,14581,14585,14708,14930,15226,15587,15997,16388,16716,16990,17267,17549,17700,17664,17495,17284,16985,16748,16645,16590,16465,16341.000000000002,15917,15046,13893,12806,11757,10750,9837,9042,8268,7451,7160,7640,8611,9554,10583,11333,11573,11473,11428,11351,11253,11179,11089,10939,10789,10409,9695,8784,7896,6960,6284,6032,6060,6046,6045,6028,5943,5813,5716,5646,5511,5274,4972,4672,4355,4070.9999999999995,3848,3661,3461,3267,3029,2721,2372,2040,1710,1421,1195,1014.9999999999999,840,676,536,420,326,234,173,139,100,56,31,25,19,13,6,7
1956,17265,16991,16187.000000000002,15564,15109,14807,14637,14576,14650,14859,15166,15522,15921,16300.999999999998,16619,16885,17155,17429,17583,17562,17418,17231,16958,16743,16655,16611,16497,16385,15967,15094,13933,12837,11779,10766,9850,9055,8282,7464,7175,7662,8643,9594,10632,11390,11637,11543,11502,11430,11333,11253,11152,10992,10829,10437,9713,8794,7894,6945,6256,5995,6012,5988,5982,5945,5821,5640,5496,5375,5209,4977,4699,4422,4135,3862,3620,3396,3165,2939,2690,2404,2098,1805,1518,1264,1058,890,726,578,458,357,272,194,144,115,83,46,26,20,13,6,7
1957,17282,16697,16866,16186,15638,15217,14916,14714,14589,14613,14810,15129,15480,15868,16238,16547,16804,17068,17335,17491,17487,17367,17204,16956,16762,16689,16656,16553,16453,16040,15163,13992,12887,11818,10797,9877,9082,8307,7487,7200,7695,8686,9648,10697,11464,11718,11629,11593,11525,11428,11342,11231,11060,10885,10480,9745,8815,7904,6940,6238,5966,5974,5940,5926,5870,5707,5476,5284,5112,4916,4687,4434,4180,3921,3659,3397,3136,2875,2617,2357,2092,1828,1575,1329,1109,924,767,614,480,381,295,219,154,115,92,66,36,20,14,7,7
1958,17238,16895,16562,16756,16200,15726,15338,15038,14804,14616,14590,14776,15105,15452,15830,16190.000000000002,16489,16739,16996,17257,17415,17427,17332,17193,16970,16797,16739,16716,16624,16536,16128,15246,14065,12949,11869,10838,9913,9117,8340,7518,7232,7735,8738,9711,10771,11548,11810,11726,11695,11631,11535,11442,11320,11138,10950,10533,9786,8846,7921,6942,6226,5943,5941,5897,5877,5801,5598,5318,5078,4854,4628,4402,4173,3941,3711,3459,3178,2879,2587,2297,2025,1781,1560,1345,1141,955,790,645,502,383,305,233,167,115,86,69,49,26,14,7,8
1959,17204,17084,16904,16677,16656,16222.999999999998,15824,15469,15169,14903,14651,14575,14749,15089,15433,15801,16151,16441,16684,16934,17188,17350,17377,17307,17192,16993,16841,16799,16786,16705,16629,16226,15338,14145,13018,11926,10885,9955,9157,8378,7553,7269,7779,8795,9780,10851,11639,11908,11829,11803,11744,11647,11549,11417,11222,11022,10591,9833,8881,7942,6947,6217,5923,5911,5858,5830,5735,5493,5162,4874,4598,4342,4119,3914,3704,3502,3262,2960,2624,2300,1978,1694,1471,1292,1116,953,802,657,524,390,287,229,171,114,75,58,45,32,17,7,8
