Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,15040.999999999998,14855.0,14635.0,14385.0,14107.999999999998,13809.000000000002,13492.0,13160.0,12818.0,12470.0,12115.0,11753.0,11410.0,11101.0,10815.0,10530.999999999998,10255.0,9979.0,9698.0,9418.0,9147.0,8878.0,8642.000000000002,8453.0,8295.0,8138.0,7990.0,7820.0,7607.0,7369.0,7138.999999999999,6909.0,6691.0,6492.999999999999,6309.0,6122.000000000001,5939.0,5747.000000000001,5539.0,5322.0,5111.000000000001,4900.0,4703.0,4528.000000000001,4367.0,4207.0,4051.9999999999995,3893.0000000000005,3727.0,3556.0,3391.0,3228.9999999999995,3076.0,2937.0,2808.0000000000005,2680.0,2558.0000000000005,2433.0000000000005,2303.0,2171.9999999999995,2044.0,1919.0,1801.0,1694.0,1594.0,1496.0,1401.0,1306.0,1206.0,1105.0,1008.0,914.0,823.0,735.0,650.0,570.0,493.0,421.00000000000006,353.0,291.00000000000006,233.0,178.00000000000003,134.0,105.0,86.0,71.0,59.00000000000001,49.0,38.0,26.000000000000004,17.0,12.0,9.000000000000002,6.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0
1951,17192.999999999996,14552.0,14283.0,14038.0,13812.000000000002,13595.0,13395.0,13214.0,12985.0,12673.0,12309.000000000002,11956.0,11601.0,11264.000000000002,10958.0,10673.0,10387.0,10107.000000000002,9827.0,9545.0,9265.0,8993.0,8722.999999999998,8487.0,8299.0,8142.999999999999,7988.0,7842.000000000001,7672.999999999999,7462.999999999999,7227.0,6999.0,6771.0,6555.0,6359.0,6176.0,5990.0,5808.0,5617.999999999999,5412.000000000001,5199.0,4990.0,4783.0,4588.999999999999,4416.0,4257.0,4100.0,3947.0,3791.0000000000005,3626.0000000000005,3458.0,3296.0000000000005,3136.0,2985.0,2847.0,2719.0,2593.0,2471.0,2347.0,2219.0,2088.0,1962.0,1837.0,1720.9999999999998,1614.0,1514.0,1416.9999999999998,1323.0000000000002,1228.0,1130.0,1031.0,936.0,845.0,755.9999999999999,672.0,592.0000000000001,515.0,442.99999999999994,375.0,313.0,256.0,203.0,154.0,115.99999999999999,89.00000000000001,73.0,59.00000000000001,50.0,40.99999999999999,31.0,22.000000000000004,13.999999999999998,10.0,8.0,5.0,3.0,2.0,1.0,1.0,0.0,0.0
1952,18857.0,16814.0,14047.0,13694.0,13425.999999999998,13222.999999999998,13067.0,12964.0,12920.0,12792.0,12510.0,12130.999999999998,11780.999999999998,11435.0,11102.0,10800.0,10517.999999999998,10230.0,9945.0,9662.0,9378.0,9100.0,8828.0,8557.0,8321.0,8135.0,7981.0,7827.999999999999,7684.0,7517.0,7309.0,7076.000000000001,6851.0,6625.0,6411.000000000001,6217.000000000001,6035.0,5851.0,5670.0,5481.0,5279.0,5069.0,4864.0,4659.0,4468.999999999999,4298.0,4141.999999999999,3987.0,3836.9999999999995,3683.0000000000005,3522.0,3356.0000000000005,3196.0,3038.9999999999995,2890.0,2753.9999999999995,2627.0,2502.0,2381.9999999999995,2259.0,2131.0,2001.9999999999998,1876.9999999999998,1754.0,1638.0000000000002,1531.9999999999998,1433.0,1335.9999999999998,1242.9999999999998,1149.0,1053.0,956.0,863.0,774.0,689.0,609.0,532.0,460.0,392.0,328.99999999999994,272.0,221.0,174.0,131.0,96.99999999999999,74.00000000000001,59.00000000000001,48.0,40.0,33.0,25.0,17.0,11.000000000000002,8.0,6.0,4.0,2.0,1.0,1.0,0.0,0.0
1953,20125.999999999996,17598.0,15597.000000000002,13587.0,13151.0,12857.999999999998,12679.0,12582.0,12575.999999999998,12668.0,12640.0,12388.0,11993.0,11644.0,11305.0,10977.0,10677.0,10395.999999999998,10106.0,9815.0,9527.000000000002,9243.0,8965.0,8692.0,8419.0,8182.0,7996.0,7843.999999999999,7692.0,7551.0,7386.0,7180.0,6947.999999999999,6724.0,6501.0,6287.999999999999,6095.0,5912.999999999999,5730.0,5550.0,5363.0,5162.999999999999,4956.0,4753.0,4551.0,4363.0,4195.0,4041.0000000000005,3888.0,3740.0,3588.0,3428.0,3265.0,3106.9999999999995,2952.0,2805.0,2670.0,2544.0,2420.0,2300.0,2178.0,2051.0,1923.0,1799.0000000000002,1676.9999999999998,1561.0,1456.0,1357.0,1260.0,1167.0,1074.0,979.0000000000001,884.0,794.0,707.0000000000001,625.0,547.0,475.0,407.0,343.0,285.0,233.0,187.0,146.0,108.00000000000001,78.0,59.00000000000001,46.0,37.00000000000001,31.0,25.0,19.0,13.000000000000002,8.0,6.0,4.0,3.0,2.0,1.0,0.0,0.0
1954,21053.0,18307.000000000004,16122.0,14440.999999999998,13179.0,12657.0,12339.0,12182.0,12145.0,12235.999999999998,12464.0,12537.0,12312.000000000002,11899.0,11550.0,11218.0,10892.000000000002,10594.000000000002,10312.999999999998,10020.0,9722.000000000002,9429.0,9142.000000000002,8863.0,8588.0,8312.000000000002,8073.0,7888.0,7737.0,7586.0,7446.000000000001,7282.0,7077.000000000001,6845.0,6622.999999999999,6400.0,6189.0,5996.0,5814.0,5632.000000000001,5452.000000000001,5265.0,5066.0,4861.000000000001,4660.0,4461.0,4274.0,4108.000000000001,3955.0,3803.0,3656.0,3506.0,3348.0000000000005,3187.0,3030.0,2876.0000000000005,2730.0,2596.0,2471.0,2347.0,2227.0,2105.0,1979.0,1851.0,1726.9999999999998,1605.0,1490.0,1385.0,1285.0,1189.0,1095.9999999999998,1002.9999999999999,909.0,816.0,727.0,642.0,562.0,488.0,419.0,355.0,295.0,241.00000000000003,193.99999999999997,154.0,118.00000000000001,85.0,60.0,43.0,33.0,26.000000000000004,22.000000000000004,18.000000000000004,13.000000000000002,8.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0
1955,21669.0,18941.0,16744.0,15023.0,13727.0,12800.0,12190.999999999998,11845.999999999998,11710.999999999998,11734.000000000002,11923.0,12289.000000000002,12463.0,12267.000000000002,11835.0,11485.0,11158.0,10834.000000000002,10537.0,10255.0,9958.0,9652.999999999998,9353.0,9062.999999999998,8782.0,8505.0,8225.0,7984.0,7797.999999999999,7648.0,7497.999999999999,7358.0,7196.000000000001,6990.0,6758.999999999999,6537.000000000001,6315.0,6104.0,5911.000000000001,5729.0,5546.0,5366.000000000001,5178.999999999999,4981.0,4777.0,4578.0,4380.0,4195.0,4030.0000000000005,3878.0,3727.0,3581.0000000000005,3432.0,3276.0000000000005,3115.0,2960.0,2807.0,2662.0,2528.0,2403.0,2279.0,2159.0000000000005,2037.0,1911.0,1783.0000000000002,1659.0,1538.0,1423.0,1315.9999999999998,1217.0,1120.0,1027.0000000000002,934.0,841.0,749.0000000000001,662.0,579.0,501.0,430.0,364.0,304.0,247.0,198.0,156.0,121.0,90.0,63.0,42.0,27.999999999999996,20.0,15.0,13.000000000000002,10.0,6.999999999999999,4.0,2.0,2.0,1.0,1.0,0.0,0.0
1956,21752.0,20484.0,18115.0,16180.0,14642.000000000002,13458.0,12580.0,11955.0,11599.0,11491.0,11560.0,11763.0,12120.0,12288.0,12092.0,11665.999999999998,11315.999999999998,10985.999999999998,10659.0,10360.999999999998,10080.0,9782.0,9477.0,9179.0,8891.0,8615.0,8342.0,8067.0,7830.0,7646.0,7496.0,7346.0,7207.000000000001,7046.0,6842.000000000001,6613.0,6393.0,6172.999999999999,5963.999999999999,5773.0,5593.0,5412.000000000001,5234.0,5050.0,4855.0,4655.0,4459.0,4263.999999999999,4082.0,3918.9999999999995,3768.9999999999995,3620.0,3475.0,3328.0000000000005,3173.0,3015.0,2861.0,2710.0,2566.0000000000005,2433.0000000000005,2308.0000000000005,2185.0,2065.0,1944.0,1819.0,1692.0,1570.0,1450.0,1335.9999999999998,1232.0,1133.0,1038.0,947.0000000000001,858.0,768.0,680.0,597.0,519.0,446.0,380.0,320.0,265.0,214.0,170.0,133.0,102.0,75.0,52.00000000000001,35.0,24.0,17.0,12.0,10.0,8.0,6.0,3.0,2.0,1.0,1.0,0.0,0.0
1957,21750.999999999996,19616.0,19410.999999999996,17385.0,15703.0,14337.0,13260.0,12425.0,11782.0,11412.0,11331.0,11447.000000000002,11664.000000000002,12015.0,12175.0,11980.0,11557.0,11206.0,10870.0,10539.000000000002,10238.0,9957.0,9658.0,9350.0,9051.0,8765.0,8493.0,8222.000000000002,7951.000000000001,7716.0,7532.999999999999,7382.000000000001,7233.0,7093.999999999999,6932.0,6729.0,6501.0,6282.0,6063.0,5855.0,5665.0,5486.000000000001,5307.0,5130.0,4948.0,4755.0,4556.999999999999,4363.0,4170.0,3990.0,3828.0000000000005,3679.0,3531.0,3388.0,3241.0,3086.9999999999995,2930.0,2776.9999999999995,2627.0,2484.0,2351.0,2226.0,2102.0,1982.0,1861.9999999999998,1736.9999999999998,1611.0,1489.0,1370.0,1257.0000000000002,1154.0000000000002,1057.0,963.0,873.0,785.9999999999999,699.0000000000001,615.0,536.0,462.0,392.99999999999994,332.0,278.0,228.0,182.0,142.0,110.0,84.0,61.0,42.0,27.999999999999996,19.0,13.000000000000002,10.0,8.0,6.0,4.0,2.0,1.0,1.0,0.0,0.0
1958,21733.0,19987.000000000004,18433.0,18387.0,16700.0,15265.0,14069.0,13095.999999999998,12302.0,11639.000000000002,11255.0,11200.0,11363.0,11595.999999999998,11940.0,12095.0,11899.0,11479.000000000002,11125.0,10783.0,10446.0,10142.999999999998,9860.0,9558.0,9248.0,8948.0,8663.0,8392.000000000002,8124.000000000001,7856.0,7622.999999999999,7439.0,7287.999999999999,7138.0,6999.0,6837.000000000001,6633.999999999999,6406.000000000001,6187.0,5968.0,5761.0,5571.000000000001,5394.0,5215.0,5040.0,4859.0,4667.0,4470.0,4278.000000000001,4086.9999999999995,3908.0,3747.0,3598.9999999999995,3452.0,3308.9999999999995,3163.0000000000005,3010.0,2853.0,2701.0,2551.0,2408.0,2275.0,2149.0,2025.0,1905.0,1784.0,1659.0,1533.0000000000002,1412.0,1293.0000000000002,1182.0,1079.0,982.0,890.0,800.9999999999999,716.0,632.0,552.0,476.00000000000006,406.0,342.0,285.0,236.00000000000003,191.0,150.0,115.99999999999999,88.00000000000001,66.0,47.0,32.0,22.000000000000004,15.0,10.0,6.999999999999999,6.0,5.0,3.0,2.0,1.0,0.0,0.0
1959,21781.999999999996,20383.0,19064.0,17830.0,17372.0,16024.0,14835.999999999998,13809.000000000002,12940.0,12186.0,11503.0,11104.000000000002,11075.999999999998,11287.0,11535.0,11873.0,12022.0,11825.999999999998,11408.0,11050.999999999998,10702.0,10360.0,10052.999999999998,9769.0,9465.0,9151.0,8849.0,8565.0,8297.0,8031.000000000001,7765.0,7534.0,7350.0,7197.999999999999,7047.999999999999,6907.999999999999,6745.0,6542.999999999999,6315.0,6096.0,5877.000000000001,5670.0,5481.0,5305.0,5127.000000000001,4952.0,4772.0,4582.0,4386.0,4196.000000000001,4006.0,3828.9999999999995,3668.9999999999995,3521.0000000000005,3373.9999999999995,3231.9999999999995,3086.0000000000005,2933.0000000000005,2776.9999999999995,2625.0,2476.0,2333.0,2200.0,2073.0,1949.0,1828.0,1706.9999999999998,1581.9999999999998,1456.0,1335.0,1218.0,1105.9999999999998,1004.0,907.9999999999999,817.0000000000001,730.0,645.9999999999999,566.0000000000001,489.0,417.00000000000006,350.0,290.0,239.0,193.99999999999997,154.0,119.00000000000001,89.00000000000001,66.0,48.0,32.0,22.000000000000004,15.0,10.0,6.0,4.0,4.0,3.0,2.0,1.0,0.0,0.0
