Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,3504,3704,3848,3944,4000,4024,4024,4008,3984,3960,3923,3861,3885,4045,4287,4507,4730,4890,4946,4928,4917,4906,4850,4738,4591,4444,4299,4171,4075,4009.0000000000005,3944,3867,3883,4035,4270,4496,4734,4902,4950,4917,4891,4858,4810,4754,4688,4606,4512,4408,4296,4177,4054.0000000000005,3928,3800,3672,3546,3419,3291,3179,3091,3020,2944,2867,2795,2730,2665,2600,2540,2445,2298,2118,1941,1759,1596,1468,1363,1255,1150,1041,921,796,680,567,472,402,351,302,262,221,174,125,70,36,27,17,7,0,0,0,0,0,0
1951,3803,3567,3721,3836,3918,3970,4003,4022.0000000000005,4019.9999999999995,3998,3967,3930,3872,3894,4043,4269,4475,4681,4837,4907,4915,4927,4941,4903,4795,4644,4496,4347,4214,4112,4038.0000000000005,3965,3880,3886,4027,4251,4466,4692,4855,4909,4890,4876,4857,4818,4764,4695,4611,4513,4407,4297,4181,4059.9999999999995,3935,3805,3671,3534,3399,3261,3140,3043,2964,2882,2797,2717,2642,2569,2495,2425,2326,2183,2011.0000000000002,1844,1671,1517,1395,1294,1190,1093,988,866,738,619,504,408,343,299,259,225,189,148,105,58,29,22,15,5,2,2,1,0,0
1952,4072,3937,3628,3736,3823,3889,3939,3980,4019,4030.9999999999995,4010,3973,3936,3882,3903,4041.0000000000005,4250,4442,4631,4782,4867,4901,4937,4976,4955,4852,4697,4546,4394,4256,4147,4067,3985,3891,3888,4018,4230,4434,4648,4806,4867,4861,4860,4855,4826,4773,4701,4614,4513,4406,4297,4184,4064,3941,3809,3669,3524,3378,3230,3099,2994,2907,2818,2726,2639,2554,2471,2388,2309,2207,2067,1906,1745,1583,1437,1321,1225,1127,1035,932,812,681,559,440,344,284,247,216,187,156,122,83,45,24,18,12,4,3,2,0,0
1953,4305,4078.0000000000005,3906,3690,3751,3809,3862,3909,3958,4014.9999999999995,4043,4022.9999999999995,3979,3942,3892,3912,4038.9999999999995,4232,4408,4581,4726,4825,4887,4947,5011,5007,4909,4750,4597,4442,4299,4184,4094.9999999999995,4005,3903,3891,4009.0000000000005,4210,4402,4605,4758,4825,4832,4845,4854,4834,4782,4706,4617,4513,4404,4296,4187,4070.0000000000005,3948,3815,3668,3513,3358,3199,3059,2945,2851,2754,2656,2561,2468,2374,2282,2195,2088,1952,1799,1649,1495,1357,1247,1156,1063,977,878,756,624,498,377,281,224,195,172,150,125,96,62,33,18,14,9,3,2,0,0
1954,4496,4221,4013,3864,3750,3766,3794,3833,3876,3934,4011,4051.9999999999995,4035,3985,3946,3902,3920,4035,4212,4373,4528,4669,4783,4870,4954,5043,5058,4965,4802,4646,4488,4341,4220,4123,4024,3914,3891,3999,4189,4370,4560,4709,4782,4802,4827,4850,4841,4791,4712,4619,4512,4401,4296,4190,4074,3953,3820,3666,3501,3336,3168,3017,2896,2794,2689,2584,2482,2379,2276,2175,2078,1969,1837,1692,1550,1406,1277,1173,1086,1000,920,825,702,565,438,312,216,165,143,129,112,93,69,42,21,13,10,6,2,1,0
1955,4639,4360,4144,3984,3873,3807,3776,3776,3800,3841,3907,4003,4059,4043,3987,3949,3909,3925,4029,4189,4334,4472,4608,4736,4849,4959,5072,5104,5016,4850,4691,4531,4379,4251,4147,4040,3921,3889,3985,4163,4333,4510,4654,4734,4768,4807,4844,4844,4796,4712,4618,4507,4395,4291,4188,4075,3957,3821,3661,3487,3312,3134,2974,2844,2735,2623,2511,2401,2289,2176,2067,1961,1848,1720,1585,1451,1317,1197,1099,1016,935,862,770,646,507,377,249,153,105,91,85,75,61,43,21,8,6,5,3,1,0
1956,4745,4641,4398,4205,4056,3947,3873,3829,3814,3827,3861,3914,3993,4045,4043,4013,3998,3983,4013,4109,4248,4375,4494,4615,4736,4849,4955,5063,5093,5004,4837,4680,4523,4367,4224,4099,3972,3832,3792,3901,4105,4299,4502,4663,4740,4761,4788,4812,4804,4757,4678,4588,4481,4368,4255,4141,4014.9999999999995,3884,3739,3577,3406,3234,3057,2898,2764,2649,2531,2414,2299,2183,2068,1957,1849,1734,1606,1470,1337,1203,1084,990,910,833,763,678,567,442,324,211,131,90,77,70,62,51,35,18,8,6,4,2,0
1957,4818,4620,4644,4437,4266,4127,4019.9999999999995,3939,3881,3852,3854,3880,3921,3983,4030.0000000000005,4043,4038.9999999999995,4046.9999999999995,4058,4100,4190,4308,4416,4516,4621,4737,4849,4951,5055,5081,4991,4825,4668,4514,4356,4197,4051,3905,3742,3693,3816,4046.0000000000005,4264,4494,4670,4745,4753,4769,4781,4765,4718,4646,4558,4455,4341,4220,4091.9999999999995,3954,3811,3657,3495,3325,3155,2981,2821,2684,2562,2439,2317,2197,2079,1961,1847,1738,1621,1491,1355,1223,1089,973,881,804,730,664,587,487,378,270,173,110,76,63,57,50,40,29,14,8,5,2,1
1958,4868,4733,4610,4646,4475,4326,4199,4091.9999999999995,4005,3933,3890,3881,3898,3928,3973,4016,4043,4064,4097,4133,4188,4269,4367,4458,4538,4629,4737,4847,4946,5047,5069,4978,4812,4656,4507,4344,4170,4002,3837,3652,3596,3731,3987,4229,4485,4677,4751,4745,4750,4750,4726,4679,4612,4528,4429,4314,4185,4043.9999999999995,3895,3738,3576,3411,3245,3077,2906,2745,2604,2476,2347,2219,2096,1973,1853,1737,1626,1508,1377,1241,1108,976,861,772,698,628,565,495,407,313,218,134,88,62,49,43,37,30,21,11,6,3,2
1959,4908,4837,4757,4671,4650,4514,4387,4271,4167,4072,3986,3929,3909,3918,3936,3964,4002,4043.9999999999995,4091,4147,4209,4277,4351,4428,4500,4560,4636,4738,4847,4943,5039,5060,4968,4801,4646,4499,4332,4144,3955,3769,3564,3499,3647,3930,4196,4478,4685,4758,4738,4732,4720,4689,4642,4580,4500,4404,4288,4151,3996,3835,3666,3496,3329,3166,2999,2830,2669,2525,2390,2255,2123,1994,1868,1746,1628,1515,1395,1263,1126,993,863,749,663,592,525,467,403,328,249,164,97,67,47,35,29,25,20,14,6,3,3
