Time,Births
1950,145868.0
1951,148761.0
1952,152520.0
1953,156526.0
1954,160554.0
1955,165853.0
1956,169799.0
1957,173673.0
1958,177734.0
1959,182209.0
1960,189957.0
1961,193754.0
1962,198364.0
1963,203481.0
1964,208655.0
1965,219778.0
1966,223911.0
1967,228167.0
1968,232561.0
1969,237223.0
1970,248885.0
1971,252883.0
1972,257471.0
1973,262624.0
1974,268319.0
1975,281910.0
1976,288105.0
1977,295267.0
1978,303101.0
1979,311276.0
1980,319646.0
1981,326146.0
1982,332998.0
1983,341356.0
1984,352707.0
1985,350941.0
1986,374889.0
1987,402929.0
1988,432400.0
1989,459894.0
1990,433150.0
1991,438870.0
1992,441115.0
1993,441807.0
1994,443408.0
1995,435315.0
1996,442799.0
1997,453181.0
1998,465753.0
1999,479644.0
2000,478254.0
2001,490177.0
2002,503194.0
2003,517463.0
2004,533083.0
2005,527375.0
2006,544108.0
2007,561968.0
2008,580903.0
2009,600977.0
2010,542971.0
2011,560775.0
2012,579933.0
2013,600102.0
2014,620797.0
2015,564847.0
2016,583935.0
2017,602977.0
2018,622373.0
2019,642662.0
2020,619443.0
2021,640223.0
2022,661677.0
2023,683676.0
2024,705963.0
2025,679839.0
2026,699850.0
2027,720186.0
2028,740486.0
2029,760340.0
2030,729671.0
2031,747116.0
2032,763962.0
2033,780377.0
2034,796682.0
2035,765983.0
2036,781444.0
2037,796899.0
2038,812417.0
2039,828026.0
2040,798657.0
2041,813583.0
2042,828595.0
2043,843681.0
2044,858813.0
2045,827969.0
2046,842328.0
2047,856727.0
2048,871122.0
2049,885448.0
2050,857957.0
2051,871652.0
2052,885193.0
2053,898545.0
2054,911672.0
2055,881772.0
2056,893993.0
2057,905962.0
2058,917620.0
2059,928889.0
2060,901031.0
2061,911432.0
2062,921378.0
2063,930910.0
2064,940100.0
2065,910143.0
2066,918724.0
2067,927023.0
2068,935027.0
2069,942717.0
2070,912142.0
2071,919420.0
2072,926393.0
2073,933066.0
2074,939445.0
2075,909539.0
2076,915635.0
2077,921446.0
2078,926956.0
2079,932136.0
2080,904233.0
2081,909145.0
2082,913731.0
2083,917970.0
2084,921832.0
2085,895532.0
2086,899125.0
2087,902353.0
2088,905194.0
2089,907630.0
2090,883193.0
2091,885448.0
2092,887332.0
2093,888836.0
2094,889951.0
2095,869263.0
2096,870286.0
2097,870972.0
2098,871312.0
2099,871297.0
