Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,130509.99999999999,121172,112904,105622,99243,93684,88858,84684,81075,77950,75288,73071,70889,68529,66103,63933,61959,59996,57987,55971,54071,52293,50499,48641,46791,44986,43116,41726,41061,40817,40513,40324,39529,37746,35335,33080,30867,28757,26872,25190,23495,21744,20536,20121,20214,20309,20545,20451,19757,18692,17749,16814,16024.999999999998,15493,15122,14709,14296,13845,13315,12737,12178,11623,11073,10536,10005,9470,8937,8386,7809,7216,6633,6061,5493,4931,4381,3848,3334,2858,2432,2049,1691,1358,1069,833,641,473,330,218,141,90,53,40,30,20,9,3,3,2,1,0,2
1951,123459,124439,116246,108938,102446,96702,91639,87183,83287,79887,76909,74319,72106,69928,67609,65238,63093,61118,59160,57169,55183,53304,51543,49768,47935,46113,44333,42489,41119,40459,40213,39909,39718,38930,37166,34786,32558,30370,28286,26427,24769,23097,21371,20178,19763,19846,19932,20154,20054,19363,18307,17370,16443,15655,15119,14741,14321,13901,13442,12906,12321,11755,11193,10637,10093,9555,9015,8478,7927,7352,6764,6190,5626,5072,4530,4003,3495,3006,2558,2162,1811,1483,1182,923,713,544,397,275,184,119,75,44,32,25,17,8,3,2,1,1,2
1952,119654,115483,119003,111913,105523,99785,94647,90052,85943,82304,79096,76249,73718,71498,69315,67023,64699,62565,60579,58616,56636,54669,52803,51050,49286,47468,45663,43899,42075,40716,40059,39809,39503,39309,38523,36772,34409,32197.000000000004,30026,27957,26114,24472,22815,21105,19921,19503,19578,19654,19865,19757,19065,18014,17080,16152.999999999998,15363,14822,14435,14006,13576,13108,12562,11968,11392,10821,10256,9702,9155,8607,8064,7508,6933,6349,5778,5222,4679,4152,3645,3160,2695,2271,1904,1582,1284,1012.9999999999999,781,597,450,322,223,150,97,60,34,25,20,13,6,2,2,1,1
1953,118689,115487,112086,113698,107703,102226,97237,92698,88568,84802,81416,78396,75678,73204,70974,68782,66515,64233.00000000001,62110,60112,58142,56170,54218,52362,50616,48860,47055,45266,43518,41709,40361,39705,39452,39143,38946,38161,36419,34072,31875,29716,27661,25832,24204,22560,20864,19687,19267,19331,19399,19599,19483,18790,17742,16808,15881,15090,14541,14145,13706,13267,12789,12233,11627,11041,10461,9885,9321,8765,8208,7658,7098,6522,5940,5374,4823,4289,3778,3292,2828,2385,1988,1647,1354,1087,844,641,481,357,249,170,117,76,46,25,19,15,10,5,2,1,1
1954,120332,116964,113452,109828,108365,103469,98909,94671,90733,87070,83649,80517,77686,75098,72680,70440,68239,65998,63760,61646,59636,57659,55695,53760,51916,50175,48429,46636,44862,43130,41338,40000,39346,39089,38778,38577,37795,36062,33730,31547,29401,27360,25545,23931,22301,20620,19450,19027,19082,19140,19329,19207,18512,17467,16534,15608,14814,14259,13852,13404,12955,12466,11900,11285,10689,10099,9513,8939,8372,7808,7250,6686,6108,5529,4966,4421,3898,3404,2938,2495,2075,1702,1390,1126,888,675,500,365,264,175,117,83,55,30,15,12,9,6,3,1,1
1955,124352,119773,115352,111087,106980,103029,99233,95592,92106,88774,85577,82500,79624,76982,74523,72162,69912,67702,65486.99999999999,63291,61188,59164,57180,55224,53306,51472,49738,48000,46221,44463,42746,40969,39642,38989,38728,38414,38211,37430,35708,33391,31222,29089,27061,25260,23660,22044,20376,19214,18788,18835,18883,19061,18930,18235,17192,16261,15335,14539,13977,13561,13102,12644,12145,11568,10942,10336,9736,9141,8556,7979,7405,6842,6273,5694,5117,4559,4019,3507,3027,2583,2161,1764,1416,1132,898,689,506,359,249,170,101,65,49,33,15,6,5,3,2,1,1
1956,129953,120415,115798,111569,107675,104067,100755,97749,94686,91391,87999,84807,81741,78872,76261,73844,71494,69235,67022,64819,62645,60557,58545,56575,54637,52738,50923,49206,47486,45722,43977,42273,40512,39193,38540,38273,37954,37743,36962,35256,32961,30812,28699,26691,24908,23322,21721,20068,18913,18482,18514,18549,18710,18566,17868,16827,15896,14970,14170,13597,13166,12696,12224,11713,11126,10493,9880,9273,8674,8087,7509,6937,6376,5816,5251,4693,4155,3637,3150,2701,2290,1902,1540,1226,971,766,580,424,303,210,141,83,53,41,27,13,5,4,3,1,1
1957,136739,127631,116428,111776,107740,104219,101110,98435,96219,93735,90631,87181,83996,80942,78082,75502,73128,70793,68525,66309,64119,61969,59897,57897,55942,54022,52144,50348,48651,46948,45201,43471,41781,40035,38726,38071,37799,37474,37256,36477,34785,32516,30388,28296,26308,24543,22973,21387,19752,18604,18167,18185,18205,18349,18194,17493,16454,15524,14599,13795,13212,12767,12283,11799,11277,10680,10039,9418,8807,8204,7613,7035,6465,5908,5355,4806,4267,3749,3253,2793,2375,1998,1644,1316,1035,811,632,472,343,245,170,112,64,42,32,22,10,5,3,1,1
1958,144113,132445,122645,112545,107854,104008,100854,98241,96201,94770,92859,89946,86435,83255,80211,77355,74806,72474,70148,67871,65651,63473,61344,59287,57298,55355,53452,51594,49815,48135,46449,44717,43000,41324,39591,38290,37635,37356,37025,36800,36022,34344,32097,29989,27916,25947,24198,22643,21072,19450,18309,17867,17871,17876,18003,17836,17133,16096,15165,14240,13432,12838,12379,11881,11384,10850,10244,9594,8967,8349,7741,7148,6569,6000,5446,4901,4365,3845,3348,2873,2438,2051,1707,1388,1094,846,652,500,365,262,189,130,82,46,31,24,15,7,3,1,1
1959,151388,137566,126089,116725,108860,104122,100458,97667,95545,94136,93488,92150,89420,85842,82661,79620,76767,74242,71946,69629,67337,65110,62940,60828,58781,56800,54867,52977,51135,49371,47706,46033,44312,42604,40939,39217,37922,37265,36979,36642,36410,35631,33964,31735,29644,27586,25632,23897,22353,20794,19184,18047,17598,17588,17579,17690,17511,16802,15766,14832,13905,13093,12488,12013,11501,10990,10442,9825,9167,8530,7906,7292,6696,6114,5545,4993,4456,3933,3430,2952,2499,2088,1731,1420,1134,874,658,493,370,258,181,134,92,53,29,19,15,10,5,1,1
