Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017994530108726602,0.035602889627290094,0.06320013570079855,0.10151253573931972,0.14878910184528704,0.2007027049017398,0.2512736011811472,0.2944644797577518,0.325781766556667,0.34382524476585563,0.35040405123846236,0.3491070418320333,0.3442262562407387,0.3399307415448981,0.3371269756579199,0.33364077019030186,0.3272657932166064,0.31601765197380693,0.2984393691612126,0.27515894410744696,0.2484542914889974,0.2204391815815232,0.19282110520021578,0.1668190909634511,0.1428876302044656,0.12102188005315886,0.10122180009264962,0.08349214856822981,0.06782777798419427,0.05422290611922217,0.042637137233555625,0.03296465706796824,0.025048954006068068,0.01869977442573311,0.013709263062740127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01761342957748075,0.034864180305866084,0.06190214642069786,0.09942951224428216,0.14571387081642828,0.1964966273797115,0.24590681187656685,0.2880314462316297,0.318486231960743,0.335933139934948,0.34218342898373033,0.3407818349580279,0.3359484476396444,0.331772605970796,0.3291247769244696,0.3258373187089762,0.3197089759640995,0.30875653956262045,0.29152294915841725,0.26864735082671226,0.24242290327274374,0.21496531895692236,0.18797028925042156,0.1626348228020031,0.13937517770255312,0.11814504450383032,0.09891666338837812,0.08167948077039823,0.06642334085111928,0.053146425349337244,0.041817786741511896,0.03234288070293857,0.024576727557994893,0.018339780885612278,0.013433401379384046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01737561142268819,0.03440476180884051,0.061096282202890546,0.09813642398115567,0.14380246773616628,0.19387622860937068,0.24255283183302673,0.2839966038980506,0.31389295865218736,0.3309460235734077,0.336972440405063,0.3354925240749144,0.330683240413869,0.3265849521076247,0.3240440009877535,0.32089298482934797,0.3149297009522089,0.30416757737785166,0.28714639239168155,0.26451475015269593,0.23858170410602905,0.2114687626164996,0.1848665314564021,0.15995855261071948,0.13713445810600894,0.1163180896133009,0.0974617114030106,0.08054368236754317,0.06555013286401845,0.05248202023408302,0.04131510542715104,0.031962770874660464,0.024288075007676563,0.018118855825748615,0.013262742123430891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01725353206521809,0.034170514781827276,0.06068679585151925,0.0974795231879482,0.14282900365187373,0.19253538622028893,0.2408258926364745,0.28190422334338217,0.3114931128880833,0.3283217527567195,0.3342137315521467,0.3326800681283658,0.32787746758845404,0.32382197328015283,0.32134582108810056,0.31827771756995754,0.3124107038964969,0.301752253954831,0.2848373186667896,0.26232191659894954,0.23652983617155557,0.2095903305846859,0.18319381332540144,0.15851724086998178,0.13593368046203974,0.11534747211973298,0.09669782079701572,0.07995581574218456,0.06510510472442053,0.05214841527511351,0.04106580969261839,0.031775665681547105,0.024146028463723605,0.018009237826868366,0.01317665951038596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017222916093219305,0.034113583364860034,0.06058888397629518,0.09732261573562079,0.14259360599910131,0.1922038315544297,0.24038645421084803,0.2813546871066827,0.31084238375739537,0.3275889643766674,0.33342459786173995,0.33186173851052647,0.32705420790263595,0.3230129199262597,0.32056456784900805,0.317532206073724,0.3117027261202128,0.301077219208256,0.2841857200319356,0.26168905210397786,0.2359223013337911,0.20902220943300492,0.18268198650528628,0.15807734619291106,0.1355738214174655,0.11506597075542244,0.09648644954063758,0.07980269955526,0.06499710007012917,0.052073244867648555,0.04101328024978969,0.03173791071805307,0.024117422181782602,0.0179860965575621,0.013156828016500753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01726136384061065,0.03418967700413859,0.06072394655449608,0.09753945390146852,0.14291118748094675,0.1926317865404357,0.2409215963854824,0.28198097369806235,0.3115342942992469,0.328318176125292,0.3341668511778356,0.33260057563250195,0.3277824011304023,0.3237321573638335,0.3212783774001117,0.31823927847139144,0.3123968339910031,0.3017476928460853,0.2848186220093027,0.2622719058219317,0.23644780946297392,0.20948781985905848,0.1830889130190979,0.15842942313057834,0.13587571451947758,0.11532213352776793,0.09670119841188991,0.07998028307995339,0.06514172591326736,0.05218912197042852,0.041104569021125574,0.03180858708931431,0.02417116709057994,0.018026217910177698,0.013186215185005866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01734731554045294,0.03435606978765579,0.06101607795991742,0.09800810626117062,0.14360312407474318,0.1935785545794674,0.24213041434056928,0.2834310847710174,0.313180190249749,0.3301000504338931,0.3360240977551981,0.33448231637459,0.3296538754909572,0.32557653238452683,0.3230870299481272,0.32000234247643383,0.31410358449070475,0.3033874613929766,0.28638100343229156,0.26374374963966585,0.2378120143933316,0.21072654688151832,0.184186905302629,0.15937643107014432,0.13667026794075698,0.11597230890882851,0.09722147033183165,0.08038869959070061,0.06545755085408747,0.052430745465186966,0.041288210268814345,0.03194785599547331,0.02427699363855132,0.018107041941815408,0.013248338564291588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017459314958141722,0.03457018947634446,0.061389602447790195,0.09860700493524628,0.14449139556695284,0.1948044438313546,0.24371360559648017,0.2853554137589027,0.3153947348523033,0.33252951461424646,0.33858502895070897,0.3370983475833218,0.33226633571259034,0.3281486217101412,0.3255955978708154,0.32242954527479784,0.31643777635264325,0.3056242599505646,0.2885218159328907,0.2657820898720352,0.23972506765184817,0.2124823364955945,0.18575256738878523,0.160724981846112,0.13779117799234106,0.1168747636101334,0.0979278495636613,0.08092871874518874,0.06586342665254712,0.052732897708122055,0.04151272757464549,0.03211583961078457,0.024404602031891605,0.018206005885276037,0.0133267480519593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017573859630778222,0.03478617932914998,0.061763684204284644,0.0992063959481163,0.14538489937637594,0.1960492608950435,0.24534122671176317,0.28736138086743,0.3177363181891518,0.33513272561862567,0.34135963991851587,0.3399551281549292,0.3351304213583075,0.33096581273266634,0.3283289430122871,0.32505526271831936,0.3189465748074837,0.3080222568565755,0.29082709376561044,0.2679998877155728,0.2418315173611876,0.21443504936111238,0.1875034523506714,0.16223119828400015,0.13903232641219196,0.11785877248874917,0.09868158008101059,0.08148950522900204,0.06627214553062205,0.0530278185611221,0.04172599949256554,0.032272742872466564,0.024523758814996775,0.01830021155803485,0.013404140969127206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017660075351119044,0.034946756066026936,0.062039966434076256,0.09964880144555614,0.14604742854691163,0.19698018019482497,0.24657179496196502,0.2888963028508261,0.31954971064549137,0.3371709775060972,0.3435516397050002,0.34222630571330953,0.33741447823486737,0.3332108301419992,0.3304981943180128,0.32712714924362507,0.320915874069055,0.30990067450992126,0.2926393779330955,0.2697579535054911,0.24351709025642562,0.2160097657685933,0.18892139205750896,0.16344984299985502,0.14002983344113185,0.11864014517110884,0.0992697410493272,0.0819172417346382,0.06657554092040548,0.05324045090278905,0.041875694010280164,0.03238097083206561,0.02460591681685914,0.018366455852919787,0.01346051176858016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
