Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,972,974,978,982,987,991,995,997,996,993,989,983,968,941,905,869,831,792,752,712,671,629,593,567,547,526,507,488,467,444,424,404,385,368,351,335,319,303,287,271,256,242,227,212,197,184,170,159,154,151,149,147,145,141,136,131,126,122,117,112,107,102,97,92,87,82,76,71,66,61,56,51,46,42,37,33,29,25,21,18,16,13,11,9,7,6,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
1951,1056,949,946,948,953,961,971,982,990,991,986,981,975,960,934,898,862,824,785,745,705,665,623,587,561,540,520,501,482,460,438,418,398,380,362,346,330,315,299,283,267,252,237,223,208,193,180,166,156,150,147,145,143,141,136,131,126,121,117,112,107,102,97,92,86,81,76,71,66,61,56,51,46,42,37,33,29,25,22,19,16,14,11,9,8,6,5,4,3,2,1,1,1,1,0,0,0,0,0,0,0
1952,1140,1032,928,919,919,925,936,951,971,984,986,980,975,969,954,927,892,856,819,780,740,700,659,618,582,555,535,514,495,476,455,433,413,393,375,358,342,326,310,295,279,263,248,233,219,204,190,176,162,152,146,143,141,139,136,132,126,121,117,112,107,102,97,91,86,81,76,71,66,61,56,51,46,42,37,33,29,26,22,19,16,14,12,10,8,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1953,1230,1089,984,909,894,892,900,914,935,962,980,984,977,971,965,950,924,889,853,815,776,736,696,656,614,578,551,531,510,491,471,450,429,409,390,371,354,338,322,307,291,276,259,244,230,215,201,186,172,159,149,143,140,137,135,132,128,122,117,112,107,102,97,92,86,81,76,71,66,61,56,51,46,42,37,33,29,26,22,19,16,13,11,9,8,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1954,1329,1163,1037,945,891,871,867,876,893,919,954,979,984,975,969,963,948,922,887,851,813,774,734,694,653,611,575,548,527,506,487,467,446,425,405,386,368,351,335,319,304,289,273,257,241,227,212,198,183,169,156,146,140,137,134,131,128,124,118,113,108,103,98,92,87,82,76,71,66,61,56,51,46,41,37,33,29,25,22,19,16,13,11,9,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0
1955,1434,1250,1107,999,923,874,849,843,852,873,905,947,978,984,974,967,961,946,920,886,850,811,772,732,692,651,609,573,545,524,503,483,464,443,422,402,383,365,348,332,316,301,286,270,254,238,224,209,195,180,167,153,143,137,133,130,128,125,120,114,109,104,99,93,88,82,77,71,66,61,56,51,46,41,37,32,28,25,21,18,15,13,10,8,7,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
1956,1534,1375,1210,1080,982,912,866,840,834,844,867,899,941,971,977,967,960,954,939,913,878,842,804,764,724,684,643,601,565,538,517,497,477,458,437,416,396,378,360,343,327,311,296,281,265,249,233,219,204,190,176,162,149,138,132,129,126,123,120,115,109,104,99,94,88,83,77,72,66,61,56,51,46,42,37,33,29,25,22,19,16,13,11,9,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0
1957,1637,1436,1320,1173,1056,967,903,859,833,826,838,863,895,937,966,972,962,956,949,934,907,873,836,798,758,718,678,637,595,559,532,511,491,472,452,432,411,392,373,356,339,322,307,291,276,260,244,229,214,200,185,171,158,145,135,128,125,122,119,116,111,105,99,94,89,83,78,72,67,61,56,51,46,42,37,33,29,26,22,19,16,14,11,9,7,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1958,1738,1535,1363,1266,1137,1033,953,895,854,827,820,833,860,893,934,962,969,959,952,945,930,903,868,832,793,753,713,673,632,589,553,527,506,486,467,448,428,407,387,369,352,335,318,303,287,272,256,240,225,210,196,181,167,154,141,131,124,121,117,115,111,106,100,94,89,84,78,73,67,62,56,51,47,42,37,33,29,26,22,19,16,14,11,9,8,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1959,1831,1631,1458,1310,1214,1102,1012,941,888,849,822,814,829,858,892,932,960,966,957,950,943,927,900,865,828,789,749,708,668,627,585,548,522,502,481,463,444,424,403,384,366,348,331,315,299,283,268,252,236,221,206,192,178,164,150,137,127,121,117,114,111,107,102,96,90,85,79,74,68,62,57,52,47,42,38,33,29,25,22,19,16,13,11,9,7,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1960,1909,1720,1552,1403,1274,1162,1068,991,929,881,846,818,810,825,857,891,930,958,964,955,948,941,924,897,862,825,786,745,704,664,623,580,544,517,497,477,459,440,420,399,380,362,345,328,311,295,280,264,248,232,217,202,188,174,160,147,134,124,117,113,110,107,103,98,91,85,80,75,69,63,58,52,47,42,37,33,29,25,22,18,15,13,10,8,7,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
1961,1959,1843,1671,1517,1378,1256,1150,1058,982,921,876,841,812,804,819,851,884,923,951,956,947,939,931,915,887,852,815,775,735,694,655,614,572,536,510,490,470,452,433,414,393,374,356,338,322,305,289,274,258,242,227,211,197,183,169,155,142,129,119,113,109,105,102,98,93,86,80,75,69,64,58,53,48,43,38,34,30,26,22,19,16,13,11,9,7,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,0
1962,1998,1850,1782,1628,1486,1358,1243,1140,1050,975,917,874,839,809,800,816,847,881,919,946,951,941,933,925,908,880,844,807,767,727,687,647,607,566,530,504,485,465,447,428,408,388,369,351,333,316,300,284,269,253,237,221,206,192,178,164,150,138,125,115,109,104,100,97,93,88,81,76,70,65,59,54,48,43,38,34,30,26,23,19,16,14,11,9,7,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1963,2031.0000000000002,1906,1783,1724,1587,1458,1340,1231,1133,1045,971,914,872,838,808,798,813,845,879,917,943,948,937,929,920,903,874,838,801,761,720,680,641,601,560,525,500,480,460,442,424,404,383,364,346,329,312,295,279,264,248,233,217,202,187,173,159,146,134,121,111,105,100,96,93,89,83,77,71,65,60,54,49,44,39,34,30,26,23,19,16,14,12,9,8,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1964,2065,1961,1853,1744,1668,1547,1431,1322,1221,1127,1040,967,912,872,837,807,796,812,844,877,915,941,945,934,925,916,898,869,833,795,755,714,674,635,596,555,521,495,475,456,438,420,400,379,360,342,324,307,291,275,259,244,228,212,197,183,169,155,142,129,117,107,101,96,92,88,84,79,72,66,61,55,50,45,40,35,30,26,23,20,16,14,11,9,7,6,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0
1965,2107,2016,1919,1819,1715,1611,1506,1404,1304,1210,1120,1035,963,910,871,837,806,794,810,842,875,913,938,942,931,921,911,893,864,827,789,748,707,668,630,590,550,516,490,471,452,434,416,396,375,356,337,320,302,286,270,254,239,223,208,193,178,164,151,138,125,113,103,97,92,88,84,80,74,67,61,56,50,45,40,35,31,26,23,19,16,13,11,9,7,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,0
