Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,162245,154839,147805,141144,134865,128970,123465,118353,113641,109334,105360,101649,98582,96315,94626,93125,91875,90596,89104,87501,86077,84784,83442,81990,80484,78999,77479,76125,75031,74076,73066,72063,70807,69159,67243,65333,63378,61419,59501,57600,55639,53628,51638,49697,47777,45862,43999,41973,39693,37283,34943,32610,30561,28951,27644,26347,25108,23918,22742,21586,20499,19474,18429,17327,16199.000000000002,15107,14038,12999,11998,11027,10082,9172,8258,7324,6395,5512,4669,3900,3227,2639,2091,1589,1168,844,598,392,227,109,36,1,16,13,9,6,2,0,0,0,0,0,0
1951,177894,155408,148193,141669,135760,130394,125601,121405,117228,112789,108321,104272,100478,97316,94994,93270,91681,90303,88922,87382,85764,84316,82997,81647,80217,78751,77309,75839,74527,73458,72519,71529,70549,69318,67694,65805,63920,61990,60057,58169,56300,54370,52390,50427,48506,46602,44701,42850,40841,38583,36199,33882,31570,29534,27918,26596,25284,24029,22819,21620,20439,19329,18281,17219,16110,14981,13891,12831,11804,10820,9874,8958,8080.999999999999,7216,6353,5510,4714,3959,3280,2695,2192,1729,1309,960,690,484,316,183,89,31,1,13,11,7,5,2,0,0,0,0,0
1952,189547,170701,148486,141467,135455,130298,125847,122151,119262,116014,111851,107227,103107,99234,95980,93604,91847,90171,88667,87188,85599,83967,82498,81153,79800,78392,76965,75566,74147,72878,71836,70913,69945,68988,67781,66184,64322,62464,60560,58655,56798,54962,53066,51117,49183,47284,45397,43512,41674,39682,37449,35093,32800,30512,28489,26870,25533,24207,22937,21709,20488,19284,18151,17081,16003,14886,13756,12671,11619,10606,9642,8720,7834,6989,6174,5382,4626,3917,3251,2660,2164,1745,1367,1031,753,536,369,241,140,69,25,2,9,8,6,4,2,0,0,0,0
1953,197865,176132,158307,141964,135122,129606,125186,121632,119021,117426,115097,111196,106406,102205,98243,94889,92455,90661,88894,87262,85679,84039,82390,80894,79521,78158,76769,75380,74022,72649,71419,70401,69492,68543,67607,66421,64845,63007,61170,59287,57405,55576,53768,51899,49979,48067,46185,44311,42437,40607,38627,36414,34079,31805,29535,27519,25893,24538,23195,21907,20659,19412,18181,17023,15928,14831,13704,12572,11488,10442,9440,8492,7593,6734,5920,5153,4430,3757,3133,2553,2051,1641,1304,1010,755,547,383,257,165,98,49,18,2,7,5,4,2,1,0,0,0
1954,203257,180447,161771,146811,135876,129189,124152,120455,117791,116257,115953,114537,110887,105916,101619,97557,94091,91593,89755,87892,86126,84435,82736,81065,79540,78133,76758,75383,74026,72704,71375,70180,69183,68285,67352,66434,65265,63707,61886,60066,58198,56334,54524,52739,50892,48994,47100,45228,43360,41492,39665,37692,35489,33170,30908,28648,26633,24995,23619,22254,20944,19669,18395,17134,15947,14825,13705,12565,11426,10338,9296,8302,7367,6487,5653,4868,4145,3489,2899,2358,1863,1447,1120,868,655,482,344,232,146,91,55,29,12,2,4,3,2,2,0,0,0
1955,206001,183751,165418,150615,138953,130044.99999999999,123501,118935,115958,114182,113730,114725,114224,110819,105654,101254,97080,93497,90926,89041,87076,85171,83369,81608,79912,78351,76908,75518,74155,72827,71538,70249,69088,68108,67220,66301,65399,64245.99999999999,62702,60893,59086,57230,55378,53585,51821,49990,48109,46229,44365,42499,40633,38804,36832,34638,32328.000000000004,30072,27819,25800,24146,22745,21355,20020,18718,17412,16117.999999999998,14898,13745,12600,11443,10296,9204,8162.000000000001,7174,6250,5388,4578,3819,3140,2550,2040,1583,1172,841,601,431,299,207,140,80,33,16,13,9,6,2,0,0,0,0,0,0
1956,204243,194000,174816,158879,145880,135511,127417,121244,116916,114218,112700,112262,113079,112424,108975,103831,99379,95111,91453,88850,86961,84987,83070,81274,79546,77898,76389,75002,73662,72338,71041,69787,68535,67405,66444,65569,64662.00000000001,63771,62634,61120,59346,57573,55750,53927,52157,50410,48598,46735,44869,43015,41159,39300,37477,35514,33334,31042,28804,26568,24561,22905,21496,20102,18765,17464,16165,14885,13680,12546,11429,10313,9214,8175.000000000001,7188,6264,5416,4637,3911,3236,2639,2128,1692,1305,965,692,490,347,241,168,113,65,27,13,11,7,5,2,0,0,0,0,0
1957,201876,184540,182951,166728,153099,141834,132703,125382,119550,115438,113003,111736,111310,111954,111142,107636,102486,97964,93582,89836,87189,85286,83293,81356,79560,77856,76249,74784,73447,72152,70859,69588,68363,67141,66035,65090,64224.00000000001,63326,62441,61316,59824,58078,56330,54530,52728,50973,49236,47433,45579,43720,41870,40014,38153,36328,34364,32189,29904,27673,25445,23439,21775,20354,18949,17603,16297.999999999998,15000,13727,12532,11411,10318,9235,8180.999999999999,7188,6251,5388,4611,3912,3266,2673,2155,1718,1354,1036,764,546,384,266,185,129,87,51,21,9,8,6,4,2,0,0,0,0
1958,199545,185153,172427,172363,159060,147706,138147,130231,123665,118158,114253,112076,111054,110640,111113,110144,106569,101403,96798,92292,88446,85748,83828,81811,79850,78048,76364,74793,73369,72077,70823,69561,68311,67111,65917,64833,63900,63041,62150,61269,60153,58678,56957,55229,53450,51664,49918,48186,46390,44541,42683,40831,38969,37104,35270,33302,31126,28843,26611,24386,22377,20701,19262,17843,16486,15173,13872,12602,11416,10306,9232,8180.999999999999,7168,6220,5331,4525,3818,3197,2629,2115,1675,1312,1018,768,563,401,277,185,129,91,61,36,15,7,5,4,2,1,0,0,0
1959,198070,186101,175119,165085,161890,151507,142426,134571,127867,122053,116869,113168,111247,110472,110068,110370,109241,105595,100408,95716,91080,87132,84379,82440,80397,78409,76600,74935,73399,72014,70768,69555,68320,67091,65916,64748.99999999999,63685,62765,61912,61026,60148,59041,57583,55883,54174,52413,50642,48905,47177,45383,43537,41680,39824,37956,36084,34240,32265,30086,27803,25571,23345,21331,19642,18184,16750,15379,14056,12753,11486,10305,9204,8150,7130,6157,5254,4412,3663,3026,2482,1992,1557,1194,906,682,501,364,257,171,104,73,52,35,21,8,4,3,2,2,0,0,0
