Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,3965.0,3631.9999999999995,3352.0,3120.0,2931.0,2781.0,2663.9999999999995,2576.0,2512.0,2467.0,2441.9999999999995,2435.0,2419.0,2379.0,2325.0,2280.0,2240.0,2200.0,2160.0,2120.0,2080.0,2040.0,2000.0,1960.0,1920.0,1880.0,1840.0,1800.0,1760.0,1720.0,1680.0,1640.0,1600.0,1560.0,1520.0,1480.0,1440.0,1400.0,1360.0,1320.0,1280.0,1240.0,1200.0,1160.0,1120.0,1082.0,1046.0,1006.0,958.0,907.0,858.0,805.0,773.0,773.0,792.0,810.0,834.0000000000001,834.0000000000001,794.0,730.0,670.9999999999999,607.0,567.0000000000001,566.0000000000001,589.0,606.0,624.0,625.0,596.0,547.9999999999999,504.0,457.99999999999994,415.0,377.99999999999994,345.0,310.0,275.0,240.0,205.0,170.0,136.0,104.00000000000001,78.0,63.0,55.99999999999999,49.0,44.00000000000001,39.0,32.0,25.0,19.0,13.999999999999998,12.0,9.000000000000002,6.0,4.0,4.0,3.0,2.0,1.0,3.0
1951,4133.0,3861.0,3555.0,3292.0,3068.0,2881.0,2726.0000000000005,2596.0,2503.0,2449.0,2424.0,2414.0,2423.0,2413.0000000000005,2366.0,2296.9999999999995,2238.0,2183.0000000000005,2133.0,2092.0,2056.0,2019.0000000000002,1982.0,1944.0,1904.0000000000002,1863.0000000000002,1824.0,1785.0,1745.0,1704.0,1662.0,1621.0,1578.0,1540.0,1509.0000000000002,1480.9999999999998,1452.0,1425.0,1393.0,1355.0,1313.0000000000002,1271.0,1229.0,1188.0,1148.0,1109.0,1071.0,1035.0,996.0,950.0,903.0,857.0,809.0,777.0,768.0,772.0,775.9999999999999,785.0,778.0,747.0,700.0,655.9999999999999,609.0,577.0000000000001,571.0000000000001,579.0,583.0,589.0,580.0,546.0,497.00000000000006,451.0,402.99999999999994,361.0,330.0,306.0,280.0,256.0,228.0,193.99999999999997,158.0,124.0,91.0,65.0,51.0,46.0,40.99999999999999,37.00000000000001,33.0,27.000000000000004,20.0,15.0,12.0,10.0,6.999999999999999,5.0,3.0,3.0,2.0,1.0,2.0
1952,4309.0,4008.9999999999995,3784.0,3503.0,3253.9999999999995,3037.0,2852.0,2690.0,2546.0,2447.0,2404.0,2398.0,2403.0,2426.0,2423.0,2370.0,2285.0,2211.9999999999995,2142.0,2081.0,2038.0000000000002,2006.9999999999998,1972.0,1936.9999999999998,1901.0,1861.9999999999998,1820.0,1780.0,1742.0,1703.0,1660.0,1615.9999999999998,1573.0000000000002,1528.0,1492.0,1468.0000000000002,1452.0,1435.0,1419.0,1395.0,1359.0,1314.0,1271.0,1227.0,1184.0000000000002,1144.0000000000002,1105.9999999999998,1068.0,1031.0,992.0,949.0000000000001,905.0,862.0,819.0000000000001,785.9999999999999,768.0,758.0,749.0000000000001,742.0,729.0000000000001,705.0,675.0,645.9999999999999,615.0,592.0000000000001,579.0,573.0,565.0,557.9999999999999,539.0,501.0,450.0,402.0,351.00000000000006,310.0,284.0,268.99999999999994,253.0,238.00000000000003,217.0,185.0,147.0,113.0,79.0,53.0,40.0,36.00000000000001,34.0,30.0,27.000000000000004,22.000000000000004,16.0,12.0,9.000000000000002,8.0,6.0,4.0,2.0,2.0,1.0,2.0
1953,4457.0,4185.0,3921.0000000000005,3723.0000000000005,3465.0,3230.0,3018.9999999999995,2833.9999999999995,2666.0000000000005,2506.9999999999995,2401.9999999999995,2369.0,2381.9999999999995,2401.9999999999995,2440.0,2444.0,2383.0,2282.0,2195.0,2109.0,2038.0000000000002,1994.0,1966.0,1933.0,1901.0,1867.0,1827.0,1784.0,1744.0,1706.9999999999998,1666.9999999999998,1623.0000000000002,1577.0,1531.9999999999998,1484.0,1450.0,1434.0000000000002,1429.0,1423.0,1419.0,1403.0,1368.0,1321.0,1276.0,1229.0,1185.0,1145.0,1107.9999999999998,1069.0,1031.0,992.0,951.0,910.9999999999999,871.0,833.0,799.0,770.9999999999999,747.0,724.0000000000001,702.0000000000001,682.9999999999999,667.0,653.0,639.0,624.0,608.0,590.0,569.0,548.9999999999999,530.0,501.0,457.0,405.0,354.0,301.0,260.0,240.0,234.0,226.0,221.0,207.0,177.0,138.0,102.0,67.0,40.99999999999999,28.999999999999996,27.000000000000004,27.000000000000004,24.0,21.0,17.0,12.0,9.000000000000002,6.999999999999999,6.0,4.0,3.0,1.0,1.0,1.0
1954,4553.0,4325.0,4093.9999999999995,3861.0,3671.0000000000005,3435.0,3214.0,3008.0,2823.0,2647.0,2474.0,2363.0,2339.0,2372.0,2407.0,2460.0,2470.0,2401.9999999999995,2285.0,2183.0000000000005,2082.0,2000.0,1953.0,1929.0,1899.0,1870.0,1837.0,1797.0,1753.0,1712.0,1676.0,1636.0,1590.0,1541.0,1494.0,1444.0,1410.0,1403.0,1410.0,1415.0,1423.0,1415.0,1381.0,1331.0,1284.0,1235.0,1189.0,1148.0,1112.0,1073.0,1033.0,994.0000000000001,956.0,917.9999999999999,882.0,849.0000000000001,813.0,775.9999999999999,738.0,702.0000000000001,664.0,638.0,629.0,632.0,633.0,635.0,627.0,602.0,567.0000000000001,534.0,502.0,462.99999999999994,415.0,361.0,307.0,251.0,210.0,196.0,198.99999999999997,200.0,205.0,198.0,168.99999999999997,128.0,91.0,55.0,27.999999999999996,18.000000000000004,18.000000000000004,20.0,17.0,15.0,12.0,8.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0
1955,4587.0,4423.0,4239.0,4042.0,3833.9999999999995,3622.0,3409.0,3200.0,3000.0,2813.9999999999995,2631.9999999999995,2443.0,2325.0,2311.0,2363.0,2414.0,2483.0,2499.0,2423.0,2290.0,2173.0,2056.0,1963.0,1914.0000000000002,1894.0000000000002,1865.9999999999998,1839.0,1808.0,1768.0,1722.0,1682.0,1646.0,1605.9999999999998,1558.0,1506.0,1456.9999999999998,1404.0000000000002,1372.0,1373.0000000000002,1392.0,1408.0000000000002,1428.0000000000002,1428.0000000000002,1396.0,1343.0000000000002,1293.0000000000002,1242.0,1194.0,1153.0,1117.0,1078.0,1037.0,998.0,962.0000000000001,927.0,894.0,865.0,829.0000000000001,782.0,730.0,679.0,625.0,593.0,593.0,612.0,628.0,645.9999999999999,645.9999999999999,615.0,565.0,519.0,475.0,426.0,372.00000000000006,316.0,260.0,200.0,160.0,152.0,163.99999999999997,174.0,188.99999999999997,188.0,161.0,118.00000000000001,81.0,43.0,16.0,6.0,8.0,12.0,11.000000000000002,9.000000000000002,6.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0
1956,4536.000000000001,4561.0,4403.000000000001,4223.0,4026.0,3816.9999999999995,3602.0,3384.0,3171.9999999999995,2973.0000000000005,2790.0,2610.0,2424.0,2307.0,2294.0,2345.0,2395.0,2461.9999999999995,2479.0,2404.0,2274.0,2160.0,2045.0,1954.0,1906.0,1884.0000000000002,1855.9999999999998,1828.0,1797.0,1758.0,1714.0,1674.0000000000002,1640.0,1601.0,1551.9999999999998,1500.0,1449.0,1395.0,1361.9999999999998,1361.9999999999998,1382.0,1396.9999999999998,1416.0,1416.0,1386.9999999999998,1337.0,1291.0,1245.0,1196.0,1145.0,1094.0,1041.0,984.0000000000001,937.0,907.0,885.9999999999999,865.0,848.0,821.0,777.0,723.0,672.9999999999999,621.0,585.0,576.0000000000001,584.0,588.0,593.0,587.0000000000001,563.0,526.0,492.00000000000006,461.0,421.00000000000006,369.0,311.0,253.0,192.0,150.0,139.0,148.00000000000003,155.0,166.0,163.99999999999997,140.0,102.0,68.0,36.00000000000001,13.999999999999998,6.0,6.999999999999999,10.0,9.000000000000002,6.999999999999999,5.0,3.0,2.0,1.0,1.0,1.0,1.0
1957,4458.0,4454.0,4541.0,4388.999999999999,4212.0,4014.9999999999995,3805.0,3586.9999999999995,3363.0,3148.0,2950.0,2770.0,2593.0,2408.0,2293.0,2279.0,2329.0,2378.0,2445.0,2461.9999999999995,2389.0000000000005,2261.0,2149.0,2037.0,1948.0000000000002,1899.0,1876.9999999999998,1848.0,1819.0,1788.0,1750.0,1706.9999999999998,1669.0,1636.9999999999998,1598.0,1549.0000000000002,1495.0,1443.0,1388.0000000000002,1354.0,1353.0000000000002,1373.0000000000002,1389.0,1406.0,1406.9999999999998,1380.0,1334.0,1291.0,1250.0,1200.0,1139.0,1072.0,1004.9999999999999,932.9999999999999,879.0,853.0,846.0,837.0000000000001,833.0,814.0,773.0,718.0,667.9999999999999,616.0,578.0,561.0,556.0,548.9999999999999,541.0,530.0,512.0,488.0,466.0,447.99999999999994,417.00000000000006,366.0,305.0,246.00000000000003,183.0,140.0,126.0,132.0,136.0,143.00000000000003,140.0,119.00000000000001,86.0,55.99999999999999,28.999999999999996,12.0,5.0,6.0,8.0,6.999999999999999,6.0,4.0,3.0,1.0,1.0,1.0,1.0
1958,4382.0,4453.0,4461.0,4523.0,4377.0,4203.0,4006.9999999999995,3795.0,3573.0,3344.0,3125.0,2928.0,2752.0,2576.0,2394.0,2280.0,2266.0,2315.0,2363.0,2429.0000000000005,2445.9999999999995,2375.0,2249.0,2139.0000000000005,2029.9999999999998,1942.0,1894.0000000000002,1871.0,1841.0,1811.9999999999998,1780.0,1743.0,1702.0,1665.0,1634.0000000000002,1595.9999999999998,1546.0,1490.9999999999998,1436.9999999999998,1381.0,1345.9999999999998,1345.0,1365.0,1380.0,1396.0,1396.9999999999998,1373.0000000000002,1331.0,1291.9999999999998,1255.0,1204.0,1133.0,1051.0,969.0000000000001,882.0,820.0,800.0,807.0,810.0,817.0000000000001,807.9999999999999,770.0,713.0,662.9999999999999,612.0,571.0000000000001,545.0,529.0,511.0,490.0,473.0,461.0,450.0,441.0,435.0,413.0,364.0,300.0,239.0,175.0,130.0,114.0,117.0,117.0,121.0,117.0,98.0,70.0,43.0,22.000000000000004,10.0,5.0,5.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0
1959,4343.999999999999,4471.999999999999,4527.0,4518.0,4505.0,4364.0,4193.000000000001,3997.0,3785.0,3558.9999999999995,3324.0,3102.0,2906.0,2733.0,2559.0,2379.0,2267.0,2252.0,2300.0,2348.0000000000005,2413.0000000000005,2430.0,2360.0,2237.0,2130.0,2021.9999999999998,1936.0,1888.0000000000002,1864.0,1834.0,1804.0,1771.9999999999998,1735.0,1696.0,1661.0,1631.0,1593.0000000000002,1543.0000000000002,1486.0,1432.0,1374.0,1338.0,1337.0,1357.0,1372.0,1386.9999999999998,1388.0000000000002,1365.9999999999998,1328.0,1291.9999999999998,1260.0,1208.0,1127.0,1030.0,934.0,831.0,760.9999999999999,747.0,767.0,782.0,802.0,802.0,765.9999999999999,708.0,657.9999999999999,609.0,564.0,530.0,502.0,472.00000000000006,437.99999999999994,416.00000000000006,409.0,412.00000000000006,415.0,422.00000000000006,408.0,362.00000000000006,295.0,231.99999999999997,166.99999999999997,119.00000000000001,100.99999999999999,100.99999999999999,98.0,98.0,93.00000000000001,76.0,54.00000000000001,31.0,13.999999999999998,8.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0
