Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,4275.0,3736.0,3304.0,2968.0,2717.0,2539.0,2424.0,2360.0,2336.0,2340.9999999999995,2378.0,2450.0,2474.0,2410.0,2290.0,2189.0,2096.0,2000.0,1904.0000000000002,1811.0,1716.9999999999998,1615.9999999999998,1551.9999999999998,1544.0,1571.0,1597.0,1632.0,1640.0,1600.0,1531.0,1470.0,1406.0,1365.9999999999998,1365.9999999999998,1390.0,1408.0000000000002,1426.9999999999998,1426.9999999999998,1395.0,1341.9999999999998,1293.0000000000002,1242.0,1194.0,1154.0000000000002,1117.9999999999998,1080.0,1040.0,1000.0,960.0,920.0,880.9999999999999,843.0,802.9999999999999,759.0,715.0,672.0,630.0,593.0,564.0,541.0,518.0,495.0,476.00000000000006,461.0,450.0,439.0,430.0,413.0,380.0,337.99999999999994,298.0,256.0,225.0,212.0,209.0,205.0,203.0,192.0,166.99999999999997,133.0,102.0,72.00000000000001,49.0,38.0,36.00000000000001,33.0,31.0,28.999999999999996,24.0,19.0,13.999999999999998,12.0,10.0,8.0,5.0,4.0,3.0,3.0,2.0,1.0,3.0
1951,4450.0,4068.0000000000005,3606.0000000000005,3231.9999999999995,2937.0,2711.9999999999995,2546.9999999999995,2433.0000000000005,2365.0,2339.0,2340.9999999999995,2369.0,2428.0,2439.0,2365.0,2235.0,2124.0,2018.0000000000002,1918.0000000000002,1831.0,1755.0,1676.9999999999998,1595.0,1540.0,1525.0,1534.0,1544.0,1561.9999999999998,1561.9999999999998,1529.0000000000002,1476.0,1429.0,1379.0,1349.0,1351.9999999999998,1375.0,1392.0,1411.0,1408.0000000000002,1368.0,1305.0,1246.0,1184.0000000000002,1128.0,1087.0,1055.0,1019.0000000000001,982.0,944.0000000000001,905.0,864.0000000000001,825.0,787.9999999999999,749.0000000000001,705.0,660.0,617.0,573.0,537.9999999999999,515.0,500.0,485.0,471.00000000000006,456.0,437.99999999999994,417.00000000000006,397.99999999999994,381.0,360.0,332.99999999999994,302.0,272.0,240.0,216.00000000000003,206.00000000000003,204.0,201.99999999999997,201.0,191.0,165.0,129.0,96.0,63.0,38.0,30.0,27.999999999999996,27.999999999999996,26.000000000000004,24.0,20.0,15.0,12.0,9.000000000000002,8.0,6.0,4.0,3.0,2.0,2.0,1.0,2.0
1952,4574.0,4091.9999999999995,3895.0,3505.0,3185.0,2928.0,2727.0,2574.0,2459.0,2388.0,2359.0,2359.0,2378.0,2425.0,2424.0,2338.0,2199.0,2076.0,1956.0,1851.0,1771.9999999999998,1713.0,1651.0,1587.0,1540.0,1517.0,1508.0,1503.0,1505.0,1497.0,1470.0,1433.0,1399.0,1361.9999999999998,1341.9999999999998,1348.0,1369.0,1386.0,1405.0,1399.0,1351.9999999999998,1279.0000000000002,1209.0,1135.0,1073.0,1030.0,1000.9999999999999,967.0000000000001,932.9999999999999,897.0,857.0,816.0,777.0,741.0,702.0000000000001,657.0,611.0,567.0000000000001,521.0,487.00000000000006,470.0,463.99999999999994,456.0,452.0,441.0,418.0,389.0,362.00000000000006,336.0,312.0,289.0,268.99999999999994,248.0,225.0,209.0,201.99999999999997,201.0,200.0,201.99999999999997,192.0,163.99999999999997,126.0,91.0,54.00000000000001,28.999999999999996,22.000000000000004,21.0,22.000000000000004,21.0,19.0,16.0,12.0,9.000000000000002,6.999999999999999,6.0,5.0,3.0,2.0,1.0,1.0,2.0
1953,4657.0,4229.0,3858.0,3751.0000000000005,3430.0,3161.0,2940.0,2762.0,2620.0,2503.0,2428.0,2397.0,2394.0,2405.0,2440.0,2426.0,2328.0000000000005,2178.0,2043.0000000000002,1910.0,1798.0,1726.9999999999998,1684.0000000000002,1636.0,1590.0,1551.9999999999998,1520.0,1494.0,1474.0,1459.0,1443.0,1423.0,1400.0,1379.0,1355.0,1344.0,1354.0,1374.0,1390.0,1410.0,1401.0,1345.9999999999998,1262.0,1181.0,1095.9999999999998,1025.0,981.0,955.0,922.9999999999999,890.0,856.0,817.0000000000001,774.0,735.0,699.0000000000001,660.0,615.0,567.0000000000001,521.0,474.0,441.0,429.0,431.0,431.0,436.0,428.0,402.0,363.0,327.99999999999994,294.0,265.0,248.0,238.00000000000003,226.0,212.0,203.0,200.0,200.0,200.0,203.0,193.99999999999997,165.0,124.0,86.0,46.0,19.0,15.0,13.999999999999998,17.0,16.0,13.999999999999998,12.0,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,1.0,1.0,2.0
1954,4706.0,4346.999999999999,4027.0,3742.0,3630.0,3376.0000000000005,3158.0,2971.0,2815.0,2682.0,2563.9999999999995,2484.0,2450.0,2444.0,2447.0,2471.0,2444.0,2333.0,2171.0,2024.0,1874.0,1757.0,1693.0,1665.0,1632.0,1603.0000000000002,1573.0000000000002,1533.0000000000002,1489.0,1453.0,1422.0,1398.0000000000002,1384.0000000000002,1376.9999999999998,1368.0,1357.0,1355.0,1368.0,1386.9999999999998,1403.0,1424.0000000000002,1411.0,1348.0,1252.0,1160.0,1063.0,984.0000000000001,938.0,914.0,884.0,853.0,820.0,780.9999999999999,737.0,697.0000000000001,662.0,622.0,575.0,526.0,479.0,429.0,397.0,390.0,400.0,409.0,422.00000000000006,419.0,387.99999999999994,340.0,296.00000000000006,253.0,220.0,208.00000000000003,208.00000000000003,205.0,201.0,198.99999999999997,198.99999999999997,200.0,201.0,206.00000000000003,196.99999999999997,166.0,123.00000000000001,81.99999999999999,39.0,10.0,8.0,6.999999999999999,13.000000000000002,11.000000000000002,10.0,8.0,6.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0
1955,4724.0,4447.0,4188.0,3948.0,3726.0000000000005,3523.0,3336.0000000000005,3168.0,3016.0,2881.0,2756.9999999999995,2637.0,2552.0,2515.0,2506.0,2501.0,2513.0,2473.0000000000005,2349.0,2174.0,2012.0,1847.0,1722.0,1665.0,1653.0,1635.0,1624.0,1601.0,1553.0000000000002,1490.9999999999998,1439.0,1391.0,1358.0,1350.0,1358.0,1363.0000000000002,1365.0,1373.0000000000002,1389.0,1406.9999999999998,1423.0,1444.0,1428.0000000000002,1355.9999999999998,1248.0,1144.0000000000002,1034.0,946.0,898.0,875.9999999999999,848.0,819.0000000000001,787.0,747.0,702.0000000000001,662.0,626.0,586.0,537.9999999999999,487.00000000000006,437.99999999999994,385.0,353.0,353.0,371.0,387.0,410.0,411.00000000000006,375.0,317.0,265.0,212.0,176.00000000000003,168.0,178.00000000000003,185.0,190.0,195.0,198.99999999999997,201.0,204.0,210.0,201.0,168.99999999999997,122.0,78.0,31.0,0.0,0.0,0.0,8.0,6.999999999999999,5.0,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0
1956,4648.0,4659.0,4414.0,4180.0,3957.0,3746.0000000000005,3546.9999999999995,3360.0,3191.0000000000005,3043.9999999999995,2916.0000000000005,2795.0,2677.0,2590.0,2545.0,2524.0,2506.9999999999995,2505.0,2458.0,2335.0,2168.0,2013.0,1855.9999999999998,1733.0,1666.9999999999998,1639.0,1607.0,1580.0,1550.0,1510.0,1465.0,1429.0,1396.9999999999998,1373.0000000000002,1358.0,1351.0,1343.0000000000002,1331.0,1330.0,1343.0000000000002,1361.9999999999998,1378.0,1399.0,1386.0,1321.9999999999998,1226.0,1132.0000000000002,1034.0,954.0000000000001,907.9999999999999,883.0,853.0,822.0000000000001,789.0,749.0000000000001,705.0,665.0,628.0,588.0,542.0,493.0,446.0,397.0,364.0,353.0,358.0,361.0,370.0,364.0,333.99999999999994,289.0,250.0,209.0,181.00000000000003,174.0,179.0,182.0,185.0,187.0,186.00000000000003,183.0,182.0,183.0,172.0,144.00000000000003,104.00000000000001,64.0,25.0,0.0,0.0,0.0,6.0,5.0,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0
1957,4578.0,4481.0,4613.0,4399.0,4188.0,3981.0000000000005,3781.0,3586.0000000000005,3397.0,3227.0,3083.9999999999995,2961.9999999999995,2845.0,2728.0,2639.0,2585.0,2553.0,2524.0,2508.0,2453.0000000000005,2332.0,2171.0,2021.9999999999998,1873.0000000000002,1751.0,1676.0,1632.0,1585.9999999999998,1543.0000000000002,1506.0,1474.0,1446.0,1424.0000000000002,1409.0,1392.0,1372.0,1349.0,1328.0,1303.0000000000002,1291.9999999999998,1301.9999999999998,1321.9999999999998,1339.0,1359.0,1349.0,1293.0000000000002,1208.0,1125.0,1038.0,966.0,922.0,894.0,862.0,829.0000000000001,794.0,754.0,710.0,670.0,633.0,592.0000000000001,547.0,501.0,456.0,410.0,375.0,356.00000000000006,346.00000000000006,337.0,331.0,318.0,294.0,263.0,235.0,207.0,188.0,180.0,181.00000000000003,181.00000000000003,180.0,178.00000000000003,174.0,166.99999999999997,161.0,157.0,144.00000000000003,119.00000000000001,86.0,51.0,20.0,1.0,1.0,0.0,5.0,4.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0
1958,4520.0,4503.0,4451.000000000001,4567.0,4386.0,4198.0,4006.9999999999995,3816.9999999999995,3626.0000000000005,3435.0,3265.0,3126.0000000000005,3010.0,2895.0,2780.0,2688.9999999999995,2627.0,2583.0,2542.0,2512.0,2448.0,2328.0000000000005,2175.0,2032.0,1890.0,1770.0,1685.0,1625.0,1565.0,1506.0,1462.0,1438.0000000000002,1426.0,1420.0,1421.0,1413.0,1386.0,1347.0,1313.0000000000002,1275.0,1254.0,1261.0,1281.9999999999998,1300.0,1320.0,1313.0000000000002,1265.0,1190.0,1117.9999999999998,1043.0,979.0000000000001,936.0,905.9999999999999,871.0,836.0,799.0,759.0,716.0,675.9999999999999,637.0,597.0,553.9999999999999,509.0,466.0,424.0,387.0,358.0,333.99999999999994,312.0,292.0,273.0,254.0,236.00000000000003,220.0,205.0,193.99999999999997,187.0,183.0,179.0,176.00000000000003,170.0,161.0,150.0,139.0,130.0,115.99999999999999,94.0,68.0,38.0,13.999999999999998,1.0,1.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0
1959,4484.0,4528.000000000001,4526.0,4483.000000000001,4508.999999999999,4359.0,4195.0,4022.0000000000005,3842.0,3656.0,3464.0,3293.0,3158.0,3049.0,2938.0,2825.0,2731.0000000000005,2661.0,2605.0,2552.0,2508.0,2437.0,2318.0,2171.9999999999995,2036.0,1902.0,1784.0,1689.0,1614.0,1539.0000000000002,1464.0,1414.0000000000002,1396.9999999999998,1403.0,1411.0,1430.0,1429.0,1396.0,1341.9999999999998,1294.0,1242.9999999999998,1213.0,1216.0,1239.0,1256.0,1276.0,1273.0,1232.9999999999998,1169.0,1107.9999999999998,1045.0,989.0000000000001,947.0000000000001,915.0,878.0,840.0,802.0,760.9999999999999,720.0,680.0,640.0,600.0,557.9999999999999,516.0,475.0,436.0,397.99999999999994,359.0,322.0,286.00000000000006,252.0,226.0,213.0,209.0,205.0,203.0,200.0,193.0,185.0,177.0,171.0,162.0,149.0,133.0,118.00000000000001,103.00000000000001,87.0,69.0,49.0,25.0,9.000000000000002,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0
