Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,8240,7368,6656,6088,5648,5320,5088,4936,4848,4808,4820,4885,4893,4789,4615,4469,4336,4200,4064,3931,3797,3656,3552,3504,3491,3477,3472,3440,3360,3251,3150,3046,2966,2926,2910,2888,2867,2827,2755,2662,2573,2482,2394,2314,2238,2162,2086,2005.9999999999998,1918,1827,1739,1648,1576,1532,1507,1482,1464,1427,1358,1271,1189,1102,1043,1027,1039,1045,1054,1038,976,886,802,714,640,590,554,515,478,432,372,303,238,176,127,101,92,82,75,68,56,44,33,26,22,17,11,8,7,6,4,2,6
1951,8583,7929,7161,6524,6005,5593,5273,5029,4868,4788,4765,4783,4851,4852,4731,4532,4362,4201,4051,3923,3811,3696,3577,3484,3429,3397,3368,3347,3307,3233,3138,3050,2957,2889,2861,2856,2844,2836,2801,2723,2618,2517,2413,2316,2235,2164,2090,2017,1940,1855,1767,1682,1597,1526,1473,1432,1393,1358,1316,1262,1200,1141,1080,1033,1008.9999999999999,996,981,970,940,879,799,723,643,577,536,510,482,457,419,359,287,220,154,103,81,74,69,63,57,47,35,27,21,18,13,9,6,5,4,2,4
1952,8883,8101.000000000001,7679,7008,6439,5965,5579,5264,5005,4835,4763,4757,4781,4851,4847,4708,4484,4288,4098,3932,3810,3720,3623,3524,3441,3379,3328,3283,3247,3200,3130,3049,2972,2890,2834,2816,2821,2821,2824,2794,2711,2593,2480,2362,2257,2174,2107,2035.0000000000002,1964,1889,1806,1721,1639,1560,1488,1425,1369,1316,1263,1216,1175,1139,1102,1067,1033,997,962,927,894,851,790,719,650,576,519,486,470,453,440,409,349,273,204,133,82,62,57,56,51,46,38,28,21,16,14,11,7,4,3,2,4
1953,9114,8414,7779,7474,6895,6391,5959,5596,5286,5010,4830,4766,4776,4807,4880,4870,4711,4460,4238,4019,3836,3721,3650,3569,3491,3419,3347,3278,3218,3166,3110,3046,2977,2911,2839,2794,2788,2803,2813,2829,2804,2714,2583,2457,2325,2210,2126,2063,1992,1921,1848,1768,1685,1606,1532,1459,1386,1314,1245,1176,1124,1096,1084,1070,1060,1036,992,932,877,824,766,705,643,580,513,463,440,434,426,424,401,342,262,188,113,60,44,41,44,40,35,29,21,16,12,10,7,5,2,2,3
1954,9259,8672,8121,7603,7301,6811,6372,5979,5638,5329,5038,4847,4789,4816,4854,4931,4914,4735,4456,4207,3956,3757,3646,3594,3531,3473,3410,3330,3242,3165,3098,3034,2974,2918,2862,2801,2765,2771,2797,2818,2847,2826,2729,2583,2444,2298,2173,2086,2025.9999999999998,1957,1886,1814,1737,1655,1579,1511,1435,1351,1264,1181,1093,1035,1018.9999999999999,1032,1042,1057,1046,990,907,830,755,683,623,569,512,452,409,395,399,401,411,395,335,251,173,94,38,26,25,33,28,25,20,14,10,8,7,5,3,2,2
1955,9311,8870,8427,7990,7560,7145,6745,6368,6016,5695,5389,5080,4877,4826,4869,4915,4996,4972,4772,4464,4185,3903,3685,3579,3547,3501,3463,3409,3321,3213,3121,3037,2964,2908,2864,2820,2769,2745,2762,2799,2831,2872,2856,2752,2591,2437,2276,2140,2051,1993,1926,1856,1785,1709,1629,1556,1491,1415,1320,1217,1117,1010,946,946,983,1014.9999999999999,1056,1057,990,882,784,687,602,540,494,445,390,355,351,365,378,399,389,330,240,159,74,16,6,8,20,18,14,10,6,4,3,3,2,1,2
1956,9184,9220,8817,8403,7983,7563,7149,6744,6363,6017,5706,5405,5101,4897,4839,4869,4902,4967,4937,4739,4442,4173,3901,3687,3573,3523,3463,3408,3347,3268,3179,3103,3037,2974,2910,2851,2792,2726,2692,2705,2744,2775,2815,2802,2709,2563,2423,2279,2150,2053,1977,1894,1806,1726,1656,1591,1530,1476,1409,1319,1216,1119,1018,949,929,942,949,963,951,897,815,742,670,602,543,490,435,377,337,325,331,337,349,336,284,206,132,61,14,6,7,16,14,11,8,5,3,2,2,1,2
1957,9036,8935,9154,8788,8400,7996,7586,7173,6760,6375,6034,5732,5438,5136,4932,4864,4882,4902,4953,4915,4721,4432,4171,3910,3699,3575,3509,3434,3362,3294,3224,3153,3093,3046,2990,2921,2844,2771,2691,2646,2655,2695,2728,2765,2756,2673,2542,2416,2288,2166,2061,1966,1867,1762,1673,1607,1556,1507,1466,1406,1320,1219,1124,1026,953,917,902,886,872,848,806,751,701,655,605,546,486,427,363,318,300,299,297,300,284,238,172,107,49,13,6,6,13,11,9,7,5,2,2,1,1
1958,8902,8956,8912,9090,8763,8401,8013.999999999999,7612,7199,6779,6390,6054,5762,5471,5174,4969,4893,4898,4905,4941,4894,4703,4424,4171,3920,3712,3579,3496,3406,3318,3242,3181,3128,3085,3055,3009,2932,2838,2750,2656,2600,2606,2647,2680,2716,2710,2638,2521,2410,2298,2183,2069,1957,1840,1718,1619,1559,1523,1486,1454,1405,1324,1222,1129,1036,958,903,863,823,782,746,715,686,661,640,607,551,483,418,351,300,275,267,256,251,233,192,138,81,36,11,6,6,10,8,7,5,3,1,1,1
1959,8828,9000,9053,9001,9014,8723,8388,8019,7627,7215,6788,6395,6064,5782,5497,5204,4998,4913,4905,4900,4921,4867,4678,4409,4166,3924,3720,3577,3478,3373,3268,3186,3132,3099,3072,3061,3022,2939,2828,2726,2617,2551,2553,2596,2628,2663,2661,2599,2497,2400,2305,2197,2074,1945,1812,1671,1563,1508,1487,1462,1442,1402,1324,1224,1133,1045,962,889,824,758,690,642,622,621,620,625,608,555,480,409,338,281,250,234,216,201,180,145,103,56,23,10,5,4,6,5,5,3,2,1,1
