Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15104635176120554,0.17596229120534274,0.1992676237378643,0.2198759821459165,0.2369511993391571,0.24997481169205465,0.2587711353070324,0.2636153656147277,0.2651801592853343,0.2643119081449565,0.26193154778946176,0.25893746240648075,0.2555308701605934,0.25124849158209545,0.24563824908121354,0.23830974485597436,0.22897110723898315,0.21766492789228556,0.20472786547399724,0.19053597330524907,0.17547664627807097,0.15993222037419494,0.14427335784274592,0.12884166594650404,0.11392898136706107,0.099771720117414045,0.08654928863290219,0.0743848218730422,0.06334997784601899,0.053471974260903714,0.04474040172855384,0.03711451113172994,0.030530513649205258,0.0249084828264576,0.02015856134167544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15126553817352634,0.17707593104461483,0.2013619815681438,0.22296470565308552,0.24097820599885214,0.2548265706794821,0.2642950369969033,0.2696417928403502,0.2715440781476038,0.2708689286988934,0.26856818250327996,0.26557576238796576,0.26212013056504035,0.257755236111799,0.25204501823704467,0.24461357705439452,0.23517979225990612,0.22377395713697856,0.2107027370263306,0.19631784320552267,0.18099067461465246,0.16509721915229558,0.14902080570405632,0.13312825767451364,0.11773479312889398,0.10309691773261295,0.08941026312064444,0.0768091971100048,0.06537253636843483,0.05513219846421565,0.04608024294493026,0.03817642803242299,0.031355845263443274,0.02553618595126498,0.020624311439001734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15087480438713174,0.17751217485771845,0.2027252004003283,0.2252819517644209,0.24420526870397322,0.2588597495283994,0.2689895879935556,0.2748343749991948,0.27707483141155725,0.2765979989795483,0.27438628852927366,0.2714090235150335,0.2679221916270066,0.2634975436823913,0.25771547191554334,0.25021480791319356,0.2407252129201874,0.22926430284973254,0.216107873793683,0.20158208877080194,0.18604088534241298,0.16985231275911478,0.15341060653830255,0.13710621734289333,0.1212766894458829,0.10619804491301199,0.09208196460202853,0.07907420111589387,0.06726110491726374,0.05667978272582396,0.04732530247793124,0.039158469520089126,0.03211375995479664,0.02610692897676787,0.021041933766699952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1499334186901458,0.17732449793922594,0.20340419461088854,0.226868107200182,0.24666689914456744,0.26210402562273766,0.2728808297501194,0.2792166504102257,0.28179435132793756,0.28152002640639306,0.2794059839277025,0.2764564681890208,0.27295508166924415,0.26849191095435954,0.26266422691831587,0.255125847647488,0.24561730276952973,0.2341432801194616,0.22094800265188003,0.2063310321625139,0.19062750241033244,0.17419601526952852,0.1574399705746472,0.14077182499699206,0.12455034631035895,0.10907044761341812,0.0945596324569064,0.08117514524149791,0.06901120570814114,0.058110563561330736,0.048471803664744045,0.040057291783469846,0.032801370327976816,0.026618285593144567,0.021409452058726176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14850572678099033,0.17657312911750636,0.20345405592572102,0.22777291726295792,0.24840794162308696,0.2646002161010354,0.27600661441711294,0.28282451234757894,0.28573733141792174,0.28566892799559745,0.2836604657943612,0.28075027268158204,0.2772494812425738,0.27276705820944874,0.2669176182815131,0.25937028952134633,0.24987665283672444,0.23842833630037427,0.22523741108015308,0.21057590248908564,0.19475890107003518,0.17813413243075096,0.16111247395307154,0.14412679524250785,0.12755598588296851,0.11171320678677042,0.09684152765851213,0.08310975348184425,0.07062026625334593,0.059421869709409,0.049517133072931305,0.040870457591053594,0.03341649907392472,0.02706839146050952,0.021725341508989453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146659104106959,0.17532306967488093,0.20293616885349294,0.22805370347682427,0.24948188115874256,0.26639865464177687,0.2784150250896146,0.28570465084562746,0.2889496764967524,0.28909008608232545,0.28719448097744754,0.28433407369653835,0.2808472897910864,0.27636257576339396,0.2705124398281341,0.26298175353956565,0.2535334625227727,0.24214611139589692,0.22899911955647467,0.21433612174242972,0.19845100662504708,0.1816792693922181,0.16443766730653755,0.1471779747190199,0.13029814912981813,0.11412897231325558,0.09892881507620274,0.08487808190239757,0.0720875666033183,0.06061248973328598,0.05045982263857891,0.04159642849654528,0.033957677844606717,0.02745594717449967,0.021988533865981083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14446211072768655,0.1736422458502867,0.20191640114419457,0.22777360894169357,0.24994914247848743,0.2675575313217427,0.2801627387784294,0.2879129229253653,0.2914868716404017,0.2918387172612488,0.2900627069825331,0.2872613836974344,0.2838001004569584,0.27932747818314263,0.27349459205791193,0.26600263654992773,0.2566263952943128,0.2453314014059247,0.23226395587636192,0.21763849331004426,0.2017265987681035,0.1848502497343355,0.16743060362232046,0.1499369681481307,0.13278540678437942,0.11632374478124026,0.10082540246006721,0.08648240263063692,0.07341415800182977,0.06168261683899521,0.05129951382452712,0.04223454294979448,0.034424135104094686,0.02778021257831776,0.022198415660107645,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14198289281536522,0.1715998468329292,0.20046342585920085,0.2269999308382477,0.2498754413872283,0.2681412589991752,0.2813133977749844,0.2895127193738673,0.2934123406003079,0.2939782268463044,0.29232811603224207,0.28959398698483046,0.28616765240209663,0.2817187319948239,0.2759176988305833,0.268482825928652,0.2592013924024666,0.24802607420135725,0.23506957721469784,0.2205163347781746,0.2046145586058642,0.18767147775837736,0.17011131197341994,0.1524197143676491,0.13503002536072053,0.11830661782814275,0.10253774552322904,0.08792705922825944,0.07460275777528722,0.062633774242692,0.05203690604959429,0.04278498179759892,0.034815773909739445,0.02804099301633798,0.022354819922978594,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13928867467706232,0.16926607582539907,0.1986488181465129,0.22580460356898066,0.2493326489864564,0.2682216748836327,0.2819390783364171,0.2905766181464419,0.2947992029170982,0.295581999821684,0.2940637471505028,0.2914036598011795,0.2880194806267289,0.28360282666938164,0.27784460056452287,0.2704811253184157,0.26131304962756496,0.25028041424482395,0.23746178939810364,0.22301076804126768,0.20715111679576448,0.1901741248942539,0.1725058999434003,0.15464748450827398,0.1370488451303961,0.12009052568945265,0.10407546109242348,0.08921894736040839,0.07565810453398959,0.06346905606360607,0.05267389740366934,0.04324882467636151,0.03513316038564079,0.028238575832502593,0.022457925419149316,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1364470352550713,0.16671438299540373,0.1965504209664779,0.224268773949882,0.2484045460014689,0.2678848473949247,0.2821279512373576,0.29119465881481427,0.2957389136151942,0.2967421747767167,0.29536141895964285,0.2927806711955468,0.2894430982022173,0.2850635735616834,0.27935474738034144,0.2720722603501382,0.26303128990417785,0.25215951262219566,0.23950066621627195,0.2251765442827516,0.20938533220502237,0.19240119157493626,0.17465113026287324,0.1566509233077157,0.13886675752832833,0.12169515022482905,0.10545367808603766,0.09036934121668236,0.07658830483000358,0.06419404904524441,0.05321414262124462,0.04362830806135399,0.035377544861517486,0.028373573901085802,0.022507975957905508,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13352243842899658,0.1640166620910215,0.1942461829309406,0.2224753291363562,0.24717815931395265,0.2672213980025026,0.28197380678854134,0.2914633105813395,0.29632991624351107,0.2975582086384468,0.29632040523284486,0.29382273496325956,0.2905333527665585,0.2861919542687807,0.28053458451594887,0.2733378042566621,0.2644327945817055,0.25373517093425385,0.24125292756553943,0.22707492721017727,0.21137253094096878,0.19440156164700573,0.17658913878355018,0.15846545402877465,0.1405127967797198,0.12314367818501883,0.10669042207252678,0.0913918546337883,0.07740331197567292,0.06481576493333858,0.05366237242847872,0.04392646517959625,0.0355507584642732,0.028447019445521183,0.022505517876975245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
