Time,Births
1950,21488.0
1951,22069.0
1952,22714.0
1953,23373.0
1954,24046.0
1955,24743.0
1956,25417.0
1957,26119.0
1958,26842.0
1959,27569.0
1960,28955.0
1961,29715.0
1962,30470.0
1963,31231.0
1964,32033.0
1965,24447.0
1966,25059.0
1967,25755.0
1968,26507.0
1969,27269.0
1970,21273.0
1971,22041.0
1972,22759.0
1973,23452.0
1974,24155.0
1975,22940.0
1976,23728.0
1977,24519.0
1978,25247.0
1979,25856.0
1980,19435.0
1981,19751.0
1982,20028.0
1983,20285.0
1984,20542.0
1985,21190.0
1986,21415.0
1987,21648.0
1988,21885.0
1989,22113.0
1990,21689.0
1991,22004.0
1992,22279.0
1993,22516.0
1994,22728.0
1995,20746.0
1996,20700.0
1997,20681.0
1998,20692.0
1999,20692.0
2000,19601.0
2001,19592.0
2002,19482.0
2003,19307.0
2004,19122.0
2005,16640.0
2006,16490.0
2007,16376.0
2008,16288.0
2009,16209.0
2010,14124.0
2011,14060.0
2012,13989.0
2013,13917.0
2014,13858.0
2015,12862.0
2016,12896.0
2017,12944.0
2018,12999.0
2019,13043.0
2020,12640.0
2021,12660.0
2022,12664.0
2023,12647.0
2024,12606.0
2025,12543.0
2026,12475.0
2027,12382.0
2028,12263.0
2029,12122.0
2030,12388.0
2031,12218.0
2032,12027.0
2033,11818.0
2034,11593.0
2035,11791.0
2036,11547.0
2037,11293.0
2038,11033.0
2039,10774.0
2040,10881.0
2041,10635.0
2042,10397.0
2043,10172.0
2044,9963.0
2045,10053.0
2046,9881.0
2047,9731.0
2048,9600.0
2049,9483.0
2050,9591.0
2051,9498.0
2052,9416.0
2053,9343.0
2054,9273.0
2055,9405.0
2056,9343.0
2057,9282.0
2058,9220.0
2059,9155.0
2060,9253.0
2061,9186.0
2062,9114.0
2063,9036.0
2064,8951.0
2065,8992.0
2066,8903.0
2067,8808.0
2068,8707.0
2069,8601.0
2070,8611.0
2071,8508.0
2072,8404.0
2073,8301.0
2074,8200.0
2075,8187.0
2076,8100.0
2077,8018.0
2078,7938.0
2079,7861.0
2080,7848.0
2081,7790.0
2082,7736.0
2083,7685.0
2084,7637.0
2085,7648.0
2086,7610.0
2087,7573.0
2088,7539.0
2089,7503.0
2090,7511.0
2091,7478.0
2092,7443.0
2093,7405.0
2094,7362.0
2095,7351.0
2096,7308.0
2097,7260.0
2098,7209.0
2099,7156.0
