Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,542.9999999999999,526.0,510.0,495.0,480.0,466.0,452.99999999999994,440.0,428.0,416.00000000000006,403.99999999999994,392.99999999999994,382.99999999999994,372.00000000000006,362.00000000000006,352.00000000000006,342.0,332.0,322.99999999999994,314.0,305.0,296.00000000000006,287.0,278.99999999999994,271.0,263.0,255.0,248.0,241.00000000000003,234.0,226.99999999999997,220.0,214.0,208.00000000000003,201.99999999999997,196.0,190.0,184.0,178.00000000000003,173.00000000000003,168.0,163.0,158.0,153.0,148.00000000000003,143.00000000000003,138.0,134.0,129.0,125.0,120.0,115.99999999999999,111.99999999999999,108.00000000000001,104.00000000000001,99.0,95.0,91.0,87.0,83.0,80.0,76.0,72.00000000000001,68.0,64.0,61.0,57.0,54.00000000000001,50.0,47.0,43.0,40.0,37.00000000000001,33.0,30.0,27.000000000000004,23.0,21.0,19.0,18.000000000000004,18.000000000000004,17.0,16.0,13.000000000000002,9.000000000000002,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1951,723.0,550.0,529.0,510.0,494.0,479.0,467.0,456.0,445.0,432.00000000000006,420.0,408.0,396.0,385.0,375.0,364.0,354.0,344.0,333.99999999999994,325.0,315.0,306.0,297.0,289.0,280.0,272.0,264.0,256.0,249.0,242.0,235.0,228.0,221.0,215.0,208.00000000000003,201.99999999999997,196.0,190.0,184.0,179.0,173.00000000000003,168.0,163.0,158.0,153.0,148.00000000000003,143.00000000000003,138.0,133.0,129.0,124.0,120.0,115.0,111.0,107.0,102.0,98.0,94.0,90.0,86.0,81.99999999999999,78.0,74.00000000000001,70.0,66.0,62.0,59.00000000000001,55.0,51.0,48.0,44.00000000000001,40.99999999999999,37.00000000000001,34.0,31.0,27.999999999999996,25.0,21.0,19.0,17.0,16.0,15.0,15.0,13.000000000000002,10.0,6.999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1952,846.0,731.0,550.0,524.0,502.0,485.0,471.00000000000006,460.0,452.0,442.99999999999994,431.0,417.00000000000006,405.0,393.99999999999994,382.99999999999994,372.00000000000006,361.0,351.00000000000006,341.0,331.0,322.0,312.0,303.0,294.0,286.00000000000006,278.0,268.99999999999994,262.0,254.0,247.0,239.0,231.99999999999997,226.0,218.99999999999997,212.0,206.00000000000003,200.0,193.99999999999997,188.0,182.0,176.00000000000003,171.0,166.0,160.0,155.0,150.0,145.0,140.0,135.0,131.0,126.0,122.0,117.0,113.0,108.00000000000001,104.00000000000001,100.0,96.0,91.0,87.0,83.0,79.0,75.0,71.0,67.0,63.0,59.00000000000001,55.99999999999999,52.00000000000001,48.0,45.0,40.99999999999999,38.0,34.0,31.0,27.999999999999996,25.0,22.000000000000004,19.0,17.0,15.0,13.999999999999998,12.0,11.000000000000002,10.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1953,922.0,787.9999999999999,677.9999999999999,548.9999999999999,519.0,495.0,477.00000000000006,462.99999999999994,452.99999999999994,447.99999999999994,441.0,429.0,414.0,402.0,391.0,380.0,369.0,358.0,348.0,337.99999999999994,327.99999999999994,319.0,309.0,300.0,292.0,283.00000000000006,275.0,267.0,259.0,251.0,244.0,237.0,230.0,223.0,217.0,210.0,204.0,196.99999999999997,191.0,185.0,180.0,174.0,168.99999999999997,163.0,158.0,153.0,148.00000000000003,143.00000000000003,138.0,133.0,128.0,124.0,119.00000000000001,115.0,110.0,106.0,100.99999999999999,96.99999999999999,93.00000000000001,89.00000000000001,84.0,80.0,76.0,72.00000000000001,68.0,64.0,60.0,55.99999999999999,52.00000000000001,49.0,45.0,42.0,38.0,35.0,31.0,27.999999999999996,25.0,22.000000000000004,20.0,17.0,15.0,13.000000000000002,11.000000000000002,10.0,8.0,6.999999999999999,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1954,960.0,825.0,715.0,627.0,550.0,515.0,489.0,470.0,456.0,447.99999999999994,446.0,441.0,429.0,413.0,401.0,389.0,377.99999999999994,367.00000000000006,357.00000000000006,347.00000000000006,336.0,326.0,317.0,308.0,299.0,290.0,281.0,273.0,265.0,257.0,250.0,242.0,235.0,228.0,222.0,215.0,209.0,201.99999999999997,196.0,190.0,184.0,178.00000000000003,172.0,166.99999999999997,162.0,156.0,151.0,146.0,141.0,136.0,131.0,126.0,122.0,117.0,113.0,108.00000000000001,104.00000000000001,99.0,95.0,91.0,86.0,81.99999999999999,78.0,74.00000000000001,70.0,65.0,61.0,57.0,54.00000000000001,50.0,46.0,42.0,39.0,35.0,32.0,28.999999999999996,25.0,23.0,20.0,17.0,15.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1955,964.0000000000001,848.0,750.0,670.0,605.0,552.9999999999999,514.0,485.0,465.0,451.0,445.0,445.0,442.0,431.0,414.0,401.0,389.0,377.99999999999994,367.00000000000006,357.00000000000006,346.00000000000006,336.0,326.0,316.0,307.0,298.0,289.0,281.0,272.0,264.0,256.0,249.0,242.0,234.0,228.0,221.0,214.0,208.00000000000003,201.0,195.0,188.99999999999997,183.0,177.0,171.0,166.0,160.0,155.0,150.0,145.0,140.0,135.0,130.0,125.0,120.0,115.0,111.0,106.0,102.0,96.99999999999999,93.00000000000001,89.00000000000001,84.0,80.0,76.0,71.0,67.0,63.0,59.00000000000001,55.0,51.0,47.0,43.0,40.0,36.00000000000001,32.0,28.999999999999996,26.000000000000004,23.0,20.0,18.000000000000004,15.0,13.000000000000002,11.000000000000002,9.000000000000002,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1956,932.0,932.0,832.0000000000001,745.0,670.0,607.0,555.0,510.0,477.00000000000006,457.0,447.0,441.0,441.0,437.99999999999994,426.0,410.0,397.0,385.0,374.0,363.0,353.0,342.0,332.0,322.0,313.0,303.0,294.0,286.00000000000006,276.99999999999994,268.99999999999994,261.0,253.0,246.00000000000003,239.0,231.0,225.0,218.0,211.00000000000003,205.0,198.0,192.0,186.00000000000003,180.0,174.0,168.0,163.0,158.0,152.0,147.0,142.0,136.99999999999997,132.0,127.0,122.0,117.0,111.99999999999999,108.00000000000001,103.00000000000001,99.0,94.0,90.0,85.0,81.0,77.0,72.00000000000001,68.0,64.0,60.0,55.99999999999999,51.0,48.0,44.00000000000001,40.0,36.00000000000001,33.0,30.0,26.000000000000004,23.0,20.0,18.000000000000004,15.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1957,893.0,848.0,907.9999999999999,823.0,746.0,677.0,615.0,560.0,510.0,473.0,453.99999999999994,445.0,441.0,441.0,437.00000000000006,426.0,409.0,396.0,384.0,373.0,362.00000000000006,352.00000000000006,341.0,331.0,321.0,312.0,302.0,293.0,285.0,276.0,268.0,260.0,252.0,245.0,238.00000000000003,230.0,223.99999999999997,217.0,210.0,204.0,196.99999999999997,191.0,185.0,179.0,173.00000000000003,166.99999999999997,161.0,156.0,151.0,145.0,140.0,135.0,130.0,125.0,120.0,115.0,110.0,106.0,100.99999999999999,96.0,92.0,87.0,83.0,78.0,74.00000000000001,70.0,65.0,61.0,57.0,53.0,49.0,45.0,40.99999999999999,37.00000000000001,34.0,30.0,27.000000000000004,24.0,21.0,18.000000000000004,16.0,13.000000000000002,11.000000000000002,9.000000000000002,6.999999999999999,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1958,852.0,848.0,832.0000000000001,885.9999999999999,816.0,749.0000000000001,685.0,625.0,568.0,512.0,471.00000000000006,451.0,446.0,442.0,442.0,437.99999999999994,426.0,410.0,396.0,385.0,373.0,362.00000000000006,352.00000000000006,341.0,331.0,321.0,311.0,302.0,293.0,285.0,276.0,268.0,260.0,252.0,245.0,237.0,230.0,223.0,216.00000000000003,210.0,203.0,196.99999999999997,190.0,184.0,178.00000000000003,172.0,166.0,160.0,155.0,149.0,144.00000000000003,139.0,134.0,128.0,123.00000000000001,118.00000000000001,113.0,108.00000000000001,104.00000000000001,99.0,94.0,89.00000000000001,85.0,80.0,76.0,71.0,67.0,63.0,57.99999999999999,54.00000000000001,50.0,46.0,42.0,38.0,34.0,31.0,27.999999999999996,24.0,22.000000000000004,19.0,16.0,13.999999999999998,11.000000000000002,9.000000000000002,6.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1959,821.0,849.0000000000001,858.0,850.0,863.0,809.0,750.9999999999999,692.0000000000001,634.0,575.0,513.0,468.0,447.99999999999994,445.0,442.0,442.0,437.99999999999994,426.0,410.0,396.0,384.0,373.0,362.00000000000006,351.00000000000006,341.0,330.0,320.0,311.0,302.0,293.0,284.0,276.0,267.0,259.0,252.0,244.0,237.0,228.99999999999997,222.0,215.0,209.0,201.99999999999997,196.0,188.99999999999997,183.0,177.0,171.0,165.0,159.0,154.0,148.00000000000003,143.00000000000003,136.99999999999997,132.0,127.0,122.0,117.0,111.0,106.0,102.0,96.99999999999999,92.0,87.0,81.99999999999999,78.0,73.0,69.0,64.0,60.0,55.0,51.0,47.0,43.0,39.0,35.0,31.0,27.999999999999996,25.0,22.000000000000004,19.0,17.0,13.999999999999998,11.000000000000002,9.000000000000002,6.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
