Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12084254637117608,0.16045398369160085,0.2011043316266288,0.23919575367019585,0.27143600836374643,0.2954501693445804,0.3101337595738974,0.3160590004612163,0.3152165200174701,0.3101438925627002,0.3034748587599166,0.2976166459354783,0.2929079576933035,0.28780852698798937,0.2808094925804524,0.2705781127251434,0.2561359508648431,0.2380531063829881,0.2180897395735646,0.19777639285233878,0.17828355113338162,0.16039949633735354,0.14413517362007708,0.12903145970786356,0.11476272116288336,0.1011361900493736,0.08807371051897442,0.07563812711535337,0.06397322042346237,0.05321564551111882,0.04347952882998932,0.034846197804869986,0.027357205942895986,0.021011378961995255,0.015766109756474973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12133247251977852,0.16111956800997593,0.20193894443373098,0.24017001024180057,0.2725026455605306,0.29655296503389245,0.31121777717174626,0.31708412590446716,0.31616690365606237,0.3110273377453115,0.30431924776445457,0.2984656094417311,0.2937963444850188,0.28873988415627194,0.2817561570460714,0.27148400526494704,0.25692497387986674,0.23866894671546446,0.21852370341529231,0.19805638273262047,0.17846021181455818,0.16053375834353165,0.14427494097526183,0.12919900589033095,0.1149610886902358,0.10135511890866407,0.08829502230567104,0.07584232773798272,0.06414425570598414,0.05334248555888258,0.04355688032947238,0.03487442084938253,0.027341519011211547,0.02096053434584724,0.01569079019795698,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122049004833096,0.16208246302737905,0.20314612238850396,0.24159183934624032,0.274086526544103,0.2982327321915869,0.31292510872691853,0.31876360536484694,0.3177872216217132,0.3125823704030947,0.30582560951452253,0.2999587257700759,0.2953059523410837,0.2902675803342863,0.2832755341165112,0.27294326097633204,0.2582543214238222,0.23981530405747184,0.2194752012079502,0.1988332612113869,0.1791032179650231,0.161093601509239,0.14479247802340775,0.12969441085444264,0.11543907384022926,0.10180977633729489,0.08871420569552964,0.07621305161579275,0.0644565413139077,0.05359055682223258,0.04373965243533211,0.03499534940520478,0.02740788036300715,0.020982287666791753,0.015679227315714403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12294547781648714,0.16328068544714486,0.2046481755750606,0.24336885556685156,0.2760828541162227,0.3003754532646421,0.31513611800813845,0.3209755478240945,0.3199559173585629,0.3146893867151773,0.3078769099620509,0.30198122809513694,0.2973238382627778,0.29228063382877056,0.2852593290796854,0.2748515297395326,0.2600252200243235,0.2414003430596306,0.2208599819472723,0.20003044878558732,0.18014337813555886,0.16201671433958778,0.14563183673961713,0.13046768036501435,0.11615229665975106,0.1024611078495615,0.08929727652060256,0.07672112172599063,0.06488540076362116,0.05393932466982751,0.04401104015128505,0.03519545016284687,0.027545542394452727,0.02106818841970819,0.01572480502351198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12397471081476848,0.1646515201004572,0.20636649557209846,0.24540763966764023,0.2783857832048692,0.3028661608763388,0.3177304185128135,0.3235975714466989,0.32255119857930736,0.317228736541216,0.3103561426700768,0.3044183008334795,0.299736821561324,0.29466762361540166,0.28759868716563797,0.27710394334260546,0.2621386450363993,0.24333242109047057,0.22259446892530818,0.20157243524799914,0.1815127837049049,0.16324204596479056,0.1467381192942529,0.13146958060120437,0.11705685120718468,0.10327030270677122,0.09001034629025376,0.07733739084936223,0.06540618902394192,0.05436833840758736,0.04435440958082114,0.035461468176109186,0.02774415041550704,0.021210289553865547,0.01582150723100869,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1250883844453954,0.16613070610700156,0.20822053567634227,0.2476125080622495,0.2808869875003643,0.3055873224927859,0.3205851082246892,0.32650492937707065,0.32544910006386035,0.32007876867425694,0.3131443972218663,0.3071532051190104,0.30242968896448114,0.29731498092827513,0.29018256254060626,0.2795935379034044,0.2644937624012735,0.24551852887824796,0.22459420795174553,0.20338326491881328,0.1831433715666246,0.16470848955058948,0.14805631309393133,0.13265063549380782,0.11810846049791794,0.104198090932961,0.09081903899016591,0.07803225407821476,0.06599387862149264,0.054856872392825655,0.04475297985095191,0.03578013995247079,0.027993481324363925,0.021400909216197753,0.015963701982608602,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1262366045130054,0.16765187241922466,0.2101271037246221,0.24988465359179707,0.28347464641181014,0.3084176811413224,0.3235734814185327,0.32956912010611333,0.3285220284910316,0.3231143495901186,0.3161193906559287,0.3100658586204864,0.3052838476400198,0.30010572195701013,0.29289651841131953,0.2822100915975155,0.266986762360197,0.24786309392002326,0.2267726471246066,0.20538532273379945,0.18496575867749457,0.16635381062347723,0.14953034566581894,0.13396032047103565,0.11926180593670913,0.10520419417537985,0.0916880420612767,0.0787752766942111,0.06662274329204719,0.05538364813319272,0.045189571096265244,0.03613795971803397,0.02828322496112581,0.021632427294445627,0.016145955169118455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12736766096570945,0.1691462331129607,0.211999980512007,0.2521216726763261,0.2860328685836478,0.31123156852828987,0.32656423291136444,0.33265699609917315,0.33163780106158364,0.326205865850892,0.3191544713057147,0.3130318794799428,0.30817643720004434,0.30291863405946806,0.2956219713124814,0.28483939013200216,0.26951009512655655,0.25026715269188937,0.22904024970810738,0.20749841881140405,0.18690834361001776,0.16811381502135864,0.1511023553460128,0.13534645053212635,0.12047003107992428,0.10624693169087014,0.09258079360101204,0.07953493957807917,0.06726614095762352,0.0559266383973908,0.04564641851261477,0.036520997667816045,0.02860280564815524,0.021897112942435012,0.016362868743573324,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12843028658005998,0.17054639676649144,0.2137547121670781,0.25422226481555366,0.28844491729728505,0.3138992682476201,0.32941786301343845,0.3356228009847496,0.3346478164135144,0.3292047975952781,0.3221034184491983,0.3159088025442093,0.3109696124796713,0.305620896702665,0.2982310407411441,0.2873579290010372,0.2719437662039617,0.2526139348407845,0.2312842797400969,0.20961535199564874,0.18887121042648947,0.16989754656778402,0.15269143216961686,0.13673842909644465,0.12167249576585268,0.10727480043013146,0.09345379785635012,0.08027451521950149,0.0678929314890283,0.05645925170336785,0.04610063584903462,0.03690944441158285,0.028935064107038163,0.022180191539854892,0.016601892282724955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1293808562575485,0.17179836918458302,0.2153237077142815,0.25610117257877246,0.29060380590259416,0.31628904525560086,0.3319767903115459,0.3382850858233049,0.3373522571538749,0.3319010291535508,0.32475538246831137,0.3184952961439366,0.3134790408396811,0.30804667306459516,0.3005718636175865,0.2896177494046648,0.2741298102094602,0.2547259532061437,0.23330818347322857,0.21152832512126177,0.1906473653265848,0.17151237364250488,0.15412944713253918,0.13799677171356192,0.1227579766827883,0.10820126837768425,0.09423968364612074,0.0809398192467994,0.06845683104994192,0.05693893855995591,0.046510587066921134,0.037261129767789274,0.02923706836260558,0.022438669355646302,0.016821228505146533,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
