Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,116107.99999999999,108356.00000000001,101548.99999999999,95612.00000000001,90467.99999999999,86040.0,82252.00000000001,79028.0,76292.0,73967.0,72038.0,70488.99999999999,68940.0,67196.0,65360.0,63735.0,62260.0,60782.0,59254.0,57706.0,56214.0,54762.0,53336.99999999999,51938.0,50563.99999999999,49211.99999999999,47883.0,46575.0,45286.0,44016.00000000001,42768.0,41543.0,40333.0,39132.0,37946.0,36783.0,35641.0,34525.99999999999,33443.00000000001,32389.000000000004,31355.0,30340.999999999996,29355.0,28399.0,27469.0,26557.0,25665.0,24790.0,23932.0,23089.000000000004,22259.0,21440.0,20636.999999999996,19851.0,19077.0,18310.0,17552.0,16784.000000000004,15997.0,15199.000000000002,14410.0,13626.0,12844.000000000002,12062.999999999998,11286.0,10520.0,9767.000000000002,9017.000000000002,8266.0,7524.0,6803.0,6104.0,5440.0,4818.000000000001,4237.0,3683.9999999999995,3163.0000000000005,2683.9999999999995,2254.0,1868.0,1515.0,1193.0,924.0,716.0,556.0,422.00000000000006,316.0,231.0,161.0,106.0,66.0,48.0,37.00000000000001,25.0,13.000000000000002,6.0,5.0,3.0,2.0,1.0,1.0
1951,116011.00000000001,111508.0,104521.0,98374.0,92997.99999999999,88323.0,84283.99999999999,80813.0,77826.00000000001,75248.0,73018.99999999999,71140.0,69595.0,68050.0,66333.0,64536.0,62923.0,61443.00000000001,59961.99999999999,58441.0,56906.00000000001,55421.00000000001,53975.0,52555.0,51163.00000000001,49797.0,48453.99999999999,47133.99999999999,45835.0,44556.00000000001,43297.0,42061.00000000001,40849.00000000001,39650.0,38461.99999999999,37289.0,36139.0,35010.0,33909.0,32843.0,31805.999999999996,30789.0,29791.0,28820.0,27875.0,26955.0,26052.0,25166.999999999996,24299.0,23443.0,22601.0,21772.0,20953.000000000004,20149.0,19360.0,18583.0,17812.0,17051.0,16279.0,15488.0,14687.000000000002,13894.0,13107.999999999998,12324.000000000002,11543.0,10767.999999999998,10004.0,9255.0,8513.0,7774.0,7047.000000000001,6343.0,5662.000000000001,5019.0,4422.0,3868.0000000000005,3344.0,2851.0000000000005,2401.9999999999995,2004.0,1650.0,1330.0,1039.0000000000002,797.9999999999999,613.0,472.00000000000006,355.0,265.0,193.99999999999997,135.0,88.00000000000001,54.00000000000001,40.0,31.0,21.0,10.0,5.0,4.0,2.0,1.0,1.0
1952,116966.00000000001,110264.0,107193.0,100951.00000000001,95447.0,90617.0,86399.0,82736.0,79572.0,76814.0,74388.0,72248.0,70415.0,68871.00000000001,67325.0,65631.0,63868.0,62265.0,60776.0,59288.99999999999,57771.0,56245.0,54765.0,53318.99999999999,51901.0,50513.00000000001,49153.0,47815.0,46500.0,45207.0,43935.0,42685.0,41457.0,40254.0,39065.0,37887.0,36724.00000000001,35584.0,34465.0,33376.0,32323.0,31302.0,30299.0,29315.0,28355.999999999996,27421.0,26506.999999999996,25611.0,24732.0,23866.999999999996,23013.0,22170.0,21339.000000000004,20518.0,19710.0,18917.0,18135.0,17359.0,16592.0,15815.0,15017.999999999998,14210.999999999998,13413.0,12624.0,11837.0,11054.0,10277.000000000002,9514.0,8767.999999999998,8031.000000000001,7302.000000000001,6587.999999999999,5900.0,5236.000000000001,4612.0,4038.9999999999995,3510.0,3013.0,2546.9999999999995,2127.0,1759.0000000000002,1438.0000000000002,1148.0,888.0,675.0,512.0,389.0,288.00000000000006,215.0,158.0,110.0,70.0,42.0,31.0,24.0,16.0,8.0,4.0,3.0,1.0,2.0
1953,118610.0,112001.0,106002.00000000001,103031.0,97526.00000000001,92656.0,88365.0,84597.00000000001,81306.0,78445.0,75911.99999999999,73633.0,71580.0,69789.0,68244.0,66696.0,65022.99999999999,63291.00000000001,61695.0,60193.99999999999,58699.0,57183.0,55663.00000000001,54185.0,52739.0,51321.00000000001,49935.0,48578.0,47243.0,45931.99999999999,44643.0,43376.99999999999,42133.0,40913.00000000001,39717.0,38536.0,37365.0,36211.0,35080.0,33969.0,32890.0,31850.0,30842.0,29851.999999999996,28881.0,27932.0,27005.0,26096.999999999996,25206.0,24331.999999999996,23469.0,22615.0,21770.0,20936.999999999996,20112.000000000004,19299.0,18500.999999999996,17713.0,16930.0,16157.0,15373.0,14570.0,13755.999999999998,12952.0,12157.0,11366.0,10580.0,9802.0,9038.0,8293.0,7560.0,6840.0,6138.999999999999,5465.0,4817.0,4212.0,3661.0,3158.0,2686.0000000000005,2247.0,1855.0,1518.0,1227.0,968.0,739.0000000000001,552.0,411.00000000000006,307.0,222.0,166.0,123.00000000000001,85.0,53.0,31.0,23.0,18.000000000000004,12.0,6.0,3.0,1.0,2.0
1954,120723.99999999999,114045.0,107981.00000000001,102493.0,98970.0,94197.0,89957.00000000001,86202.00000000001,82881.0,79959.0,77398.0,75087.0,72954.0,70986.0,69236.0,67688.0,66136.00000000001,64482.0,62780.0,61188.0,59675.0,58171.00000000001,56654.0,55140.0,53662.0,52213.0,50794.0,49409.0,48053.00000000001,46721.0,45411.0,44126.00000000001,42864.0,41625.0,40410.0,39220.0,38046.0,36882.0,35735.0,34611.0,33508.0,32438.000000000004,31409.000000000004,30413.0,29435.0,28476.0,27537.0,26616.999999999996,25714.000000000004,24827.0,23956.999999999996,23095.0,22240.0,21393.0,20555.999999999996,19726.0,18908.0,18104.0,17309.0,16519.000000000004,15738.0,14947.000000000002,14136.0,13314.0,12503.0,11703.0,10907.0,10116.0,9335.0,8571.0,7826.000000000001,7097.0,6385.0,5696.000000000001,5035.0,4402.0,3816.0000000000005,3286.0,2808.0000000000005,2360.9999999999995,1948.0000000000002,1585.0,1277.0000000000002,1017.0000000000001,789.0,590.0,430.0,311.0,225.0,157.0,115.99999999999999,87.0,60.0,35.0,19.0,15.0,11.000000000000002,6.999999999999999,4.0,1.0,2.0
1955,123178.0,116333.0,110134.0,104538.0,99502.00000000001,94984.0,90941.0,87330.0,84109.0,81234.0,78680.0,76417.0,74328.0,72340.0,70454.0,68744.0,67192.0,65634.0,63997.0,62324.0,60736.00000000001,59208.99999999999,57693.00000000001,56174.0,54663.99999999999,53185.0,51733.00000000001,50311.00000000001,48925.0,47571.00000000001,46239.0,44930.0,43646.0,42388.00000000001,41152.0,39942.0,38757.0,37588.0,36431.0,35290.0,34173.0,33076.0,32014.000000000004,30995.0,30011.0,29044.0,28096.0,27166.0,26252.0,25353.0,24470.0,23601.999999999996,22741.0,21884.0,21033.0,20192.0,19357.0,18533.0,17721.0,16919.0,16120.999999999998,15332.0,14533.0,13713.0,12883.0,12065.0,11257.0,10455.0,9660.0,8876.0,8109.0,7364.0,6638.0,5934.0,5256.0,4609.0,3990.0,3421.0000000000005,2913.0000000000005,2459.0,2038.0000000000002,1651.0,1315.0,1037.0,807.9999999999999,609.0,441.0,308.0,211.00000000000003,143.00000000000003,91.0,67.0,52.00000000000001,35.0,17.0,8.0,6.0,5.0,3.0,2.0,2.0
1956,125187.99999999999,119195.0,112861.0,107151.00000000001,102017.00000000001,97408.99999999999,93294.0,89639.0,86314.0,83240.0,80413.0,77889.0,75628.0,73539.0,71572.0,69718.0,68017.0,66455.0,64891.00000000001,63258.0,61596.0,60012.0,58488.0,56976.00000000001,55464.0,53961.99999999999,52491.00000000001,51046.00000000001,49633.0,48256.0,46911.0,45588.0,44290.0,43016.99999999999,41768.0,40542.0,39341.0,38166.0,37008.0,35864.00000000001,34738.0,33635.0,32552.0,31502.0,30491.999999999996,29515.0,28554.000000000004,27611.0,26685.0,25772.0,24872.0,23987.0,23115.0,22250.999999999996,21390.0,20534.000000000004,19688.0,18847.0,18017.0,17197.0,16385.0,15579.0,14783.0,13977.0,13152.000000000002,12318.0,11497.0,10689.0,9890.0,9101.0,8326.0,7572.0,6840.0,6132.999999999999,5452.999999999999,4803.0,4185.0,3597.0,3062.0,2589.0,2171.0,1786.0,1435.0,1134.0000000000002,885.9999999999999,685.0,511.0,368.0,259.0,177.0,118.00000000000001,74.00000000000001,55.0,42.0,28.999999999999996,13.999999999999998,6.0,5.0,3.0,2.0,2.0
1957,127565.0,120312.00000000001,115406.0,109571.0,104340.0,99657.99999999999,95470.0,91750.0,88476.0,85432.0,82499.0,79715.0,77219.0,74956.0,72863.0,70915.0,69090.0,67393.0,65820.0,64248.00000000001,62617.0,60961.99999999999,59382.0,57858.00000000001,56348.0,54840.0,53343.0,51876.99999999999,50438.0,49031.00000000001,47661.0,46323.0,45008.99999999999,43718.99999999999,42453.99999999999,41213.0,39995.0,38802.0,37634.0,36486.0,35354.0,34241.0,33150.0,32079.0,31040.0,30037.0,29065.0,28109.0,27170.0,26246.0,25331.999999999996,24430.0,23541.0,22666.0,21796.999999999996,20930.0,20067.999999999996,19215.0,18368.0,17529.0,16700.0,15878.0,15062.999999999998,14258.0,13444.0,12612.0,11773.0,10949.000000000002,10139.0,9341.000000000002,8558.0,7792.000000000001,7047.999999999999,6329.0,5638.999999999999,4981.0,4359.0,3770.0,3211.9999999999995,2708.0,2270.0,1888.0000000000002,1538.0,1222.9999999999998,955.0,738.0,564.0,414.0,297.0,210.0,143.00000000000003,94.0,57.99999999999999,43.0,33.0,23.0,11.000000000000002,5.0,3.0,2.0,2.0
1958,130365.00000000001,122842.00000000001,116117.0,111772.0,106427.0,101669.0,97433.0,93657.99999999999,90329.0,87431.0,84663.0,81867.0,79123.0,76651.00000000001,74382.0,72283.99999999999,70351.0,68553.0,66859.0,65271.99999999999,63690.0,62059.0,60409.0,58830.0,57305.0,55795.0,54288.00000000001,52795.0,51333.0,49897.0,48495.0,47130.0,45797.0,44489.0,43206.0,41946.99999999999,40711.99999999999,39501.0,38314.0,37153.0,36012.0,34890.0,33789.0,32709.000000000004,31649.0,30618.000000000004,29622.0,28654.0,27701.0,26765.0,25840.999999999996,24926.0,24020.0,23127.0,22246.0,21371.0,20498.0,19629.0,18768.0,17913.0,17066.0,16226.0,15392.999999999998,14567.0,13753.0,12930.0,12090.0,11245.0,10415.999999999998,9603.0,8806.000000000002,8026.0,7267.0,6532.999999999999,5826.000000000001,5152.0,4516.999999999999,3921.0000000000005,3359.0,2830.0,2358.0,1954.0,1607.0,1293.0000000000002,1012.0,778.0,591.0,444.0,317.0,226.0,161.0,110.0,70.0,42.0,31.0,24.0,16.0,8.0,3.0,2.0,2.0
1959,133677.00000000003,125824.0,118831.0,112630.0,108252.00000000001,103393.99999999999,99102.0,95309.0,91944.0,89002.00000000001,86479.0,83984.0,81322.0,78615.0,76164.0,73888.0,71781.0,69862.0,68089.0,66396.99999999999,64794.0,63200.0,61566.0,59921.00000000001,58341.0,56813.0,55300.0,53794.0,52303.00000000001,50843.0,49409.0,48010.0,46648.0,45320.0,44016.00000000001,42738.0,41485.0,40255.0,39048.0,37867.0,36710.0,35576.0,34463.0,33373.00000000001,32303.000000000004,31252.0,30229.0,29238.000000000004,28273.000000000004,27323.0,26388.0,25464.000000000004,24546.0,23636.0,22737.0,21850.0,20968.000000000004,20087.0,19210.0,18340.0,17477.0,16619.0,15767.999999999998,14923.0,14085.999999999998,13261.0,12427.999999999998,11580.0,10728.0,9892.999999999998,9077.0,8277.999999999998,7502.000000000001,6750.0,6025.0,5327.999999999999,4670.0,4056.9999999999995,3487.0,2952.0,2452.0,2009.9999999999998,1639.0,1327.0,1048.0,802.9999999999999,601.0,444.0,322.99999999999994,221.0,154.0,113.0,77.0,45.0,26.000000000000004,19.0,15.0,10.0,5.0,2.0,2.0
