Time,Births
1950,845418.0
1951,855642.0
1952,863498.0
1953,872937.0
1954,884673.0
1955,897653.0
1956,903107.0
1957,912570.0
1958,923285.0
1959,933173.0
1960,957492.0
1961,966930.0
1962,974659.0
1963,982287.0
1964,992170.0
1965,1005403.0
1966,1018181.0
1967,1034242.0
1968,1053834.0
1969,1077074.0
1970,1038636.0
1971,1065451.0
1972,1096713.0
1973,1131593.0
1974,1169038.0
1975,1084587.0
1976,1120736.0
1977,1158511.0
1978,1197882.0
1979,1238935.0
1980,1127609.0
1981,1164970.0
1982,1203265.0
1983,1242404.0
1984,1282464.0
1985,1085788.0
1986,1117929.0
1987,1151229.0
1988,1184808.0
1989,1217501.0
1990,1055975.0
1991,1079952.0
1992,1101804.0
1993,1122360.0
1994,1142810.0
1995,1075644.0
1996,1097065.0
1997,1118689.0
1998,1140135.0
1999,1160831.0
2000,1122929.0
2001,1137002.0
2002,1149687.0
2003,1160643.0
2004,1169658.0
2005,1052897.0
2006,1056958.0
2007,1059153.0
2008,1059733.0
2009,1059118.0
2010,953297.0
2011,956439.0
2012,959785.0
2013,963453.0
2014,967491.0
2015,937989.0
2016,942488.0
2017,946303.0
2018,949779.0
2019,953364.0
2020,915131.0
2021,921439.0
2022,928609.0
2023,935994.0
2024,942768.0
2025,910909.0
2026,916566.0
2027,921195.0
2028,924709.0
2029,927115.0
2030,898595.0
2031,899367.0
2032,898992.0
2033,897580.0
2034,895294.0
2035,865194.0
2036,862198.0
2037,858573.0
2038,854449.0
2039,849991.0
2040,826251.0
2041,822057.0
2042,817752.0
2043,813450.0
2044,809284.0
2045,789728.0
2046,786431.0
2047,783446.0
2048,780710.0
2049,778108.0
2050,764616.0
2051,762542.0
2052,760553.0
2053,758548.0
2054,756407.0
2055,748596.0
2056,746356.0
2057,743888.0
2058,741142.0
2059,738078.0
2060,731232.0
2061,727785.0
2062,724019.0
2063,719935.0
2064,715555.0
2065,709583.0
2066,704957.0
2067,700099.0
2068,695057.0
2069,689895.0
2070,684362.0
2071,679324.0
2072,674276.0
2073,669245.0
2074,664264.0
2075,658334.0
2076,653761.0
2077,649322.0
2078,645003.0
2079,640784.0
2080,637127.0
2081,633346.0
2082,629688.0
2083,626120.0
2084,622599.0
2085,620174.0
2086,616888.0
2087,613652.0
2088,610419.0
2089,607132.0
2090,605737.0
2091,602449.0
2092,599109.0
2093,595687.0
2094,592161.0
2095,590200.0
2096,586592.0
2097,582915.0
2098,579160.0
2099,575321.0
