Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,567825,526503,491570,462494,438741,419775,405064,394073,386266,381112,378324,377616,377211,376076,374423,373566,373324,371394,366783,360266,353863,347471,339899,330850,320939,310805,299999,291173,285611,282012,278043,274470,268960,260211,249508,239339,229091,220227,213688,208688,203416,198137,193026,187955,182875,177962,173299,167893,161300,153981,146812,139587,132849,126949,121611,116203,110839,105538,100239,94966,89828,84828,79787,74634,69454,64406.00000000001,59466,54709,50194,45890,41720,37705,33862,30192,26706,23418,20334,17456,14784,12331,10077,7993,6258,4948,3968,3133,2463,1906,1411,988,648,463,363,255,136,70,57,44,29,14,17
1951,648832,553134,513755,480771,453592,431638,414425,401470,391678,384256,378929,375935,374902,374197,372922,371221,370207,369739,367628,362918,356359,349904,343454,335859,326836,316979,306905,296177,287394,281815,278165,274156,270541,265018,256305,245669,235558,225369,216553,210040,205050,199791,194528,189416,184323,179207,174258,169552,164118,157526,150225,143068,135858,129121.00000000001,123199,117823,112383,106993,101663,96338,91042,85885,80873,75841,70724,65603,60624,55764,51095,46671,42466,38407,34513,30816,27321,24034,20947,18066,15403,12966,10753,8736,6888,5358,4205,3347,2624,2064,1597,1180,817,532,382,299,209,112,57,44,29,14,17
1952,707502,627816,537666,500286,469290,444043,423914,408471,397284,388698,381671,376178,372987,371628,370626,369214,367468,366300,365608,363321,358518,351925,345426,338928,331323,322338,312552,302555,291918,283193,277607,273912,269868,266217,260689.00000000003,252026,241472,231436,221320,212564,206087,201114,195876,190636,185531,180424,175281,170301,165561,160108,153526,146253,139120,131935,125209,119271,113867,108404,102996,97647,92302,86991,81825,76808,71790,66719,61664,56760,51989,47415,43089,38989,35047,31280,27732,24419,21334,18452,15777,13333,11133,9164,7386,5777,4453,3458,2723,2112,1662,1288,948,646,416,300,235,163,87,44,29,14,17
1953,747650,661362,589014,523446,487973,458890,435512,417154,403439,393990,386587,379936,374269,370871,369187,367887,366335,364540,363216,362300,359831,354925,348286,341727,335169,327536,318570,308831,298888,288322,279633,274028,270280,266193,262497,256952,248319,237824,227840,217776,209059,202604,197639,192410,187180,182071,176937,171756,166736,161949,156466,149881,142619,135494,128318.00000000001,121588,115624,110179,104680,99241,93863,88487,83149,77962,72928,67915,62877,57879,53039,48344,43855,39617,35613,31779,28130,24723,21582,18693,16009,13532,11302,9332,7603,6058,4682,3560,2722,2108,1607,1265,983,718,477,300,219,171,119,63,29,14,17
1954,772052,687260,615491,555671,510703,477037,449786,428211,411576,399552,391814,385575,379282,373424,369810,367795,366193,364497,362648,361163,360020,357363,352341,345635,339001,332361,324680,315706,305988,296070,285543,276867,271227,267414,263273,259521.00000000003,253945,245316,234851,224890,214849,206149,199695,194723,189488,184255,179127,173954,168718,163644,158797,153269,146661,139391,132253,125067,118312,112305,106803,101254,95770,90345,84923,79543,74319,69255,64232,59213,54256,49467,44837,40418,36256,32336,28600,25057,21782,18806,16104,13609,11325,9302,7557,6061,4746,3600,2678,1993,1497,1106,873,680,491,309,186,138,107,74,38,14,17
1955,782762,706739,641121,585118,537937,498789,466880,441422,421622,406688,396345,390314,385235,379290,373229,369392,367042,365133,363289,361382,359734,358361,355508,350361,343577,336855,330124,322380,313384,303668,293758,283252,274573,268886,265003,260800,256985,251367,242730,232275,222320,212284,203584,197123,192135,186885,181639,176484,171261,165962,160824,155909,150324,143682,136391,129229.00000000001,122018,115229,109166,103598,97988,92447,86968,81490,76058,70790,65685,60643,55634,50710,45964,41388,37035,32942,29098,25454,22013,18865,16047,13529,11222,9127,7308,5787,4522,3437,2519,1796,1263,887,604,479,377,263,140,70,57,44,29,14,17
1956,775894,756100,689253,630205,578546,533864,495421,462488,436256,416959,403219,393160,386838,381503,375486,369455,365523,362999,360936,358981,356997,355260,353793,350885,345728,338970,332277,325580,317880,308932,299267,289415,278977,270339,264647,260731,256499.00000000003,252649,247032,238461,228109,218248,208307,199670,193219,188205,182936,177668,172484,167225,161887,156707,151745,146127,139479,132199,125046,117853,111072,105001,99415,93798,88259,82792,77347,71963,66753,61717,56760,51851,47045,42427,37989,33797,29896,26266,22839,19619,16698,14113,11827,9751,7880,6271,4931,3825,2880,2107,1508,1060,735,497,394,309,216,115,58,44,29,14,17
1957,765428,722179,732724,674730,621975,574423,532038,494136,460039,432928,414051,401441,391623,384985,379374,373259,367234,363190,360483,358257,356185,354115,352283,350718,347739,342553,335795,329104,322414,314725,305788,296132,286296,275883,267250,261528.00000000003,257562,253286,249383,243745,235204,224913,215104,205215,196605,190138,185079,179767,174457,169223,163907,158507,153263,148233,142560,135878,128578,121407,114201,107400,101294,95668,90022,84460,78985,73549,68191,63017,58027,53132,48304,43594,39085,34766,30717,26989,23558,20333,17319,14612,12247,10184,8328,6675,5265,4099,3148,2338,1704,1227,863,587,392,311,244,170,90,45,30,14,17
1958,754502,729031,700737,710519,661300,614762,571245,531089,493666,458348,430308,411820,400322,390731,383764,377865,371645,365615,361452,358558,356166,353972,351812,349882,348215,345161,339939,333169,326468,319776,312086,303144,293482,283645,273240,264596,258834.99999999997,254815,250486,246523,240855,232330,222084,212310,202459,193861,187367,182254,176891,171530,166236,160854,155383,150067,144961,139225,132498,125166,117963,110732,103900,97751,92075,86389,80795,75302,69866,64525.99999999999,59378,54428,49587,44831,40210,35803,31594,27682,24124,20884,17856,15043,12546,10399,8555,6916,5477,4266,3274,2475,1800,1305,949,665,440,287,229,178,124,65,30,14,17
1959,747181,736160,718829,696156,688117,647709,607416,567957,530047,493111,456574,427609,409514,399133,389770,382477,376290,369963,363930,359649,356568,354009,351693,349443,347415,345648,342520,337260,330478,323771,317075,309384,300440,290773,280938,270543,261889,256091,252015,247634,243613,237915,229408,219207,209471,199658,191076,184555,179388,173976,168563,163211,157763,152223,146834,141653,135853,129082,121718,114487,107232,100370,94176,88453,82728,77103,71593,66159,60837,55716,50806,46022,41339,36808,32503,28406,24632,21244,18197,15367,12757,10471,8542,6919,5498,4276,3263,2445,1799,1259,903,670,468,293,182,146,113,78,40,14,17
