Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.14295604,0.03268682,0.03268682,0.03268682,0.03268682,0.00958554,0.00958554,0.00958554,0.00958554,0.00958554,0.0056863,0.0056863,0.0056863,0.0056863,0.0056863,0.00624223,0.00624223,0.00624223,0.00624223,0.00624223,0.00744003,0.00744003,0.00744003,0.00744003,0.00744003,0.00898074,0.00898074,0.00898074,0.00898074,0.00898074,0.01035545,0.01035545,0.01035545,0.01035545,0.01035545,0.01178454,0.01178454,0.01178454,0.01178454,0.01178454,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.0138393,0.0138393,0.0138393,0.0138393,0.0138393,0.01699479,0.01699479,0.01699479,0.01699479,0.01699479,0.02162295,0.02162295,0.02162295,0.02162295,0.02162295,0.03105403,0.03105403,0.03105403,0.03105403,0.03105403,0.04619465,0.04619465,0.04619465,0.04619465,0.04619465,0.07160978,0.07160978,0.07160978,0.07160978,0.07160978,0.11013967,0.11013967,0.11013967,0.11013967,0.11013967,0.17631008,0.17631008,0.17631008,0.17631008,0.17631008,0.27554872,0.27554872,0.27554872,0.27554872,0.27554872,0.4141022,0.4141022,0.4141022,0.4141022,0.4141022,0.53893047,0.53893047,0.53893047,0.53893047,0.53893047,0.65343278
1951,0.14295604,0.03268682,0.03268682,0.03268682,0.03268682,0.00958554,0.00958554,0.00958554,0.00958554,0.00958554,0.0056863,0.0056863,0.0056863,0.0056863,0.0056863,0.00624223,0.00624223,0.00624223,0.00624223,0.00624223,0.00744003,0.00744003,0.00744003,0.00744003,0.00744003,0.00898074,0.00898074,0.00898074,0.00898074,0.00898074,0.01035545,0.01035545,0.01035545,0.01035545,0.01035545,0.01178454,0.01178454,0.01178454,0.01178454,0.01178454,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.0138393,0.0138393,0.0138393,0.0138393,0.0138393,0.01699479,0.01699479,0.01699479,0.01699479,0.01699479,0.02162295,0.02162295,0.02162295,0.02162295,0.02162295,0.03105403,0.03105403,0.03105403,0.03105403,0.03105403,0.04619465,0.04619465,0.04619465,0.04619465,0.04619465,0.07160978,0.07160978,0.07160978,0.07160978,0.07160978,0.11013967,0.11013967,0.11013967,0.11013967,0.11013967,0.17631008,0.17631008,0.17631008,0.17631008,0.17631008,0.27554872,0.27554872,0.27554872,0.27554872,0.27554872,0.4141022,0.4141022,0.4141022,0.4141022,0.4141022,0.53893047,0.53893047,0.53893047,0.53893047,0.53893047,0.65343278
1952,0.14295604,0.03268682,0.03268682,0.03268682,0.03268682,0.00958554,0.00958554,0.00958554,0.00958554,0.00958554,0.0056863,0.0056863,0.0056863,0.0056863,0.0056863,0.00624223,0.00624223,0.00624223,0.00624223,0.00624223,0.00744003,0.00744003,0.00744003,0.00744003,0.00744003,0.00898074,0.00898074,0.00898074,0.00898074,0.00898074,0.01035545,0.01035545,0.01035545,0.01035545,0.01035545,0.01178454,0.01178454,0.01178454,0.01178454,0.01178454,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.0138393,0.0138393,0.0138393,0.0138393,0.0138393,0.01699479,0.01699479,0.01699479,0.01699479,0.01699479,0.02162295,0.02162295,0.02162295,0.02162295,0.02162295,0.03105403,0.03105403,0.03105403,0.03105403,0.03105403,0.04619465,0.04619465,0.04619465,0.04619465,0.04619465,0.07160978,0.07160978,0.07160978,0.07160978,0.07160978,0.11013967,0.11013967,0.11013967,0.11013967,0.11013967,0.17631008,0.17631008,0.17631008,0.17631008,0.17631008,0.27554872,0.27554872,0.27554872,0.27554872,0.27554872,0.4141022,0.4141022,0.4141022,0.4141022,0.4141022,0.53893047,0.53893047,0.53893047,0.53893047,0.53893047,0.65343278
1953,0.14295604,0.03268682,0.03268682,0.03268682,0.03268682,0.00958554,0.00958554,0.00958554,0.00958554,0.00958554,0.0056863,0.0056863,0.0056863,0.0056863,0.0056863,0.00624223,0.00624223,0.00624223,0.00624223,0.00624223,0.00744003,0.00744003,0.00744003,0.00744003,0.00744003,0.00898074,0.00898074,0.00898074,0.00898074,0.00898074,0.01035545,0.01035545,0.01035545,0.01035545,0.01035545,0.01178454,0.01178454,0.01178454,0.01178454,0.01178454,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.0138393,0.0138393,0.0138393,0.0138393,0.0138393,0.01699479,0.01699479,0.01699479,0.01699479,0.01699479,0.02162295,0.02162295,0.02162295,0.02162295,0.02162295,0.03105403,0.03105403,0.03105403,0.03105403,0.03105403,0.04619465,0.04619465,0.04619465,0.04619465,0.04619465,0.07160978,0.07160978,0.07160978,0.07160978,0.07160978,0.11013967,0.11013967,0.11013967,0.11013967,0.11013967,0.17631008,0.17631008,0.17631008,0.17631008,0.17631008,0.27554872,0.27554872,0.27554872,0.27554872,0.27554872,0.4141022,0.4141022,0.4141022,0.4141022,0.4141022,0.53893047,0.53893047,0.53893047,0.53893047,0.53893047,0.65343278
1954,0.14295604,0.03268682,0.03268682,0.03268682,0.03268682,0.00958554,0.00958554,0.00958554,0.00958554,0.00958554,0.0056863,0.0056863,0.0056863,0.0056863,0.0056863,0.00624223,0.00624223,0.00624223,0.00624223,0.00624223,0.00744003,0.00744003,0.00744003,0.00744003,0.00744003,0.00898074,0.00898074,0.00898074,0.00898074,0.00898074,0.01035545,0.01035545,0.01035545,0.01035545,0.01035545,0.01178454,0.01178454,0.01178454,0.01178454,0.01178454,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.012958700000000002,0.0138393,0.0138393,0.0138393,0.0138393,0.0138393,0.01699479,0.01699479,0.01699479,0.01699479,0.01699479,0.02162295,0.02162295,0.02162295,0.02162295,0.02162295,0.03105403,0.03105403,0.03105403,0.03105403,0.03105403,0.04619465,0.04619465,0.04619465,0.04619465,0.04619465,0.07160978,0.07160978,0.07160978,0.07160978,0.07160978,0.11013967,0.11013967,0.11013967,0.11013967,0.11013967,0.17631008,0.17631008,0.17631008,0.17631008,0.17631008,0.27554872,0.27554872,0.27554872,0.27554872,0.27554872,0.4141022,0.4141022,0.4141022,0.4141022,0.4141022,0.53893047,0.53893047,0.53893047,0.53893047,0.53893047,0.65343278
1955,0.12913967,0.02590717,0.02590717,0.02590717,0.02590717,0.00739083,0.00739083,0.00739083,0.00739083,0.00739083,0.00446117,0.00446117,0.00446117,0.00446117,0.00446117,0.00508704,0.00508704,0.00508704,0.00508704,0.00508704,0.00623903,0.00623903,0.00623903,0.00623903,0.00623903,0.00761884,0.00761884,0.00761884,0.00761884,0.00761884,0.00885237,0.00885237,0.00885237,0.00885237,0.00885237,0.01020362,0.01020362,0.01020362,0.01020362,0.01020362,0.01144493,0.01144493,0.01144493,0.01144493,0.01144493,0.0124383,0.0124383,0.0124383,0.0124383,0.0124383,0.01554796,0.01554796,0.01554796,0.01554796,0.01554796,0.01999404,0.01999404,0.01999404,0.01999404,0.01999404,0.02910807,0.02910807,0.02910807,0.02910807,0.02910807,0.04409516,0.04409516,0.04409516,0.04409516,0.04409516,0.0695408,0.0695408,0.0695408,0.0695408,0.0695408,0.10896058,0.10896058,0.10896058,0.10896058,0.10896058,0.17778435,0.17778435,0.17778435,0.17778435,0.17778435,0.28356995,0.28356995,0.28356995,0.28356995,0.28356995,0.43650481,0.43650481,0.43650481,0.43650481,0.43650481,0.57956169,0.57956169,0.57956169,0.57956169,0.57956169,0.71462363
1956,0.12913967,0.02590717,0.02590717,0.02590717,0.02590717,0.00739083,0.00739083,0.00739083,0.00739083,0.00739083,0.00446117,0.00446117,0.00446117,0.00446117,0.00446117,0.00508704,0.00508704,0.00508704,0.00508704,0.00508704,0.00623903,0.00623903,0.00623903,0.00623903,0.00623903,0.00761884,0.00761884,0.00761884,0.00761884,0.00761884,0.00885237,0.00885237,0.00885237,0.00885237,0.00885237,0.01020362,0.01020362,0.01020362,0.01020362,0.01020362,0.01144493,0.01144493,0.01144493,0.01144493,0.01144493,0.0124383,0.0124383,0.0124383,0.0124383,0.0124383,0.01554796,0.01554796,0.01554796,0.01554796,0.01554796,0.01999404,0.01999404,0.01999404,0.01999404,0.01999404,0.02910807,0.02910807,0.02910807,0.02910807,0.02910807,0.04409516,0.04409516,0.04409516,0.04409516,0.04409516,0.0695408,0.0695408,0.0695408,0.0695408,0.0695408,0.10896058,0.10896058,0.10896058,0.10896058,0.10896058,0.17778435,0.17778435,0.17778435,0.17778435,0.17778435,0.28356995,0.28356995,0.28356995,0.28356995,0.28356995,0.43650481,0.43650481,0.43650481,0.43650481,0.43650481,0.57956169,0.57956169,0.57956169,0.57956169,0.57956169,0.71462363
1957,0.12913967,0.02590717,0.02590717,0.02590717,0.02590717,0.00739083,0.00739083,0.00739083,0.00739083,0.00739083,0.00446117,0.00446117,0.00446117,0.00446117,0.00446117,0.00508704,0.00508704,0.00508704,0.00508704,0.00508704,0.00623903,0.00623903,0.00623903,0.00623903,0.00623903,0.00761884,0.00761884,0.00761884,0.00761884,0.00761884,0.00885237,0.00885237,0.00885237,0.00885237,0.00885237,0.01020362,0.01020362,0.01020362,0.01020362,0.01020362,0.01144493,0.01144493,0.01144493,0.01144493,0.01144493,0.0124383,0.0124383,0.0124383,0.0124383,0.0124383,0.01554796,0.01554796,0.01554796,0.01554796,0.01554796,0.01999404,0.01999404,0.01999404,0.01999404,0.01999404,0.02910807,0.02910807,0.02910807,0.02910807,0.02910807,0.04409516,0.04409516,0.04409516,0.04409516,0.04409516,0.0695408,0.0695408,0.0695408,0.0695408,0.0695408,0.10896058,0.10896058,0.10896058,0.10896058,0.10896058,0.17778435,0.17778435,0.17778435,0.17778435,0.17778435,0.28356995,0.28356995,0.28356995,0.28356995,0.28356995,0.43650481,0.43650481,0.43650481,0.43650481,0.43650481,0.57956169,0.57956169,0.57956169,0.57956169,0.57956169,0.71462363
1958,0.12913967,0.02590717,0.02590717,0.02590717,0.02590717,0.00739083,0.00739083,0.00739083,0.00739083,0.00739083,0.00446117,0.00446117,0.00446117,0.00446117,0.00446117,0.00508704,0.00508704,0.00508704,0.00508704,0.00508704,0.00623903,0.00623903,0.00623903,0.00623903,0.00623903,0.00761884,0.00761884,0.00761884,0.00761884,0.00761884,0.00885237,0.00885237,0.00885237,0.00885237,0.00885237,0.01020362,0.01020362,0.01020362,0.01020362,0.01020362,0.01144493,0.01144493,0.01144493,0.01144493,0.01144493,0.0124383,0.0124383,0.0124383,0.0124383,0.0124383,0.01554796,0.01554796,0.01554796,0.01554796,0.01554796,0.01999404,0.01999404,0.01999404,0.01999404,0.01999404,0.02910807,0.02910807,0.02910807,0.02910807,0.02910807,0.04409516,0.04409516,0.04409516,0.04409516,0.04409516,0.0695408,0.0695408,0.0695408,0.0695408,0.0695408,0.10896058,0.10896058,0.10896058,0.10896058,0.10896058,0.17778435,0.17778435,0.17778435,0.17778435,0.17778435,0.28356995,0.28356995,0.28356995,0.28356995,0.28356995,0.43650481,0.43650481,0.43650481,0.43650481,0.43650481,0.57956169,0.57956169,0.57956169,0.57956169,0.57956169,0.71462363
1959,0.12913967,0.02590717,0.02590717,0.02590717,0.02590717,0.00739083,0.00739083,0.00739083,0.00739083,0.00739083,0.00446117,0.00446117,0.00446117,0.00446117,0.00446117,0.00508704,0.00508704,0.00508704,0.00508704,0.00508704,0.00623903,0.00623903,0.00623903,0.00623903,0.00623903,0.00761884,0.00761884,0.00761884,0.00761884,0.00761884,0.00885237,0.00885237,0.00885237,0.00885237,0.00885237,0.01020362,0.01020362,0.01020362,0.01020362,0.01020362,0.01144493,0.01144493,0.01144493,0.01144493,0.01144493,0.0124383,0.0124383,0.0124383,0.0124383,0.0124383,0.01554796,0.01554796,0.01554796,0.01554796,0.01554796,0.01999404,0.01999404,0.01999404,0.01999404,0.01999404,0.02910807,0.02910807,0.02910807,0.02910807,0.02910807,0.04409516,0.04409516,0.04409516,0.04409516,0.04409516,0.0695408,0.0695408,0.0695408,0.0695408,0.0695408,0.10896058,0.10896058,0.10896058,0.10896058,0.10896058,0.17778435,0.17778435,0.17778435,0.17778435,0.17778435,0.28356995,0.28356995,0.28356995,0.28356995,0.28356995,0.43650481,0.43650481,0.43650481,0.43650481,0.43650481,0.57956169,0.57956169,0.57956169,0.57956169,0.57956169,0.71462363
