Time,Births
1950,226826.0
1951,227582.0
1952,228991.0
1953,229947.0
1954,230284.0
1955,234720.0
1956,236057.0
1957,236577.0
1958,236881.0
1959,237424.0
1960,244467.0
1961,245396.0
1962,246890.0
1963,249023.0
1964,251829.0
1965,227996.0
1966,232600.0
1967,238084.0
1968,244158.0
1969,250466.0
1970,196451.0
1971,202006.0
1972,207589.0
1973,213040.0
1974,218109.0
1975,171616.0
1976,174525.0
1977,176704.0
1978,178415.0
1979,180039.0
1980,172119.0
1981,173807.0
1982,175331.0
1983,176789.0
1984,178278.0
1985,183456.0
1986,184809.0
1987,186415.0
1988,188115.0
1989,189646.0
1990,194321.0
1991,195369.0
1992,196229.0
1993,196789.0
1994,196896.0
1995,197663.0
1996,197042.0
1997,195943.0
1998,194390.0
1999,192404.0
2000,207214.0
2001,204411.0
2002,201197.0
2003,197785.0
2004,194466.0
2005,193021.0
2006,189274.0
2007,185978.0
2008,183213.0
2009,181024.0
2010,178087.0
2011,177005.0
2012,176486.0
2013,176482.0
2014,176892.0
2015,170267.0
2016,170746.0
2017,171407.0
2018,172143.0
2019,172790.0
2020,175321.0
2021,175741.0
2022,175932.0
2023,175914.0
2024,175756.0
2025,177257.0
2026,176886.0
2027,176419.0
2028,175852.0
2029,175171.0
2030,175639.0
2031,174910.0
2032,174103.0
2033,173189.0
2034,172119.0
2035,171995.0
2036,170703.0
2037,169265.0
2038,167734.0
2039,166184.0
2040,165720.0
2041,164346.0
2042,163058.0
2043,161875.0
2044,160797.0
2045,160486.0
2046,159711.0
2047,159079.0
2048,158570.0
2049,158167.0
2050,158233.0
2051,158139.0
2052,158172.0
2053,158277.0
2054,158367.0
2055,158904.0
2056,158939.0
2057,158937.0
2058,158872.0
2059,158718.0
2060,158634.0
2061,158348.0
2062,158004.0
2063,157583.0
2064,157065.0
2065,156763.0
2066,156155.0
2067,155500.0
2068,154789.0
2069,154016.0
2070,153670.0
2071,152963.0
2072,152255.0
2073,151537.0
2074,150805.0
2075,150217.0
2076,149678.0
2077,149182.0
2078,148721.0
2079,148278.0
2080,147828.0
2081,147584.0
2082,147395.0
2083,147232.0
2084,147053.0
2085,147085.0
2086,147019.0
2087,146968.0
2088,146894.0
2089,146748.0
2090,146547.0
2091,146434.0
2092,146289.0
2093,146079.0
2094,145768.0
2095,145228.0
2096,144956.0
2097,144639.0
2098,144260.0
2099,143804.0
