Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026414053384660506,0.005505313247376598,0.010515763694894337,0.018504252767711418,0.030153268016878433,0.045739296061127976,0.06492275917295012,0.08667962345579976,0.10942420606521971,0.13132080094260215,0.1506636085246333,0.16617762905943934,0.17719878147313792,0.183691616645032,0.18597596030698074,0.18456254496431876,0.18018218974720593,0.17366964835782556,0.16584115769155006,0.15703151721784786,0.14717513496842236,0.13627383638901877,0.12442230979184464,0.111791314725881,0.09832289069287643,0.0839357893757721,0.0689499345452162,0.05403346865935359,0.040049262658328415,0.027852871488350698,0.018043093319286496,0.010808155517398272,0.005943273894840431,0.0029782933779688727,0.0013502394039185764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024939258293522047,0.00524286537246528,0.010101278091668492,0.017926700006269534,0.029453352066771504,0.04502704163899292,0.06437397979948134,0.0865046628688922,0.10981357068339577,0.1323676625528707,0.1522881682331837,0.16809661130357562,0.1789412400859421,0.18465663502571758,0.18562310364592957,0.18259411455248226,0.17656242810506353,0.16859151854762897,0.15966505087995445,0.15017224747927985,0.14002394258706416,0.12918631662910582,0.11770668018643964,0.10569616979607423,0.09302179092588618,0.0795173354635458,0.06541982193667856,0.051327020458973346,0.03805430323681855,0.026437249202573777,0.017077297737205517,0.010177970354180783,0.005553811164790083,0.002753326304022498,0.001230579443401511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024150812450251863,0.005109268887315911,0.009906014649100353,0.017688704040590753,0.029234357793581665,0.04494022502069854,0.06457504531226665,0.08716168923790103,0.11106083831988149,0.13424479366223946,0.15468414992170781,0.17073242095747024,0.18139193100053902,0.18640827267396745,0.18623093982183714,0.1818246734465838,0.17440001942748593,0.16520050707236308,0.15533205286569182,0.14521844012889326,0.1347509854029381,0.12386980889341268,0.112589051264653,0.10097839820831225,0.088852769475162,0.0759864716829571,0.06255581194094079,0.04910304053312179,0.03640118931412471,0.025261872893423038,0.01627997742636672,0.009664729543117275,0.0052430335905693515,0.002578350629293246,0.0011401896347163034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002391686297741344,0.005081508217871602,0.009893789542827795,0.017738722288811903,0.029429280490325782,0.04539861554387274,0.06543637625612497,0.08855591037628259,0.113068989196747,0.13685354458816626,0.15774916886725293,0.17397484521178724,0.18442680742016668,0.18879910596402003,0.18761577551685962,0.18202150434957218,0.17340459023523652,0.16314870856075134,0.15244862068583329,0.14175080211278407,0.13093290002453642,0.11991772644679737,0.1086974665951484,0.0973138452246832,0.08554653432573542,0.07312937201470879,0.06019488721254893,0.04724136120104986,0.035003494979536705,0.02426557933503131,0.015608352888076387,0.009238937348574625,0.0049911070429957335,0.0024405799636852007,0.0010713265650613645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002415046356200135,0.005144116119895093,0.010039714628158702,0.01804027261829128,0.02998898427732604,0.04634076079080772,0.06688567510299191,0.09060609907822355,0.11574946799504596,0.14009852654002591,0.16138000174314032,0.17771051239517735,0.187918461678631,0.1916809588885602,0.1895997285764623,0.18296896440603946,0.17331832954985027,0.1621381712676745,0.15068660213215837,0.13942587884741697,0.12822662574798424,0.11700227852392808,0.10573211405176267,0.09444013623408666,0.08288348705795547,0.07077009809386733,0.058201744291273,0.04564157988705106,0.033788800205273466,0.023397231269941088,0.015026959547729493,0.008876525350535108,0.004782229208768875,0.002330148319705037,0.0010182462296864894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002479248395933749,0.005286321725140044,0.010325925849552114,0.01856615998376628,0.030875120652439716,0.04771605609460487,0.06885976451720488,0.0932368205071694,0.11901528259593805,0.1438818043776325,0.16546779581289534,0.18181878849197342,0.19173213931745994,0.1949001188734964,0.19200389454387795,0.1844582201875319,0.17390107397773943,0.16190080970803689,0.14975868839797513,0.13794876017340607,0.12634138420515342,0.1148477036114875,0.10344146376545862,0.09213683262083681,0.080678295922215107,0.06875929639991465,0.056460884272169366,0.044217659009426966,0.03269498527256555,0.022613084336789994,0.014505678906454676,0.00855731458830447,0.004603410426567341,0.0022391657198642706,9.765145015289329e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002579956906811353,0.005499985592999652,0.010738398175639994,0.019294036670423557,0.03205450934786481,0.049478257728216964,0.07129772744010314,0.09637176059800893,0.12277501576862593,0.14809788137860813,0.16989403696804922,0.18616848323130322,0.195722705277849,0.19829379652438772,0.19464330057595397,0.18627966859695108,0.17491937550601117,0.16218386521029712,0.14940089075220797,0.13705383586954772,0.12501911993974685,0.11321172917678354,0.10160583852521897,0.09021184000730847,0.07876939161769946,0.06696656263832347,0.054871325855024945,0.04289436036745887,0.03166780946658394,0.021875073194062004,0.014018451350809782,0.008264001528312689,0.004443665488314717,0.0021610944180477623,9.42558537710686e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0027134837951999003,0.005777967369699071,0.011264367403435373,0.02020272340263603,0.03349437944048979,0.05157988623533381,0.07413491069304426,0.09992786786317998,0.1269276110362553,0.1526294538469663,0.1745273270323367,0.19061545128523852,0.1997326560686832,0.20168790137875742,0.19732363459765145,0.18821783081152776,0.17613897990334768,0.16273984654074633,0.14936045948242155,0.1364916263515565,0.12402123001125197,0.11187310485193902,0.10002647248201374,0.08849246226190823,0.07701215972509325,0.06527559390070362,0.053343334489745264,0.04160510100812514,0.030659487483440714,0.021149809093387234,0.013542510785299819,0.007981537085594152,0.004293504461527658,0.002090348839302307,9.13377928443296e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028748166174054966,0.006110911248351702,0.011887677128008025,0.021266243694894594,0.035155631001958634,0.0539655863320725,0.07729730627218102,0.10381135061019355,0.13135994190511982,0.1573457885263748,0.17922131313853693,0.19499876779623918,0.2035856125652191,0.20488749079183377,0.19982870646752657,0.1900360952739649,0.17730730930601699,0.16330746307888655,0.1493762792380332,0.13600969540728425,0.12311081005823145,0.11061573106512092,0.09851180503024692,0.08681389992600433,0.07526956562450877,0.06357683019423317,0.05179292641856971,0.04028811492531391,0.02962624668695629,0.020407211329151444,0.013057741131514249,0.007696890554921584,0.004144870159731795,0.0020222759233567895,8.865214578180356e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030527546828604344,0.006479647895715976,0.012578382140196239,0.022441494029698538,0.03698044039747206,0.05656209003295783,0.08069592479079281,0.10791710057746205,0.1359498635936943,0.1621060968070113,0.1838142185831194,0.19913277950357458,0.20706897246664696,0.20765032724065288,0.201886727347475,0.19143804459032107,0.17811226283779405,0.16357022061672064,0.14913937437208463,0.13531662397617764,0.12202087606913038,0.10920127654720262,0.09685417083914219,0.08499939214328846,0.07339529893934951,0.06175353975796856,0.050130994155714086,0.038878659601038305,0.02852342899748361,0.019618012409307967,0.012545870264794883,0.007399188837451905,0.003991627236749611,0.0019536349045214028,8.604178518534199e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
