Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,130869,122448,114931,108271,102423,97342,92982,89297,86244,83775,81802,80236,79249,78881,78957,79292,79958,80315,80037,79391,78850,78175,78038,78776,79962,81013,82267,82229,80168,76875,73770,70443,68208,67824,68611,69130,69669,69886,69466,68619,67884,67172,66303,65244,64043.00000000001,62777,61432,60074,58746,57423,56047,54643,53184,51657,50086,48509,46911,45368,43919,42530,41127,39724,38308,36865,35404,33939,32456.000000000004,30995,29573,28165,26744,25342,23807,22070,20212,18393,16593,14856,13224,11685,10189,8745,7421,6244,5197,4227,3336,2577,1972,1493,1010,682,539,381,206,113,93,71,47,21,19
1951,111234,128687.99999999999,121665,115031,108827,103092,97779,92843,88751,85718,83523,81650,80097,79106,78712,78746,79038,79663,79975,79648,78955,78369,77646,77480,78215,79415,80483,81755,81739,79702,76436,73360,70063,67854,67484,68278,68806,69352,69574,69157,68311,67576,66861,65989,64931,63730,62462,61114,59751,58417,57084,55698,54281,52807,51264,49676,48078,46458,44888,43406,41980,40538,39095,37635,36144,34633,33118,31587,30074,28592,27121,25643,24188,22614,20858,18998,17183,15393,13683,12098,10623,9195,7824,6581,5494,4543,3653,2863,2217,1688,1254,838,571,450,317,171,99,76,50,23,22
1952,98140,107517,127003,121351,115577,109806,104161,98596,93062,88548,85523,83595,81814,80268,79269,78847,78838,79091,79675,79943,79568,78824,78189,77417,77221,77955,79176,80263,81558,81564,79545,76292,73233,69954,67761,67405,68210,68747,69303,69531,69115,68267,67528,66808,65931,64867.99999999999,63663,62388,61032,59659,58312,56966,55564,54128,52634,51069,49457,47832,46183,44580,43060,41592,40105,38616,37107,35562,33994,32424,30840,29268,27721,26180,24640,23126,21507,19726,17856,16038,14251,12561,11018,9601,8235,6932,5766,4765,3906,3093,2401,1865,1410,1018,670,461,363,255,136,81,53,24,25
1953,90666,103992,113173,125166,120898,115993,110662,105115,99303,93176,88242,85230,83571,81885,80347,79342,78892,78841,79052,79596,79819,79395,78603,77920,77098,76872,77606,78845,79950,81267,81296,79295,76061,73021,69765,67590,67248,68063,68609,69174,69407,68993,68144,67403,66679,65797,64730.99999999999,63523,62243,60879,59498,58141,56782,55365,53913,52401,50815,49181,47531,45855,44220,42664,41154,39625,38091,36534,34937,33314,31689,30054,28426,26814,25206,23604,22033,20371,18567,16690,14870,13089,11421,9921,8563,7262,6029,4941,4027.9999999999995,3262,2527,1934,1510,1129,781,500,351,275,192,101,57,26,28
1954,88206,102430,112454,118744,123069,120193,116168,111289,105851,99804,93097,87754,84760,83374,81786,80259,79250,78773,78681,78850,79352,79530,79059,78218,77489,76619,76364,77095,78350,79472,80807,80858,78882,75671,72658,69431,67280,66952,67775,68329,68901,69140,68729,67880,67138,66411,65525.99999999999,64459,63250,61968,60601,59214,57849,56480,55052,53586,52058,50456,48802,47131,45431,43769,42179,40631,39062,37487,35885,34240,32564.999999999996,30889,29206,27524,25851,24179,22519,20894,19193,17368,15488,13671,11898,10257,8804,7508,6274,5112,4105,3282,2611,1955,1463,1151,846,542,329,240,187,129,66,28,30
1955,90080,102593,111547,117323,120299,120855,119372,116229,111806,106482,100206,92927,87180,84208,83096,81607,80093,79081,78577,78443,78571,79031,79164,78645,77758,76982,76067,75782,76509,77779,78916,80270,80343,78391,75208,72224,69029,66904,66590,67420,67983,68562,68805,68397,67550,66808,66078,65191.99999999999,64125,62917,61634,60263,58872,57501,56124,54685,53207,51665,50047,48376,46686,44964,43275,41653,40069,38463,36848,35202,33510,31785,30061,28331,26598,24865,23131,21414,19738,17998,16155.999999999998,14274,12462,10699,9085,7680,6447,5282,4193,3268,2535,1958,1383,991,792,562,303,158,129,98,65,30,32
1956,95766,93272,103495,111028,116105,118960,119974,119528,117119,112685,106904,100459,93152,87380,84391,83266,81762,80233,79199,78663,78491,78583,79009,79117,78588,77701,76926,76012,75737,76485,77782,78948,80332,80426,78482,75296,72311,69113,66985,66670,67499,68059,68632,68868,68451,67592,66837,66093,65191,64108.00000000001,62882,61579,60187,58772,57373,55965,54494,52980,51401,49743,48031,46295,44527,42787,41107,39459,37789,36112,34401,32637,30839,29046,27254,25464,23681,21907,20157,18454,16713,14903,13080,11330,9636,8103.999999999999,6795,5668,4590,3616,2823,2178,1651,1153,832,663,470,251,139,106,70,33,34
1957,103314,107313,96157,104051,110135,114496,117220,118688,119283,117617,113189,106968,100376,93065,87288,84291,83157,81643,80104,79052,78485,78275,78332,78722,78805,78267,77384,76612,75702,75437,76204,77525,78715,80124,80241,78310,75133,72156,68965,66841,66527,67352,67906,68472,68700,68275,67408,66642,65886,64971,63875,62636,61318,59909,58474,57052,55619,54119,52575,50964,49272,47523,45749,43941,42155,40421,38716,36988,35254,33482,31652,29787,27932,26083,24242,22415,20606,18830,17106,15370,13598,11838,10157,8538,7094,5885,4867,3880,3025,2368,1813,1337,920,669,532,375,199,113,75,35,36
1958,111522,110373,109797,98942,104504,109136,112778,115368,117290,118922,117999,113580,106928,100194,92888,87111,84109,82967,81444,79897,78828,78231,77983,78005,78359,78416,77870,76992,76224,75319,75065,75849,77192,78405,79839,79977,78062,74896,71930,68751,66633,66318,67139,67687,68246,68466,68033,67158,66383,65615,64688,63581,62329,60997,59573,58119,56676,55218,53693,52120,50477,48753,46970,45159,43313,41483,39698,37935,36151,34363,32531.999999999996,30639,28708,26793,24890,23000,21131,19288,17486,15744,14014,12283,10588,8977,7434,6078,4972,4064,3169,2433,1912,1447,1022.9999999999999,686,506,401,281,147,81,37,38
1959,119106,113516,109756,107555,101793,105033,108220,111146,113606,115980,118649,118467,114054,106966,100087,92778,86997,83990,82838,81305,79750,78662,78035,77749,77735,78054,78086,77532,76657,75893,74991,74748,75551,76917,78153,79613,79772,77872,74714,71758,68587,66473,66159,66976,67519,68070,68282,67841,66958,66173,65393,64453.99999999999,63333,62069,60722,59281,57808,56342,54859,53306,51703,50029,48272,46452,44604,42717,40842,39005,37185,35344,33499,31609,29650,27653,25676,23717,21777,19864,17987,16158.999999999998,14396,12671,10979,9349,7807,6339,5070,4064,3265,2461,1844,1459,1083,711,453,344,270,187,95,40,41
1960,124865,116368,110463,106795,105010,104756,105679,107424,109640,111971,114800,118508,119067,114655,107123,100091,92773,86981,83964,82802,81257,79690,78584,77925,77602,77553,77836,77843,77280,76407,75646,74748,74515,75337,76727,77989,79475,79656,77768,74616,71665,68499,66388,66073,66887,67425,67970,68174,67725,66833,66037,65242.99999999999,64291,63157,61878,60514,59055,57562,56072,54562,52980,51345,49637,47844,45987,44098,42170,40248,38356,36476,34576,32673,30721,28695,26629,24588,22571,20579,18621,16707,14851,13066,11344,9689,8121,6646,5251,4067.9999999999995,3162,2471,1757,1258,1006.9999999999999,721,399,221,182,139,93,43,44
