Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,52154,49032,46160,43528,41126,38946,36976,35208,33632,32238,31031,30011,29107,28283,27568,26987,26490,26274,26426,26824,27251,27739,28147,28379,28483,28632,28826,28834,28570,28140,27704,27196,26900,26964,27238,27434,27613,27629,27381,26944,26514,26074,25522,24834,24057,23262,22431,21679,21071,20558,20040,19547,19035,18475,17903,17358,16808,16408,16232,16193.999999999998,16131,16075,15931,15635,15227,14813,14373,13869,13293,12652,11985,11306,10522,9598,8590,7597,6607,5691,4898,4208,3533,2877,2351,1995,1760,1558,1407,1249,1046,824,623,479,397,299,185,119,100,79,55,28,39
1951,48875,51550,48785,46158,43677,41349,39166,37124,35295,33710,32340.000000000004,31122,30073,29150,28327,27628,27059,26568,26383,26607,27100,27616,28196,28659,28889,28951,29062,29215,29177,28863,28380,27889,27316,26977,27029,27312,27515,27707,27717,27434,26943,26463,25968,25391,24723,23995,23243,22461,21724,21072,20481,19890,19319,18757,18194,17649,17126,16597,16201,15997,15910,15805,15706,15524,15205,14781,14351,13899,13378,12774,12102,11407,10702,9912,9010,8045,7096,6150,5277,4518,3853,3208,2583,2085,1751,1536,1356,1222,1078,896,697,521,403,333,250,153,103,80,56,29,40
1952,47092,47595,51163,48743,46351,44010,41744,39552,37428,35530,33931,32578.000000000004,31344,30260,29314,28490,27804,27246,26757,26605,26902,27491,28097,28771,29292,29520,29542,29614,29728,29643,29277,28742,28191,27552,27168,27209,27502,27712,27917,27924,27602,27056,26524,25972,25366,24717,24034,23322,22586,21860,21163,20490,19824,19173,18557,17991,17471,16964,16457,16062.999999999998,15829,15695,15545,15402,15184,14839,14398,13950,13485,12943,12309,11603,10878,10142,9342,8461,7535,6624,5720,4885,4155,3514,2896,2301,1827,1515,1318,1159,1041,913,752,572,422,328,271,202,123,82,57,29,40
1953,46663,48087,48734,50763,48690,46533,44335,42132,39929,37725,35757,34144,32809,31560,30441,29473,28646,27975,27426,26942,26821,27191,27876,28574,29342,29920,30147,30127,30163,30236,30104,29687,29098,28488,27783,27353,27383,27686,27903,28124,28124,27764,27162,26579,25970,25336,24705,24067,23396,22707,21993,21248,20494,19753,19020,18353,17782,17287,16799,16311,15920,15657,15473,15281,15093,14837,14467,14010,13544,13064,12503,11839,11098,10343,9579,8769,7907,7021,6148,5288,4491,3790,3174,2582,2016,1569,1278,1099,962,860,746,605,447,323,254,207,154,92,57,29,41
1954,47477,49139,49993,50130,50263,48542,46627,44573,42440,40231,37950,35916,34293,32978,31715,30565,29574,28748,28092,27555,27074,26985,27427,28208,28995,29857,30492,30716,30655,30653,30688,30508,30039,29398,28731,27961,27486,27505,27817,28041,28274,28270,27874,27217,26582,25918,25257,24645,24054,23424,22784,22082,21294,20460,19644,18831,18112,17539,17070,16602,16135.000000000002,15746,15454,15222,14987,14755,14462,14067,13594,13112,12619,12039,11345,10571,9788,8996,8178.000000000001,7337,6492,5660,4843,4086.9999999999995,3418,2825,2263,1727,1306,1037,878,761,677,578,457,320,222,178,144,105,61,29,43
1955,49371,50629,51214,51201,50663,49674,48306,46634,44730,42669,40457,38104,36009,34377,33085,31812,30631,29621,28796,28157,27632,27157,27100,27613,28487,29364,30317,31007,31229,31126,31086,31081,30854,30336,29643,28920,28087,27569,27576,27896,28128,28373,28364,27931,27221,26538,25818,25131,24540,23997,23410,22818,22131,21299,20386,19499,18608,17840,17264,16822,16373.000000000002,15928,15543,15225,14945,14666,14390,14061,13643,13154,12657,12151,11553,10832,10026,9216,8397,7573,6755,5952,5163,4391,3676,3039,2473,1941,1434,1042,795,655,561,493,410,309,194,122,103,81,56,29,43
1956,52369,50072,50899,51234,51117,50590,49733,48622,47114,45176,42961,40661,38244,36109,34474,33205,31949,30782,29801,29021,28439,27968,27550,27526,28032,28870,29712,30633,31286,31469,31326,31244,31190,30939,30435,29780,29092,28299,27795,27775,28042,28224,28416,28370,27930,27229,26553,25844,25145,24508,23898,23248,22589,21864,21045,20175,19326,18475,17722,17120,16624,16126.000000000002,15632,15204,14861,14566,14269,13976,13627,13185,12669,12149,11624,11011,10277,9463,8647,7827,7011,6215,5443,4687,3951,3278,2690,2178,1690,1240,907,691,559,473,416,345,259,162,102,81,56,30,43
1957,55691,54823,50623,51015,51097,50877,50364,49641,48790,47451,45486,43124,40741,38269,36099,34466,33224,31989,30839,29888,29158,28633,28219,27861,27870,28365,29165,29972,30857,31470,31614,31432,31308,31203,30929,30442,29827,29175,28424,27937,27889,28102,28234,28372,28289,27844,27156,26487,25791,25083,24401,23725,23015,22289,21530,20726,19903,19092,18287,17552,16924,16375,15830,15287,14819,14450,14142,13828,13519,13151,12685,12145,11604,11061,10432,9689,8869,8052,7232,6427,5655,4918,4197,3497,2868,2332,1876,1433,1041,769,583,462,386,337,278,209,129,81,57,30,44
1958,58924,56826,55026,51118,51078,50907,50585,50086,49497,48906,47737,45746,43241,40778,38253,36051,34422,33208,31996,30864,29945,29265,28799,28442,28143,28184,28668,29428,30200,31047,31621,31724,31505,31337,31185,30887,30417,29842,29228,28519,28049,27974,28132,28215,28299,28179,27728,27053,26394,25711,24995,24269,23529,22758,21968,21174,20386,19609,18839,18079,17363,16710,16109.000000000002,15518,14926,14418,14026,13704,13373,13048,12662,12174,11609,11047,10487,9845,9092,8267,7450,6631,5837,5091,4388,3704,3041,2456,1972,1572,1175,842,630,476,363,297,259,212,158,95,57,30,44
1959,61616,58589,56125,54150,51648,51176,50754,50328,49843,49388,49057,48056,46038,43388,40844,38264,36028,34402,33215,32024,30910,30023,29391,28983,28682,28443,28516,28991,29712,30448,31260,31794,31857,31599,31390,31188,30867,30412,29878,29301,28635,28181,28079,28183,28216,28245,28089,27632,26970,26318,25648,24924,24153,23349,22519,21662,20834,20062,19330,18601,17883,17187,16509,15856,15217,14577,14029,13613,13277,12929,12587,12183,11671,11082,10499,9922,9266,8503,7672,6852,6035,5253,4531,3863,3213,2588,2045.9999999999998,1614,1270,920,643,492,369,265,209,180,147,107,63,30,44
