Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.20832246,0.04658937,0.04658937,0.04658937,0.04658937,0.01218333,0.01218333,0.01218333,0.01218333,0.01218333,0.00634618,0.00634618,0.00634618,0.00634618,0.00634618,0.00902282,0.00902282,0.00902282,0.00902282,0.00902282,0.01130901,0.01130901,0.01130901,0.01130901,0.01130901,0.01225553,0.01225553,0.01225553,0.01225553,0.01225553,0.01273729,0.01273729,0.01273729,0.01273729,0.01273729,0.0135805,0.0135805,0.0135805,0.0135805,0.0135805,0.01402115,0.01402115,0.01402115,0.01402115,0.01402115,0.01504214,0.01504214,0.01504214,0.01504214,0.01504214,0.01988291,0.01988291,0.01988291,0.01988291,0.01988291,0.02742502,0.02742502,0.02742502,0.02742502,0.02742502,0.04535536,0.04535536,0.04535536,0.04535536,0.04535536,0.0709272,0.0709272,0.0709272,0.0709272,0.0709272,0.11558427,0.11558427,0.11558427,0.11558427,0.11558427,0.18383923,0.18383923,0.18383923,0.18383923,0.18383923,0.28492662,0.28492662,0.28492662,0.28492662,0.28492662,0.40300439,0.40300439,0.40300439,0.40300439,0.40300439,0.55984425,0.55984425,0.55984425,0.55984425,0.55984425,0.65160081,0.65160081,0.65160081,0.65160081,0.65160081,0.76469992
1951,0.20832246,0.04658937,0.04658937,0.04658937,0.04658937,0.01218333,0.01218333,0.01218333,0.01218333,0.01218333,0.00634618,0.00634618,0.00634618,0.00634618,0.00634618,0.00902282,0.00902282,0.00902282,0.00902282,0.00902282,0.01130901,0.01130901,0.01130901,0.01130901,0.01130901,0.01225553,0.01225553,0.01225553,0.01225553,0.01225553,0.01273729,0.01273729,0.01273729,0.01273729,0.01273729,0.0135805,0.0135805,0.0135805,0.0135805,0.0135805,0.01402115,0.01402115,0.01402115,0.01402115,0.01402115,0.01504214,0.01504214,0.01504214,0.01504214,0.01504214,0.01988291,0.01988291,0.01988291,0.01988291,0.01988291,0.02742502,0.02742502,0.02742502,0.02742502,0.02742502,0.04535536,0.04535536,0.04535536,0.04535536,0.04535536,0.0709272,0.0709272,0.0709272,0.0709272,0.0709272,0.11558427,0.11558427,0.11558427,0.11558427,0.11558427,0.18383923,0.18383923,0.18383923,0.18383923,0.18383923,0.28492662,0.28492662,0.28492662,0.28492662,0.28492662,0.40300439,0.40300439,0.40300439,0.40300439,0.40300439,0.55984425,0.55984425,0.55984425,0.55984425,0.55984425,0.65160081,0.65160081,0.65160081,0.65160081,0.65160081,0.76469992
1952,0.20832246,0.04658937,0.04658937,0.04658937,0.04658937,0.01218333,0.01218333,0.01218333,0.01218333,0.01218333,0.00634618,0.00634618,0.00634618,0.00634618,0.00634618,0.00902282,0.00902282,0.00902282,0.00902282,0.00902282,0.01130901,0.01130901,0.01130901,0.01130901,0.01130901,0.01225553,0.01225553,0.01225553,0.01225553,0.01225553,0.01273729,0.01273729,0.01273729,0.01273729,0.01273729,0.0135805,0.0135805,0.0135805,0.0135805,0.0135805,0.01402115,0.01402115,0.01402115,0.01402115,0.01402115,0.01504214,0.01504214,0.01504214,0.01504214,0.01504214,0.01988291,0.01988291,0.01988291,0.01988291,0.01988291,0.02742502,0.02742502,0.02742502,0.02742502,0.02742502,0.04535536,0.04535536,0.04535536,0.04535536,0.04535536,0.0709272,0.0709272,0.0709272,0.0709272,0.0709272,0.11558427,0.11558427,0.11558427,0.11558427,0.11558427,0.18383923,0.18383923,0.18383923,0.18383923,0.18383923,0.28492662,0.28492662,0.28492662,0.28492662,0.28492662,0.40300439,0.40300439,0.40300439,0.40300439,0.40300439,0.55984425,0.55984425,0.55984425,0.55984425,0.55984425,0.65160081,0.65160081,0.65160081,0.65160081,0.65160081,0.76469992
1953,0.20832246,0.04658937,0.04658937,0.04658937,0.04658937,0.01218333,0.01218333,0.01218333,0.01218333,0.01218333,0.00634618,0.00634618,0.00634618,0.00634618,0.00634618,0.00902282,0.00902282,0.00902282,0.00902282,0.00902282,0.01130901,0.01130901,0.01130901,0.01130901,0.01130901,0.01225553,0.01225553,0.01225553,0.01225553,0.01225553,0.01273729,0.01273729,0.01273729,0.01273729,0.01273729,0.0135805,0.0135805,0.0135805,0.0135805,0.0135805,0.01402115,0.01402115,0.01402115,0.01402115,0.01402115,0.01504214,0.01504214,0.01504214,0.01504214,0.01504214,0.01988291,0.01988291,0.01988291,0.01988291,0.01988291,0.02742502,0.02742502,0.02742502,0.02742502,0.02742502,0.04535536,0.04535536,0.04535536,0.04535536,0.04535536,0.0709272,0.0709272,0.0709272,0.0709272,0.0709272,0.11558427,0.11558427,0.11558427,0.11558427,0.11558427,0.18383923,0.18383923,0.18383923,0.18383923,0.18383923,0.28492662,0.28492662,0.28492662,0.28492662,0.28492662,0.40300439,0.40300439,0.40300439,0.40300439,0.40300439,0.55984425,0.55984425,0.55984425,0.55984425,0.55984425,0.65160081,0.65160081,0.65160081,0.65160081,0.65160081,0.76469992
1954,0.20832246,0.04658937,0.04658937,0.04658937,0.04658937,0.01218333,0.01218333,0.01218333,0.01218333,0.01218333,0.00634618,0.00634618,0.00634618,0.00634618,0.00634618,0.00902282,0.00902282,0.00902282,0.00902282,0.00902282,0.01130901,0.01130901,0.01130901,0.01130901,0.01130901,0.01225553,0.01225553,0.01225553,0.01225553,0.01225553,0.01273729,0.01273729,0.01273729,0.01273729,0.01273729,0.0135805,0.0135805,0.0135805,0.0135805,0.0135805,0.01402115,0.01402115,0.01402115,0.01402115,0.01402115,0.01504214,0.01504214,0.01504214,0.01504214,0.01504214,0.01988291,0.01988291,0.01988291,0.01988291,0.01988291,0.02742502,0.02742502,0.02742502,0.02742502,0.02742502,0.04535536,0.04535536,0.04535536,0.04535536,0.04535536,0.0709272,0.0709272,0.0709272,0.0709272,0.0709272,0.11558427,0.11558427,0.11558427,0.11558427,0.11558427,0.18383923,0.18383923,0.18383923,0.18383923,0.18383923,0.28492662,0.28492662,0.28492662,0.28492662,0.28492662,0.40300439,0.40300439,0.40300439,0.40300439,0.40300439,0.55984425,0.55984425,0.55984425,0.55984425,0.55984425,0.65160081,0.65160081,0.65160081,0.65160081,0.65160081,0.76469992
1955,0.19239545,0.0426901,0.0426901,0.0426901,0.0426901,0.01123934,0.01123934,0.01123934,0.01123934,0.01123934,0.00587731,0.00587731,0.00587731,0.00587731,0.00587731,0.00837462,0.00837462,0.00837462,0.00837462,0.00837462,0.01050159,0.01050159,0.01050159,0.01050159,0.01050159,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.0118406,0.0118406,0.0118406,0.0118406,0.0118406,0.01265516,0.01265516,0.01265516,0.01265516,0.01265516,0.01312307,0.01312307,0.01312307,0.01312307,0.01312307,0.01413671,0.01413671,0.01413671,0.01413671,0.01413671,0.01871339,0.01871339,0.01871339,0.01871339,0.01871339,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.04264819,0.04264819,0.04264819,0.04264819,0.04264819,0.06676286,0.06676286,0.06676286,0.06676286,0.06676286,0.10894487,0.10894487,0.10894487,0.10894487,0.10894487,0.17353011,0.17353011,0.17353011,0.17353011,0.17353011,0.2700907,0.2700907,0.2700907,0.2700907,0.2700907,0.38530626,0.38530626,0.38530626,0.38530626,0.38530626,0.53290474,0.53290474,0.53290474,0.53290474,0.53290474,0.62831881,0.62831881,0.62831881,0.62831881,0.62831881,0.74404214
1956,0.19239545,0.0426901,0.0426901,0.0426901,0.0426901,0.01123934,0.01123934,0.01123934,0.01123934,0.01123934,0.00587731,0.00587731,0.00587731,0.00587731,0.00587731,0.00837462,0.00837462,0.00837462,0.00837462,0.00837462,0.01050159,0.01050159,0.01050159,0.01050159,0.01050159,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.0118406,0.0118406,0.0118406,0.0118406,0.0118406,0.01265516,0.01265516,0.01265516,0.01265516,0.01265516,0.01312307,0.01312307,0.01312307,0.01312307,0.01312307,0.01413671,0.01413671,0.01413671,0.01413671,0.01413671,0.01871339,0.01871339,0.01871339,0.01871339,0.01871339,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.04264819,0.04264819,0.04264819,0.04264819,0.04264819,0.06676286,0.06676286,0.06676286,0.06676286,0.06676286,0.10894487,0.10894487,0.10894487,0.10894487,0.10894487,0.17353011,0.17353011,0.17353011,0.17353011,0.17353011,0.2700907,0.2700907,0.2700907,0.2700907,0.2700907,0.38530626,0.38530626,0.38530626,0.38530626,0.38530626,0.53290474,0.53290474,0.53290474,0.53290474,0.53290474,0.62831881,0.62831881,0.62831881,0.62831881,0.62831881,0.74404214
1957,0.19239545,0.0426901,0.0426901,0.0426901,0.0426901,0.01123934,0.01123934,0.01123934,0.01123934,0.01123934,0.00587731,0.00587731,0.00587731,0.00587731,0.00587731,0.00837462,0.00837462,0.00837462,0.00837462,0.00837462,0.01050159,0.01050159,0.01050159,0.01050159,0.01050159,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.0118406,0.0118406,0.0118406,0.0118406,0.0118406,0.01265516,0.01265516,0.01265516,0.01265516,0.01265516,0.01312307,0.01312307,0.01312307,0.01312307,0.01312307,0.01413671,0.01413671,0.01413671,0.01413671,0.01413671,0.01871339,0.01871339,0.01871339,0.01871339,0.01871339,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.04264819,0.04264819,0.04264819,0.04264819,0.04264819,0.06676286,0.06676286,0.06676286,0.06676286,0.06676286,0.10894487,0.10894487,0.10894487,0.10894487,0.10894487,0.17353011,0.17353011,0.17353011,0.17353011,0.17353011,0.2700907,0.2700907,0.2700907,0.2700907,0.2700907,0.38530626,0.38530626,0.38530626,0.38530626,0.38530626,0.53290474,0.53290474,0.53290474,0.53290474,0.53290474,0.62831881,0.62831881,0.62831881,0.62831881,0.62831881,0.74404214
1958,0.19239545,0.0426901,0.0426901,0.0426901,0.0426901,0.01123934,0.01123934,0.01123934,0.01123934,0.01123934,0.00587731,0.00587731,0.00587731,0.00587731,0.00587731,0.00837462,0.00837462,0.00837462,0.00837462,0.00837462,0.01050159,0.01050159,0.01050159,0.01050159,0.01050159,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.0118406,0.0118406,0.0118406,0.0118406,0.0118406,0.01265516,0.01265516,0.01265516,0.01265516,0.01265516,0.01312307,0.01312307,0.01312307,0.01312307,0.01312307,0.01413671,0.01413671,0.01413671,0.01413671,0.01413671,0.01871339,0.01871339,0.01871339,0.01871339,0.01871339,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.04264819,0.04264819,0.04264819,0.04264819,0.04264819,0.06676286,0.06676286,0.06676286,0.06676286,0.06676286,0.10894487,0.10894487,0.10894487,0.10894487,0.10894487,0.17353011,0.17353011,0.17353011,0.17353011,0.17353011,0.2700907,0.2700907,0.2700907,0.2700907,0.2700907,0.38530626,0.38530626,0.38530626,0.38530626,0.38530626,0.53290474,0.53290474,0.53290474,0.53290474,0.53290474,0.62831881,0.62831881,0.62831881,0.62831881,0.62831881,0.74404214
1959,0.19239545,0.0426901,0.0426901,0.0426901,0.0426901,0.01123934,0.01123934,0.01123934,0.01123934,0.01123934,0.00587731,0.00587731,0.00587731,0.00587731,0.00587731,0.00837462,0.00837462,0.00837462,0.00837462,0.00837462,0.01050159,0.01050159,0.01050159,0.01050159,0.01050159,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.011396799999999999,0.0118406,0.0118406,0.0118406,0.0118406,0.0118406,0.01265516,0.01265516,0.01265516,0.01265516,0.01265516,0.01312307,0.01312307,0.01312307,0.01312307,0.01312307,0.01413671,0.01413671,0.01413671,0.01413671,0.01413671,0.01871339,0.01871339,0.01871339,0.01871339,0.01871339,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.025835400000000005,0.04264819,0.04264819,0.04264819,0.04264819,0.04264819,0.06676286,0.06676286,0.06676286,0.06676286,0.06676286,0.10894487,0.10894487,0.10894487,0.10894487,0.10894487,0.17353011,0.17353011,0.17353011,0.17353011,0.17353011,0.2700907,0.2700907,0.2700907,0.2700907,0.2700907,0.38530626,0.38530626,0.38530626,0.38530626,0.38530626,0.53290474,0.53290474,0.53290474,0.53290474,0.53290474,0.62831881,0.62831881,0.62831881,0.62831881,0.62831881,0.74404214
