Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,687975,650128,616389,586426,559906,536497,515864.00000000006,497675,481597,467298,454754,443943,432981,420915,408342,396797,385953,375446,365239,355330,345719,336369,327332,318619,310171,301898,293799,285785,277795,269842,262070,254533,246770,238593,230244,222118,214092,206678,200158,194284,188569,183160,177744,172133,166520,161148,155800,151342,148175,145799,143349,141040,138035,133845,128856,123978,119067,114000,108819,103551,98195,92771,87396,82134,76969,71830,66738,61769,56954,52285,47743,43358,39078,34886,30830,26970,23286,19927,16968,14349,11925,9722,7750,6000,4471,3140,1974,1106,589,335,219,177,133,87,39,13,10,8,5,2,1
1951,690842,663763,629342,598820,571833,548016,527100,508816,492316,477041,462915,450420,439458,428333,416248,403729,392089,381042,370398,360184,350352,340792,331485,322507,313871,305511,297335,289343,281430,273528,265655,257966.99999999997,250516,242846,234770,226527,218502,210573,203256,196833,191054,185425,180092,174737,169166,163575,158214,152868,148383,145154,142689,140142,137726,134606,130295.99999999999,125182,120176,115138,109941,104628,99229,93752,88216,82750,77423,72219,67057,61965,57018,52250,47655,43208,38935,34820,30860,27084,23513,20131,17082,14437,12131,10020,8125,6444,4958,3668,2556,1606,906,486,274,177,143,107,70,31,10,7,5,2,1
1952,699525,660836,641169,610081,582693,558608,537428,518947,502962,488105,473593,459608,447134,435996,424684,412552,400059,388297,377023,366218,355974,346196,336664,327380,318440,309859,301568,293471,285567,277736,269903,262091.99999999997,254472,247090,239493,231499,223343,215401,207550,200313,193973,188274,182717,177449,172142,166599,161017,155654,150297,145776,142478,139918,137268,134740,131499,127058,121809,116664,111488,106150,100693,95152,89541,83882,78312,72910,67654,62458,57353,52417,47685,43153,38792,34620,30659,26921,23415,20125,17034,14288,11949,9950,8146.000000000001,6554,5158,3932,2876,1979,1243,709,384,214,136,110,82,54,24,7,5,2,1
1953,712667,672602,637463,619510,591708,567413,546194,527619,511546,497835,484600,470831,456965,444494,433164,421649,409452,396967,385066,373549,362568,352279,342541,333024,323748,314834,306297,298062,290031,282204,274445,266670,258909,251345,244021,236487,228564,220482,212612,204828,197660,191393,185767,180274,175062,169796,164273,158692,153320,147945,143380,140007,137350,134594,131950,128583,124006,118613,113323,108001,102515,96904,91213,85462,79671,73990,68503,63188,57950,52825,47893,43191,38715,34433,30357,26544,23022,19782,16767,13964,11515,9479,7784,6284,4993,3881,2913,2089,1406,883,513,282,155,95,77,57,37,17,5,2,1
1954,729235,687224,650464,618485,598398,573863,552644,534276,518294,504618,493172,481550,468511,454753,442273,430739,419010,406737,394248,382197,370425,359257,348912,339206,329694,320417,311521,303019,294834,286861,279103,271409,263684,255967,248451,241178,233700,225840,217826,210020,202295,195190,188991,183432,177998,172838,167608,162099,156513,151127,145728,141116,137666,134908,132042,129281,125783,121066,115524,110083,104610,98969,93201,87354,81456,75528,69729,64153.00000000001,58773,53489,48339,43407,38729,34306,30098,26114,22446,19138,16161.000000000002,13419,10900,8748,7014,5621,4425,3434,2604,1894,1303,833,522,317,181,95,54,44,33,21,9,2,1
1955,748426,704011,665225,631567,602537,577635,556361,538215,522696,509304,498025,488844,478833,466518,452858,440359,428613,416660,404302,391800,379589,367553,356189,345782,336100,326588,317303,308418,299945,291803,283884,276190,268555,260875.99999999997,253196,245724,238497,231070,223268,215316,207568,199898,192850,186714,181219,175841,170729,165531,160033,154438,149035,143608,138944,135414,132553,129576,126694,123063,118201,112506,106909,101281,95481,89551,83543,77493,71423,65503,59832,54384,49050,43871,38934,34279,29905,25769,21874,18349,15253,12538,10067,7833,5977,4545,3455,2562,1871,1325,872,514,258,161,121,79,35,13,10,8,5,2,1
1956,765660,724318,683637,648249,617644,591309,568810,549711,533120,518371,505183,493944,484584,474384,462027,448402,435789,423823,411725,399364,386953,374805,362827,351535,341209,331618,322204,313029,304244,295851,287777,279930,272312,264751,257149.99999999997,249548,242151,234992,227646,219946,212107,204463,196893,189918,183815,178324,172941,167810,162588,157069,151448,146004,140531,135780,132103,129056.99999999999,125897,122832,119023,113993,108144,102401,96637,90732,84739,78706,72651,66598,60729,55144,49815,44623,39604,34873,30482,26413,22589,19013,15814,13044,10651,8499,6580,4996,3769,2837,2092,1532,1087,716,419,209,131,98,64,29,11,8,5,2,1
1957,784622,735224,701185,664174,632130,604529,580847,560715,543760,528698,514700.00000000006,501699,490486,480935,470535,458120,444513,431772,419571,407314,394935,382599,370500,358564,347329,337072,327559,318233,309155,300458,292134,284118,276335,268781,261286.99999999997,253753,246220,238889,231788,224514,216907,209170,201621,194140,187229,181152,175658,170265,165107,159855,154308,148655,143164,137638,132793,128965,125732,122386,119135,115142,109940,103931,98034,92127,86111,80049,73982,67914,61872,56046,50540,45323,40266,35399,30868,26735,22965,19448,16184.999999999998,13306,10859,8784,6946,5340,4024,3001,2225,1627,1197,852,561,325,160,101,75,49,22,8,5,2,1
1958,804839,753103,708057,678908,645520,616778,592145,571086,553294,538462,524910,511644,498815,487615,477862,467249,454762,441157,428272,415823,403391,390981,378704,366639,354731,343540,333340,323893,314644,305653,297033,288769,280801,273072,265574,258137,250661,243188,235914,228863,221652,214129,206485,199021,191621,184766,178708,173204,167793,162603,157315,151734,146041,140496,134911,129967.00000000001,125984,122559,119024,115584,111403,106022,99844,93788,87732,81597,75458,69351,63263,57225,51435,46001,40890,35961,31241,26904,23024,19549,16332.999999999998,13379,10817,8689,6929,5403,4107,3057,2238,1616,1164,863,617,406,231,111,71,53,35,15,5,2,1
1959,825884,772288,725550,685091,657351,627554,602086,580399,561942,546474,533750,521695.00000000006,509148,496477,485277,475311,464474,451901,438283,425240,412528,399909,387452,375222,363178,351285,340125,329971,320580,311397,302483,293931,285718,277790,270105,262656,255267,247842,240421,233194,226186,219030,211583,204025,196637,189310,182504,176457,170938,165503,160276,154945,149324,143585,137981,132330,127281,123139,119517,115789,112155,107782,102215,95863,89640,83427,77167,70945,64791,58676,52634,46874,41506,36496,31690,27112,22965,19333,16149,13232,10584,8336,6525,5079,3864,2877,2093,1476,1008,702,530,383,252,138,63,41,31,20,9,2,1
