Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,19288.0,17700.0,16422.0,15423.0,14671.0,14136.0,13785.0,13587.0,13512.0,13527.999999999998,13640.999999999998,13859.000000000002,13959.000000000002,13833.0,13564.0,13333.0,13090.0,12895.0,12792.0,12732.999999999998,12627.0,12492.0,12276.0,11942.0,11517.000000000002,11107.000000000002,10747.0,10191.0,9344.0,8349.0,7388.0,6360.0,5773.0,5875.0,6412.000000000001,6891.0,7430.0,7734.0,7614.0,7221.0,6901.0,6590.0,6285.0,6020.0,5779.0,5513.999999999999,5232.0,4979.0,4771.0,4595.0,4423.0,4261.0,4107.0,3957.0,3813.9999999999995,3683.9999999999995,3563.9999999999995,3465.0,3395.0,3345.0,3301.0,3261.0,3228.0,3200.0,3174.0,3150.0,3127.0,3094.0,3045.0,2984.0,2917.0,2839.0,2759.0,2683.0000000000005,2602.0,2513.0,2427.0,2288.0000000000005,2069.0,1803.0000000000002,1543.0000000000002,1276.0,1050.0,893.0,782.9999999999999,670.0,564.0,467.0,377.99999999999994,296.00000000000006,217.0,160.0,130.0,96.0,55.99999999999999,34.0,27.999999999999996,22.000000000000004,15.0,6.999999999999999,9.000000000000002
1951,21305.0,19060.0,17618.0,16437.0,15493.0,14764.000000000002,14217.0,13822.000000000002,13593.0,13522.0,13562.999999999998,13684.000000000002,13902.000000000002,14000.0,13870.999999999998,13600.0,13366.0,13118.0,12920.0,12815.0,12754.000000000002,12645.999999999998,12509.0,12290.999999999998,11957.0,11530.0,11118.0,10757.0,10200.0,9351.0,8354.0,7391.0,6362.0,5773.0,5874.0,6409.0,6886.0,7422.999999999999,7726.0,7604.0,7209.0,6887.0,6574.0,6267.0,5999.0,5757.000000000001,5489.0,5206.0,4950.0,4739.0,4560.0,4385.0,4220.0,4062.0000000000005,3909.0,3763.0,3628.9999999999995,3505.0,3401.9999999999995,3326.0,3271.0000000000005,3220.0,3175.0,3135.0,3098.0000000000005,3063.0,3029.0,2997.0,2953.9999999999995,2896.0000000000005,2826.0,2751.0000000000005,2665.0,2578.0000000000005,2491.0,2400.0,2302.0,2207.0,2066.0,1858.0,1609.0,1365.9999999999998,1119.0,910.0,767.0,669.0,569.0,477.00000000000006,395.0,318.0,246.00000000000003,178.00000000000003,132.0,107.0,79.0,46.0,25.0,20.0,13.000000000000002,6.999999999999999,8.0
1952,22546.0,20726.0,18736.0,17448.0,16370.000000000002,15487.0,14783.0,14228.0,13790.999999999998,13532.0,13465.0,13530.999999999998,13660.0,13876.0,13972.000000000002,13842.0,13569.0,13332.0,13082.0,12880.0,12774.0,12712.0,12603.0,12465.0,12245.999999999998,11912.0,11485.0,11074.000000000002,10714.0,10158.0,9312.000000000002,8318.0,7359.0,6332.999999999999,5745.0,5843.0,6374.0,6848.0,7380.0,7678.999999999999,7556.0,7161.000000000001,6838.999999999999,6526.0,6218.0,5950.0,5706.0,5438.0,5153.0,4896.0,4684.0,4503.0,4326.000000000001,4158.0,3998.0,3842.0,3693.0,3556.0,3428.0,3321.0,3241.0,3180.0,3123.0,3072.0,3025.0,2980.0,2936.0000000000005,2893.0000000000005,2851.0000000000005,2799.0,2731.9999999999995,2653.0,2570.0,2478.0,2383.0,2287.0,2185.0,2078.0000000000005,1975.0,1834.0,1636.0,1406.0,1182.0,955.0,765.0,637.0,552.0,463.99999999999994,387.99999999999994,320.0,256.0,193.99999999999997,139.0,103.00000000000001,84.0,61.0,36.00000000000001,17.0,12.0,6.0,8.0
1953,23081.0,21362.0,19828.0,18386.0,17253.0,16280.000000000002,15459.000000000002,14782.0,14219.000000000002,13740.0,13450.999999999998,13389.000000000002,13480.0,13617.0,13830.0,13924.000000000002,13792.0,13517.999999999998,13279.000000000002,13026.0,12823.0,12715.0,12652.000000000002,12542.0,12402.999999999998,12184.000000000002,11850.0,11425.0,11015.0,10655.999999999998,10101.0,9259.0,8270.0,7315.0,6294.0,5707.999999999999,5803.999999999999,6330.0,6798.999999999999,7326.000000000001,7622.000000000001,7497.999999999999,7103.0,6781.000000000001,6468.0,6160.0,5891.0,5647.0,5377.999999999999,5093.0,4836.0,4622.0,4439.0,4260.0,4090.0,3927.0,3768.9999999999995,3618.0000000000005,3478.0,3347.0,3236.0,3151.0000000000005,3085.0,3022.0,2965.0,2911.0,2858.0,2805.0,2753.0,2702.0,2641.0,2565.0,2477.0,2386.0,2288.0000000000005,2185.0,2079.0,1966.9999999999998,1851.9999999999998,1740.0,1599.0,1412.0,1200.9999999999998,996.0,790.0,619.0,507.0,435.0,360.0,298.0,245.0,193.0,142.0,99.0,74.00000000000001,60.0,44.00000000000001,25.0,11.000000000000002,5.0,6.999999999999999
1954,22997.0,21559.0,20236.0,19027.0,18039.0,17062.0,16192.999999999998,15433.0,14783.0,14212.0,13692.0,13372.0,13315.999999999998,13431.0,13575.0,13787.0,13878.0,13745.0,13470.0,13229.000000000002,12972.999999999998,12767.999999999998,12658.0,12594.000000000002,12482.999999999998,12343.0,12123.0,11790.0,11366.0,10957.0,10599.0,10047.0,9209.0,8224.0,7273.0,6257.000000000001,5672.999999999999,5767.0,6287.000000000001,6752.000000000001,7274.0,7566.0,7440.0,7047.000000000001,6724.0,6411.000000000001,6103.0,5834.0,5588.999999999999,5320.0,5034.0,4776.0,4561.0,4377.0,4195.0,4022.9999999999995,3858.0,3697.0,3543.0,3401.0000000000005,3266.0,3151.0000000000005,3062.0,2990.0,2921.9999999999995,2859.0,2798.0,2737.0,2674.0,2613.0,2553.0,2483.0,2398.0,2302.0,2203.0000000000005,2098.0000000000005,1988.0000000000002,1872.0,1750.0,1626.9999999999998,1507.0,1365.0,1190.0,997.0,812.0,625.0,474.0,377.0,317.0,256.0,209.0,171.0,131.0,90.0,60.0,46.0,37.00000000000001,26.000000000000004,15.0,5.0,6.999999999999999
1955,22391.0,21404.0,20432.000000000004,19486.0,18572.0,17699.0,16875.999999999996,16110.0,15412.0,14788.0,14209.000000000002,13647.0,13298.0,13245.999999999998,13386.0,13538.0,13747.0,13835.999999999998,13700.999999999998,13425.0,13182.0,12924.000000000002,12716.0,12604.000000000002,12539.000000000002,12427.0,12286.0,12065.999999999998,11732.999999999998,11311.0,10902.999999999998,10545.0,9995.0,9160.0,8180.0,7233.0,6221.0,5638.999999999999,5730.0,6246.0,6706.0,7224.0,7512.0,7385.0,6992.000000000001,6670.0,6356.0,6047.999999999999,5779.0,5532.999999999999,5263.0,4977.0,4718.0,4501.0,4315.0,4132.0,3957.0,3790.0,3626.0000000000005,3470.0,3325.0,3187.0,3068.0,2973.0000000000005,2896.0000000000005,2823.0,2753.0,2686.0000000000005,2617.0,2545.0,2475.0,2406.0,2327.0,2233.0,2128.0,2021.0,1910.0,1791.9999999999998,1666.9999999999998,1535.0,1403.0,1275.0,1132.0000000000002,968.0,795.0,628.0,462.0,328.99999999999994,247.0,201.0,152.0,119.00000000000001,96.0,69.0,39.0,21.0,17.0,13.000000000000002,9.000000000000002,4.0,6.0
1956,21371.0,21987.0,21143.0,20272.000000000004,19387.999999999996,18506.0,17636.0,16787.0,16004.000000000002,15314.0,14715.0,14145.999999999998,13583.0,13234.000000000002,13185.0,13329.0,13482.999999999998,13692.0,13775.0,13624.0,13325.0,13060.0,12779.000000000002,12549.000000000002,12417.0,12334.000000000002,12203.0,12044.0,11815.0,11485.999999999998,11075.999999999998,10682.0,10339.0,9802.999999999998,8981.0,8011.000000000001,7077.000000000001,6077.999999999999,5506.0,5602.0,6120.0,6582.000000000001,7100.0,7390.0,7267.0,6877.999999999999,6559.0,6249.0,5944.0,5677.000000000001,5433.0,5165.0,4880.0,4622.0,4406.000000000001,4218.999999999999,4035.0,3860.0,3691.9999999999995,3526.9999999999995,3370.0,3222.0,3082.0,2961.0000000000005,2862.0,2781.0,2702.0,2628.0,2555.0,2480.0,2403.0,2327.0,2252.0,2168.0,2070.0,1960.0,1850.0,1736.9999999999998,1619.0,1495.0,1367.0,1239.0,1115.9999999999998,983.0,835.0,682.0,532.9999999999999,387.99999999999994,278.0,208.00000000000003,166.0,125.0,98.0,79.0,57.0,31.0,16.0,12.0,8.0,4.0,5.0
1957,20195.999999999996,20414.0,21643.0,20939.0,20165.0,19340.999999999996,18490.0,17621.0,16743.0,15939.0,15258.0,14682.0,14120.999999999998,13555.0,13205.0,13159.0,13308.0,13463.0,13674.000000000002,13751.0,13583.0,13260.0,12972.000000000002,12669.0,12415.999999999998,12263.0,12161.0,12012.0,11834.000000000002,11595.0,11269.0,10872.0,10490.0,10161.0,9638.0,8826.0,7864.0,6939.0,5951.000000000001,5387.0,5489.0,6010.0,6475.0,6996.0,7287.999999999999,7167.999999999999,6782.999999999999,6467.000000000001,6159.0,5856.0,5590.0,5348.0,5080.0,4797.0,4538.0,4322.0,4135.0,3950.0,3773.0,3603.0,3437.0,3278.0,3128.9999999999995,2987.0,2862.0,2759.0,2671.9999999999995,2589.0,2509.0,2431.0,2350.0,2266.0,2185.0,2105.0,2016.0,1912.0,1799.0000000000002,1685.0,1570.0,1450.9999999999998,1328.0,1203.0,1080.0,960.0,836.0,705.0,572.0000000000001,439.0,315.0,228.0,170.0,132.0,98.0,78.0,62.0,45.0,25.0,12.0,8.0,4.0,5.0
1958,19034.000000000004,19830.0,20281.0,21316.0,20753.0,20075.0,19311.0,18490.0,17620.0,16713.0,15889.000000000002,15214.0,14662.0,14107.000000000002,13539.000000000002,13187.000000000002,13144.0,13298.0,13455.0,13668.0,13738.0,13552.999999999998,13207.0,12895.0,12569.0,12294.0,12120.0,11999.0,11831.0,11634.0,11385.0,11062.000000000002,10675.999999999998,10306.0,9991.0,9481.0,8677.999999999998,7724.0,6808.0,5829.0,5274.0,5381.0,5905.0,6372.999999999999,6897.0,7192.0,7076.000000000001,6693.0,6380.0,6074.0,5772.0,5507.999999999999,5267.0,5000.0,4717.0,4459.0,4242.0,4053.9999999999995,3868.0000000000005,3690.0,3518.0000000000005,3350.0,3188.9999999999995,3038.0000000000005,2893.0000000000005,2765.0,2658.0,2566.0000000000005,2477.0,2393.0000000000005,2309.0,2222.0,2131.9999999999995,2045.0,1959.0,1865.0,1756.0,1638.0000000000002,1521.0,1403.0,1283.0000000000002,1162.0,1040.0,920.9999999999999,805.9999999999999,691.0,575.0,462.0,346.00000000000006,243.0,178.00000000000003,132.0,99.0,72.00000000000001,57.0,45.0,32.0,18.000000000000004,8.0,4.0,5.0
1959,18085.0,19294.0,20090.0,20518.0,20979.0,20555.999999999996,19976.0,19272.000000000004,18480.0,17611.0,16675.0,15830.0,15163.0,14634.0,14087.0,13515.999999999998,13163.0,13124.0,13282.0,13440.999999999998,13655.0,13719.000000000002,13517.000000000002,13145.999999999998,12812.000000000002,12463.0,12165.0,11970.0,11830.0,11644.0,11427.999999999998,11169.0,10849.0,10476.0,10117.0,9816.0,9318.999999999998,8526.0,7580.0,6672.999999999999,5705.0,5157.0,5270.0,5797.000000000001,6268.0,6795.0,7093.0,6979.0,6600.0,6289.0,5985.0,5686.0,5422.999999999999,5183.0,4918.0,4635.0,4377.0,4159.0,3971.0,3784.0,3603.9999999999995,3431.0,3262.0,3098.9999999999995,2945.0,2798.0,2667.0,2556.0,2459.0,2365.0,2275.0,2185.0,2092.0,1996.0,1903.0,1813.0000000000002,1713.0,1599.0,1476.0,1355.0,1235.0,1115.0,995.0,875.9999999999999,760.9999999999999,650.0,544.0,444.0,352.00000000000006,252.0,171.0,128.0,93.00000000000001,65.0,45.0,36.00000000000001,27.999999999999996,20.0,11.000000000000002,4.0,4.0
