Time,Births
1950,64475.0
1951,63820.0
1952,63141.0
1953,62336.0
1954,61420.0
1955,65149.0
1956,64297.0
1957,63362.0
1958,62491.0
1959,61826.0
1960,62465.0
1961,62373.0
1962,62592.0
1963,63098.0
1964,63841.0
1965,62906.0
1966,64228.0
1967,65730.0
1968,67327.0
1969,68921.0
1970,59929.0
1971,61242.0
1972,62487.0
1973,63637.0
1974,64667.0
1975,50833.0
1976,51550.0
1977,52142.0
1978,52632.0
1979,53058.0
1980,49818.0
1981,50227.0
1982,50555.0
1983,50844.0
1984,51138.0
1985,54894.0
1986,55253.0
1987,55657.0
1988,56075.0
1989,56467.0
1990,59337.0
1991,59682.0
1992,60028.0
1993,60327.0
1994,60520.0
1995,59825.0
1996,59879.0
1997,59845.0
1998,59713.0
1999,59474.0
2000,57725.0
2001,57362.0
2002,56912.0
2003,56429.0
2004,55982.0
2005,59579.0
2006,59495.0
2007,59508.0
2008,59650.0
2009,59960.0
2010,57375.0
2011,57957.0
2012,58814.0
2013,59874.0
2014,61022.0
2015,57381.0
2016,57965.0
2017,58531.0
2018,59082.0
2019,59618.0
2020,60849.0
2021,61262.0
2022,61638.0
2023,61984.0
2024,62310.0
2025,63126.0
2026,63305.0
2027,63483.0
2028,63659.0
2029,63827.0
2030,64348.0
2031,64456.0
2032,64563.0
2033,64672.0
2034,64787.0
2035,65245.0
2036,65299.0
2037,65368.0
2038,65446.0
2039,65519.0
2040,65885.0
2041,65854.0
2042,65827.0
2043,65813.0
2044,65821.0
2045,66075.0
2046,66058.0
2047,66079.0
2048,66141.0
2049,66245.0
2050,66558.0
2051,66700.0
2052,66902.0
2053,67154.0
2054,67434.0
2055,67838.0
2056,68084.0
2057,68353.0
2058,68635.0
2059,68914.0
2060,69296.0
2061,69495.0
2062,69696.0
2063,69897.0
2064,70094.0
2065,70372.0
2066,70498.0
2067,70634.0
2068,70774.0
2069,70911.0
2070,71189.0
2071,71282.0
2072,71389.0
2073,71502.0
2074,71612.0
2075,71807.0
2076,71901.0
2077,72013.0
2078,72143.0
2079,72282.0
2080,72431.0
2081,72565.0
2082,72727.0
2083,72910.0
2084,73098.0
2085,73314.0
2086,73495.0
2087,73702.0
2088,73920.0
2089,74132.0
2090,74274.0
2091,74465.0
2092,74671.0
2093,74882.0
2094,75077.0
2095,75389.0
2096,75560.0
2097,75741.0
2098,75918.0
2099,76076.0
