Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,585376,571117,556408,541342,526016,510523,494959,479419,463998,448790,433713,418686,404688,392169,380693,369417,358564,347595,336175,324602,313456,302561,292311,282945,274217,265673,257428.99999999997,249161,240668,232122,223849,215730,208046,200952,194272,187735,181468,174969,167986,160789,153844,146992,140774,135485,130836.00000000001,126296,122043,117564,112575,107362,102467,97744,93579,90207,87421,84730,82178,79902,77905,76108,74438,72922,71248,69256,67068,64967,62894,60852,58868,56923,54919,52814,50875,49203,47646,46016,44436,42295,39296,35754,32298,28820,25545,22655,20054,17468,14951,12651,10612,8805,6941,5523,4620,3543,2293,1589,1389,1101,725,261,0
1951,576895,569716,556017,542470,529012,515582.99999999994,502346,489463,475748,460691,444903,429431,413970,399670,387176,375928,364750,353924,343028,331751,320362,309398,298693,288599,279327,270655,262173,253990,245790,237384,228936,220752,212721,205116,198089,191467,184987,178773,172331,165412,158282,151400,144609,138442,133190,128567,124053,119821,115363,110398,105209,100332,95622,91470,88114,85343,82661,80110,77827,75812,73986,72281,70726,68991,66910,64613,62401,60214,58059,55966,53918,51817,49628,47599,45824,44165,42452,40800,38653,35744,32360.999999999996,29073,25779,22706,20028,17649,15263,13007,11001,9172,7497,5870,4692,3915,2990,1919,1416,1128,765,327,217
1952,578239,558932,555775,542593,530163,518268,506689,495659,485408,473471,458733,442323,426412,410474,395831,383327,372273,361161,350329,339475,328306,317070,306254,295707,285738,276533,267892,259449,251301,243146,234803,226426,218309,210341,202793,195812,189229,182787,176607,170203,163327,156244,149405,142655,136521,131291,126681,122179,117956,113507,108550,103369,98497,93786,89635,86285,83521,80839,78283,75987,73948,72087,70342,68744,66944,64766.99999999999,62356,60026,57721,55446,53239,51081,48878,46600,44475,42592,40826,39026,37296,35138,32311,29077,25946,22825,19944,17470,15305,13112,11108,9391,7766,6216,4821,3878,3224,2449,1553,1147,794,377,394
1953,589348,566570,547491,542688,530003,518673,508322,498576,489736,482102,471925,457483,440425,424050,407612,392602,380069,369192,358128,347275,336445,325368,314265,303582,293177,283318,274167,265543,257124.00000000003,249000,240876,232583,224266,216202,208285,200782,193837,187282,180868,174713,168337,161495,154447,147640,140920,134810,129594,124991,120494,116273,111825,106869,101689,96813,92094,87938,84589,81828,79142,76577,74263,72197,70299,68512,66868,64998.99999999999,62725,60194,57744,55315,52918,50594,48323,46013,43642,41419,39424,37549,35660,33850,31676,28926,25836,22858,19906,17212,14939,12985,10981,9227,7794,6371,4944,3779,3069,2538,1911,1189,814,414,537
1954,609711,581794,558639,539654,529912,517717,507481,498671,490757,484107,479091,470672,456518,438799,421949,404998,389613,377042,366335,355313,344432,333619,322628,311652,301095,290825,281070,271967,263354,254956,246850,238753,230503,222241,214226,206356,198893,191978,185449,179058,172925,166572,159759,152743,145964,139271,133180,127974,123374,118879,114659,110210,105252,100069,95186,90456,86293,82942,80182,77491,74914,72582,70487,68551,66720,65029,63091,60716,58065,55493,52939,50417,47974,45589,43171,40705,38381,36274,34289,32308,30417,28227,25552,22604,19777,16993,14485,12411,10666,8851,7346,6199,4977,3673,2737,2261,1852,1374,825,441,648
1955,638420,603545,574683,551144,532238,517275.99999999994,505569,496427,489161,483081,478626,476236,469578,455707,437320,419988,402517,386749,374135,363596,352611,341698,330900,319990,309138,298703,288567,278913,269853,261250,252868,244778,236705,228497,220287,212318,204491,197067,190181,183674,177305,171191,164860,158074,151086,144333,137664,131591,126393,121796,117301,113080,108627,103666,98478,93587,88844,84671,81319,78558,75861,73272,70920,68796,66821,64944.99999999999,63206,61199,58723,55948,53254,50573,47926,45362,42861,40334,37772,35347,33126,31029,28956,26982,24775,22176,19369,16693,14075,11754,9879,8344,6718,5462,4601,3579,2398,1692,1450,1164,834,460,731
1956,671530,624577,591621,564612,542823,525529,512100,501905,493741,486691,480315,475532,472687,465704,451815,433599,416331,398869,383147,370631,360222,349368,338596,327915,317083,306283,295905,285826,276227,267226,258680,250352,242310,234284,226123,217957,210030,202243,194854,187996,181513,175165,169069,162758,156000,149043,142319,135680,129622.00000000001,124419,119803,115290,111044,106584,101645,96495,91634,86915,82756,79400,76621,73903,71293,68888,66665,64562,62560,60693,58569,55999,53149,50381,47632,44932,42336,39823,37296,34753,32353,30155,28090,26064,24145,22047,19634,17065,14589,12230,10218,8539,7105,5684,4635,3894,3019,2009.9999999999998,1438,1156,834,471,787
1957,708722,656878,610914,579866,554698,534650,518960.00000000006,507056,498369,491178,484341,477668,472557,469258,461950,448039,429989,412781,395324,379645,367222,356940,346215,335580,325016,314258,303507,293184,283158,273613,264667,256177.00000000003,247900,239905,231925,223808,215684,207797,200049,192692,185861,179400,173072,166991,160700,153968,147041,140344,133732,127689,122479,117844,113311,109040,104572,99653,94541,89708,85011,80864,77504,74707,71968,69336,66877,64555.00000000001,62323,60196,58200,55959,53295,50369,47526,44708,41956,39329,36801,34274,31750,29373,27199,25165,23186,21320,19330,17103,14770,12495,10392,8689,7204,5871,4654,3811,3190,2461,1623,1144,829,476,823
1958,747385,687621,637824,597741,568572,545225,526900,512799,502410,495220,488996,482367,475392,469950,466195,458556,444612,426715,409553,392088,376439,364101,353938,343333,332827,322370,311679,300968,290692,280713,271214,262316,253875,245642,237688,229747,221667,213580,205726,198011,190682,183872,177427,171115,165045,158768,152058,145154,138479,131890,125857,120636,115978,111422,107122,102642,97741,92662,87853,83175,79037,75671,72853,70090,67435,64920,62497,60136,57881,55755,53396,50636,47631,44712,41823,39017,36355,33812,31283,28776,26421,24268,22264,20330,18516,16632,14588,12490,10412,8565,7169,5876,4643,3629,2991,2490,1905,1238,821,477,844
1959,784541,719194,664342,619018,585255,557934,536380,519758.00000000006,507231,498344,492645,487381,480952,473667,467887,463671,455693,441700,423935,406800,389306,373669,361401,351345,340847,330459,320097,309461,298778,288536,278592,269128,260267.99999999997,251867,243669,235746,227835,219784,211723,203894,196202,188892,182096,175660,169355,163289,157020,150323,143435,136774,130199.99999999999,124170,118932,114245,109662,105328,100831,95941,90889,86099,81435,77301,73924,71082,68292,65611,63038,60511,58018,55633,53374,50893,48034,44948,41949,38985,36121,33423,30860,28327,25833,23497,21363,19386,17496,15731,13952,12089,10223,8341,6747,5657,4555,3419,2608,2173,1792,1352,854,474,853
