Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,15288,14646,14053,13504,12996,12527,12091,11686,11308,10953,10622,10315,10010,9698,9385,9088,8804,8528,8260,8000.999999999999,7751,7508,7274,7049,6832,6622,6417,6222,6037,5860,5688,5521,5353,5180,5006,4836,4671,4507,4344,4183,4026,3871,3725,3591,3465,3342,3224,3107,2989,2872,2759,2648,2544,2445,2352,2261,2172,2085,1999,1915,1833,1752,1670,1586,1501,1418,1335,1253,1170,1087,1006,927,850,774,702,631,563,499,440,384,332,283,239,200,167,136,109,86,68,52,38,28,23,16,9,5,4,3,2,1,2
1951,15795,15126,14505,13931,13400,12910,12457,12037,11643,11268,10912,10579,10268,9959,9645,9330,9030,8742,8463,8194,7933,7680,7436,7200,6974,6757,6547,6342,6148,5964,5788,5617,5452,5286,5115,4942,4774,4611,4449,4288,4129,3974,3821,3677,3544,3420,3299,3182,3065,2948,2831,2717,2607,2502,2403,2309,2217,2127,2039.0000000000002,1952,1867,1783,1701,1618,1533,1447,1363,1280,1197,1114,1032,952,873,797,723,652,584,518,457,400,348,299,253,212,176,146,118,94,75,58,44,31,24,19,14,8,4,3,2,1,2
1952,16351,15596,14975,14373,13818,13306,12833,12395,11992,11608,11237,10879,10543,10228,9916,9598,9282,8979,8687,8405,8132,7869,7615,7368,7131,6905,6687,6477,6272,6078,5895,5720,5550,5387,5222,5053,4882,4716,4554,4394,4235,4078.0000000000005,3925,3774,3632,3500,3377,3257,3141,3025,2908,2791,2678,2568,2462,2363,2268,2176,2085,1995,1907,1820,1735,1652,1568,1482,1395,1310,1226,1143,1060,978,898,820,745,672,603,537,474,415,361,312,265,223,185,153,125,100,79,63,49,36,25,19,15,11,6,4,2,1,2
1953,16941,16140.999999999998,15415,14831,14248,13712,13218,12762,12340,11952,11579,11211,10850,10512,10193,9877,9557,9238,8932,8636,8350,8074.999999999999,7810,7553,7304,7066,6838,6620,6409,6205,6011,5828,5655,5486,5324,5161,4993,4824,4659,4499,4341,4184,4029,3878,3729,3588,3458,3336,3217,3102,2987,2870,2753,2640,2530,2424,2324,2229,2135,2043.0000000000002,1952,1863,1775,1688,1603,1518,1431,1343,1257,1172,1089,1006,924,844,767,693,622,555,491,430,373,322,276,233,193,158,129,105,82,64,51,39,28,19,15,12,8,5,3,1,2
1954,17551,16716,15956,15266,14692,14128,13611,13134,12694,12289,11916,11554,11188,10826,10484,10161,9841,9518,9197,8887,8588,8299,8020,7753,7493,7243,7002,6774,6555,6344,6139,5946,5764,5591,5424,5263,5101,4935,4767,4604,4446,4290,4134,3982,3832,3685,3546,3417,3296,3178,3064,2950,2833,2716,2603,2493,2386,2286,2189,2095,2001.9999999999998,1910,1819,1730,1642,1555,1469,1380,1291,1204,1119,1035,952,870,791,714,641,572,506,444,385,331,283,240,200,163,132,106,85,64,50,40,30,20,13,10,8,6,3,1,2
1955,18172,17311,16524,15807,15152,14555,14010,13511,13053,12629,12240,11883,11530,11168,10803,10458,10131,9807,9481,9157,8845,8541,8248,7967,7697,7435,7182,6940,6710,6491,6280,6075,5881,5700,5529,5363,5203,5043,4878,4711,4550,4393,4239,4085,3934,3787,3641,3504,3376,3257,3140,3026,2913,2797,2680,2567,2456,2349,2248,2150,2055,1961,1868,1776,1685,1595,1508,1419,1330,1240,1152,1066,981,898,817,738,662,589,521,458,398,341,290,244,204,167,134,105,82,64,46,35,28,20,12,7,6,4,3,1,2
1956,18766,17980,17159,16405,15713,15078,14494,13957,13464,13009,12588,12197,11837,11481,11116,10749,10403,10072,9745,9417,9091,8777,8471,8177,7895,7625,7363,7110,6869,6640,6422,6212,6009,5817,5637,5467,5302,5144,4986,4823,4658,4499,4344,4191,4038.9999999999995,3890,3743,3599,3462,3335,3216,3098,2985,2871,2754,2637,2523,2411,2303,2200,2102,2005,1910,1815,1722,1630,1539,1451,1362,1272,1182,1094,1008,925,842,763,686,612,542,477,417,360,306,258,216,179,145,116,91,71,54,39,29,23,17,10,6,5,3,2,2
1957,19367,18484,17797,17016,16294,15627,15011,14441,13912,13423,12972,12553,12161,11797,11437,11070,10701,10352,10018,9688,9357,9030,8713,8406,8109.999999999999,7828,7557,7295,7042,6801,6573,6356,6147,5946,5755,5577,5408,5245,5088,4932,4770,4608,4450,4297,4146,3995,3847,3701,3558,3422,3296,3176,3059,2945,2830,2713,2595,2480,2367,2258,2154,2054,1956,1859,1764,1669,1576,1484,1394,1305,1215,1124,1037,951,868,787,709,634,562,495,433,375,322,272,227,188,155,124,98,77,60,44,31,24,19,14,8,5,3,2,2
1958,19973,19091,18267,17622,16881,16190.999999999998,15548,14951,14393,13872,13389,12941,12523,12130,11762,11398,11028,10658,10306,9968,9635,9302,8972,8654,8344,8047.000000000001,7764,7493,7231,6978,6737,6509,6293,6085,5885,5696,5519,5352,5190,5035,4879,4720,4559,4403,4252,4102,3953,3806,3661,3519,3384,3258,3138,3020,2906,2791,2673,2554,2438,2324,2214,2109,2008,1908,1810,1713,1617,1522,1429,1339,1249,1158,1068,980,895,812,733,656,583,513,448,389,335,284,237,196,161,131,103,80,64,49,35,24,18,15,10,6,3,2,2
1959,20585,19708,18882,18106,17453,16751,16091.999999999998,15475,14895,14351,13838,13359,12914,12497,12103,11731,11363,10991,10619,10264,9922,9585,9249,8918,8597,8286,7987,7702,7431,7168,6915,6674,6447,6232,6026,5826,5639,5463,5297,5137,4983,4829,4671,4512,4358,4208,4059.9999999999995,3912,3766,3623,3481,3347,3221,3101,2983,2868,2753,2634,2514,2398,2283,2171,2065,1962,1861,1761,1663,1566,1469,1375,1284,1193,1101,1010.9999999999999,923,838,757,678,603,532,464,401,345,294,246,203,165,133,107,81,62,50,37,25,16,13,10,7,4,2,2
