Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08973826045281805,0.12418907056394365,0.16203772229999228,0.20035812374748696,0.23598636239806042,0.26612583045841537,0.28883416460141836,0.3034219398967619,0.31045024308514535,0.31131750184338064,0.30789418173849153,0.30217241934911265,0.2952985578400513,0.28757263294883,0.2792474022851741,0.27055883908343964,0.2616997851047934,0.2523409812129934,0.24172657013298735,0.22923714581480906,0.2144575867328039,0.19724137131307956,0.17803587208006585,0.15771428148358968,0.13712674460294605,0.11702929399278447,0.09804273269343466,0.08060501963104794,0.06499237488792359,0.051361492653707326,0.039756582962769176,0.03012297908927664,0.02232675053225308,0.016177563807526454,0.01145201736691328,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0892741388841364,0.1240993574363381,0.16239543182398514,0.20111881191264958,0.2369847447007725,0.26711058169363716,0.28952794342584803,0.30360462302431085,0.31002643145347186,0.3103322686899605,0.30651974306405766,0.3006777410667126,0.2939292242258184,0.2864505246194122,0.2783755705299427,0.26983392055159505,0.2609307708337128,0.2513678043157991,0.2405219642139599,0.22789554092337044,0.21317102285470227,0.19625916493990878,0.17752786196487286,0.15768502134034323,0.13746026185932875,0.11754445984152115,0.09854539052043058,0.08093661967938573,0.06505615838049704,0.05112364319457912,0.039237436740729985,0.029381931254174605,0.02144452091002414,0.01523926713306094,0.01053365192929628,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08883187582115083,0.12392489325916511,0.16255900440259782,0.20160502922878193,0.2376865700770796,0.26785266594920093,0.2901100928048232,0.3038629149122873,0.30988317347769356,0.3098086579813156,0.30572728055158227,0.29979735646357153,0.2931280440519799,0.28581237935358816,0.27790411196290443,0.2694606544039521,0.26052757594786946,0.25082679231337696,0.2398238705125196,0.22710193957790425,0.21240802708341067,0.19569099059730208,0.17726699708211102,0.1577351793942929,0.1377449912357591,0.11794311617548685,0.09892784972032234,0.08119654667192873,0.0651294733499645,0.05098979841167588,0.03891342413684031,0.02891150685299922,0.020885353835482637,0.014650669807681534,0.009966951838545358,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0884097516647221,0.12367511359331039,0.16254663727313665,0.20183836999444185,0.23810915070951857,0.26835618044517534,0.29056264438253704,0.3041502024744601,0.30994317336408284,0.30964217767761193,0.3053941131813133,0.29940384751480464,0.292774984693222,0.28555132999168986,0.2777390934875575,0.2693527548773992,0.2604022621023158,0.25062059173047513,0.23952429233396988,0.2267429072157317,0.21206046041724852,0.19544781911786874,0.17719210117660855,0.15783071176474125,0.1379673452397841,0.11822320920406548,0.09919100179959861,0.08138185097140976,0.06520073180322457,0.05093640693268095,0.03874684821007734,0.028658800177018055,0.020581379688256716,0.014330690993775671,0.009660892609788868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08800608817330037,0.12335952973026461,0.16237713579245497,0.2018415503462876,0.238270972508201,0.2686259166947948,0.29086768143301484,0.3044197201914691,0.310129595821148,0.3097300611303487,0.3054005499195857,0.2993732604400869,0.29275302733636704,0.28556269430057857,0.2777880484372289,0.26942505071771095,0.2604681596635358,0.2506537911935898,0.23951813080806253,0.226708655347613,0.21202374983859626,0.19544299010974986,0.17724283196058072,0.15793755809541252,0.13811372481878192,0.11838303276286123,0.09933619976580109,0.08148976407249331,0.06525829648532398,0.05094047612445462,0.038702792679395796,0.028577950879468697,0.020477964560439137,0.01421892783701175,0.00955275668691424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08761924510602483,0.12298767570633061,0.16206972106732687,0.201638131452555,0.23819147728463475,0.2686673124587629,0.2910074228073303,0.3046245415132598,0.31036565702111335,0.309970254394929,0.30562833218219887,0.2995833579198514,0.29294661861548177,0.28574278909717704,0.2779591121515407,0.26959278158878913,0.26063908830955784,0.2508318320661634,0.2397016756545,0.22689121758972364,0.2121951121704611,0.1955909701350364,0.17735915121603935,0.15802158033859567,0.13817058675445543,0.11842124126549135,0.0993652362784125,0.08151772204808293,0.06529049493927236,0.0509792621583668,0.03874789265747984,0.028627200983983445,0.02052821755882242,0.01426692738215731,0.009595813815403911,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08724761718259236,0.12256906234604092,0.16164385757811134,0.20125226467764307,0.23789085526802314,0.2684864019749224,0.29096431725327687,0.30471764240560484,0.31057440638015443,0.3102607453843228,0.3059595471149878,0.2999123866006525,0.2932405914972152,0.28598812891809544,0.2781604657733928,0.2697711640703347,0.2608288664340823,0.2510602830374772,0.23997155873237944,0.22718315995550153,0.2124722962857659,0.19580649638210323,0.17748100059444932,0.1580485752217302,0.13812452404036368,0.11833686094885047,0.09928031949523823,0.08146338879758534,0.06528565438129688,0.051030064070634644,0.03884942617102081,0.028766718651407654,0.020689040308903995,0.014432173729168397,0.009751279679691206,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08688963134641496,0.12211313845633535,0.16111910229348678,0.20070846163868863,0.23738985035811416,0.26808976493178077,0.2907211476479195,0.3046520373094139,0.31067869893771394,0.31049923002832325,0.3062759998702663,0.30023834486994433,0.29351954317040174,0.28619500175686163,0.2783000843123526,0.2698752247501421,0.26095110618314715,0.25124447208946216,0.24022415766626348,0.22747680674490375,0.2127528249876164,0.1960040954682137,0.1775481811397728,0.15798436061548693,0.13796235882338928,0.11812929930076914,0.09908404693109833,0.08132467887220472,0.0652321573806919,0.05107011955791062,0.03897469620827281,0.028957050136620237,0.02091831007275239,0.014673866276267919,0.009982818702051572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08654231450352551,0.121633225461766,0.16052556227904685,0.20004848522539292,0.23673161349867605,0.2675087579584382,0.29028452467014715,0.3044007924086855,0.3106161846892736,0.310593044675195,0.3064655408444842,0.30044436773521505,0.2936747833262395,0.2862691570149826,0.27829806964437903,0.26983357174578426,0.26093231132791506,0.25130010030172123,0.24036327208491187,0.22766980640617507,0.21293933560854658,0.19610569332574057,0.17751180622032398,0.15780983140433102,0.13768834014437947,0.1178156795982353,0.09879488669176327,0.08111184574950499,0.06512622524405341,0.05107975469617502,0.03908970917910629,0.02915387472711637,0.021166536602087577,0.014942472400522731,0.010245041730428202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08619704688703263,0.12115826418859581,0.1599352164266718,0.19938196056495808,0.23604707218515375,0.2668717882486045,0.28975475529162137,0.30401648429995975,0.3103840323119566,0.3104892600712955,0.3064418402909084,0.3004358469461504,0.2936259562819314,0.28615530296778113,0.2781237733479368,0.26962967426165535,0.26075120530535084,0.2511854125935007,0.24032388213047648,0.22768286714218217,0.21295662480237484,0.19606401410616967,0.17736860398331877,0.15756565603340003,0.1373751681651758,0.11748236420550542,0.0984932286660649,0.08088337942810912,0.06499498594658168,0.05105192125270649,0.039156153032966066,0.02929460544100534,0.02135595600396828,0.01515437849173289,0.010456564230151262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08584392804049136,0.12072068773417292,0.15942953492349177,0.1988341191673263,0.23548767692349923,0.26633037421993655,0.2892549044703475,0.303571406306561,0.3099944900050978,0.31014525148829114,0.30612543582348706,0.30012415404256654,0.2933002026177817,0.28580826487643196,0.27775916618507296,0.26926096749606254,0.2603998393448309,0.25086963362350834,0.24004914430821747,0.22744283164555026,0.21273537426967526,0.1958397861070757,0.17712684710553728,0.15730723962251053,0.13711201995153657,0.11723208708968237,0.09827400440665773,0.08070919481822222,0.06487308922512228,0.05098280592382402,0.0391345969767274,0.02931138647257922,0.021399844090120256,0.015214020446035214,0.010521966330331083,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08547322158758665,0.12035248126317288,0.15908904265084708,0.19852895308368398,0.23520357548374268,0.26603488466624214,0.28890722568999416,0.30313751299240915,0.30945999824314585,0.3095190810479112,0.30543790056251463,0.2994217930522394,0.2926256504041845,0.2851835913392888,0.2771866818513227,0.2687252012936996,0.2598706322405929,0.25032258099494464,0.23948306857389928,0.22687755549591093,0.21220722212089455,0.19539436200048863,0.1767949380739247,0.15708965849406986,0.13698743700571636,0.11716682580311027,0.09823143760633177,0.08065867948293595,0.06479493789961895,0.05086871053506236,0.03898615258733259,0.02913736966373959,0.021212943909887875,0.015027699266175462,0.010347973717949046,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08507536971319168,0.12008532429642375,0.1589939533104835,0.1985903461713204,0.235344893379804,0.266135504500323,0.2888335457536063,0.302786361346304,0.308793130546033,0.30856985417272526,0.3043026979972209,0.2982434168047583,0.29153218643102735,0.2842379551999176,0.276389345555628,0.2680204560950315,0.25915642332137034,0.24951492855053353,0.23857113671984895,0.22591682895657972,0.21130564351000025,0.19469012028299637,0.17638136549315983,0.15696770654750836,0.13708993511973894,0.11738897077019102,0.09846029035347086,0.08080146072772819,0.06479482866153889,0.050706084030962224,0.038673541887231905,0.0287102870053787,0.020718885332490857,0.0145156358730223,0.009860118350453237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08464801071008163,0.11993126163311268,0.15917271767511346,0.1990589164956497,0.2359541433679113,0.26666298742565314,0.289039738049347,0.3024907984363682,0.3079330400084397,0.30720901675598045,0.30261413810122356,0.2964793476705385,0.28991726295990916,0.2828815069750251,0.27529016278380075,0.26707749007108167,0.2581861158497335,0.24836598926034759,0.2372224222567341,0.2244647725919819,0.20993940719763624,0.193652824161956,0.17583834142264154,0.1569220532234085,0.1374238570536635,0.11791664731574926,0.09898030244967826,0.08114839281238072,0.06486887824143509,0.05047597740633872,0.038167308623113454,0.02799776420018372,0.019890547959753906,0.013662440709797571,0.009058046488568493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08421669029737969,0.11982439736498399,0.15944479735085942,0.19963653096766373,0.23663598357805263,0.2671647842354458,0.289066460590619,0.3018307938611513,0.3065271083906664,0.30515588432988505,0.30014433075076213,0.2939156915261285,0.2875437779088077,0.28083661846191277,0.2735726770006506,0.2655593489299232,0.25663414997597406,0.2465891979738417,0.23519704333193697,0.22231704265766317,0.20791299026585344,0.19206011732647282,0.17489471254026392,0.1566375285974281,0.13765252803636754,0.11842171968307169,0.09950115977835636,0.08146923448333898,0.0648597465211054,0.050098141329350414,0.037461172921368836,0.02705846499948838,0.01883803518730497,0.012613260085896333,0.008104515059575606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08381337395208989,0.11967969761443835,0.15957637018549684,0.1999370890530795,0.2368811896292601,0.267064374443658,0.2883385502530654,0.3002931608307813,0.30415865023006305,0.3020928023048316,0.29664670750251954,0.29032460701736607,0.2841531469757673,0.27779056421279896,0.2708717600633365,0.26307284019920785,0.254122347886634,0.24385841341810188,0.23223041825818105,0.21925478053951789,0.2050169533552518,0.18966356566910492,0.17323160823597542,0.15572849199924194,0.1373522952474947,0.11848403998755491,0.09964900156378009,0.0814699961641065,0.06457225835262612,0.04948044165082723,0.03655747966907516,0.025971066914517834,0.01769253143047283,0.011526370549463642,0.007161654599365751,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08346943176897305,0.11941258122468044,0.15933314509368254,0.19957299817274898,0.23618006719267645,0.2657888180375144,0.28629067403511205,0.29738075051644186,0.300431099107211,0.2977236647208013,0.2918961161390799,0.28549970936528835,0.2795090203984832,0.2734536385666664,0.2668456150469946,0.25924816186845595,0.2502962334248253,0.23987149894008464,0.22808163349061508,0.21508193378697157,0.2010639100689546,0.18623612704780754,0.1705493558315615,0.15382360801655404,0.1361073247259394,0.11768589935730495,0.0990505618197676,0.08085920172783927,0.06381718245565662,0.0485381774833418,0.035462468237259674,0.02480824840617015,0.016564063392686908,0.01052163661346058,0.006337928535028986,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08321580291953692,0.11893948586011487,0.15848413816789017,0.19816427421915192,0.23403728343848307,0.26278778900145183,0.2823877190852025,0.2926313027882976,0.29498353570764,0.2917858281611059,0.2856981547525334,0.27926483018409337,0.27340743039208054,0.26757175679662865,0.2611909303986433,0.25375567086965767,0.2448414850547373,0.23436470110658786,0.22254524942551004,0.20963516575964772,0.19589816832512977,0.18158383509539974,0.16658298932875545,0.15058538147435999,0.13353192117641555,0.11563490007261748,0.09735401298731046,0.07936449225510134,0.062422225823881766,0.04719914963314709,0.03418631613363853,0.023633874886864168,0.015539010083122855,0.00968186102879114,0.005696166974239064,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08307065148838247,0.11821083004252392,0.15689892575778916,0.1955069320399743,0.23020262571539388,0.2578046469402499,0.2764075937974872,0.2858865215141164,0.2877311674512738,0.2842592846499452,0.27807499601638475,0.27165262475850616,0.2658637542245506,0.26012950812852037,0.25386189181775887,0.24653294108825252,0.23770427687315662,0.22731352243369027,0.2156294265248399,0.20294408723889854,0.189549016341725,0.17570714695056242,0.16128275706256645,0.14591058198239326,0.1294823465872301,0.11217183805825667,0.09441483180393798,0.07688134308780184,0.06033577786467463,0.0454631978710983,0.03276680138187129,0.022503756173319546,0.014671711178776834,0.009046262972684377,0.005255066609197417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08300191809512512,0.11730596479329497,0.15481720667902496,0.19202690819287271,0.22528135419996725,0.2515853042898828,0.2691772865094916,0.2779929856286192,0.27949472982417195,0.2759176810318668,0.26975737485668094,0.26337728435850877,0.25760439372867294,0.2518792604044947,0.2456357178434457,0.2383671278586774,0.22965496277871808,0.2194474169649153,0.20801395660402358,0.1956442778708623,0.1826248243701615,0.16921143785067236,0.15526619349324358,0.14042428048734915,0.12457198722591477,0.1078713799475203,0.09074103246368022,0.07382928540865087,0.05787736489343682,0.043549267204812094,0.03133154785790097,0.02147081981960105,0.013961049350617557,0.00858078530151868,0.0049660653250364175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08296531983139266,0.11633430515728717,0.15256107041658118,0.18828382767405,0.22005149349330896,0.24506781504192546,0.26171382192042264,0.2699684392926377,0.2712392820127837,0.2676528360681294,0.2615755850502274,0.25524630933667064,0.24945409261363002,0.2436822224246821,0.23740871902175542,0.2301688990953605,0.22158121596803385,0.21159814286201253,0.2004641760939826,0.1884441769240595,0.17580236489707018,0.16277695946176646,0.14924042502611026,0.1348569580892314,0.11952995576943291,0.10342364900646976,0.08694303554536212,0.07070659944522037,0.05541660210289364,0.04169924330650504,0.030010853105507128,0.020579932303040643,0.013396104416395509,0.008245853892063986,0.004781551341693215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08291674656456895,0.11540208007739054,0.15043663921444703,0.18480036281913217,0.21522951978403124,0.2391064454068103,0.2549354612337076,0.26272590541108515,0.2638265265289271,0.2602583372209013,0.254266523382966,0.2479746977939205,0.24214145977825535,0.23629750706037123,0.22996911221461463,0.2227370435997152,0.21425932602258946,0.20449064906668227,0.19364488444234282,0.18195729013499745,0.16966636237059804,0.15699071097625403,0.14381546090561342,0.12983881362916808,0.11498516910175333,0.09942335979234254,0.08354566788199679,0.06793998058708259,0.05326813455892221,0.040117451405018593,0.02891386511181056,0.019868685037640558,0.012968968940290338,0.008011213688513813,0.0046658515187352635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08281220725054043,0.11461220352784271,0.1487335920334402,0.18206202274469785,0.21147164487171488,0.23447567587259094,0.24966905245605586,0.25708414019957787,0.25802744806024275,0.25444327229007924,0.24848768749574968,0.2421988112389605,0.23631253313651157,0.23039523677003054,0.2240095868592038,0.21677063934961108,0.20836637366521216,0.19875557753789563,0.1881331578284498,0.1767151193134042,0.16472231130818604,0.1523588443326788,0.139515715770099,0.12590994616619278,0.11147507390703075,0.09637751021559522,0.08099562999951752,0.06589245167228386,0.05170001583382507,0.03897873331837841,0.028135064162726806,0.019371013606739436,0.012674829810267596,0.00785268880514871,0.004589677851705219,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0826203938552248,0.11404017906326055,0.14765720849944391,0.180405211921847,0.2092245776330167,0.23169520304067895,0.24646285984069125,0.2535805003791854,0.2543433820452561,0.25066481529417256,0.2446599012741274,0.23832390081264773,0.23237767998188158,0.22640060488343502,0.21996938043820416,0.212712727584053,0.2043312469034783,0.1947922377955957,0.18429415946372568,0.17305351313823114,0.16128874067189183,0.14919892897505863,0.13666849430378528,0.12340563007310343,0.10933157125945271,0.0945976721495225,0.07956613622120477,0.0647849021273381,0.05087423192158551,0.038387494743402466,0.027729296149866946,0.019104444722612978,0.012507364748189781,0.007752153425927174,0.004532036276075396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08235987979165317,0.11366159990730848,0.14712034840654037,0.17966878561448316,0.2082540312150884,0.23047036363997592,0.24498280180336107,0.2518640058265223,0.2524241939588606,0.2485836390688701,0.24245610573608467,0.23602892684221896,0.23001456612664908,0.2239875626489215,0.21752118162093229,0.21024172798816315,0.20184883490476796,0.19232030496043626,0.18187312720729143,0.17073753123390387,0.15913990446492382,0.14728099342534023,0.13503055865354252,0.12206966438249094,0.10829331827523227,0.09382999544129661,0.0790250331039802,0.06441885479511701,0.05063310153784805,0.038228399086036625,0.027620057097175413,0.019024214981816025,0.012444844134048338,0.007702461804842736,0.004493490747866496,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08206151662479579,0.11342862984427053,0.14697048997624548,0.17958466188087358,0.20818398535525878,0.23034124338392353,0.24471917007445546,0.2514093901738836,0.2517545222351725,0.24770721784970573,0.2414064949945602,0.23485521733243037,0.22876301618499192,0.22268985004566935,0.216195902797995,0.20889610548064688,0.20048126940292893,0.19093812576380298,0.18050606606192185,0.1694327862509748,0.1579558883091779,0.14628037367574892,0.13425952099032398,0.12154234088169277,0.10799439006957585,0.09372026702622642,0.07904994948454241,0.06452067739164254,0.050761613012096564,0.038346914574458116,0.027707879945622557,0.019075387551334103,0.012464073102053573,0.007699854021943944,0.0044798165031312365,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08175580809846779,0.11329450721624652,0.14705969065967756,0.1798946004248622,0.2086543423088703,0.2308695614856831,0.24518822076946156,0.25171985477813374,0.2518483520156538,0.24757223542874074,0.2410701067043469,0.23437314452726035,0.2281928904857561,0.22207266420483082,0.21555734986903416,0.20824822898076453,0.1998247322767029,0.1902773304267727,0.17986097460701325,0.16883551181318726,0.15744631461697536,0.14590130202886495,0.1340412577756899,0.12149089729828601,0.10809345669010946,0.09393555226709874,0.07933590066155766,0.06483018116732095,0.05105464438411402,0.03859547541532286,0.027898010350480867,0.01920606267086545,0.012543660882364981,0.007741474664050069,0.004497064293480878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0814728264020352,0.11321304506019349,0.1472414430961093,0.1803426777692607,0.20930845295599396,0.23162198385521846,0.24591293162396963,0.25230711262406175,0.2522297104584925,0.24772655938535687,0.241017980190548,0.23416578616856487,0.2278874981581845,0.2217154243604776,0.2151842944351414,0.20788607501263823,0.19949147462391328,0.18998581504340376,0.1796219996063271,0.1686576513816264,0.15733574371517878,0.1458617493048775,0.13407359830494944,0.1215921136346707,0.10825588154268796,0.09414672120282583,0.07957926471216539,0.06508690545167861,0.051306075647515485,0.03882555731320718,0.028095229428641212,0.019364474069382544,0.012662787646635046,0.007825204417146434,0.004551945612538612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08123185543224505,0.11313891053724662,0.14738476691751132,0.18070409872523033,0.2098350419778173,0.23222151170013294,0.24647911802424374,0.2527478133733353,0.2524864777359559,0.24777937466298028,0.2408803447124828,0.23387538668783284,0.22749132301734648,0.2212610645552445,0.2147200361325136,0.2074603603607726,0.19915080508134927,0.18976009156693163,0.179513519287242,0.16864533215489724,0.1573808157068624,0.14591450737712397,0.13409531684246437,0.12157010069268316,0.10819844884793575,0.09407613142608351,0.07952329908610496,0.06506870307453537,0.05133729356853843,0.03890508611498898,0.028211223414566947,0.01949885559308216,0.012796686318507099,0.007943587063947924,0.004646180363689691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
