Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.08153832,0.01447802,0.01447802,0.01447802,0.01447802,0.00252555,0.00252555,0.00252555,0.00252555,0.00252555,0.0015921,0.0015921,0.0015921,0.0015921,0.0015921,0.00213408,0.00213408,0.00213408,0.00213408,0.00213408,0.00265269,0.00265269,0.00265269,0.00265269,0.00265269,0.00313495,0.00313495,0.00313495,0.00313495,0.00313495,0.00379804,0.00379804,0.00379804,0.00379804,0.00379804,0.00474445,0.00474445,0.00474445,0.00474445,0.00474445,0.00598481,0.00598481,0.00598481,0.00598481,0.00598481,0.00755204,0.00755204,0.00755204,0.00755204,0.00755204,0.01045816,0.01045816,0.01045816,0.01045816,0.01045816,0.01477146,0.01477146,0.01477146,0.01477146,0.01477146,0.02376538,0.02376538,0.02376538,0.02376538,0.02376538,0.03823543,0.03823543,0.03823543,0.03823543,0.03823543,0.06448986,0.06448986,0.06448986,0.06448986,0.06448986,0.10353671,0.10353671,0.10353671,0.10353671,0.10353671,0.15911121,0.15911121,0.15911121,0.15911121,0.15911121,0.23416287,0.23416287,0.23416287,0.23416287,0.23416287,0.32822372,0.32822372,0.32822372,0.32822372,0.32822372,0.44936604,0.44936604,0.44936604,0.44936604,0.44936604,0.5811099000000001
1951,0.08153832,0.01447802,0.01447802,0.01447802,0.01447802,0.00252555,0.00252555,0.00252555,0.00252555,0.00252555,0.0015921,0.0015921,0.0015921,0.0015921,0.0015921,0.00213408,0.00213408,0.00213408,0.00213408,0.00213408,0.00265269,0.00265269,0.00265269,0.00265269,0.00265269,0.00313495,0.00313495,0.00313495,0.00313495,0.00313495,0.00379804,0.00379804,0.00379804,0.00379804,0.00379804,0.00474445,0.00474445,0.00474445,0.00474445,0.00474445,0.00598481,0.00598481,0.00598481,0.00598481,0.00598481,0.00755204,0.00755204,0.00755204,0.00755204,0.00755204,0.01045816,0.01045816,0.01045816,0.01045816,0.01045816,0.01477146,0.01477146,0.01477146,0.01477146,0.01477146,0.02376538,0.02376538,0.02376538,0.02376538,0.02376538,0.03823543,0.03823543,0.03823543,0.03823543,0.03823543,0.06448986,0.06448986,0.06448986,0.06448986,0.06448986,0.10353671,0.10353671,0.10353671,0.10353671,0.10353671,0.15911121,0.15911121,0.15911121,0.15911121,0.15911121,0.23416287,0.23416287,0.23416287,0.23416287,0.23416287,0.32822372,0.32822372,0.32822372,0.32822372,0.32822372,0.44936604,0.44936604,0.44936604,0.44936604,0.44936604,0.5811099000000001
1952,0.08153832,0.01447802,0.01447802,0.01447802,0.01447802,0.00252555,0.00252555,0.00252555,0.00252555,0.00252555,0.0015921,0.0015921,0.0015921,0.0015921,0.0015921,0.00213408,0.00213408,0.00213408,0.00213408,0.00213408,0.00265269,0.00265269,0.00265269,0.00265269,0.00265269,0.00313495,0.00313495,0.00313495,0.00313495,0.00313495,0.00379804,0.00379804,0.00379804,0.00379804,0.00379804,0.00474445,0.00474445,0.00474445,0.00474445,0.00474445,0.00598481,0.00598481,0.00598481,0.00598481,0.00598481,0.00755204,0.00755204,0.00755204,0.00755204,0.00755204,0.01045816,0.01045816,0.01045816,0.01045816,0.01045816,0.01477146,0.01477146,0.01477146,0.01477146,0.01477146,0.02376538,0.02376538,0.02376538,0.02376538,0.02376538,0.03823543,0.03823543,0.03823543,0.03823543,0.03823543,0.06448986,0.06448986,0.06448986,0.06448986,0.06448986,0.10353671,0.10353671,0.10353671,0.10353671,0.10353671,0.15911121,0.15911121,0.15911121,0.15911121,0.15911121,0.23416287,0.23416287,0.23416287,0.23416287,0.23416287,0.32822372,0.32822372,0.32822372,0.32822372,0.32822372,0.44936604,0.44936604,0.44936604,0.44936604,0.44936604,0.5811099000000001
1953,0.08153832,0.01447802,0.01447802,0.01447802,0.01447802,0.00252555,0.00252555,0.00252555,0.00252555,0.00252555,0.0015921,0.0015921,0.0015921,0.0015921,0.0015921,0.00213408,0.00213408,0.00213408,0.00213408,0.00213408,0.00265269,0.00265269,0.00265269,0.00265269,0.00265269,0.00313495,0.00313495,0.00313495,0.00313495,0.00313495,0.00379804,0.00379804,0.00379804,0.00379804,0.00379804,0.00474445,0.00474445,0.00474445,0.00474445,0.00474445,0.00598481,0.00598481,0.00598481,0.00598481,0.00598481,0.00755204,0.00755204,0.00755204,0.00755204,0.00755204,0.01045816,0.01045816,0.01045816,0.01045816,0.01045816,0.01477146,0.01477146,0.01477146,0.01477146,0.01477146,0.02376538,0.02376538,0.02376538,0.02376538,0.02376538,0.03823543,0.03823543,0.03823543,0.03823543,0.03823543,0.06448986,0.06448986,0.06448986,0.06448986,0.06448986,0.10353671,0.10353671,0.10353671,0.10353671,0.10353671,0.15911121,0.15911121,0.15911121,0.15911121,0.15911121,0.23416287,0.23416287,0.23416287,0.23416287,0.23416287,0.32822372,0.32822372,0.32822372,0.32822372,0.32822372,0.44936604,0.44936604,0.44936604,0.44936604,0.44936604,0.5811099000000001
1954,0.08153832,0.01447802,0.01447802,0.01447802,0.01447802,0.00252555,0.00252555,0.00252555,0.00252555,0.00252555,0.0015921,0.0015921,0.0015921,0.0015921,0.0015921,0.00213408,0.00213408,0.00213408,0.00213408,0.00213408,0.00265269,0.00265269,0.00265269,0.00265269,0.00265269,0.00313495,0.00313495,0.00313495,0.00313495,0.00313495,0.00379804,0.00379804,0.00379804,0.00379804,0.00379804,0.00474445,0.00474445,0.00474445,0.00474445,0.00474445,0.00598481,0.00598481,0.00598481,0.00598481,0.00598481,0.00755204,0.00755204,0.00755204,0.00755204,0.00755204,0.01045816,0.01045816,0.01045816,0.01045816,0.01045816,0.01477146,0.01477146,0.01477146,0.01477146,0.01477146,0.02376538,0.02376538,0.02376538,0.02376538,0.02376538,0.03823543,0.03823543,0.03823543,0.03823543,0.03823543,0.06448986,0.06448986,0.06448986,0.06448986,0.06448986,0.10353671,0.10353671,0.10353671,0.10353671,0.10353671,0.15911121,0.15911121,0.15911121,0.15911121,0.15911121,0.23416287,0.23416287,0.23416287,0.23416287,0.23416287,0.32822372,0.32822372,0.32822372,0.32822372,0.32822372,0.44936604,0.44936604,0.44936604,0.44936604,0.44936604,0.5811099000000001
1955,0.06807349,0.01140036,0.01140036,0.01140036,0.01140036,0.00168189,0.00168189,0.00168189,0.00168189,0.00168189,0.00105004,0.00105004,0.00105004,0.00105004,0.00105004,0.00139247,0.00139247,0.00139247,0.00139247,0.00139247,0.00172423,0.00172423,0.00172423,0.00172423,0.00172423,0.00208477,0.00208477,0.00208477,0.00208477,0.00208477,0.00262927,0.00262927,0.00262927,0.00262927,0.00262927,0.00346571,0.00346571,0.00346571,0.00346571,0.00346571,0.00462567,0.00462567,0.00462567,0.00462567,0.00462567,0.00618146,0.00618146,0.00618146,0.00618146,0.00618146,0.00884717,0.00884717,0.00884717,0.00884717,0.00884717,0.01281519,0.01281519,0.01281519,0.01281519,0.01281519,0.02165146,0.02165146,0.02165146,0.02165146,0.02165146,0.03658048,0.03658048,0.03658048,0.03658048,0.03658048,0.06365519,0.06365519,0.06365519,0.06365519,0.06365519,0.10435204,0.10435204,0.10435204,0.10435204,0.10435204,0.16257354,0.16257354,0.16257354,0.16257354,0.16257354,0.24146655,0.24146655,0.24146655,0.24146655,0.24146655,0.34145804,0.34145804,0.34145804,0.34145804,0.34145804,0.4694793,0.4694793,0.4694793,0.4694793,0.4694793,0.60878082
1956,0.06807349,0.01140036,0.01140036,0.01140036,0.01140036,0.00168189,0.00168189,0.00168189,0.00168189,0.00168189,0.00105004,0.00105004,0.00105004,0.00105004,0.00105004,0.00139247,0.00139247,0.00139247,0.00139247,0.00139247,0.00172423,0.00172423,0.00172423,0.00172423,0.00172423,0.00208477,0.00208477,0.00208477,0.00208477,0.00208477,0.00262927,0.00262927,0.00262927,0.00262927,0.00262927,0.00346571,0.00346571,0.00346571,0.00346571,0.00346571,0.00462567,0.00462567,0.00462567,0.00462567,0.00462567,0.00618146,0.00618146,0.00618146,0.00618146,0.00618146,0.00884717,0.00884717,0.00884717,0.00884717,0.00884717,0.01281519,0.01281519,0.01281519,0.01281519,0.01281519,0.02165146,0.02165146,0.02165146,0.02165146,0.02165146,0.03658048,0.03658048,0.03658048,0.03658048,0.03658048,0.06365519,0.06365519,0.06365519,0.06365519,0.06365519,0.10435204,0.10435204,0.10435204,0.10435204,0.10435204,0.16257354,0.16257354,0.16257354,0.16257354,0.16257354,0.24146655,0.24146655,0.24146655,0.24146655,0.24146655,0.34145804,0.34145804,0.34145804,0.34145804,0.34145804,0.4694793,0.4694793,0.4694793,0.4694793,0.4694793,0.60878082
1957,0.06807349,0.01140036,0.01140036,0.01140036,0.01140036,0.00168189,0.00168189,0.00168189,0.00168189,0.00168189,0.00105004,0.00105004,0.00105004,0.00105004,0.00105004,0.00139247,0.00139247,0.00139247,0.00139247,0.00139247,0.00172423,0.00172423,0.00172423,0.00172423,0.00172423,0.00208477,0.00208477,0.00208477,0.00208477,0.00208477,0.00262927,0.00262927,0.00262927,0.00262927,0.00262927,0.00346571,0.00346571,0.00346571,0.00346571,0.00346571,0.00462567,0.00462567,0.00462567,0.00462567,0.00462567,0.00618146,0.00618146,0.00618146,0.00618146,0.00618146,0.00884717,0.00884717,0.00884717,0.00884717,0.00884717,0.01281519,0.01281519,0.01281519,0.01281519,0.01281519,0.02165146,0.02165146,0.02165146,0.02165146,0.02165146,0.03658048,0.03658048,0.03658048,0.03658048,0.03658048,0.06365519,0.06365519,0.06365519,0.06365519,0.06365519,0.10435204,0.10435204,0.10435204,0.10435204,0.10435204,0.16257354,0.16257354,0.16257354,0.16257354,0.16257354,0.24146655,0.24146655,0.24146655,0.24146655,0.24146655,0.34145804,0.34145804,0.34145804,0.34145804,0.34145804,0.4694793,0.4694793,0.4694793,0.4694793,0.4694793,0.60878082
1958,0.06807349,0.01140036,0.01140036,0.01140036,0.01140036,0.00168189,0.00168189,0.00168189,0.00168189,0.00168189,0.00105004,0.00105004,0.00105004,0.00105004,0.00105004,0.00139247,0.00139247,0.00139247,0.00139247,0.00139247,0.00172423,0.00172423,0.00172423,0.00172423,0.00172423,0.00208477,0.00208477,0.00208477,0.00208477,0.00208477,0.00262927,0.00262927,0.00262927,0.00262927,0.00262927,0.00346571,0.00346571,0.00346571,0.00346571,0.00346571,0.00462567,0.00462567,0.00462567,0.00462567,0.00462567,0.00618146,0.00618146,0.00618146,0.00618146,0.00618146,0.00884717,0.00884717,0.00884717,0.00884717,0.00884717,0.01281519,0.01281519,0.01281519,0.01281519,0.01281519,0.02165146,0.02165146,0.02165146,0.02165146,0.02165146,0.03658048,0.03658048,0.03658048,0.03658048,0.03658048,0.06365519,0.06365519,0.06365519,0.06365519,0.06365519,0.10435204,0.10435204,0.10435204,0.10435204,0.10435204,0.16257354,0.16257354,0.16257354,0.16257354,0.16257354,0.24146655,0.24146655,0.24146655,0.24146655,0.24146655,0.34145804,0.34145804,0.34145804,0.34145804,0.34145804,0.4694793,0.4694793,0.4694793,0.4694793,0.4694793,0.60878082
1959,0.06807349,0.01140036,0.01140036,0.01140036,0.01140036,0.00168189,0.00168189,0.00168189,0.00168189,0.00168189,0.00105004,0.00105004,0.00105004,0.00105004,0.00105004,0.00139247,0.00139247,0.00139247,0.00139247,0.00139247,0.00172423,0.00172423,0.00172423,0.00172423,0.00172423,0.00208477,0.00208477,0.00208477,0.00208477,0.00208477,0.00262927,0.00262927,0.00262927,0.00262927,0.00262927,0.00346571,0.00346571,0.00346571,0.00346571,0.00346571,0.00462567,0.00462567,0.00462567,0.00462567,0.00462567,0.00618146,0.00618146,0.00618146,0.00618146,0.00618146,0.00884717,0.00884717,0.00884717,0.00884717,0.00884717,0.01281519,0.01281519,0.01281519,0.01281519,0.01281519,0.02165146,0.02165146,0.02165146,0.02165146,0.02165146,0.03658048,0.03658048,0.03658048,0.03658048,0.03658048,0.06365519,0.06365519,0.06365519,0.06365519,0.06365519,0.10435204,0.10435204,0.10435204,0.10435204,0.10435204,0.16257354,0.16257354,0.16257354,0.16257354,0.16257354,0.24146655,0.24146655,0.24146655,0.24146655,0.24146655,0.34145804,0.34145804,0.34145804,0.34145804,0.34145804,0.4694793,0.4694793,0.4694793,0.4694793,0.4694793,0.60878082
