Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.09832389,0.01222014,0.01222014,0.01222014,0.01222014,0.00167087,0.00167087,0.00167087,0.00167087,0.00167087,0.00102859,0.00102859,0.00102859,0.00102859,0.00102859,0.00153509,0.00153509,0.00153509,0.00153509,0.00153509,0.00233717,0.00233717,0.00233717,0.00233717,0.00233717,0.00262343,0.00262343,0.00262343,0.00262343,0.00262343,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.00360195,0.00360195,0.00360195,0.00360195,0.00360195,0.00462959,0.00462959,0.00462959,0.00462959,0.00462959,0.00625591,0.00625591,0.00625591,0.00625591,0.00625591,0.00871565,0.00871565,0.00871565,0.00871565,0.00871565,0.01283315,0.01283315,0.01283315,0.01283315,0.01283315,0.02006535,0.02006535,0.02006535,0.02006535,0.02006535,0.03117316,0.03117316,0.03117316,0.03117316,0.03117316,0.05494395,0.05494395,0.05494395,0.05494395,0.05494395,0.09086911,0.09086911,0.09086911,0.09086911,0.09086911,0.13619479,0.13619479,0.13619479,0.13619479,0.13619479,0.21105338,0.21105338,0.21105338,0.21105338,0.21105338,0.29537926,0.29537926,0.29537926,0.29537926,0.29537926,0.38379317,0.38379317,0.38379317,0.38379317,0.38379317,0.49884318
1951,0.09832389,0.01222014,0.01222014,0.01222014,0.01222014,0.00167087,0.00167087,0.00167087,0.00167087,0.00167087,0.00102859,0.00102859,0.00102859,0.00102859,0.00102859,0.00153509,0.00153509,0.00153509,0.00153509,0.00153509,0.00233717,0.00233717,0.00233717,0.00233717,0.00233717,0.00262343,0.00262343,0.00262343,0.00262343,0.00262343,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.00360195,0.00360195,0.00360195,0.00360195,0.00360195,0.00462959,0.00462959,0.00462959,0.00462959,0.00462959,0.00625591,0.00625591,0.00625591,0.00625591,0.00625591,0.00871565,0.00871565,0.00871565,0.00871565,0.00871565,0.01283315,0.01283315,0.01283315,0.01283315,0.01283315,0.02006535,0.02006535,0.02006535,0.02006535,0.02006535,0.03117316,0.03117316,0.03117316,0.03117316,0.03117316,0.05494395,0.05494395,0.05494395,0.05494395,0.05494395,0.09086911,0.09086911,0.09086911,0.09086911,0.09086911,0.13619479,0.13619479,0.13619479,0.13619479,0.13619479,0.21105338,0.21105338,0.21105338,0.21105338,0.21105338,0.29537926,0.29537926,0.29537926,0.29537926,0.29537926,0.38379317,0.38379317,0.38379317,0.38379317,0.38379317,0.49884318
1952,0.09832389,0.01222014,0.01222014,0.01222014,0.01222014,0.00167087,0.00167087,0.00167087,0.00167087,0.00167087,0.00102859,0.00102859,0.00102859,0.00102859,0.00102859,0.00153509,0.00153509,0.00153509,0.00153509,0.00153509,0.00233717,0.00233717,0.00233717,0.00233717,0.00233717,0.00262343,0.00262343,0.00262343,0.00262343,0.00262343,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.00360195,0.00360195,0.00360195,0.00360195,0.00360195,0.00462959,0.00462959,0.00462959,0.00462959,0.00462959,0.00625591,0.00625591,0.00625591,0.00625591,0.00625591,0.00871565,0.00871565,0.00871565,0.00871565,0.00871565,0.01283315,0.01283315,0.01283315,0.01283315,0.01283315,0.02006535,0.02006535,0.02006535,0.02006535,0.02006535,0.03117316,0.03117316,0.03117316,0.03117316,0.03117316,0.05494395,0.05494395,0.05494395,0.05494395,0.05494395,0.09086911,0.09086911,0.09086911,0.09086911,0.09086911,0.13619479,0.13619479,0.13619479,0.13619479,0.13619479,0.21105338,0.21105338,0.21105338,0.21105338,0.21105338,0.29537926,0.29537926,0.29537926,0.29537926,0.29537926,0.38379317,0.38379317,0.38379317,0.38379317,0.38379317,0.49884318
1953,0.09832389,0.01222014,0.01222014,0.01222014,0.01222014,0.00167087,0.00167087,0.00167087,0.00167087,0.00167087,0.00102859,0.00102859,0.00102859,0.00102859,0.00102859,0.00153509,0.00153509,0.00153509,0.00153509,0.00153509,0.00233717,0.00233717,0.00233717,0.00233717,0.00233717,0.00262343,0.00262343,0.00262343,0.00262343,0.00262343,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.00360195,0.00360195,0.00360195,0.00360195,0.00360195,0.00462959,0.00462959,0.00462959,0.00462959,0.00462959,0.00625591,0.00625591,0.00625591,0.00625591,0.00625591,0.00871565,0.00871565,0.00871565,0.00871565,0.00871565,0.01283315,0.01283315,0.01283315,0.01283315,0.01283315,0.02006535,0.02006535,0.02006535,0.02006535,0.02006535,0.03117316,0.03117316,0.03117316,0.03117316,0.03117316,0.05494395,0.05494395,0.05494395,0.05494395,0.05494395,0.09086911,0.09086911,0.09086911,0.09086911,0.09086911,0.13619479,0.13619479,0.13619479,0.13619479,0.13619479,0.21105338,0.21105338,0.21105338,0.21105338,0.21105338,0.29537926,0.29537926,0.29537926,0.29537926,0.29537926,0.38379317,0.38379317,0.38379317,0.38379317,0.38379317,0.49884318
1954,0.09832389,0.01222014,0.01222014,0.01222014,0.01222014,0.00167087,0.00167087,0.00167087,0.00167087,0.00167087,0.00102859,0.00102859,0.00102859,0.00102859,0.00102859,0.00153509,0.00153509,0.00153509,0.00153509,0.00153509,0.00233717,0.00233717,0.00233717,0.00233717,0.00233717,0.00262343,0.00262343,0.00262343,0.00262343,0.00262343,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.0029065000000000002,0.00360195,0.00360195,0.00360195,0.00360195,0.00360195,0.00462959,0.00462959,0.00462959,0.00462959,0.00462959,0.00625591,0.00625591,0.00625591,0.00625591,0.00625591,0.00871565,0.00871565,0.00871565,0.00871565,0.00871565,0.01283315,0.01283315,0.01283315,0.01283315,0.01283315,0.02006535,0.02006535,0.02006535,0.02006535,0.02006535,0.03117316,0.03117316,0.03117316,0.03117316,0.03117316,0.05494395,0.05494395,0.05494395,0.05494395,0.05494395,0.09086911,0.09086911,0.09086911,0.09086911,0.09086911,0.13619479,0.13619479,0.13619479,0.13619479,0.13619479,0.21105338,0.21105338,0.21105338,0.21105338,0.21105338,0.29537926,0.29537926,0.29537926,0.29537926,0.29537926,0.38379317,0.38379317,0.38379317,0.38379317,0.38379317,0.49884318
1955,0.09329479,0.00946686,0.00946686,0.00946686,0.00946686,0.00129987,0.00129987,0.00129987,0.00129987,0.00129987,0.00078177,0.00078177,0.00078177,0.00078177,0.00078177,0.00105771,0.00105771,0.00105771,0.00105771,0.00105771,0.00147294,0.00147294,0.00147294,0.00147294,0.00147294,0.00186203,0.00186203,0.00186203,0.00186203,0.00186203,0.00225428,0.00225428,0.00225428,0.00225428,0.00225428,0.00294346,0.00294346,0.00294346,0.00294346,0.00294346,0.00395594,0.00395594,0.00395594,0.00395594,0.00395594,0.00554636,0.00554636,0.00554636,0.00554636,0.00554636,0.00816957,0.00816957,0.00816957,0.00816957,0.00816957,0.01226256,0.01226256,0.01226256,0.01226256,0.01226256,0.01919962,0.01919962,0.01919962,0.01919962,0.01919962,0.03110518,0.03110518,0.03110518,0.03110518,0.03110518,0.05268691,0.05268691,0.05268691,0.05268691,0.05268691,0.09253794,0.09253794,0.09253794,0.09253794,0.09253794,0.13885888,0.13885888,0.13885888,0.13885888,0.13885888,0.21895262,0.21895262,0.21895262,0.21895262,0.21895262,0.31504694,0.31504694,0.31504694,0.31504694,0.31504694,0.43492121,0.43492121,0.43492121,0.43492121,0.43492121,0.56701679
1956,0.09329479,0.00946686,0.00946686,0.00946686,0.00946686,0.00129987,0.00129987,0.00129987,0.00129987,0.00129987,0.00078177,0.00078177,0.00078177,0.00078177,0.00078177,0.00105771,0.00105771,0.00105771,0.00105771,0.00105771,0.00147294,0.00147294,0.00147294,0.00147294,0.00147294,0.00186203,0.00186203,0.00186203,0.00186203,0.00186203,0.00225428,0.00225428,0.00225428,0.00225428,0.00225428,0.00294346,0.00294346,0.00294346,0.00294346,0.00294346,0.00395594,0.00395594,0.00395594,0.00395594,0.00395594,0.00554636,0.00554636,0.00554636,0.00554636,0.00554636,0.00816957,0.00816957,0.00816957,0.00816957,0.00816957,0.01226256,0.01226256,0.01226256,0.01226256,0.01226256,0.01919962,0.01919962,0.01919962,0.01919962,0.01919962,0.03110518,0.03110518,0.03110518,0.03110518,0.03110518,0.05268691,0.05268691,0.05268691,0.05268691,0.05268691,0.09253794,0.09253794,0.09253794,0.09253794,0.09253794,0.13885888,0.13885888,0.13885888,0.13885888,0.13885888,0.21895262,0.21895262,0.21895262,0.21895262,0.21895262,0.31504694,0.31504694,0.31504694,0.31504694,0.31504694,0.43492121,0.43492121,0.43492121,0.43492121,0.43492121,0.56701679
1957,0.09329479,0.00946686,0.00946686,0.00946686,0.00946686,0.00129987,0.00129987,0.00129987,0.00129987,0.00129987,0.00078177,0.00078177,0.00078177,0.00078177,0.00078177,0.00105771,0.00105771,0.00105771,0.00105771,0.00105771,0.00147294,0.00147294,0.00147294,0.00147294,0.00147294,0.00186203,0.00186203,0.00186203,0.00186203,0.00186203,0.00225428,0.00225428,0.00225428,0.00225428,0.00225428,0.00294346,0.00294346,0.00294346,0.00294346,0.00294346,0.00395594,0.00395594,0.00395594,0.00395594,0.00395594,0.00554636,0.00554636,0.00554636,0.00554636,0.00554636,0.00816957,0.00816957,0.00816957,0.00816957,0.00816957,0.01226256,0.01226256,0.01226256,0.01226256,0.01226256,0.01919962,0.01919962,0.01919962,0.01919962,0.01919962,0.03110518,0.03110518,0.03110518,0.03110518,0.03110518,0.05268691,0.05268691,0.05268691,0.05268691,0.05268691,0.09253794,0.09253794,0.09253794,0.09253794,0.09253794,0.13885888,0.13885888,0.13885888,0.13885888,0.13885888,0.21895262,0.21895262,0.21895262,0.21895262,0.21895262,0.31504694,0.31504694,0.31504694,0.31504694,0.31504694,0.43492121,0.43492121,0.43492121,0.43492121,0.43492121,0.56701679
1958,0.09329479,0.00946686,0.00946686,0.00946686,0.00946686,0.00129987,0.00129987,0.00129987,0.00129987,0.00129987,0.00078177,0.00078177,0.00078177,0.00078177,0.00078177,0.00105771,0.00105771,0.00105771,0.00105771,0.00105771,0.00147294,0.00147294,0.00147294,0.00147294,0.00147294,0.00186203,0.00186203,0.00186203,0.00186203,0.00186203,0.00225428,0.00225428,0.00225428,0.00225428,0.00225428,0.00294346,0.00294346,0.00294346,0.00294346,0.00294346,0.00395594,0.00395594,0.00395594,0.00395594,0.00395594,0.00554636,0.00554636,0.00554636,0.00554636,0.00554636,0.00816957,0.00816957,0.00816957,0.00816957,0.00816957,0.01226256,0.01226256,0.01226256,0.01226256,0.01226256,0.01919962,0.01919962,0.01919962,0.01919962,0.01919962,0.03110518,0.03110518,0.03110518,0.03110518,0.03110518,0.05268691,0.05268691,0.05268691,0.05268691,0.05268691,0.09253794,0.09253794,0.09253794,0.09253794,0.09253794,0.13885888,0.13885888,0.13885888,0.13885888,0.13885888,0.21895262,0.21895262,0.21895262,0.21895262,0.21895262,0.31504694,0.31504694,0.31504694,0.31504694,0.31504694,0.43492121,0.43492121,0.43492121,0.43492121,0.43492121,0.56701679
1959,0.09329479,0.00946686,0.00946686,0.00946686,0.00946686,0.00129987,0.00129987,0.00129987,0.00129987,0.00129987,0.00078177,0.00078177,0.00078177,0.00078177,0.00078177,0.00105771,0.00105771,0.00105771,0.00105771,0.00105771,0.00147294,0.00147294,0.00147294,0.00147294,0.00147294,0.00186203,0.00186203,0.00186203,0.00186203,0.00186203,0.00225428,0.00225428,0.00225428,0.00225428,0.00225428,0.00294346,0.00294346,0.00294346,0.00294346,0.00294346,0.00395594,0.00395594,0.00395594,0.00395594,0.00395594,0.00554636,0.00554636,0.00554636,0.00554636,0.00554636,0.00816957,0.00816957,0.00816957,0.00816957,0.00816957,0.01226256,0.01226256,0.01226256,0.01226256,0.01226256,0.01919962,0.01919962,0.01919962,0.01919962,0.01919962,0.03110518,0.03110518,0.03110518,0.03110518,0.03110518,0.05268691,0.05268691,0.05268691,0.05268691,0.05268691,0.09253794,0.09253794,0.09253794,0.09253794,0.09253794,0.13885888,0.13885888,0.13885888,0.13885888,0.13885888,0.21895262,0.21895262,0.21895262,0.21895262,0.21895262,0.31504694,0.31504694,0.31504694,0.31504694,0.31504694,0.43492121,0.43492121,0.43492121,0.43492121,0.43492121,0.56701679
