Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,198169.0,186774.0,177559.00000000003,170321.0,164857.0,160962.00000000003,158437.0,157076.0,156677.00000000003,157037.99999999997,158079.0,159724.0,161144.0,161888.0,162127.0,162524.0,162991.0,162744.0,161470.0,159441.0,157189.0,154540.0,151881.0,149433.0,146958.0,144397.00000000003,142247.0,138262.0,131471.0,123195.0,115247.99999999999,106709.0,101877.00000000001,102897.0,107561.0,111705.0,116389.0,118726.0,116932.0,112515.0,108681.0,104687.99999999999,101440.0,99679.0,98770.0,97480.0,96222.00000000001,94070.0,90495.0,86080.0,81844.0,77461.0,74044.0,72210.0,71382.0,70387.0,69488.99999999999,68204.0,66180.0,63693.99999999999,61336.99999999999,58955.0,56724.0,54782.0,52985.0,51107.0,49256.0,47042.0,44266.99999999999,41151.0,38094.0,34999.0,32161.0,29761.999999999996,27658.0,25540.0,23488.000000000004,21412.0,19240.0,17047.0,14978.0,13011.0,11183.0,9530.0,8038.0,6642.0,5337.999999999999,4234.0,3369.0,2694.0,2040.0,1571.0,1288.0,983.0,653.0,463.99999999999994,395.0,316.0,228.0,134.0,241.00000000000003
1951,181815.99999999997,193097.99999999997,183479.0,175459.0,168920.0,163746.0,159748.0,156736.0,154952.0,154420.0,154810.0,155692.99999999997,157070.0,158237.0,158769.0,158830.0,159043.99999999997,159329.0,158965.0,157667.0,155685.0,153492.00000000003,150924.0,148377.0,146071.0,143764.0,141380.0,139406.0,135629.0,129094.0,121090.0,113413.0,105161.0,100495.0,101497.00000000001,106024.0,110040.0,114569.0,116836.0,115120.0,110871.00000000001,107176.0,103324.0,100165.0,98405.0,97440.0,96104.0,94792.99999999999,92611.0,89047.00000000001,84667.99999999999,80455.0,76095.0,72680.0,70813.0,69931.0,68883.0,67928.0,66595.0,64541.0,62036.0,59656.00000000001,57253.0,54986.99999999999,52988.0,51122.0,49184.0,47277.0,45016.00000000001,42208.99999999999,39073.0,36000.0,32891.99999999999,30073.0,27740.0,25734.0,23719.0,21785.0,19801.0,17675.0,15500.0,13462.0,11524.0,9766.0,8249.0,6931.0,5687.0,4559.0,3620.0,2868.0000000000005,2261.0,1700.0,1313.0000000000002,1075.0,818.0,541.0,380.0,303.0,218.99999999999997,129.0,234.0
1952,173743.0,175624.00000000003,189099.00000000003,181195.0,174319.00000000003,168440.99999999997,163526.0,159402.00000000003,155892.0,153677.00000000003,153010.0,153431.0,154161.0,155281.0,156201.0,156524.0,156408.0,156442.0,156546.0,156063.0,154736.0,152787.0,150643.0,148141.0,145692.0,143516.0,141362.0,139141.0,137330.0,133741.0,127423.99999999999,119650.0,112198.0,104187.00000000001,99662.0,100649.0,105065.0,108976.0,113376.0,115585.0,113936.0,109830.0,106253.99999999999,102522.0,99435.0,97664.0,96637.99999999999,95249.0,93877.99999999999,91655.0,88083.0,83716.00000000001,79505.0,75143.99999999999,71711.0,69803.0,68861.0,67755.0,66738.0,65348.99999999999,63255.0,60716.0,58300.0,55861.99999999999,53551.0,51485.0,49540.0,47531.00000000001,45558.0,43239.0,40385.0,37211.99999999999,34107.0,30968.000000000004,28154.0,25875.999999999996,23955.0,22031.999999999996,20205.0,18303.0,16210.0,14043.0,12025.0,10104.0,8406.0,7016.0,5865.0,4766.999999999999,3805.0,3029.0,2384.0,1841.9999999999998,1370.0,1065.0,869.0000000000001,657.9999999999999,432.00000000000006,291.00000000000006,210.0,123.00000000000001,225.0
1953,170949.0,175299.0,177674.0,185375.0,179175.0,173437.0,168212.00000000003,163551.00000000003,159293.99999999997,155279.0,152628.0,151825.0,152278.0,152856.0,153718.0,154392.0,154507.0,154213.0,154067.0,153991.0,153388.0,152027.00000000003,150112.0,148012.0,145573.99999999997,143219.0,141170.0,139166.0,137103.99999999997,135453.0,132047.0,125940.0,118384.0,111147.0,103367.0,98975.0,99950.0,104260.0,108072.0,112348.99999999999,114502.00000000001,112917.99999999999,108949.0,105487.00000000001,101870.0,98850.0,97067.0,95977.0,94532.99999999999,93101.0,90831.0,87245.0,82884.0,78668.0,74300.0,70846.0,68892.0,67890.0,66723.0,65642.0,64197.0,62058.0,59482.0,57027.0,54553.00000000001,52190.0,50053.99999999999,48027.0,45943.00000000001,43902.0,41521.0,38615.0,35400.99999999999,32260.999999999996,29086.0,26272.0,24045.0,22208.000000000004,20373.0,18652.0,16827.0,14765.0,12603.0,10602.0,8696.0,7056.0,5789.0,4806.0,3851.0000000000005,3056.0,2440.0,1903.0,1423.0,1041.0,816.0,662.9999999999999,499.0,322.0,201.0,118.00000000000001,214.0
1954,171416.0,176291.0,179063.0,180000.0,181660.99999999997,177171.0,172572.99999999997,168000.99999999997,163595.0,159205.0,154681.0,151594.0,150654.0,151138.0,151564.0,152168.99999999997,152596.0,152502.0,152030.0,151702.0,151444.0,150721.0,149328.0,147445.0,145389.0,143015.0,140754.0,138831.00000000003,136978.99999999997,135076.0,133587.00000000003,130363.0,124465.0,117127.00000000001,110106.00000000001,102555.0,98297.99999999999,99259.0,103465.0,107176.0,111330.0,113428.0,111908.99999999999,108077.99999999999,104731.00000000001,101227.0,98274.0,96479.0,95326.00000000001,93825.0,92331.0,90014.0,86415.0,82059.0,77838.00000000001,73463.00000000001,69985.0,67986.0,66923.0,65697.0,64551.0,63048.0,60864.0,58251.00000000001,55756.0,53243.0,50831.0,48623.99999999999,46516.00000000001,44355.0,42246.0,39802.0,36843.0,33588.0,30412.0,27201.0,24386.999999999996,22210.0,20457.0,18711.0,17094.0,15349.0,13317.0,11160.0,9176.0,7284.0,5702.000000000001,4561.0,3743.0000000000005,2933.0000000000005,2305.0,1850.0,1420.0,1004.9999999999999,712.0000000000001,568.0,457.99999999999994,338.99999999999994,213.0,110.0,201.0
1955,173753.0,177734.0,179918.0,180529.00000000003,179790.0,177922.0,175149.0,171695.0,167780.0,163629.0,159105.0,154072.0,150547.0,149469.0,149985.0,150257.99999999997,150603.99999999997,150784.0,150480.0,149829.0,149320.0,148880.0,148036.0,146609.0,144759.0,142749.0,140438.0,138273.0,136476.0,134775.0,133034.0,131706.00000000003,128664.99999999999,122978.0,115857.99999999999,109054.0,101734.0,97612.00000000001,98560.0,102660.0,106272.0,110302.0,112344.0,110891.0,107198.0,103964.0,100576.00000000001,97691.0,95883.0,94667.0,93109.0,91552.0,89189.0,85577.00000000001,81226.0,77001.0,72617.0,69118.0,67073.00000000001,65949.0,64661.99999999999,63452.0,61891.00000000001,59663.00000000001,57013.00000000001,54477.0,51927.0,49464.0,47185.0,44995.0,42758.99999999999,40580.99999999999,38076.0,35063.0,31767.0,28554.000000000004,25307.0,22494.0,20368.0,18699.0,17042.0,15530.999999999998,13864.0,11864.0,9710.0,7742.999999999999,5867.999999999999,4343.999999999999,3328.0000000000005,2678.0,2012.0,1551.0,1258.0,936.0,585.0,382.0,319.0,251.0,179.0,104.00000000000001,185.0
1956,177084.0,173488.0,176500.0,178188.0,178687.0,178129.00000000003,176748.0,174775.0,171852.99999999997,167922.0,163410.0,158672.0,153482.0,149785.0,148539.0,148887.0,148977.0,149137.0,149130.0,148642.0,147821.0,147149.0,146559.0,145617.00000000003,144167.0,142349.0,140385.0,138137.0,136064.0,134391.0,132838.0,131251.0,130072.99999999999,127210.0,121735.0,114839.0,108255.0,101170.0,97171.0,98073.0,102018.99999999999,105482.99999999999,109340.0,111288.0,109878.99999999999,106312.99999999999,103180.0,99893.99999999999,97062.00000000001,95223.99999999999,93923.99999999999,92292.0,90652.99999999999,88228.0,84592.00000000001,80238.99999999999,75999.0,71602.0,68064.0,65943.0,64720.0,63335.0,62023.99999999999,60375.0,58086.99999999999,55391.00000000001,52815.0,50238.0,47716.0,45321.99999999999,42989.0,40625.0,38305.0,35759.0,32860.0,29771.0,26761.0,23748.0,21076.0,18935.0,17160.999999999996,15425.999999999998,13827.0,12165.999999999998,10320.0,8417.0,6651.0,5012.0,3728.9999999999995,2845.0,2250.0,1676.0,1296.0,1048.0,778.0,483.0,302.0,237.0,168.0,96.0,168.0
1957,180523.0,180301.0,172950.0,174985.0,176174.0,176558.0,176185.99999999997,175294.0,174125.0,171743.0,167802.00000000003,162933.0,157989.0,152648.0,148786.0,147373.0,147552.00000000003,147460.0,147431.0,147237.0,146567.0,145575.0,144743.0,144002.0,142964.0,141492.00000000003,139710.0,137795.0,135612.0,133636.0,132090.0,130687.99999999999,129257.0,128233.0,125552.0,120297.99999999999,113639.0,107283.99999999999,100445.0,96577.99999999999,97431.0,101216.00000000001,104527.0,108207.00000000001,110056.0,108692.0,105259.0,102232.99999999999,99054.0,96279.0,94414.0,93032.00000000001,91327.99999999999,89610.0,87127.00000000001,83472.00000000001,79122.0,74877.0,70472.0,66901.00000000001,64706.99999999999,63386.0,61907.0,60495.0,58762.0,56416.00000000001,53680.0,51065.0,48468.0,45890.0,43383.0,40912.0,38421.0,35964.0,33381.0,30600.0,27724.0,24921.999999999996,22147.0,19622.0,17470.0,15592.0,13780.999999999998,12097.000000000002,10443.0,8757.0,7106.0,5546.0,4148.0,3106.9999999999995,2358.0,1818.0,1335.9999999999998,1036.0,837.0000000000001,618.0,381.0,223.99999999999997,158.0,89.00000000000001,152.0
1958,183995.99999999997,181242.00000000003,178912.0,172260.0,173317.0,174004.00000000003,174275.0,174085.0,173684.00000000003,173320.0,171480.0,167533.0,162313.0,157167.0,151681.0,147655.0,146078.0,146088.0,145813.0,145595.0,145215.0,144362.0,143197.99999999997,142210.0,141317.99999999997,140183.0,138692.0,136947.0,135083.0,132968.0,131091.0,129673.0,128422.0,127149.0,126279.0,123782.00000000001,118753.99999999999,112337.0,106219.0,99632.0,95898.0,96702.00000000001,100324.0,103480.0,106976.0,108727.0,107408.99999999999,104112.00000000001,101194.0,98126.0,95412.0,93521.0,92058.0,90282.99999999999,88488.0,85948.0,82277.99999999999,77936.0,73688.0,69278.0,65679.0,63415.0,61997.0,60424.0,58913.00000000001,57096.0,54696.00000000001,51922.0,49270.0,46653.0,44022.0,41405.0,38797.0,36183.0,33592.0,30974.0,28311.0,25651.0,23060.0,20526.0,18149.0,15988.0,14009.0,12123.0,10357.000000000002,8712.0,7186.0,5789.0,4435.0,3281.0,2481.9999999999995,1869.0,1383.0,994.0000000000001,777.0,624.0,457.99999999999994,278.99999999999994,149.0,81.99999999999999,135.0
1959,187666.0,182520.0,178533.0,175548.0,171487.0,171565.99999999997,171752.0,171910.0,171905.0,171994.00000000003,172434.00000000003,171135.0,167184.00000000003,161616.0,156270.0,150641.0,146455.0,144713.0,144553.0,144096.0,143691.0,143124.0,142090.0,140757.0,139610.0,138569.0,137340.0,135828.0,134122.0,132308.0,130263.0,128484.00000000001,127195.0,126097.00000000001,124981.00000000001,124266.0,121955.0,117155.0,110982.99999999999,105102.0,98772.0,95172.99999999999,95928.0,99383.0,102384.0,105696.0,107345.0,106076.00000000001,102916.0,100107.99999999999,97152.0,94499.0,92583.0,91041.0,89195.0,87323.0,84729.0,81046.0,76714.0,72464.0,68054.0,64426.0,62092.0,60578.99999999999,58912.0,57303.00000000001,55405.0,52950.0,50138.99999999999,47453.0,44818.00000000001,42135.0,39409.0,36665.0,33930.0,31205.0,28554.000000000004,26013.0,23570.0,21189.0,18896.0,16670.0,14502.0,12421.0,10462.0,8613.0,6978.0,5612.0,4471.0,3324.0,2411.0,1857.0,1380.0,949.0000000000001,653.0,516.0,411.00000000000006,297.0,176.00000000000003,77.0,121.0
