Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.17753117,0.02937415,0.02937415,0.02937415,0.02937415,0.00690746,0.00690746,0.00690746,0.00690746,0.00690746,0.00391714,0.00391714,0.00391714,0.00391714,0.00391714,0.0052031,0.0052031,0.0052031,0.0052031,0.0052031,0.0074064,0.0074064,0.0074064,0.0074064,0.0074064,0.0082779,0.0082779,0.0082779,0.0082779,0.0082779,0.00954434,0.00954434,0.00954434,0.00954434,0.00954434,0.01117735,0.01117735,0.01117735,0.01117735,0.01117735,0.01335697,0.01335697,0.01335697,0.01335697,0.01335697,0.01550222,0.01550222,0.01550222,0.01550222,0.01550222,0.01929189,0.01929189,0.01929189,0.01929189,0.01929189,0.02429249,0.02429249,0.02429249,0.02429249,0.02429249,0.04507574,0.04507574,0.04507574,0.04507574,0.04507574,0.08429491,0.08429491,0.08429491,0.08429491,0.08429491,0.14171224,0.14171224,0.14171224,0.14171224,0.14171224,0.20021718,0.20021718,0.20021718,0.20021718,0.20021718,0.28499085,0.28499085,0.28499085,0.28499085,0.28499085,0.35535226,0.35535226,0.35535226,0.35535226,0.35535226,0.47216502,0.47216502,0.47216502,0.47216502,0.47216502,0.59032004,0.59032004,0.59032004,0.59032004,0.59032004,0.73123442
1951,0.17753117,0.02937415,0.02937415,0.02937415,0.02937415,0.00690746,0.00690746,0.00690746,0.00690746,0.00690746,0.00391714,0.00391714,0.00391714,0.00391714,0.00391714,0.0052031,0.0052031,0.0052031,0.0052031,0.0052031,0.0074064,0.0074064,0.0074064,0.0074064,0.0074064,0.0082779,0.0082779,0.0082779,0.0082779,0.0082779,0.00954434,0.00954434,0.00954434,0.00954434,0.00954434,0.01117735,0.01117735,0.01117735,0.01117735,0.01117735,0.01335697,0.01335697,0.01335697,0.01335697,0.01335697,0.01550222,0.01550222,0.01550222,0.01550222,0.01550222,0.01929189,0.01929189,0.01929189,0.01929189,0.01929189,0.02429249,0.02429249,0.02429249,0.02429249,0.02429249,0.04507574,0.04507574,0.04507574,0.04507574,0.04507574,0.08429491,0.08429491,0.08429491,0.08429491,0.08429491,0.14171224,0.14171224,0.14171224,0.14171224,0.14171224,0.20021718,0.20021718,0.20021718,0.20021718,0.20021718,0.28499085,0.28499085,0.28499085,0.28499085,0.28499085,0.35535226,0.35535226,0.35535226,0.35535226,0.35535226,0.47216502,0.47216502,0.47216502,0.47216502,0.47216502,0.59032004,0.59032004,0.59032004,0.59032004,0.59032004,0.73123442
1952,0.17753117,0.02937415,0.02937415,0.02937415,0.02937415,0.00690746,0.00690746,0.00690746,0.00690746,0.00690746,0.00391714,0.00391714,0.00391714,0.00391714,0.00391714,0.0052031,0.0052031,0.0052031,0.0052031,0.0052031,0.0074064,0.0074064,0.0074064,0.0074064,0.0074064,0.0082779,0.0082779,0.0082779,0.0082779,0.0082779,0.00954434,0.00954434,0.00954434,0.00954434,0.00954434,0.01117735,0.01117735,0.01117735,0.01117735,0.01117735,0.01335697,0.01335697,0.01335697,0.01335697,0.01335697,0.01550222,0.01550222,0.01550222,0.01550222,0.01550222,0.01929189,0.01929189,0.01929189,0.01929189,0.01929189,0.02429249,0.02429249,0.02429249,0.02429249,0.02429249,0.04507574,0.04507574,0.04507574,0.04507574,0.04507574,0.08429491,0.08429491,0.08429491,0.08429491,0.08429491,0.14171224,0.14171224,0.14171224,0.14171224,0.14171224,0.20021718,0.20021718,0.20021718,0.20021718,0.20021718,0.28499085,0.28499085,0.28499085,0.28499085,0.28499085,0.35535226,0.35535226,0.35535226,0.35535226,0.35535226,0.47216502,0.47216502,0.47216502,0.47216502,0.47216502,0.59032004,0.59032004,0.59032004,0.59032004,0.59032004,0.73123442
1953,0.17753117,0.02937415,0.02937415,0.02937415,0.02937415,0.00690746,0.00690746,0.00690746,0.00690746,0.00690746,0.00391714,0.00391714,0.00391714,0.00391714,0.00391714,0.0052031,0.0052031,0.0052031,0.0052031,0.0052031,0.0074064,0.0074064,0.0074064,0.0074064,0.0074064,0.0082779,0.0082779,0.0082779,0.0082779,0.0082779,0.00954434,0.00954434,0.00954434,0.00954434,0.00954434,0.01117735,0.01117735,0.01117735,0.01117735,0.01117735,0.01335697,0.01335697,0.01335697,0.01335697,0.01335697,0.01550222,0.01550222,0.01550222,0.01550222,0.01550222,0.01929189,0.01929189,0.01929189,0.01929189,0.01929189,0.02429249,0.02429249,0.02429249,0.02429249,0.02429249,0.04507574,0.04507574,0.04507574,0.04507574,0.04507574,0.08429491,0.08429491,0.08429491,0.08429491,0.08429491,0.14171224,0.14171224,0.14171224,0.14171224,0.14171224,0.20021718,0.20021718,0.20021718,0.20021718,0.20021718,0.28499085,0.28499085,0.28499085,0.28499085,0.28499085,0.35535226,0.35535226,0.35535226,0.35535226,0.35535226,0.47216502,0.47216502,0.47216502,0.47216502,0.47216502,0.59032004,0.59032004,0.59032004,0.59032004,0.59032004,0.73123442
1954,0.17753117,0.02937415,0.02937415,0.02937415,0.02937415,0.00690746,0.00690746,0.00690746,0.00690746,0.00690746,0.00391714,0.00391714,0.00391714,0.00391714,0.00391714,0.0052031,0.0052031,0.0052031,0.0052031,0.0052031,0.0074064,0.0074064,0.0074064,0.0074064,0.0074064,0.0082779,0.0082779,0.0082779,0.0082779,0.0082779,0.00954434,0.00954434,0.00954434,0.00954434,0.00954434,0.01117735,0.01117735,0.01117735,0.01117735,0.01117735,0.01335697,0.01335697,0.01335697,0.01335697,0.01335697,0.01550222,0.01550222,0.01550222,0.01550222,0.01550222,0.01929189,0.01929189,0.01929189,0.01929189,0.01929189,0.02429249,0.02429249,0.02429249,0.02429249,0.02429249,0.04507574,0.04507574,0.04507574,0.04507574,0.04507574,0.08429491,0.08429491,0.08429491,0.08429491,0.08429491,0.14171224,0.14171224,0.14171224,0.14171224,0.14171224,0.20021718,0.20021718,0.20021718,0.20021718,0.20021718,0.28499085,0.28499085,0.28499085,0.28499085,0.28499085,0.35535226,0.35535226,0.35535226,0.35535226,0.35535226,0.47216502,0.47216502,0.47216502,0.47216502,0.47216502,0.59032004,0.59032004,0.59032004,0.59032004,0.59032004,0.73123442
1955,0.10247969,0.01098619,0.01098619,0.01098619,0.01098619,0.00325151,0.00325151,0.00325151,0.00325151,0.00325151,0.00211597,0.00211597,0.00211597,0.00211597,0.00211597,0.00323234,0.00323234,0.00323234,0.00323234,0.00323234,0.00454968,0.00454968,0.00454968,0.00454968,0.00454968,0.00495273,0.00495273,0.00495273,0.00495273,0.00495273,0.00577058,0.00577058,0.00577058,0.00577058,0.00577058,0.00709309,0.00709309,0.00709309,0.00709309,0.00709309,0.00893391,0.00893391,0.00893391,0.00893391,0.00893391,0.01141341,0.01141341,0.01141341,0.01141341,0.01141341,0.01539611,0.01539611,0.01539611,0.01539611,0.01539611,0.02071813,0.02071813,0.02071813,0.02071813,0.02071813,0.03881898,0.03881898,0.03881898,0.03881898,0.03881898,0.07245286,0.07245286,0.07245286,0.07245286,0.07245286,0.12129915,0.12129915,0.12129915,0.12129915,0.12129915,0.17682224,0.17682224,0.17682224,0.17682224,0.17682224,0.25549794,0.25549794,0.25549794,0.25549794,0.25549794,0.31755081,0.31755081,0.31755081,0.31755081,0.31755081,0.41018844,0.41018844,0.41018844,0.41018844,0.41018844,0.59040433,0.59040433,0.59040433,0.59040433,0.59040433,0.76305059
1956,0.10247969,0.01098619,0.01098619,0.01098619,0.01098619,0.00325151,0.00325151,0.00325151,0.00325151,0.00325151,0.00211597,0.00211597,0.00211597,0.00211597,0.00211597,0.00323234,0.00323234,0.00323234,0.00323234,0.00323234,0.00454968,0.00454968,0.00454968,0.00454968,0.00454968,0.00495273,0.00495273,0.00495273,0.00495273,0.00495273,0.00577058,0.00577058,0.00577058,0.00577058,0.00577058,0.00709309,0.00709309,0.00709309,0.00709309,0.00709309,0.00893391,0.00893391,0.00893391,0.00893391,0.00893391,0.01141341,0.01141341,0.01141341,0.01141341,0.01141341,0.01539611,0.01539611,0.01539611,0.01539611,0.01539611,0.02071813,0.02071813,0.02071813,0.02071813,0.02071813,0.03881898,0.03881898,0.03881898,0.03881898,0.03881898,0.07245286,0.07245286,0.07245286,0.07245286,0.07245286,0.12129915,0.12129915,0.12129915,0.12129915,0.12129915,0.17682224,0.17682224,0.17682224,0.17682224,0.17682224,0.25549794,0.25549794,0.25549794,0.25549794,0.25549794,0.31755081,0.31755081,0.31755081,0.31755081,0.31755081,0.41018844,0.41018844,0.41018844,0.41018844,0.41018844,0.59040433,0.59040433,0.59040433,0.59040433,0.59040433,0.76305059
1957,0.10247969,0.01098619,0.01098619,0.01098619,0.01098619,0.00325151,0.00325151,0.00325151,0.00325151,0.00325151,0.00211597,0.00211597,0.00211597,0.00211597,0.00211597,0.00323234,0.00323234,0.00323234,0.00323234,0.00323234,0.00454968,0.00454968,0.00454968,0.00454968,0.00454968,0.00495273,0.00495273,0.00495273,0.00495273,0.00495273,0.00577058,0.00577058,0.00577058,0.00577058,0.00577058,0.00709309,0.00709309,0.00709309,0.00709309,0.00709309,0.00893391,0.00893391,0.00893391,0.00893391,0.00893391,0.01141341,0.01141341,0.01141341,0.01141341,0.01141341,0.01539611,0.01539611,0.01539611,0.01539611,0.01539611,0.02071813,0.02071813,0.02071813,0.02071813,0.02071813,0.03881898,0.03881898,0.03881898,0.03881898,0.03881898,0.07245286,0.07245286,0.07245286,0.07245286,0.07245286,0.12129915,0.12129915,0.12129915,0.12129915,0.12129915,0.17682224,0.17682224,0.17682224,0.17682224,0.17682224,0.25549794,0.25549794,0.25549794,0.25549794,0.25549794,0.31755081,0.31755081,0.31755081,0.31755081,0.31755081,0.41018844,0.41018844,0.41018844,0.41018844,0.41018844,0.59040433,0.59040433,0.59040433,0.59040433,0.59040433,0.76305059
1958,0.10247969,0.01098619,0.01098619,0.01098619,0.01098619,0.00325151,0.00325151,0.00325151,0.00325151,0.00325151,0.00211597,0.00211597,0.00211597,0.00211597,0.00211597,0.00323234,0.00323234,0.00323234,0.00323234,0.00323234,0.00454968,0.00454968,0.00454968,0.00454968,0.00454968,0.00495273,0.00495273,0.00495273,0.00495273,0.00495273,0.00577058,0.00577058,0.00577058,0.00577058,0.00577058,0.00709309,0.00709309,0.00709309,0.00709309,0.00709309,0.00893391,0.00893391,0.00893391,0.00893391,0.00893391,0.01141341,0.01141341,0.01141341,0.01141341,0.01141341,0.01539611,0.01539611,0.01539611,0.01539611,0.01539611,0.02071813,0.02071813,0.02071813,0.02071813,0.02071813,0.03881898,0.03881898,0.03881898,0.03881898,0.03881898,0.07245286,0.07245286,0.07245286,0.07245286,0.07245286,0.12129915,0.12129915,0.12129915,0.12129915,0.12129915,0.17682224,0.17682224,0.17682224,0.17682224,0.17682224,0.25549794,0.25549794,0.25549794,0.25549794,0.25549794,0.31755081,0.31755081,0.31755081,0.31755081,0.31755081,0.41018844,0.41018844,0.41018844,0.41018844,0.41018844,0.59040433,0.59040433,0.59040433,0.59040433,0.59040433,0.76305059
1959,0.10247969,0.01098619,0.01098619,0.01098619,0.01098619,0.00325151,0.00325151,0.00325151,0.00325151,0.00325151,0.00211597,0.00211597,0.00211597,0.00211597,0.00211597,0.00323234,0.00323234,0.00323234,0.00323234,0.00323234,0.00454968,0.00454968,0.00454968,0.00454968,0.00454968,0.00495273,0.00495273,0.00495273,0.00495273,0.00495273,0.00577058,0.00577058,0.00577058,0.00577058,0.00577058,0.00709309,0.00709309,0.00709309,0.00709309,0.00709309,0.00893391,0.00893391,0.00893391,0.00893391,0.00893391,0.01141341,0.01141341,0.01141341,0.01141341,0.01141341,0.01539611,0.01539611,0.01539611,0.01539611,0.01539611,0.02071813,0.02071813,0.02071813,0.02071813,0.02071813,0.03881898,0.03881898,0.03881898,0.03881898,0.03881898,0.07245286,0.07245286,0.07245286,0.07245286,0.07245286,0.12129915,0.12129915,0.12129915,0.12129915,0.12129915,0.17682224,0.17682224,0.17682224,0.17682224,0.17682224,0.25549794,0.25549794,0.25549794,0.25549794,0.25549794,0.31755081,0.31755081,0.31755081,0.31755081,0.31755081,0.41018844,0.41018844,0.41018844,0.41018844,0.41018844,0.59040433,0.59040433,0.59040433,0.59040433,0.59040433,0.76305059
