Time,Births
1950,117866.0
1951,121153.0
1952,124703.0
1953,128330.0
1954,131933.0
1955,138059.0
1956,141523.0
1957,144842.0
1958,147997.0
1959,150971.0
1960,154654.0
1961,154919.0
1962,154876.0
1963,154867.0
1964,155315.0
1965,156553.0
1966,160663.0
1967,165883.0
1968,172050.0
1969,178921.0
1970,188193.0
1971,194816.0
1972,201899.0
1973,209459.0
1974,217535.0
1975,230195.0
1976,238715.0
1977,247878.0
1978,257553.0
1979,267561.0
1980,275902.0
1981,284770.0
1982,293575.0
1983,302829.0
1984,313201.0
1985,305087.0
1986,318678.0
1987,334016.0
1988,348239.0
1989,358334.0
1990,307452.0
1991,302728.0
1992,292914.0
1993,282705.0
1994,277674.0
1995,254627.0
1996,260025.0
1997,273302.0
1998,289809.0
1999,305130.0
2000,290914.0
2001,304396.0
2002,315260.0
2003,324940.0
2004,334977.0
2005,311211.0
2006,322300.0
2007,334239.0
2008,346630.0
2009,359050.0
2010,330509.0
2011,340552.0
2012,350457.0
2013,360152.0
2014,369549.0
2015,366213.0
2016,376197.0
2017,385771.0
2018,395132.0
2019,404610.0
2020,379202.0
2021,387521.0
2022,396356.0
2023,405518.0
2024,414707.0
2025,390739.0
2026,399754.0
2027,408606.0
2028,417442.0
2029,426492.0
2030,403878.0
2031,412665.0
2032,421695.0
2033,430928.0
2034,440271.0
2035,418641.0
2036,427570.0
2037,436539.0
2038,445463.0
2039,454254.0
2040,434273.0
2041,442236.0
2042,449975.0
2043,457458.0
2044,464656.0
2045,442951.0
2046,449252.0
2047,455272.0
2048,461016.0
2049,466501.0
2050,445156.0
2051,450089.0
2052,454783.0
2053,459249.0
2054,463508.0
2055,441248.0
2056,445078.0
2057,448734.0
2058,452236.0
2059,455607.0
2060,435347.0
2061,438612.0
2062,441762.0
2063,444785.0
2064,447670.0
2065,429062.0
2066,431809.0
2067,434415.0
2068,436854.0
2069,439087.0
2070,422335.0
2071,424331.0
2072,426108.0
2073,427647.0
2074,428931.0
2075,414503.0
2076,415518.0
2077,416289.0
2078,416816.0
2079,417097.0
2080,405335.0
2081,405428.0
2082,405304.0
2083,404965.0
2084,404417.0
2085,395315.0
2086,394746.0
2087,394013.0
2088,393114.0
2089,392053.0
2090,384650.0
2091,383687.0
2092,382607.0
2093,381406.0
2094,380075.0
2095,374839.0
2096,373665.0
2097,372396.0
2098,371016.0
2099,369501.0
