Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,103515,92283,82678,74575,67851,62382,58046,54717,52273,50590,49570,49117,48975,48968,49050,49349,49831,49917,49326,48234,47160,46071,44542,42433,39936,37435,34913,32409.999999999996,30007,27734,25490,23228,21547,20711,20451,20215,20098,19935,19582,19115,18768,18517,18142,17567,16876,16209,15513,14977,14704,14588,14446,14335,14080,13581,12933,12310,11649,11133,10860,10727,10546,10376,10033,9415,8618,7854,7094,6348,5645,4985,4325,3662,3109,2712,2426,2157,1925,1698,1451,1202,989,802,642,510,402,309,230,168,120,84,54,39,30,21,11,5,4,4,2,1,0
1951,102943,99681,89641,80913,73416,67072,61763,57377,54012,51663,50141,49171,48694,48527,48515,48601,48885,49341,49406,48806,47713,46636,45545,44020,41927,39454,36977,34480,32003,29623,27373,25153,22915,21251,20420,20159,19920,19799,19633,19282,18816,18469,18216,17843,17272,16586,15923,15232,14698,14419,14296,14146,14026,13765,13265,12619,11997,11338,10818,10532,10380,10184,9998,9646,9027,8237,7481,6729,5995,5311,4674,4035.9999999999995,3400,2868,2486,2210,1954,1733,1519,1289,1059,865,696,552,434,339,258,193,140,100,69,44,32,25,17,8,4,3,2,1,0
1952,103052,96347,96067,87196,79323,72414,66435,61276,56829,53422,51162,49798,48876,48375,48184,48165,48255,48525,48956,49000,48389,47294,46213,45116,43592,41511,39057,36598,34121,31663,29303,27071,24870,22652,21000,20173,19908,19667,19542,19373,19021,18557,18210,17956,17582,17013,16329.999999999998,15670,14982,14448,14165,14034,13877,13748,13481,12977,12332,11710,11051,10527,10227,10056,9843,9641,9279,8659,7875,7125,6379,5656,4989,4373,3758,3144,2633,2265,2000,1754,1543,1343,1131,919,742,591,463,360,278,208,154,113,80,54,35,25,19,13,7,3,1,1,1
1953,104168,98977,93613,92522,84813,77791,71466,65847,60833,56323,52870,50699,49492,48618,48091,47875,47850,47944,48201,48606,48630,48009,46910,45823,44719,43196,41125,38688,36246,33785,31346,29004,26789,24604,22404,20764,19941,19672,19428,19300,19127,18774,18312,17964,17707,17334,16767,16087,15430,14744,14210,13922,13783,13618,13480,13206,12700,12054,11430,10773,10243,9929,9740,9510,9292,8919,8297,7519,6773,6033,5322,4671,4075,3482,2892,2400,2045.9999999999998,1791,1555,1355,1168,972,780,620,486,375,286,217,159,117,86,60,39,25,18,14,10,5,1,1,1
1954,106516,102142,97367,92294,89019,82467,76293,70550,65289,60418,55844,52344,50260,49210,48381,47830,47589,47558,47656,47899,48280,48282,47650,46548,45455,44344,42819,40758,38337,35910,33467,31045,28718,26520,24351,22167,20538,19718,19446,19199,19066,18890,18537,18074,17726,17468,17094,16528,15851,15197,14513,13978,13684,13538,13364,13217,12937,12428,11782,11157,10499,9963,9636,9428,9180,8946,8562,7940,7165,6425,5691,4989,4356,3779,3207,2641,2168,1827,1582,1358,1169,994,814,640,499,383,287,213,156,109,79,59,41,25,14,11,9,6,3,1,1
1955,110173,105895,101200,96186,90949,85584,80189,74861,69695,64787.00000000001,60055,55412,51862,49863,48970,48187,47610,47344,47307,47409,47639,47995,47977,47333,46225,45125,44006,42480,40426,38018,35606,33177,30770,28458,26273,24118,21950,20331,19511,19236,18986,18849,18670,18315,17853,17504,17244,16868,16303.999999999998,15628,14975,14294,13758,13459,13305,13123,12966,12678,12166,11519,10892,10234,9693,9351,9124,8859,8608,8213,7588,6817,6082,5352,4660,4042,3486,2934,2390,1938,1611,1374,1161,982,820,657,502,378,278,199,139,95,59,41,32,21,10,4,4,3,2,1,1
1956,114819,108209,103838,99214,94397,89450,84476,79579,74611,69549,64581,59833,55182,51622,49627,48744,47954,47356,47071,47019,47110,47325,47664,47635,46986,45879,44779,43661,42140,40094,37697,35297,32880,30486,28188,26017,23876,21723,20113,19298,19021,18770,18630,18448,18091,17626,17273,17009,16629,16064,15388,14734,14052,13512,13205,13038,12844,12675,12375,11857,11204,10573,9911,9361,9003,8755,8473,8205,7801,7180,6423,5701,4986,4314,3722,3194,2673,2161,1737,1431,1211,1016,854,708,563,426,317,233,166,116,79,48,34,26,18,9,4,3,2,1,1
1957,119995,114252,106191,101729,97177,92560,87907,83327,78931,74325,69371,64343,59583,54926,51356,49367,48496,47698,47080,46775,46708,46787,46988,47312,47271,46617,45510,44411,43294,41779,39742,37358,34970,32567,30187,27904,25749,23624,21485,19886,19075,18797,18545,18403,18219,17859,17392,17035,16765,16383,15815,15140,14485,13803,13260,12943,12765,12559,12377,12067,11541,10884,10247,9583,9026,8651,8382,8083,7798,7385,6768,6025,5317,4617,3965,3398,2900,2409,1929,1534,1250,1048,870,725,597,469,350,256,186,134,93,62,37,26,20,14,7,3,2,1,1
1958,125060,118260,111831,104101,99550,95073,90660,86304,82121,78230,73992,69147,64063.99999999999,59294,54635,51058,49075,48215,47410,46773,46448,46366,46435,46621,46927,46875,46217,45111,44013,42900,41391,39365,36994,34620,32232,29868,27603,25464,23355,21233,19647,18840,18562,18307,18164,17977,17615,17146,16785,16510,16125,15557,14883,14228,13545,12998,12674,12483,12265,12070,11749,11217,10555,9915,9249,8683,8293,8004,7687,7384,6964,6352,5623,4929,4244,3613,3072,2604,2144,1697,1330,1068,883,723,596,484,375,274,194,140,101,71,46,26,19,14,9,5,2,1,1
1959,129241.00000000001,121626,114658,108285,101909,97275,92878,88673,84618,80835,77453,73587,68855,63722,58948,54289,50709,48735,47888,47077,46420,46076,45980,46037,46208,46498,46433,45771,44667,43573,42464,40962,38948,36593,34237,31865,29520,27273,25154,23064,20961,19388,18586,18307,18053,17907,17718,17355,16883,16520,16239.999999999998,15851,15283,14610,13956,13274,12724,12392,12188,11960,11752,11421,10883,10217,9573,8905,8333,7927,7617,7283,6964,6536,5930,5214,4536,3868,3258,2743,2305,1876,1462,1125,885,718,576,466,372,280,196,132,94,69,48,28,16,11,9,6,3,1,1
