Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,4722,4500,4267,4027,3785,3545,3311,3087,2877,2686,2503,2321,2209,2201,2259,2320,2399,2437,2398,2312,2240,2166,2113,2099,2107,2107,2110,2084,2015.0000000000002,1918,1825,1729,1651,1607,1583,1554,1524,1490,1447,1399,1352,1307,1257,1198,1133,1070,1006.9999999999999,946,892,843,793,745,701,663,629,596,564,534,505,476,449,424,396,360,322,285,248,220,204,196,189,183,175,160,142,127,112,98,87,77,67,58,50,41,33,25,19,13,9,7,4,2,2,1,1,0,0,0,0,0,0
1951,5388,4741,4506,4269,4030.9999999999995,3795,3565,3346,3131,2920,2719,2530,2341,2225,2215,2274,2333,2412,2449,2410,2323,2250,2176,2123,2108,2115,2115,2116,2090,2021,1924,1832,1736,1658,1611,1583,1550,1517,1480,1435,1385,1337,1290,1239,1182,1121,1061,1000.9999999999999,944,891,842,794,746,702,663,627,592,559,527,496,466,438,413,384,349,311,276,240,212,196,187,178,171,162,148,130,115,100,87,77,68,59,51,43,36,28,22,16,11,8,6,3,2,2,1,1,0,0,0,0,0
1952,5881,5470,4705,4462,4223,3989,3761,3544,3343,3141,2929,2721,2528,2334,2215,2204,2262,2320,2397,2434,2394,2307,2235,2161,2108,2093,2099,2098,2099,2073,2004,1909,1819,1724,1646,1597,1566,1530,1494,1454,1407,1355,1306,1258,1207,1152,1096,1040,984,930,879,832,785,739,695,655,618,582,547,513,482,451,423,396,367,333,297,263,229,202,185,175,166,158,148,133,117,102,88,76,66,58,50,43,36,30,23,18,13,9,6,4,3,2,1,1,0,0,0,0,0
1953,6207,5732,5300,4654,4402,4162,3933,3714,3511,3329,3139,2929,2715,2517,2320,2198,2185,2242,2300,2375,2410,2370,2284,2212,2139,2086,2071,2077,2075,2074,2048,1981,1888,1799,1706,1628,1577,1543,1504,1465,1423,1374,1321,1271,1222,1171,1119,1067,1014.9999999999999,963,913,865,819,773,729,686,646,607,569,533,498,466,435,406,378,349,316,282,250,218,192,174,163,152,143,133,119,103,88,75,63,54,47,41,35,29,23,18,14,10,7,5,3,2,1,1,1,0,0,0,0
1954,6383,5893,5452,5057,4608,4348,4106,3882,3672,3482,3319,3141,2931,2711,2509,2308,2183,2168,2225,2281,2355,2389,2349,2264,2192,2119,2067,2051,2056,2053,2052,2025.9999999999998,1960,1869,1781,1690,1613,1559,1522,1480,1438,1393,1343,1289,1237,1187,1137,1088,1039,991,944,897,852,807,763,720,678,637,597,558,520,484,450,419,389,361,332,300,267,236,206,181,164,151,140,130,118,104,89,75,62,52,43,37,31,26,22,17,13,10,7,5,3,2,1,1,1,0,0,0,0
1955,6429,5978,5570,5202,4870,4572,4303,4059.9999999999995,3839,3638,3461,3316,3150,2940,2713,2506,2302,2173,2157,2213,2268,2341,2374,2333,2248,2177,2104,2052,2036,2040,2037,2035.0000000000002,2009,1943,1853,1767,1678,1600,1545,1504,1459,1414,1367,1315,1260,1207,1155,1105,1058,1014,970,927,884,840,797,754,713,671,629,588,548,508,470,436,404,374,345,315,284,253,224,195,171,153,140,127,116,104,90,75,62,50,40,33,27,22,19,15,12,8,6,4,3,2,1,0,0,0,0,0,0
1956,6335,6228,5831,5465,5128,4819,4533,4269,4029,3812,3613,3436,3286,3117,2908,2684,2479,2276,2148,2132,2188,2242,2314,2347,2307,2222,2151,2078,2025.9999999999998,2009.9999999999998,2015.0000000000002,2011.0000000000002,2009.9999999999998,1984,1918,1827,1741,1651,1574,1521,1483,1441,1399,1354,1304,1250,1198,1148,1098,1049,1000,952,905,858,813,768,724,682,640,599,559,521,483,447,414,384,354,327,298,268,238,209,181,157,140,127,115,104,93,80,67,55,44,35,28,23,19,16,13,10,7,5,3,2,2,1,0,0,0,0,0
1957,6207,5961,6058,5713,5388,5080,4790,4516,4256,4017.0000000000005,3802,3607,3428,3273,3100,2891,2669,2465,2261,2133,2117,2173,2228,2299,2332,2292,2206,2135,2063,2011.0000000000002,1994,1999,1996,1995,1969,1902,1811,1723,1632,1555,1504,1469,1430,1391,1348,1300,1247,1196,1146,1096,1044,991,939,888,838,790,744,698,654,612,572,533,496,460,426,395,365,337,310,283,253,223,195,167,144,127,115,103,93,83,71,59,48,38,30,24,20,16,13,10,8,6,4,2,2,1,1,0,0,0,0
1958,6090,5960,5807,5903,5610,5324,5045,4774,4511,4253,4014.9999999999995,3803,3609,3428,3267,3091,2881,2660,2456,2252,2124,2108,2164,2218,2290,2323,2282,2197,2125,2052,2000,1984,1988,1986,1985,1959,1891,1798,1709,1617,1540,1491,1459,1423,1386,1346,1298,1246,1196,1148,1097,1042,985,929,873,819,769,721,674,628,585,546,509,473,439,407,376,347,320,295,268,239,209,181,154,131,115,103,92,82,73,62,51,41,32,25,20,16,13,10,8,6,4,3,2,1,1,0,0,0,0
1959,6040,5991,5902,5778,5747,5507,5260,5010,4759,4506,4251,4014.0000000000005,3803,3612,3429,3262,3082,2871,2652,2448,2243,2115,2098,2154,2209,2281,2314,2273,2187,2115,2041.9999999999998,1990,1973,1978,1975,1975,1949,1880,1786,1696,1602,1526,1478,1449,1415,1381,1343,1297,1246,1197,1149,1098,1040,979,918,858,800,747,698,650,603,559,520,484,450,418,387,358,330,303,279,254,225,195,167,140,118,102,91,80,71,63,53,42,34,26,20,15,12,9,8,6,4,3,2,1,1,1,0,0,0
1960,6112,6076,6002,5892,5753,5586,5397,5191,4969,4738,4497,4245,4009.0000000000005,3800,3611,3426,3254,3070,2859,2641,2437,2232,2104,2087,2143,2198,2270,2303,2262,2175,2103,2029.9999999999998,1977,1961,1966,1963,1963,1937,1868,1772,1681,1586,1509,1464,1438,1407,1375,1340,1295,1245,1197,1150,1097,1037,971,906,842,781,725,675,625,576,532,493,459,427,396,367,339,311,286,263,239,211,181,154,127,105,89,79,69,60,52,43,34,27,20,15,11,8,6,5,4,3,1,1,1,0,0,0,0
1961,6332,6059,6002,5923,5823,5702,5565,5417,5237,5015,4765,4511,4248,4000,3780,3581,3384,3201,3009,2800,2589,2391,2193,2073,2068,2137,2205,2291,2331,2288,2194,2114,2033,1973,1953,1956,1951,1948,1919,1850,1756,1666,1573,1496,1449,1421,1387,1354,1316,1271,1220,1171,1124,1071,1012,948,884,822,761,706,655,604,554,510,471,437,405,374,346,318,291,266,243,220,193,166,140,116,95,81,71,62,54,46,38,30,23,17,13,9,7,5,4,3,2,1,1,0,0,0,0
1962,6680,6436,5995,5916,5833,5742,5640,5533,5427,5273,5050,4782,4516,4243,3983,3753,3543,3336,3141,2943,2736,2532,2342,2150,2039.0000000000002,2045.9999999999998,2127,2207,2307,2355,2311,2209,2122,2032,1966,1942,1944,1936,1929,1899,1830,1737,1648,1557,1481,1432,1401,1365,1330,1290,1244,1193,1143,1095,1043,985,922,861,800,741,686,633,582,532,487,448,414,382,352,324,296,270,245,223,200,175,150,127,105,86,73,63,55,47,40,33,26,19,14,10,8,6,4,3,3,2,1,1,0,0,0
1963,7093,6684,6342,5932,5832,5745,5663,5580,5503,5438,5311,5087,4801,4522,4238,3968,3726,3507,3289,3082,2878,2673,2476,2293,2108,2005.9999999999998,2024,2118,2211,2324,2380,2334,2224,2129,2032,1959,1932,1931,1921,1911,1878,1809,1718,1630,1541,1465,1416,1382,1344,1306,1265,1218,1166,1116,1067,1014.9999999999999,958,897,838,778,721,665,612,560,509,464,425,392,360,331,302,275,249,225,203,181,158,135,114,94,77,65,56,47,41,34,28,21,15,11,8,6,4,3,2,2,1,1,0,0,0
1964,7483,6944,6508,6163,5886,5764,5672,5599,5535,5487,5463,5362,5137,4832,4540,4245,3962,3710,3480,3250,3032,2821,2616,2427,2250,2071,1978,2007.0000000000002,2114,2220,2347,2411,2362,2244,2143,2037,1957,1926,1924,1911,1897,1863,1794,1703,1617,1529,1454,1403,1366,1326,1286,1243,1194,1142,1092,1042,990,934,875,816,759,702,647,593,540,488,442,404,371,339,310,282,254,228,205,183,162,141,120,101,83,68,57,48,41,34,28,23,17,12,8,6,4,3,2,2,1,1,0,0,0
1965,7775,7183,6710,6341,6060,5856,5712,5615,5552,5506,5487,5504,5429,5202,4878,4572,4264,3969,3704,3462,3221,2990,2772,2568,2384,2213,2040,1955,1997,2116,2235,2377,2448,2398,2272,2162,2048,1961,1926,1922,1906,1889,1853,1784,1694,1609,1522,1447,1394,1354,1312,1269,1224,1175,1122,1070,1020,968,912,854,798,742,686,630,575,521,469,422,383,350,319,289,262,235,209,185,164,143,124,105,88,72,59,49,41,34,28,23,17,13,8,5,4,3,2,1,1,1,0,0,0
1966,7895,7681,7187,6781,6453,6193,5988,5825,5705,5621,5557,5512,5498,5388,5124,4763,4421,4075.9999999999995,3763,3508,3296,3083,2882,2696,2523,2368,2228,2089,2024,2066,2174,2281,2408,2469,2416,2290,2179,2062,1973,1936,1931,1913,1896,1857,1782,1686,1594,1500,1422,1369,1334,1294,1255,1212,1161,1105,1051,998,943,884,823,762,703,645,591,539,489,439,395,358,327,297,269,243,217,192,169,149,129,111,94,79,64,52,43,35,29,24,19,15,11,7,4,3,2,1,1,1,0,0,0
1967,7937,7506,7618,7219,6879,6592,6351,6145,5961,5817,5713,5631,5559,5514,5370,5067,4667,4287,3904,3571,3326,3143,2958,2786,2630,2487,2362,2252,2146,2102,2144,2240,2336,2450,2500,2443,2318,2205,2085,1993,1954,1947,1928,1910,1868,1788,1685,1586,1485,1402,1351,1319,1282,1247,1206,1153,1093,1036,980,922,859,794,730,667,607,554,505,458,412,371,335,305,276,250,225,200,176,154,134,116,99,83,69,56,46,37,30,24,20,16,12,9,5,3,3,2,1,1,0,0,0
1968,7869,7608,7379,7559,7255,6981,6735,6513,6305,6101,5932,5809,5708,5608,5532,5353,5012,4572,4155,3733,3381,3145,2990,2833,2690,2566,2453,2357,2277,2204,2180,2224,2307,2392,2492,2532,2471,2347,2232,2109,2013.9999999999998,1973,1964,1944,1925,1881,1795,1684,1579,1471,1384,1332,1304,1271,1239,1199,1145,1081,1020.9999999999999,962,901,834,766,698,631,569,517,471,427,384,346,312,283,255,231,207,183,160,139,120,103,87,73,60,48,39,31,25,20,16,13,10,7,4,3,2,1,1,0,0,0
1969,7670,7594,7504,7403,7475,7268,7062,6857,6655,6446,6222,6029,5886,5767,5640,5533,5319,4941,4463,4009.0000000000005,3550,3179,2953,2827,2699,2586,2493,2411,2344,2295,2256,2252,2297,2368,2441,2527,2556,2492,2368,2252,2126,2029,1986,1976,1954,1934,1887,1796,1678,1567,1451,1360,1310,1285,1255,1227,1189,1133,1066,1002,942,877,807,735,664,593,529,478,436,395,355,320,288,260,234,211,189,166,144,124,105,89,74,62,51,40,32,25,20,15,12,10,7,5,3,2,1,1,0,0,0
1970,7345,7437,7480,7479,7437,7359,7249,7111,6949,6767,6558,6315,6100,5938,5800,5647,5509,5263,4848,4335,3847,3352,2964,2749,2653,2553,2471,2409,2359,2321,2303,2297,2314,2359,2418,2478,2551,2569,2501,2379,2262,2133,2033.9999999999998,1990,1978,1955,1935,1886,1789,1665,1547,1426,1331,1282,1261,1234,1210,1174,1117,1046,980,917,849,776,701,626,552,487,438,399,361,325,293,263,236,211,190,169,148,127,108,90,75,62,51,41,32,25,19,15,11,8,7,5,3,1,1,1,1,0,0
