Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14446330104739633,0.16276835406380968,0.18029415854565878,0.19651079400579008,0.2109492855032032,0.2232289027282421,0.23307587929533366,0.24033255455407357,0.2449619530812826,0.24714681827749801,0.24727405686888052,0.24579587405662787,0.24319155449004867,0.23991795334146532,0.23588150089787838,0.23047956848867873,0.22316499227763223,0.21351208505341673,0.2012649512364227,0.18637328290058194,0.16902987112789042,0.14969280499062484,0.12905933174405387,0.10802017596605101,0.08790694722419612,0.06997133124273816,0.054809276634086135,0.04250924333192454,0.03284353566635774,0.025410635750461118,0.019772525719387916,0.015540147273931628,0.012389673055606636,0.010063328937333867,0.008363074573579425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12560712419673264,0.14890852329202608,0.17238696356578312,0.19513858939625048,0.21627687190671616,0.23500628332695178,0.2506834389721005,0.2628590222155577,0.27130076901396116,0.2760684711202214,0.2774942177916596,0.27605881644549085,0.27233224990698734,0.2669057395674206,0.25998905574351916,0.25143907692035383,0.24116022316702299,0.22913341101789514,0.21541165754783445,0.19986097833847585,0.18227898893056507,0.16275724715234133,0.14170478330955258,0.11983834327048748,0.09848533003827355,0.07902778229491274,0.06222571864720595,0.04831603613120772,0.037177230249733455,0.02846335515538959,0.021752206169566406,0.016645515640106773,0.012794887843697656,0.009910363089516618,0.007759345076560808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11087795834767411,0.13745846618236418,0.1653745217515305,0.1934163434369573,0.22029356989465307,0.24476605199441603,0.2657650575766926,0.28248704593422175,0.2944512503112408,0.3015685598556661,0.3041189178055104,0.3026328521289645,0.29780673155356346,0.29040974324303265,0.2809582790763049,0.2697152647988747,0.2569586286367481,0.24298295982965257,0.22806622364490675,0.212001784120278,0.19428333115200686,0.17471484239889293,0.1534627751641053,0.13107240937118578,0.10880308650155306,0.08808668439886104,0.06980894775065623,0.05435460780381841,0.041731471925357054,0.03168287443966428,0.02383440520139828,0.017802181013742733,0.013228224051246303,0.009798499837984536,0.007249659992327324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0993120357709524,0.1279999041961847,0.15918218488512786,0.19142320734195542,0.2230736534776765,0.2524607044394425,0.2780797542769823,0.2987536898659297,0.31373755503829376,0.32279972876260304,0.32619735985802917,0.3245475213645902,0.31871072148142404,0.3096647713809715,0.29819777142921683,0.2848784829693174,0.2702520795853944,0.2548261910896303,0.2390250310902882,0.22259289773279872,0.20482253462641592,0.18531893538714414,0.1640644923975965,0.14145044828622408,0.11861176670201147,0.09694386641304559,0.07740740028079628,0.060522196084846165,0.046441301207695074,0.03502996617154207,0.02599617816850517,0.0189971974750988,0.01368218985090418,0.00972038635597141,0.006817875696891506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09020607169252046,0.12020371007702817,0.15374544655229577,0.1892367921541885,0.22472141223279588,0.25812824784265287,0.2875381331602825,0.31141594021193736,0.32876916416589175,0.33925674351709534,0.34316133323198356,0.34123114233251617,0.33452412234569656,0.3242418075485676,0.3113816054585545,0.2966908108230917,0.2808623875571661,0.264516375364931,0.24815118999232427,0.231492272757841,0.21373747804576576,0.1943841267759001,0.17329608063648427,0.15073979547413927,0.12768115006654138,0.10539470901211855,0.08485725728476437,0.0666994617709459,0.05122636268967671,0.03845388743894279,0.028207409494877548,0.020214022988415757,0.014148137886145074,0.009669258393042572,0.006450966396569402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08304211173146978,0.11380989934363345,0.14900891948317874,0.18693227492865544,0.2253644162377615,0.2618813994301098,0.2941923969912248,0.3204460684983955,0.3394437759982392,0.35078614146831577,0.3548383436409277,0.35252305216518665,0.3451188542231884,0.33405044785340876,0.3204481163121402,0.30510394717950984,0.28874017313015943,0.27199487849689746,0.25537585403903657,0.23862076305964372,0.2209336461835014,0.20179169096670638,0.18100686522525566,0.15875779272752058,0.13581064526581593,0.11324381065119257,0.09198891932933431,0.07275375551756609,0.05599194899393378,0.04189236785819975,0.030430546173548133,0.021432330374787985,0.014616155213669437,0.009638740639549623,0.006138328597675762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07743570073625647,0.10861254940010069,0.14492547517344495,0.1845818039713832,0.22514688619804538,0.26389392175521065,0.29821720166843785,0.32600880732297277,0.34592150572480795,0.3575570599835976,0.361418538065611,0.35863712321071944,0.35072141733094886,0.33930494147064616,0.32557339686526354,0.31024143287536304,0.29395464160664153,0.277286012099804,0.26069560947090814,0.24396056184397494,0.22638036667522726,0.20749026074701946,0.18711262612553986,0.16537837045593898,0.14283821644368994,0.12031398966867478,0.09863407133074316,0.0785434612022795,0.060631042262764404,0.045272286038782784,0.0326207145264875,0.02262799038164747,0.01507501627696775,0.009622694536948128,0.005871249454827384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07309973810046251,0.10444836362286639,0.14145552876053857,0.18225418864963075,0.2242235657940414,0.2643857082749332,0.29988484449972025,0.3284261450486267,0.34857878646385465,0.3600042779354934,0.36338867099107985,0.3600909300706401,0.3518439769853951,0.34046512646021637,0.3271272520379791,0.31236974769292813,0.2966766063082278,0.2804876067039766,0.26416662107685734,0.24755050152071517,0.23010648733270037,0.21149231120761766,0.19159424377815895,0.17053435353000762,0.14864632197337224,0.12645399779488886,0.10463288952993895,0.08392324800512672,0.06502739060302368,0.048511145959283276,0.034726315267857376,0.023773277206843538,0.015512214588536957,0.009615108072657585,0.005642497438138786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06983162615846145,0.10120343058966715,0.13858528006883075,0.18003789259153272,0.2227828944755162,0.26364347371801933,0.2995819386685522,0.3281888365198465,0.34801365151308733,0.3588267358069157,0.3615248063727079,0.35769554015282573,0.3492757109224276,0.3382339318949426,0.3256786598172824,0.31190985572049446,0.29719264672878204,0.2817848804761173,0.2659170380487938,0.24949708605257037,0.2322102622023318,0.21388307918740793,0.19450600079430636,0.17422554082160652,0.1531695556771789,0.13154470282106698,0.10983765058928407,0.08874476490603124,0.06905401353072657,0.051514683923972085,0.036686861867999264,0.024835524573938082,0.015913481203135824,0.009610190025226006,0.005446525152597079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06752961027208391,0.09885003504263905,0.13638025811526075,0.17810829023741098,0.2211263805040623,0.26211183199257093,0.2979121326395822,0.3260701933106012,0.34516907555400045,0.3551178534087618,0.35702647591677655,0.3526904827017936,0.34421561736251616,0.3336842171034512,0.3221116863058576,0.30953743591581084,0.29598695096511585,0.281514932050053,0.2661993504182299,0.25002047124841015,0.23290169264607263,0.21485926716444947,0.19600889381412673,0.17654395926753338,0.156409808003331,0.13550373470746563,0.11410800593799755,0.09284530394054015,0.0725591680480995,0.05416391231190601,0.03842353290090867,0.02577189765469381,0.016261089421352452,0.00960283163080506,0.005280654175089261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
