Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,1175,1161,1146,1130,1113,1095,1076,1056,1035,1012.9999999999999,991,972,945,907,862,820,773,747,755,783,808,835,844,822,779,741,703,666,633,603,571,537,515,515,527,539,553,555,534,499,468,435,410,397,393,386,379,371,360,347,335,325,311,292,271,251,229,214,210,212,213,216,213,199,179,161,142,128,123,124,124,124,121,111,97,84,71,62,58,58,57,56,54,49,42,36,30,24,20,17,14,11,10,8,5,4,3,3,2,1,3
1951,1078,1198,1181,1162,1139,1115,1089,1061,1033,1008,985,961,939,914,882,849,816,781,761,763,778,790,806,806,782,741,704,667,633,606,584,561,535,519,517,522,528,536,534,515,485,458,430,407,395,390,382,375,365,353,339,326,314,299,279,256,233,210,194,187,187,187,187,185,175,162,151,139,129,124,121,118,115,110,101,89,77,66,57,53,52,50,49,46,42,35,30,25,20,17,14,12,9,8,6,4,3,2,2,1,2
1952,1029,1116,1224,1205,1180,1152,1120,1085,1047,1012.9999999999999,984,959,933,908,884,860,838,815,792,776,772,774,775,778,770,743,705,669,633,602,581,567,552,535,524,519,519,518,520,514,497,472,449,425,406,394,388,379,371,360,347,332,318,305,288,266,241,217,192,174,165,163,160,159,156,152,146,141,136,131,125,119,113,107,99,90,80,70,60,53,48,46,43,41,38,34,29,24,20,16,13,11,9,7,6,5,3,2,1,1,2
1953,1028,1129,1200,1249,1227,1198,1163,1124,1080,1033,991,958,932,905,877,854,838,825,814,802,791,780,769,759,750,733,705,668,633,598,570,555,549,542,535,528,522,514,508,503,494,479,459,441,421,404,393,385,376,366,355,341,325,309,295,276,252,225,200,174,153,143,139,134,130,128,128,129,131,134,133,127,117,107,98,88,80,72,64,55,48,43,40,36,34,30,27,22,18,15,12,10,8,7,5,4,3,2,1,1,2
1954,1070,1166,1232,1272,1272,1247,1214,1173,1126,1074,1018,968,931,904,875,844,823,814,812,811,811,805,788,764,741,721,696,665,631,597,562,537,529,531,532,534,532,523,509,497,486,473,460,446,431,415,402,391,382,372,362,349,334,317,300,284,265,239,210,182,155,133,120,114,108,101,100,104,112,121,131,134,128,114,102,89,77,69,63,57,50,43,38,34,30,26,22,19,16,13,10,8,7,5,4,3,3,2,1,1,1
1955,1153,1227,1275,1300,1306,1294,1267,1229,1182,1128,1068,1002,945,904,875,844,811,791,789,798,807,819,818,795,758,724,691,657,624,593,560,526,504,502,512,521,532,536,524,504,486,468,452,440,432,421,410,399,389,379,368,357,343,328,309,291,274,253,225,194,165,136,113,98,89,81,72,71,80,95,110,128,136,129,111,96,80,66,59,55,50,44,39,33,28,23,18,14,11,9,7,5,4,3,2,2,1,1,1,0,1
1956,1274,1199,1248,1277,1289,1286,1269,1242,1205,1159,1107,1051,990,937,898,870,839,808,786,779,780,781,786,780,756,722,690,659,630,603,580,555,530,513,508,510,513,517,515,504,486,470,453,438,428,420,411,402,391,379,365,351,336,322,310,299,287,276,260,234,204,175,147,124,111,104,98,91,89,94,103,112,123,127,118,101,86,70,57,50,47,43,38,34,29,24,19,15,12,10,8,6,4,4,3,2,1,1,1,0,1
1957,1409,1407,1241,1264,1274,1272,1260,1240,1212,1176,1132,1082,1029,974,925,888,860,831,800,778,765,758,752,749,738,714,683,654,625,599,580,564,548,531,519,511,506,502,499,493,481,466,451,436,423,414,407,399,391,381,367,350,333,315,300,292,287,282,278,266,243,213,185,157,135,123,119,114,109,106,107,110,113,118,117,107,91,76,60,48,42,39,35,32,29,24,20,16,12,10,8,6,4,3,3,2,1,1,0,0,0
1958,1542,1500,1457,1279,1277,1268,1253,1232,1207,1179,1145,1102,1054,1006,955,911,876,849,820,792,768,749,735,721,710,694,671,642,616,589,568,555,547,539,532,524,513,501,490,480,469,457,444,431,418,407,399,392,386,380,371,354,334,314,292,277,273,275,276,278,272,251,222,194,166,145,135,133,130,126,123,120,117,114,112,107,95,80,65,50,39,33,31,28,26,24,20,16,12,9,7,6,4,3,2,2,1,1,0,0,0
1959,1660,1583,1513,1449,1317,1290,1262,1233,1204,1175,1146,1113,1072,1026,982,937,897,864,837,809,783,758,734,711,690,671,651,627,602,578,553,536,530,531,531,532,529,516,496,479,461,446,433,423,412,400,390,383,378,373,369,360,342,318,295,269,254,254,262,269,279,277,259,230,204,176,155,148,148,146,144,140,133,123,115,107,97,84,69,55,40,29,24,22,21,20,18,16,12,9,6,5,4,3,2,2,1,1,1,0,0
1960,1748,1650,1562,1485,1417,1357,1304,1257,1215,1177,1143,1114,1082,1043,1000,959,919,884,853,826,800,774,748,719,688,660,633,608,584,562,540,518,505,506,514,523,533,534,518,492,468,443,423,410,402,393,382,374,368,364,360,359,350,329,302,276,247,231,235,250,264,279,283,267,239,213,186,166,160,162,162,162,157,146,130,116,102,87,73,59,45,30,20,15,14,14,14,13,11,8,5,3,3,2,1,1,1,0,0,0,0
1961,1796,1714,1626,1546,1474,1409,1351,1298,1250,1205,1164,1126,1092,1056,1016,973,933,894,858,826,796,768,742,714,685,656,628,603,580,561,544,529,514,504,503,507,510,516,514,500,477,457,436,418,406,397,388,377,368,361,354,347,342,333,316,296,276,254,241,241,249,255,264,263,249,226,205,182,165,158,157,155,153,147,135,119,105,91,77,64,51,39,26,17,13,12,12,12,11,9,7,4,3,2,2,1,1,0,0,0,0
1962,1808,1711,1680,1603,1531,1465,1403,1346,1294,1244,1197,1152,1110,1071,1032,990,948,908,869,833,799,768,738,709,681,653,624,598,573,552,538,528,519,510,504,501,499,499,499,494,482,464,446,429,413,402,393,383,373,363,353,343,334,326,316,303,290,276,262,252,248,248,248,248,244,231,213,196,179,165,157,153,148,144,136,124,108,94,80,67,55,44,33,22,15,11,10,10,10,9,7,5,3,2,2,1,1,0,0,0,0
1963,1798,1720,1650,1650,1582,1519,1458,1399,1344,1291,1240,1190,1142,1096,1052,1008.9999999999999,966,924,884,846,809,774,740,708,678,649,621,593,568,543,525,516,512,509,507,504,499,493,488,483,476,464,450,437,423,409,398,389,378,368,358,346,334,322,310,300,291,284,277,270,262,255,248,240,233,224,213,201,189,176,164,156,149,142,135,126,113,98,83,69,57,46,36,27,18,12,9,8,8,7,7,6,4,2,2,1,1,0,0,0,0
