Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.12190602,0.02040344,0.02040344,0.02040344,0.02040344,0.0035036,0.0035036,0.0035036,0.0035036,0.0035036,0.00203902,0.00203902,0.00203902,0.00203902,0.00203902,0.00255037,0.00255037,0.00255037,0.00255037,0.00255037,0.00312309,0.00312309,0.00312309,0.00312309,0.00312309,0.0036662,0.0036662,0.0036662,0.0036662,0.0036662,0.0044522,0.0044522,0.0044522,0.0044522,0.0044522,0.00548716,0.00548716,0.00548716,0.00548716,0.00548716,0.00682198,0.00682198,0.00682198,0.00682198,0.00682198,0.00830603,0.00830603,0.00830603,0.00830603,0.00830603,0.0114087,0.0114087,0.0114087,0.0114087,0.0114087,0.01593937,0.01593937,0.01593937,0.01593937,0.01593937,0.02407523,0.02407523,0.02407523,0.02407523,0.02407523,0.03636385,0.03636385,0.03636385,0.03636385,0.03636385,0.06005771,0.06005771,0.06005771,0.06005771,0.06005771,0.09538578,0.09538578,0.09538578,0.09538578,0.09538578,0.14496589,0.14496589,0.14496589,0.14496589,0.14496589,0.20982937,0.20982937,0.20982937,0.20982937,0.20982937,0.29175479,0.29175479,0.29175479,0.29175479,0.29175479,0.39696362,0.39696362,0.39696362,0.39696362,0.39696362,0.51241447
1951,0.12190602,0.02040344,0.02040344,0.02040344,0.02040344,0.0035036,0.0035036,0.0035036,0.0035036,0.0035036,0.00203902,0.00203902,0.00203902,0.00203902,0.00203902,0.00255037,0.00255037,0.00255037,0.00255037,0.00255037,0.00312309,0.00312309,0.00312309,0.00312309,0.00312309,0.0036662,0.0036662,0.0036662,0.0036662,0.0036662,0.0044522,0.0044522,0.0044522,0.0044522,0.0044522,0.00548716,0.00548716,0.00548716,0.00548716,0.00548716,0.00682198,0.00682198,0.00682198,0.00682198,0.00682198,0.00830603,0.00830603,0.00830603,0.00830603,0.00830603,0.0114087,0.0114087,0.0114087,0.0114087,0.0114087,0.01593937,0.01593937,0.01593937,0.01593937,0.01593937,0.02407523,0.02407523,0.02407523,0.02407523,0.02407523,0.03636385,0.03636385,0.03636385,0.03636385,0.03636385,0.06005771,0.06005771,0.06005771,0.06005771,0.06005771,0.09538578,0.09538578,0.09538578,0.09538578,0.09538578,0.14496589,0.14496589,0.14496589,0.14496589,0.14496589,0.20982937,0.20982937,0.20982937,0.20982937,0.20982937,0.29175479,0.29175479,0.29175479,0.29175479,0.29175479,0.39696362,0.39696362,0.39696362,0.39696362,0.39696362,0.51241447
1952,0.12190602,0.02040344,0.02040344,0.02040344,0.02040344,0.0035036,0.0035036,0.0035036,0.0035036,0.0035036,0.00203902,0.00203902,0.00203902,0.00203902,0.00203902,0.00255037,0.00255037,0.00255037,0.00255037,0.00255037,0.00312309,0.00312309,0.00312309,0.00312309,0.00312309,0.0036662,0.0036662,0.0036662,0.0036662,0.0036662,0.0044522,0.0044522,0.0044522,0.0044522,0.0044522,0.00548716,0.00548716,0.00548716,0.00548716,0.00548716,0.00682198,0.00682198,0.00682198,0.00682198,0.00682198,0.00830603,0.00830603,0.00830603,0.00830603,0.00830603,0.0114087,0.0114087,0.0114087,0.0114087,0.0114087,0.01593937,0.01593937,0.01593937,0.01593937,0.01593937,0.02407523,0.02407523,0.02407523,0.02407523,0.02407523,0.03636385,0.03636385,0.03636385,0.03636385,0.03636385,0.06005771,0.06005771,0.06005771,0.06005771,0.06005771,0.09538578,0.09538578,0.09538578,0.09538578,0.09538578,0.14496589,0.14496589,0.14496589,0.14496589,0.14496589,0.20982937,0.20982937,0.20982937,0.20982937,0.20982937,0.29175479,0.29175479,0.29175479,0.29175479,0.29175479,0.39696362,0.39696362,0.39696362,0.39696362,0.39696362,0.51241447
1953,0.12190602,0.02040344,0.02040344,0.02040344,0.02040344,0.0035036,0.0035036,0.0035036,0.0035036,0.0035036,0.00203902,0.00203902,0.00203902,0.00203902,0.00203902,0.00255037,0.00255037,0.00255037,0.00255037,0.00255037,0.00312309,0.00312309,0.00312309,0.00312309,0.00312309,0.0036662,0.0036662,0.0036662,0.0036662,0.0036662,0.0044522,0.0044522,0.0044522,0.0044522,0.0044522,0.00548716,0.00548716,0.00548716,0.00548716,0.00548716,0.00682198,0.00682198,0.00682198,0.00682198,0.00682198,0.00830603,0.00830603,0.00830603,0.00830603,0.00830603,0.0114087,0.0114087,0.0114087,0.0114087,0.0114087,0.01593937,0.01593937,0.01593937,0.01593937,0.01593937,0.02407523,0.02407523,0.02407523,0.02407523,0.02407523,0.03636385,0.03636385,0.03636385,0.03636385,0.03636385,0.06005771,0.06005771,0.06005771,0.06005771,0.06005771,0.09538578,0.09538578,0.09538578,0.09538578,0.09538578,0.14496589,0.14496589,0.14496589,0.14496589,0.14496589,0.20982937,0.20982937,0.20982937,0.20982937,0.20982937,0.29175479,0.29175479,0.29175479,0.29175479,0.29175479,0.39696362,0.39696362,0.39696362,0.39696362,0.39696362,0.51241447
1954,0.12190602,0.02040344,0.02040344,0.02040344,0.02040344,0.0035036,0.0035036,0.0035036,0.0035036,0.0035036,0.00203902,0.00203902,0.00203902,0.00203902,0.00203902,0.00255037,0.00255037,0.00255037,0.00255037,0.00255037,0.00312309,0.00312309,0.00312309,0.00312309,0.00312309,0.0036662,0.0036662,0.0036662,0.0036662,0.0036662,0.0044522,0.0044522,0.0044522,0.0044522,0.0044522,0.00548716,0.00548716,0.00548716,0.00548716,0.00548716,0.00682198,0.00682198,0.00682198,0.00682198,0.00682198,0.00830603,0.00830603,0.00830603,0.00830603,0.00830603,0.0114087,0.0114087,0.0114087,0.0114087,0.0114087,0.01593937,0.01593937,0.01593937,0.01593937,0.01593937,0.02407523,0.02407523,0.02407523,0.02407523,0.02407523,0.03636385,0.03636385,0.03636385,0.03636385,0.03636385,0.06005771,0.06005771,0.06005771,0.06005771,0.06005771,0.09538578,0.09538578,0.09538578,0.09538578,0.09538578,0.14496589,0.14496589,0.14496589,0.14496589,0.14496589,0.20982937,0.20982937,0.20982937,0.20982937,0.20982937,0.29175479,0.29175479,0.29175479,0.29175479,0.29175479,0.39696362,0.39696362,0.39696362,0.39696362,0.39696362,0.51241447
1955,0.10685304,0.01629498,0.01629498,0.01629498,0.01629498,0.00213377,0.00213377,0.00213377,0.00213377,0.00213377,0.00118743,0.00118743,0.00118743,0.00118743,0.00118743,0.00142242,0.00142242,0.00142242,0.00142242,0.00142242,0.00172645,0.00172645,0.00172645,0.00172645,0.00172645,0.00209833,0.00209833,0.00209833,0.00209833,0.00209833,0.00270826,0.00270826,0.00270826,0.00270826,0.00270826,0.00360428,0.00360428,0.00360428,0.00360428,0.00360428,0.00485321,0.00485321,0.00485321,0.00485321,0.00485321,0.00637269,0.00637269,0.00637269,0.00637269,0.00637269,0.00917519,0.00917519,0.00917519,0.00917519,0.00917519,0.01327624,0.01327624,0.01327624,0.01327624,0.01327624,0.02137414,0.02137414,0.02137414,0.02137414,0.02137414,0.0344114,0.0344114,0.0344114,0.0344114,0.0344114,0.05955597,0.05955597,0.05955597,0.05955597,0.05955597,0.09716265,0.09716265,0.09716265,0.09716265,0.09716265,0.14981017,0.14981017,0.14981017,0.14981017,0.14981017,0.21813927,0.21813927,0.21813927,0.21813927,0.21813927,0.30577871,0.30577871,0.30577871,0.30577871,0.30577871,0.41703334,0.41703334,0.41703334,0.41703334,0.41703334,0.53855708
1956,0.10685304,0.01629498,0.01629498,0.01629498,0.01629498,0.00213377,0.00213377,0.00213377,0.00213377,0.00213377,0.00118743,0.00118743,0.00118743,0.00118743,0.00118743,0.00142242,0.00142242,0.00142242,0.00142242,0.00142242,0.00172645,0.00172645,0.00172645,0.00172645,0.00172645,0.00209833,0.00209833,0.00209833,0.00209833,0.00209833,0.00270826,0.00270826,0.00270826,0.00270826,0.00270826,0.00360428,0.00360428,0.00360428,0.00360428,0.00360428,0.00485321,0.00485321,0.00485321,0.00485321,0.00485321,0.00637269,0.00637269,0.00637269,0.00637269,0.00637269,0.00917519,0.00917519,0.00917519,0.00917519,0.00917519,0.01327624,0.01327624,0.01327624,0.01327624,0.01327624,0.02137414,0.02137414,0.02137414,0.02137414,0.02137414,0.0344114,0.0344114,0.0344114,0.0344114,0.0344114,0.05955597,0.05955597,0.05955597,0.05955597,0.05955597,0.09716265,0.09716265,0.09716265,0.09716265,0.09716265,0.14981017,0.14981017,0.14981017,0.14981017,0.14981017,0.21813927,0.21813927,0.21813927,0.21813927,0.21813927,0.30577871,0.30577871,0.30577871,0.30577871,0.30577871,0.41703334,0.41703334,0.41703334,0.41703334,0.41703334,0.53855708
1957,0.10685304,0.01629498,0.01629498,0.01629498,0.01629498,0.00213377,0.00213377,0.00213377,0.00213377,0.00213377,0.00118743,0.00118743,0.00118743,0.00118743,0.00118743,0.00142242,0.00142242,0.00142242,0.00142242,0.00142242,0.00172645,0.00172645,0.00172645,0.00172645,0.00172645,0.00209833,0.00209833,0.00209833,0.00209833,0.00209833,0.00270826,0.00270826,0.00270826,0.00270826,0.00270826,0.00360428,0.00360428,0.00360428,0.00360428,0.00360428,0.00485321,0.00485321,0.00485321,0.00485321,0.00485321,0.00637269,0.00637269,0.00637269,0.00637269,0.00637269,0.00917519,0.00917519,0.00917519,0.00917519,0.00917519,0.01327624,0.01327624,0.01327624,0.01327624,0.01327624,0.02137414,0.02137414,0.02137414,0.02137414,0.02137414,0.0344114,0.0344114,0.0344114,0.0344114,0.0344114,0.05955597,0.05955597,0.05955597,0.05955597,0.05955597,0.09716265,0.09716265,0.09716265,0.09716265,0.09716265,0.14981017,0.14981017,0.14981017,0.14981017,0.14981017,0.21813927,0.21813927,0.21813927,0.21813927,0.21813927,0.30577871,0.30577871,0.30577871,0.30577871,0.30577871,0.41703334,0.41703334,0.41703334,0.41703334,0.41703334,0.53855708
1958,0.10685304,0.01629498,0.01629498,0.01629498,0.01629498,0.00213377,0.00213377,0.00213377,0.00213377,0.00213377,0.00118743,0.00118743,0.00118743,0.00118743,0.00118743,0.00142242,0.00142242,0.00142242,0.00142242,0.00142242,0.00172645,0.00172645,0.00172645,0.00172645,0.00172645,0.00209833,0.00209833,0.00209833,0.00209833,0.00209833,0.00270826,0.00270826,0.00270826,0.00270826,0.00270826,0.00360428,0.00360428,0.00360428,0.00360428,0.00360428,0.00485321,0.00485321,0.00485321,0.00485321,0.00485321,0.00637269,0.00637269,0.00637269,0.00637269,0.00637269,0.00917519,0.00917519,0.00917519,0.00917519,0.00917519,0.01327624,0.01327624,0.01327624,0.01327624,0.01327624,0.02137414,0.02137414,0.02137414,0.02137414,0.02137414,0.0344114,0.0344114,0.0344114,0.0344114,0.0344114,0.05955597,0.05955597,0.05955597,0.05955597,0.05955597,0.09716265,0.09716265,0.09716265,0.09716265,0.09716265,0.14981017,0.14981017,0.14981017,0.14981017,0.14981017,0.21813927,0.21813927,0.21813927,0.21813927,0.21813927,0.30577871,0.30577871,0.30577871,0.30577871,0.30577871,0.41703334,0.41703334,0.41703334,0.41703334,0.41703334,0.53855708
1959,0.10685304,0.01629498,0.01629498,0.01629498,0.01629498,0.00213377,0.00213377,0.00213377,0.00213377,0.00213377,0.00118743,0.00118743,0.00118743,0.00118743,0.00118743,0.00142242,0.00142242,0.00142242,0.00142242,0.00142242,0.00172645,0.00172645,0.00172645,0.00172645,0.00172645,0.00209833,0.00209833,0.00209833,0.00209833,0.00209833,0.00270826,0.00270826,0.00270826,0.00270826,0.00270826,0.00360428,0.00360428,0.00360428,0.00360428,0.00360428,0.00485321,0.00485321,0.00485321,0.00485321,0.00485321,0.00637269,0.00637269,0.00637269,0.00637269,0.00637269,0.00917519,0.00917519,0.00917519,0.00917519,0.00917519,0.01327624,0.01327624,0.01327624,0.01327624,0.01327624,0.02137414,0.02137414,0.02137414,0.02137414,0.02137414,0.0344114,0.0344114,0.0344114,0.0344114,0.0344114,0.05955597,0.05955597,0.05955597,0.05955597,0.05955597,0.09716265,0.09716265,0.09716265,0.09716265,0.09716265,0.14981017,0.14981017,0.14981017,0.14981017,0.14981017,0.21813927,0.21813927,0.21813927,0.21813927,0.21813927,0.30577871,0.30577871,0.30577871,0.30577871,0.30577871,0.41703334,0.41703334,0.41703334,0.41703334,0.41703334,0.53855708
