Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.23261162,0.03341481,0.03341481,0.03341481,0.03341481,0.00443455,0.00443455,0.00443455,0.00443455,0.00443455,0.00333476,0.00333476,0.00333476,0.00333476,0.00333476,0.00461129,0.00461129,0.00461129,0.00461129,0.00461129,0.00625945,0.00625945,0.00625945,0.00625945,0.00625945,0.00694108,0.00694108,0.00694108,0.00694108,0.00694108,0.0079208,0.0079208,0.0079208,0.0079208,0.0079208,0.00921775,0.00921775,0.00921775,0.00921775,0.00921775,0.01098182,0.01098182,0.01098182,0.01098182,0.01098182,0.01323565,0.01323565,0.01323565,0.01323565,0.01323565,0.01769136,0.01769136,0.01769136,0.01769136,0.01769136,0.02365096,0.02365096,0.02365096,0.02365096,0.02365096,0.03452481,0.03452481,0.03452481,0.03452481,0.03452481,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.07488883,0.07488883,0.07488883,0.07488883,0.07488883,0.11437376,0.11437376,0.11437376,0.11437376,0.11437376,0.17250397,0.17250397,0.17250397,0.17250397,0.17250397,0.25141493,0.25141493,0.25141493,0.25141493,0.25141493,0.34948491,0.34948491,0.34948491,0.34948491,0.34948491,0.46378672,0.46378672,0.46378672,0.46378672,0.46378672,0.58836248
1951,0.23261162,0.03341481,0.03341481,0.03341481,0.03341481,0.00443455,0.00443455,0.00443455,0.00443455,0.00443455,0.00333476,0.00333476,0.00333476,0.00333476,0.00333476,0.00461129,0.00461129,0.00461129,0.00461129,0.00461129,0.00625945,0.00625945,0.00625945,0.00625945,0.00625945,0.00694108,0.00694108,0.00694108,0.00694108,0.00694108,0.0079208,0.0079208,0.0079208,0.0079208,0.0079208,0.00921775,0.00921775,0.00921775,0.00921775,0.00921775,0.01098182,0.01098182,0.01098182,0.01098182,0.01098182,0.01323565,0.01323565,0.01323565,0.01323565,0.01323565,0.01769136,0.01769136,0.01769136,0.01769136,0.01769136,0.02365096,0.02365096,0.02365096,0.02365096,0.02365096,0.03452481,0.03452481,0.03452481,0.03452481,0.03452481,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.07488883,0.07488883,0.07488883,0.07488883,0.07488883,0.11437376,0.11437376,0.11437376,0.11437376,0.11437376,0.17250397,0.17250397,0.17250397,0.17250397,0.17250397,0.25141493,0.25141493,0.25141493,0.25141493,0.25141493,0.34948491,0.34948491,0.34948491,0.34948491,0.34948491,0.46378672,0.46378672,0.46378672,0.46378672,0.46378672,0.58836248
1952,0.23261162,0.03341481,0.03341481,0.03341481,0.03341481,0.00443455,0.00443455,0.00443455,0.00443455,0.00443455,0.00333476,0.00333476,0.00333476,0.00333476,0.00333476,0.00461129,0.00461129,0.00461129,0.00461129,0.00461129,0.00625945,0.00625945,0.00625945,0.00625945,0.00625945,0.00694108,0.00694108,0.00694108,0.00694108,0.00694108,0.0079208,0.0079208,0.0079208,0.0079208,0.0079208,0.00921775,0.00921775,0.00921775,0.00921775,0.00921775,0.01098182,0.01098182,0.01098182,0.01098182,0.01098182,0.01323565,0.01323565,0.01323565,0.01323565,0.01323565,0.01769136,0.01769136,0.01769136,0.01769136,0.01769136,0.02365096,0.02365096,0.02365096,0.02365096,0.02365096,0.03452481,0.03452481,0.03452481,0.03452481,0.03452481,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.07488883,0.07488883,0.07488883,0.07488883,0.07488883,0.11437376,0.11437376,0.11437376,0.11437376,0.11437376,0.17250397,0.17250397,0.17250397,0.17250397,0.17250397,0.25141493,0.25141493,0.25141493,0.25141493,0.25141493,0.34948491,0.34948491,0.34948491,0.34948491,0.34948491,0.46378672,0.46378672,0.46378672,0.46378672,0.46378672,0.58836248
1953,0.23261162,0.03341481,0.03341481,0.03341481,0.03341481,0.00443455,0.00443455,0.00443455,0.00443455,0.00443455,0.00333476,0.00333476,0.00333476,0.00333476,0.00333476,0.00461129,0.00461129,0.00461129,0.00461129,0.00461129,0.00625945,0.00625945,0.00625945,0.00625945,0.00625945,0.00694108,0.00694108,0.00694108,0.00694108,0.00694108,0.0079208,0.0079208,0.0079208,0.0079208,0.0079208,0.00921775,0.00921775,0.00921775,0.00921775,0.00921775,0.01098182,0.01098182,0.01098182,0.01098182,0.01098182,0.01323565,0.01323565,0.01323565,0.01323565,0.01323565,0.01769136,0.01769136,0.01769136,0.01769136,0.01769136,0.02365096,0.02365096,0.02365096,0.02365096,0.02365096,0.03452481,0.03452481,0.03452481,0.03452481,0.03452481,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.07488883,0.07488883,0.07488883,0.07488883,0.07488883,0.11437376,0.11437376,0.11437376,0.11437376,0.11437376,0.17250397,0.17250397,0.17250397,0.17250397,0.17250397,0.25141493,0.25141493,0.25141493,0.25141493,0.25141493,0.34948491,0.34948491,0.34948491,0.34948491,0.34948491,0.46378672,0.46378672,0.46378672,0.46378672,0.46378672,0.58836248
1954,0.23261162,0.03341481,0.03341481,0.03341481,0.03341481,0.00443455,0.00443455,0.00443455,0.00443455,0.00443455,0.00333476,0.00333476,0.00333476,0.00333476,0.00333476,0.00461129,0.00461129,0.00461129,0.00461129,0.00461129,0.00625945,0.00625945,0.00625945,0.00625945,0.00625945,0.00694108,0.00694108,0.00694108,0.00694108,0.00694108,0.0079208,0.0079208,0.0079208,0.0079208,0.0079208,0.00921775,0.00921775,0.00921775,0.00921775,0.00921775,0.01098182,0.01098182,0.01098182,0.01098182,0.01098182,0.01323565,0.01323565,0.01323565,0.01323565,0.01323565,0.01769136,0.01769136,0.01769136,0.01769136,0.01769136,0.02365096,0.02365096,0.02365096,0.02365096,0.02365096,0.03452481,0.03452481,0.03452481,0.03452481,0.03452481,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.04963630000000001,0.07488883,0.07488883,0.07488883,0.07488883,0.07488883,0.11437376,0.11437376,0.11437376,0.11437376,0.11437376,0.17250397,0.17250397,0.17250397,0.17250397,0.17250397,0.25141493,0.25141493,0.25141493,0.25141493,0.25141493,0.34948491,0.34948491,0.34948491,0.34948491,0.34948491,0.46378672,0.46378672,0.46378672,0.46378672,0.46378672,0.58836248
1955,0.20514265,0.02931907,0.02931907,0.02931907,0.02931907,0.00400174,0.00400174,0.00400174,0.00400174,0.00400174,0.0029971,0.0029971,0.0029971,0.0029971,0.0029971,0.00425616,0.00425616,0.00425616,0.00425616,0.00425616,0.00581679,0.00581679,0.00581679,0.00581679,0.00581679,0.00645912,0.00645912,0.00645912,0.00645912,0.00645912,0.00735599,0.00735599,0.00735599,0.00735599,0.00735599,0.00856988,0.00856988,0.00856988,0.00856988,0.00856988,0.01023786,0.01023786,0.01023786,0.01023786,0.01023786,0.012464,0.012464,0.012464,0.012464,0.012464,0.01675332,0.01675332,0.01675332,0.01675332,0.01675332,0.02258241,0.02258241,0.02258241,0.02258241,0.02258241,0.03308122,0.03308122,0.03308122,0.03308122,0.03308122,0.04789103,0.04789103,0.04789103,0.04789103,0.04789103,0.07262643,0.07262643,0.07262643,0.07262643,0.07262643,0.11135102,0.11135102,0.11135102,0.11135102,0.11135102,0.16880813,0.16880813,0.16880813,0.16880813,0.16880813,0.24746586,0.24746586,0.24746586,0.24746586,0.24746586,0.34612509,0.34612509,0.34612509,0.34612509,0.34612509,0.46027405,0.46027405,0.46027405,0.46027405,0.46027405,0.59616001
1956,0.20514265,0.02931907,0.02931907,0.02931907,0.02931907,0.00400174,0.00400174,0.00400174,0.00400174,0.00400174,0.0029971,0.0029971,0.0029971,0.0029971,0.0029971,0.00425616,0.00425616,0.00425616,0.00425616,0.00425616,0.00581679,0.00581679,0.00581679,0.00581679,0.00581679,0.00645912,0.00645912,0.00645912,0.00645912,0.00645912,0.00735599,0.00735599,0.00735599,0.00735599,0.00735599,0.00856988,0.00856988,0.00856988,0.00856988,0.00856988,0.01023786,0.01023786,0.01023786,0.01023786,0.01023786,0.012464,0.012464,0.012464,0.012464,0.012464,0.01675332,0.01675332,0.01675332,0.01675332,0.01675332,0.02258241,0.02258241,0.02258241,0.02258241,0.02258241,0.03308122,0.03308122,0.03308122,0.03308122,0.03308122,0.04789103,0.04789103,0.04789103,0.04789103,0.04789103,0.07262643,0.07262643,0.07262643,0.07262643,0.07262643,0.11135102,0.11135102,0.11135102,0.11135102,0.11135102,0.16880813,0.16880813,0.16880813,0.16880813,0.16880813,0.24746586,0.24746586,0.24746586,0.24746586,0.24746586,0.34612509,0.34612509,0.34612509,0.34612509,0.34612509,0.46027405,0.46027405,0.46027405,0.46027405,0.46027405,0.59616001
1957,0.20514265,0.02931907,0.02931907,0.02931907,0.02931907,0.00400174,0.00400174,0.00400174,0.00400174,0.00400174,0.0029971,0.0029971,0.0029971,0.0029971,0.0029971,0.00425616,0.00425616,0.00425616,0.00425616,0.00425616,0.00581679,0.00581679,0.00581679,0.00581679,0.00581679,0.00645912,0.00645912,0.00645912,0.00645912,0.00645912,0.00735599,0.00735599,0.00735599,0.00735599,0.00735599,0.00856988,0.00856988,0.00856988,0.00856988,0.00856988,0.01023786,0.01023786,0.01023786,0.01023786,0.01023786,0.012464,0.012464,0.012464,0.012464,0.012464,0.01675332,0.01675332,0.01675332,0.01675332,0.01675332,0.02258241,0.02258241,0.02258241,0.02258241,0.02258241,0.03308122,0.03308122,0.03308122,0.03308122,0.03308122,0.04789103,0.04789103,0.04789103,0.04789103,0.04789103,0.07262643,0.07262643,0.07262643,0.07262643,0.07262643,0.11135102,0.11135102,0.11135102,0.11135102,0.11135102,0.16880813,0.16880813,0.16880813,0.16880813,0.16880813,0.24746586,0.24746586,0.24746586,0.24746586,0.24746586,0.34612509,0.34612509,0.34612509,0.34612509,0.34612509,0.46027405,0.46027405,0.46027405,0.46027405,0.46027405,0.59616001
1958,0.20514265,0.02931907,0.02931907,0.02931907,0.02931907,0.00400174,0.00400174,0.00400174,0.00400174,0.00400174,0.0029971,0.0029971,0.0029971,0.0029971,0.0029971,0.00425616,0.00425616,0.00425616,0.00425616,0.00425616,0.00581679,0.00581679,0.00581679,0.00581679,0.00581679,0.00645912,0.00645912,0.00645912,0.00645912,0.00645912,0.00735599,0.00735599,0.00735599,0.00735599,0.00735599,0.00856988,0.00856988,0.00856988,0.00856988,0.00856988,0.01023786,0.01023786,0.01023786,0.01023786,0.01023786,0.012464,0.012464,0.012464,0.012464,0.012464,0.01675332,0.01675332,0.01675332,0.01675332,0.01675332,0.02258241,0.02258241,0.02258241,0.02258241,0.02258241,0.03308122,0.03308122,0.03308122,0.03308122,0.03308122,0.04789103,0.04789103,0.04789103,0.04789103,0.04789103,0.07262643,0.07262643,0.07262643,0.07262643,0.07262643,0.11135102,0.11135102,0.11135102,0.11135102,0.11135102,0.16880813,0.16880813,0.16880813,0.16880813,0.16880813,0.24746586,0.24746586,0.24746586,0.24746586,0.24746586,0.34612509,0.34612509,0.34612509,0.34612509,0.34612509,0.46027405,0.46027405,0.46027405,0.46027405,0.46027405,0.59616001
1959,0.20514265,0.02931907,0.02931907,0.02931907,0.02931907,0.00400174,0.00400174,0.00400174,0.00400174,0.00400174,0.0029971,0.0029971,0.0029971,0.0029971,0.0029971,0.00425616,0.00425616,0.00425616,0.00425616,0.00425616,0.00581679,0.00581679,0.00581679,0.00581679,0.00581679,0.00645912,0.00645912,0.00645912,0.00645912,0.00645912,0.00735599,0.00735599,0.00735599,0.00735599,0.00735599,0.00856988,0.00856988,0.00856988,0.00856988,0.00856988,0.01023786,0.01023786,0.01023786,0.01023786,0.01023786,0.012464,0.012464,0.012464,0.012464,0.012464,0.01675332,0.01675332,0.01675332,0.01675332,0.01675332,0.02258241,0.02258241,0.02258241,0.02258241,0.02258241,0.03308122,0.03308122,0.03308122,0.03308122,0.03308122,0.04789103,0.04789103,0.04789103,0.04789103,0.04789103,0.07262643,0.07262643,0.07262643,0.07262643,0.07262643,0.11135102,0.11135102,0.11135102,0.11135102,0.11135102,0.16880813,0.16880813,0.16880813,0.16880813,0.16880813,0.24746586,0.24746586,0.24746586,0.24746586,0.24746586,0.34612509,0.34612509,0.34612509,0.34612509,0.34612509,0.46027405,0.46027405,0.46027405,0.46027405,0.46027405,0.59616001
