Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.09124199,0.00916307,0.00916307,0.00916307,0.00916307,0.00235685,0.00235685,0.00235685,0.00235685,0.00235685,0.00161769,0.00161769,0.00161769,0.00161769,0.00161769,0.00254877,0.00254877,0.00254877,0.00254877,0.00254877,0.00339792,0.00339792,0.00339792,0.00339792,0.00339792,0.00331876,0.00331876,0.00331876,0.00331876,0.00331876,0.00361428,0.00361428,0.00361428,0.00361428,0.00361428,0.00445847,0.00445847,0.00445847,0.00445847,0.00445847,0.00590116,0.00590116,0.00590116,0.00590116,0.00590116,0.00835906,0.00835906,0.00835906,0.00835906,0.00835906,0.01236624,0.01236624,0.01236624,0.01236624,0.01236624,0.01850002,0.01850002,0.01850002,0.01850002,0.01850002,0.02721974,0.02721974,0.02721974,0.02721974,0.02721974,0.04004938,0.04004938,0.04004938,0.04004938,0.04004938,0.06193139,0.06193139,0.06193139,0.06193139,0.06193139,0.09766457,0.09766457,0.09766457,0.09766457,0.09766457,0.15030708,0.15030708,0.15030708,0.15030708,0.15030708,0.22512363,0.22512363,0.22512363,0.22512363,0.22512363,0.31413781,0.31413781,0.31413781,0.31413781,0.31413781,0.42373755,0.42373755,0.42373755,0.42373755,0.42373755,0.54082534
1951,0.09124199,0.00916307,0.00916307,0.00916307,0.00916307,0.00235685,0.00235685,0.00235685,0.00235685,0.00235685,0.00161769,0.00161769,0.00161769,0.00161769,0.00161769,0.00254877,0.00254877,0.00254877,0.00254877,0.00254877,0.00339792,0.00339792,0.00339792,0.00339792,0.00339792,0.00331876,0.00331876,0.00331876,0.00331876,0.00331876,0.00361428,0.00361428,0.00361428,0.00361428,0.00361428,0.00445847,0.00445847,0.00445847,0.00445847,0.00445847,0.00590116,0.00590116,0.00590116,0.00590116,0.00590116,0.00835906,0.00835906,0.00835906,0.00835906,0.00835906,0.01236624,0.01236624,0.01236624,0.01236624,0.01236624,0.01850002,0.01850002,0.01850002,0.01850002,0.01850002,0.02721974,0.02721974,0.02721974,0.02721974,0.02721974,0.04004938,0.04004938,0.04004938,0.04004938,0.04004938,0.06193139,0.06193139,0.06193139,0.06193139,0.06193139,0.09766457,0.09766457,0.09766457,0.09766457,0.09766457,0.15030708,0.15030708,0.15030708,0.15030708,0.15030708,0.22512363,0.22512363,0.22512363,0.22512363,0.22512363,0.31413781,0.31413781,0.31413781,0.31413781,0.31413781,0.42373755,0.42373755,0.42373755,0.42373755,0.42373755,0.54082534
1952,0.09124199,0.00916307,0.00916307,0.00916307,0.00916307,0.00235685,0.00235685,0.00235685,0.00235685,0.00235685,0.00161769,0.00161769,0.00161769,0.00161769,0.00161769,0.00254877,0.00254877,0.00254877,0.00254877,0.00254877,0.00339792,0.00339792,0.00339792,0.00339792,0.00339792,0.00331876,0.00331876,0.00331876,0.00331876,0.00331876,0.00361428,0.00361428,0.00361428,0.00361428,0.00361428,0.00445847,0.00445847,0.00445847,0.00445847,0.00445847,0.00590116,0.00590116,0.00590116,0.00590116,0.00590116,0.00835906,0.00835906,0.00835906,0.00835906,0.00835906,0.01236624,0.01236624,0.01236624,0.01236624,0.01236624,0.01850002,0.01850002,0.01850002,0.01850002,0.01850002,0.02721974,0.02721974,0.02721974,0.02721974,0.02721974,0.04004938,0.04004938,0.04004938,0.04004938,0.04004938,0.06193139,0.06193139,0.06193139,0.06193139,0.06193139,0.09766457,0.09766457,0.09766457,0.09766457,0.09766457,0.15030708,0.15030708,0.15030708,0.15030708,0.15030708,0.22512363,0.22512363,0.22512363,0.22512363,0.22512363,0.31413781,0.31413781,0.31413781,0.31413781,0.31413781,0.42373755,0.42373755,0.42373755,0.42373755,0.42373755,0.54082534
1953,0.09124199,0.00916307,0.00916307,0.00916307,0.00916307,0.00235685,0.00235685,0.00235685,0.00235685,0.00235685,0.00161769,0.00161769,0.00161769,0.00161769,0.00161769,0.00254877,0.00254877,0.00254877,0.00254877,0.00254877,0.00339792,0.00339792,0.00339792,0.00339792,0.00339792,0.00331876,0.00331876,0.00331876,0.00331876,0.00331876,0.00361428,0.00361428,0.00361428,0.00361428,0.00361428,0.00445847,0.00445847,0.00445847,0.00445847,0.00445847,0.00590116,0.00590116,0.00590116,0.00590116,0.00590116,0.00835906,0.00835906,0.00835906,0.00835906,0.00835906,0.01236624,0.01236624,0.01236624,0.01236624,0.01236624,0.01850002,0.01850002,0.01850002,0.01850002,0.01850002,0.02721974,0.02721974,0.02721974,0.02721974,0.02721974,0.04004938,0.04004938,0.04004938,0.04004938,0.04004938,0.06193139,0.06193139,0.06193139,0.06193139,0.06193139,0.09766457,0.09766457,0.09766457,0.09766457,0.09766457,0.15030708,0.15030708,0.15030708,0.15030708,0.15030708,0.22512363,0.22512363,0.22512363,0.22512363,0.22512363,0.31413781,0.31413781,0.31413781,0.31413781,0.31413781,0.42373755,0.42373755,0.42373755,0.42373755,0.42373755,0.54082534
1954,0.09124199,0.00916307,0.00916307,0.00916307,0.00916307,0.00235685,0.00235685,0.00235685,0.00235685,0.00235685,0.00161769,0.00161769,0.00161769,0.00161769,0.00161769,0.00254877,0.00254877,0.00254877,0.00254877,0.00254877,0.00339792,0.00339792,0.00339792,0.00339792,0.00339792,0.00331876,0.00331876,0.00331876,0.00331876,0.00331876,0.00361428,0.00361428,0.00361428,0.00361428,0.00361428,0.00445847,0.00445847,0.00445847,0.00445847,0.00445847,0.00590116,0.00590116,0.00590116,0.00590116,0.00590116,0.00835906,0.00835906,0.00835906,0.00835906,0.00835906,0.01236624,0.01236624,0.01236624,0.01236624,0.01236624,0.01850002,0.01850002,0.01850002,0.01850002,0.01850002,0.02721974,0.02721974,0.02721974,0.02721974,0.02721974,0.04004938,0.04004938,0.04004938,0.04004938,0.04004938,0.06193139,0.06193139,0.06193139,0.06193139,0.06193139,0.09766457,0.09766457,0.09766457,0.09766457,0.09766457,0.15030708,0.15030708,0.15030708,0.15030708,0.15030708,0.22512363,0.22512363,0.22512363,0.22512363,0.22512363,0.31413781,0.31413781,0.31413781,0.31413781,0.31413781,0.42373755,0.42373755,0.42373755,0.42373755,0.42373755,0.54082534
1955,0.08533843,0.00830009,0.00830009,0.00830009,0.00830009,0.00213842,0.00213842,0.00213842,0.00213842,0.00213842,0.00149044,0.00149044,0.00149044,0.00149044,0.00149044,0.00238086,0.00238086,0.00238086,0.00238086,0.00238086,0.00314425,0.00314425,0.00314425,0.00314425,0.00314425,0.00305732,0.00305732,0.00305732,0.00305732,0.00305732,0.00333247,0.00333247,0.00333247,0.00333247,0.00333247,0.00413157,0.00413157,0.00413157,0.00413157,0.00413157,0.00551163,0.00551163,0.00551163,0.00551163,0.00551163,0.00790501,0.00790501,0.00790501,0.00790501,0.00790501,0.01182974,0.01182974,0.01182974,0.01182974,0.01182974,0.01791184,0.01791184,0.01791184,0.01791184,0.01791184,0.02652561,0.02652561,0.02652561,0.02652561,0.02652561,0.03928173,0.03928173,0.03928173,0.03928173,0.03928173,0.06094913,0.06094913,0.06094913,0.06094913,0.06094913,0.09650644,0.09650644,0.09650644,0.09650644,0.09650644,0.14892201,0.14892201,0.14892201,0.14892201,0.14892201,0.2239263,0.2239263,0.2239263,0.2239263,0.2239263,0.31323809,0.31323809,0.31323809,0.31323809,0.31323809,0.422745,0.422745,0.422745,0.422745,0.422745,0.54002722
1956,0.08533843,0.00830009,0.00830009,0.00830009,0.00830009,0.00213842,0.00213842,0.00213842,0.00213842,0.00213842,0.00149044,0.00149044,0.00149044,0.00149044,0.00149044,0.00238086,0.00238086,0.00238086,0.00238086,0.00238086,0.00314425,0.00314425,0.00314425,0.00314425,0.00314425,0.00305732,0.00305732,0.00305732,0.00305732,0.00305732,0.00333247,0.00333247,0.00333247,0.00333247,0.00333247,0.00413157,0.00413157,0.00413157,0.00413157,0.00413157,0.00551163,0.00551163,0.00551163,0.00551163,0.00551163,0.00790501,0.00790501,0.00790501,0.00790501,0.00790501,0.01182974,0.01182974,0.01182974,0.01182974,0.01182974,0.01791184,0.01791184,0.01791184,0.01791184,0.01791184,0.02652561,0.02652561,0.02652561,0.02652561,0.02652561,0.03928173,0.03928173,0.03928173,0.03928173,0.03928173,0.06094913,0.06094913,0.06094913,0.06094913,0.06094913,0.09650644,0.09650644,0.09650644,0.09650644,0.09650644,0.14892201,0.14892201,0.14892201,0.14892201,0.14892201,0.2239263,0.2239263,0.2239263,0.2239263,0.2239263,0.31323809,0.31323809,0.31323809,0.31323809,0.31323809,0.422745,0.422745,0.422745,0.422745,0.422745,0.54002722
1957,0.08533843,0.00830009,0.00830009,0.00830009,0.00830009,0.00213842,0.00213842,0.00213842,0.00213842,0.00213842,0.00149044,0.00149044,0.00149044,0.00149044,0.00149044,0.00238086,0.00238086,0.00238086,0.00238086,0.00238086,0.00314425,0.00314425,0.00314425,0.00314425,0.00314425,0.00305732,0.00305732,0.00305732,0.00305732,0.00305732,0.00333247,0.00333247,0.00333247,0.00333247,0.00333247,0.00413157,0.00413157,0.00413157,0.00413157,0.00413157,0.00551163,0.00551163,0.00551163,0.00551163,0.00551163,0.00790501,0.00790501,0.00790501,0.00790501,0.00790501,0.01182974,0.01182974,0.01182974,0.01182974,0.01182974,0.01791184,0.01791184,0.01791184,0.01791184,0.01791184,0.02652561,0.02652561,0.02652561,0.02652561,0.02652561,0.03928173,0.03928173,0.03928173,0.03928173,0.03928173,0.06094913,0.06094913,0.06094913,0.06094913,0.06094913,0.09650644,0.09650644,0.09650644,0.09650644,0.09650644,0.14892201,0.14892201,0.14892201,0.14892201,0.14892201,0.2239263,0.2239263,0.2239263,0.2239263,0.2239263,0.31323809,0.31323809,0.31323809,0.31323809,0.31323809,0.422745,0.422745,0.422745,0.422745,0.422745,0.54002722
1958,0.08533843,0.00830009,0.00830009,0.00830009,0.00830009,0.00213842,0.00213842,0.00213842,0.00213842,0.00213842,0.00149044,0.00149044,0.00149044,0.00149044,0.00149044,0.00238086,0.00238086,0.00238086,0.00238086,0.00238086,0.00314425,0.00314425,0.00314425,0.00314425,0.00314425,0.00305732,0.00305732,0.00305732,0.00305732,0.00305732,0.00333247,0.00333247,0.00333247,0.00333247,0.00333247,0.00413157,0.00413157,0.00413157,0.00413157,0.00413157,0.00551163,0.00551163,0.00551163,0.00551163,0.00551163,0.00790501,0.00790501,0.00790501,0.00790501,0.00790501,0.01182974,0.01182974,0.01182974,0.01182974,0.01182974,0.01791184,0.01791184,0.01791184,0.01791184,0.01791184,0.02652561,0.02652561,0.02652561,0.02652561,0.02652561,0.03928173,0.03928173,0.03928173,0.03928173,0.03928173,0.06094913,0.06094913,0.06094913,0.06094913,0.06094913,0.09650644,0.09650644,0.09650644,0.09650644,0.09650644,0.14892201,0.14892201,0.14892201,0.14892201,0.14892201,0.2239263,0.2239263,0.2239263,0.2239263,0.2239263,0.31323809,0.31323809,0.31323809,0.31323809,0.31323809,0.422745,0.422745,0.422745,0.422745,0.422745,0.54002722
1959,0.08533843,0.00830009,0.00830009,0.00830009,0.00830009,0.00213842,0.00213842,0.00213842,0.00213842,0.00213842,0.00149044,0.00149044,0.00149044,0.00149044,0.00149044,0.00238086,0.00238086,0.00238086,0.00238086,0.00238086,0.00314425,0.00314425,0.00314425,0.00314425,0.00314425,0.00305732,0.00305732,0.00305732,0.00305732,0.00305732,0.00333247,0.00333247,0.00333247,0.00333247,0.00333247,0.00413157,0.00413157,0.00413157,0.00413157,0.00413157,0.00551163,0.00551163,0.00551163,0.00551163,0.00551163,0.00790501,0.00790501,0.00790501,0.00790501,0.00790501,0.01182974,0.01182974,0.01182974,0.01182974,0.01182974,0.01791184,0.01791184,0.01791184,0.01791184,0.01791184,0.02652561,0.02652561,0.02652561,0.02652561,0.02652561,0.03928173,0.03928173,0.03928173,0.03928173,0.03928173,0.06094913,0.06094913,0.06094913,0.06094913,0.06094913,0.09650644,0.09650644,0.09650644,0.09650644,0.09650644,0.14892201,0.14892201,0.14892201,0.14892201,0.14892201,0.2239263,0.2239263,0.2239263,0.2239263,0.2239263,0.31323809,0.31323809,0.31323809,0.31323809,0.31323809,0.422745,0.422745,0.422745,0.422745,0.422745,0.54002722
