Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.06763869,0.00633845,0.00633845,0.00633845,0.00633845,0.00147191,0.00147191,0.00147191,0.00147191,0.00147191,0.00103303,0.00103303,0.00103303,0.00103303,0.00103303,0.00174354,0.00174354,0.00174354,0.00174354,0.00174354,0.00196977,0.00196977,0.00196977,0.00196977,0.00196977,0.00282837,0.00282837,0.00282837,0.00282837,0.00282837,0.00361503,0.00361503,0.00361503,0.00361503,0.00361503,0.00556524,0.00556524,0.00556524,0.00556524,0.00556524,0.00808293,0.00808293,0.00808293,0.00808293,0.00808293,0.01192487,0.01192487,0.01192487,0.01192487,0.01192487,0.01932027,0.01932027,0.01932027,0.01932027,0.01932027,0.02962173,0.02962173,0.02962173,0.02962173,0.02962173,0.04807068,0.04807068,0.04807068,0.04807068,0.04807068,0.06783398,0.06783398,0.06783398,0.06783398,0.06783398,0.09332252,0.09332252,0.09332252,0.09332252,0.09332252,0.13486324,0.13486324,0.13486324,0.13486324,0.13486324,0.18786033,0.18786033,0.18786033,0.18786033,0.18786033,0.25893588,0.25893588,0.25893588,0.25893588,0.25893588,0.35034353,0.35034353,0.35034353,0.35034353,0.35034353,0.46440957,0.46440957,0.46440957,0.46440957,0.46440957,0.5759454
1951,0.06763869,0.00633845,0.00633845,0.00633845,0.00633845,0.00147191,0.00147191,0.00147191,0.00147191,0.00147191,0.00103303,0.00103303,0.00103303,0.00103303,0.00103303,0.00174354,0.00174354,0.00174354,0.00174354,0.00174354,0.00196977,0.00196977,0.00196977,0.00196977,0.00196977,0.00282837,0.00282837,0.00282837,0.00282837,0.00282837,0.00361503,0.00361503,0.00361503,0.00361503,0.00361503,0.00556524,0.00556524,0.00556524,0.00556524,0.00556524,0.00808293,0.00808293,0.00808293,0.00808293,0.00808293,0.01192487,0.01192487,0.01192487,0.01192487,0.01192487,0.01932027,0.01932027,0.01932027,0.01932027,0.01932027,0.02962173,0.02962173,0.02962173,0.02962173,0.02962173,0.04807068,0.04807068,0.04807068,0.04807068,0.04807068,0.06783398,0.06783398,0.06783398,0.06783398,0.06783398,0.09332252,0.09332252,0.09332252,0.09332252,0.09332252,0.13486324,0.13486324,0.13486324,0.13486324,0.13486324,0.18786033,0.18786033,0.18786033,0.18786033,0.18786033,0.25893588,0.25893588,0.25893588,0.25893588,0.25893588,0.35034353,0.35034353,0.35034353,0.35034353,0.35034353,0.46440957,0.46440957,0.46440957,0.46440957,0.46440957,0.5759454
1952,0.06763869,0.00633845,0.00633845,0.00633845,0.00633845,0.00147191,0.00147191,0.00147191,0.00147191,0.00147191,0.00103303,0.00103303,0.00103303,0.00103303,0.00103303,0.00174354,0.00174354,0.00174354,0.00174354,0.00174354,0.00196977,0.00196977,0.00196977,0.00196977,0.00196977,0.00282837,0.00282837,0.00282837,0.00282837,0.00282837,0.00361503,0.00361503,0.00361503,0.00361503,0.00361503,0.00556524,0.00556524,0.00556524,0.00556524,0.00556524,0.00808293,0.00808293,0.00808293,0.00808293,0.00808293,0.01192487,0.01192487,0.01192487,0.01192487,0.01192487,0.01932027,0.01932027,0.01932027,0.01932027,0.01932027,0.02962173,0.02962173,0.02962173,0.02962173,0.02962173,0.04807068,0.04807068,0.04807068,0.04807068,0.04807068,0.06783398,0.06783398,0.06783398,0.06783398,0.06783398,0.09332252,0.09332252,0.09332252,0.09332252,0.09332252,0.13486324,0.13486324,0.13486324,0.13486324,0.13486324,0.18786033,0.18786033,0.18786033,0.18786033,0.18786033,0.25893588,0.25893588,0.25893588,0.25893588,0.25893588,0.35034353,0.35034353,0.35034353,0.35034353,0.35034353,0.46440957,0.46440957,0.46440957,0.46440957,0.46440957,0.5759454
1953,0.06763869,0.00633845,0.00633845,0.00633845,0.00633845,0.00147191,0.00147191,0.00147191,0.00147191,0.00147191,0.00103303,0.00103303,0.00103303,0.00103303,0.00103303,0.00174354,0.00174354,0.00174354,0.00174354,0.00174354,0.00196977,0.00196977,0.00196977,0.00196977,0.00196977,0.00282837,0.00282837,0.00282837,0.00282837,0.00282837,0.00361503,0.00361503,0.00361503,0.00361503,0.00361503,0.00556524,0.00556524,0.00556524,0.00556524,0.00556524,0.00808293,0.00808293,0.00808293,0.00808293,0.00808293,0.01192487,0.01192487,0.01192487,0.01192487,0.01192487,0.01932027,0.01932027,0.01932027,0.01932027,0.01932027,0.02962173,0.02962173,0.02962173,0.02962173,0.02962173,0.04807068,0.04807068,0.04807068,0.04807068,0.04807068,0.06783398,0.06783398,0.06783398,0.06783398,0.06783398,0.09332252,0.09332252,0.09332252,0.09332252,0.09332252,0.13486324,0.13486324,0.13486324,0.13486324,0.13486324,0.18786033,0.18786033,0.18786033,0.18786033,0.18786033,0.25893588,0.25893588,0.25893588,0.25893588,0.25893588,0.35034353,0.35034353,0.35034353,0.35034353,0.35034353,0.46440957,0.46440957,0.46440957,0.46440957,0.46440957,0.5759454
1954,0.06763869,0.00633845,0.00633845,0.00633845,0.00633845,0.00147191,0.00147191,0.00147191,0.00147191,0.00147191,0.00103303,0.00103303,0.00103303,0.00103303,0.00103303,0.00174354,0.00174354,0.00174354,0.00174354,0.00174354,0.00196977,0.00196977,0.00196977,0.00196977,0.00196977,0.00282837,0.00282837,0.00282837,0.00282837,0.00282837,0.00361503,0.00361503,0.00361503,0.00361503,0.00361503,0.00556524,0.00556524,0.00556524,0.00556524,0.00556524,0.00808293,0.00808293,0.00808293,0.00808293,0.00808293,0.01192487,0.01192487,0.01192487,0.01192487,0.01192487,0.01932027,0.01932027,0.01932027,0.01932027,0.01932027,0.02962173,0.02962173,0.02962173,0.02962173,0.02962173,0.04807068,0.04807068,0.04807068,0.04807068,0.04807068,0.06783398,0.06783398,0.06783398,0.06783398,0.06783398,0.09332252,0.09332252,0.09332252,0.09332252,0.09332252,0.13486324,0.13486324,0.13486324,0.13486324,0.13486324,0.18786033,0.18786033,0.18786033,0.18786033,0.18786033,0.25893588,0.25893588,0.25893588,0.25893588,0.25893588,0.35034353,0.35034353,0.35034353,0.35034353,0.35034353,0.46440957,0.46440957,0.46440957,0.46440957,0.46440957,0.5759454
1955,0.04973943,0.00491123,0.00491123,0.00491123,0.00491123,0.00108462,0.00108462,0.00108462,0.00108462,0.00108462,0.00101909,0.00101909,0.00101909,0.00101909,0.00101909,0.00110475,0.00110475,0.00110475,0.00110475,0.00110475,0.00138455,0.00138455,0.00138455,0.00138455,0.00138455,0.00176961,0.00176961,0.00176961,0.00176961,0.00176961,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.00359973,0.00359973,0.00359973,0.00359973,0.00359973,0.00591472,0.00591472,0.00591472,0.00591472,0.00591472,0.00950085,0.00950085,0.00950085,0.00950085,0.00950085,0.01638849,0.01638849,0.01638849,0.01638849,0.01638849,0.02402259,0.02402259,0.02402259,0.02402259,0.02402259,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.06091943,0.06091943,0.06091943,0.06091943,0.06091943,0.10665353,0.10665353,0.10665353,0.10665353,0.10665353,0.14453075,0.14453075,0.14453075,0.14453075,0.14453075,0.21806526,0.21806526,0.21806526,0.21806526,0.21806526,0.32059528,0.32059528,0.32059528,0.32059528,0.32059528,0.44752431,0.44752431,0.44752431,0.44752431,0.44752431,0.59315064,0.59315064,0.59315064,0.59315064,0.59315064,0.71847519
1956,0.04973943,0.00491123,0.00491123,0.00491123,0.00491123,0.00108462,0.00108462,0.00108462,0.00108462,0.00108462,0.00101909,0.00101909,0.00101909,0.00101909,0.00101909,0.00110475,0.00110475,0.00110475,0.00110475,0.00110475,0.00138455,0.00138455,0.00138455,0.00138455,0.00138455,0.00176961,0.00176961,0.00176961,0.00176961,0.00176961,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.00359973,0.00359973,0.00359973,0.00359973,0.00359973,0.00591472,0.00591472,0.00591472,0.00591472,0.00591472,0.00950085,0.00950085,0.00950085,0.00950085,0.00950085,0.01638849,0.01638849,0.01638849,0.01638849,0.01638849,0.02402259,0.02402259,0.02402259,0.02402259,0.02402259,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.06091943,0.06091943,0.06091943,0.06091943,0.06091943,0.10665353,0.10665353,0.10665353,0.10665353,0.10665353,0.14453075,0.14453075,0.14453075,0.14453075,0.14453075,0.21806526,0.21806526,0.21806526,0.21806526,0.21806526,0.32059528,0.32059528,0.32059528,0.32059528,0.32059528,0.44752431,0.44752431,0.44752431,0.44752431,0.44752431,0.59315064,0.59315064,0.59315064,0.59315064,0.59315064,0.71847519
1957,0.04973943,0.00491123,0.00491123,0.00491123,0.00491123,0.00108462,0.00108462,0.00108462,0.00108462,0.00108462,0.00101909,0.00101909,0.00101909,0.00101909,0.00101909,0.00110475,0.00110475,0.00110475,0.00110475,0.00110475,0.00138455,0.00138455,0.00138455,0.00138455,0.00138455,0.00176961,0.00176961,0.00176961,0.00176961,0.00176961,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.00359973,0.00359973,0.00359973,0.00359973,0.00359973,0.00591472,0.00591472,0.00591472,0.00591472,0.00591472,0.00950085,0.00950085,0.00950085,0.00950085,0.00950085,0.01638849,0.01638849,0.01638849,0.01638849,0.01638849,0.02402259,0.02402259,0.02402259,0.02402259,0.02402259,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.06091943,0.06091943,0.06091943,0.06091943,0.06091943,0.10665353,0.10665353,0.10665353,0.10665353,0.10665353,0.14453075,0.14453075,0.14453075,0.14453075,0.14453075,0.21806526,0.21806526,0.21806526,0.21806526,0.21806526,0.32059528,0.32059528,0.32059528,0.32059528,0.32059528,0.44752431,0.44752431,0.44752431,0.44752431,0.44752431,0.59315064,0.59315064,0.59315064,0.59315064,0.59315064,0.71847519
1958,0.04973943,0.00491123,0.00491123,0.00491123,0.00491123,0.00108462,0.00108462,0.00108462,0.00108462,0.00108462,0.00101909,0.00101909,0.00101909,0.00101909,0.00101909,0.00110475,0.00110475,0.00110475,0.00110475,0.00110475,0.00138455,0.00138455,0.00138455,0.00138455,0.00138455,0.00176961,0.00176961,0.00176961,0.00176961,0.00176961,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.00359973,0.00359973,0.00359973,0.00359973,0.00359973,0.00591472,0.00591472,0.00591472,0.00591472,0.00591472,0.00950085,0.00950085,0.00950085,0.00950085,0.00950085,0.01638849,0.01638849,0.01638849,0.01638849,0.01638849,0.02402259,0.02402259,0.02402259,0.02402259,0.02402259,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.06091943,0.06091943,0.06091943,0.06091943,0.06091943,0.10665353,0.10665353,0.10665353,0.10665353,0.10665353,0.14453075,0.14453075,0.14453075,0.14453075,0.14453075,0.21806526,0.21806526,0.21806526,0.21806526,0.21806526,0.32059528,0.32059528,0.32059528,0.32059528,0.32059528,0.44752431,0.44752431,0.44752431,0.44752431,0.44752431,0.59315064,0.59315064,0.59315064,0.59315064,0.59315064,0.71847519
1959,0.04973943,0.00491123,0.00491123,0.00491123,0.00491123,0.00108462,0.00108462,0.00108462,0.00108462,0.00108462,0.00101909,0.00101909,0.00101909,0.00101909,0.00101909,0.00110475,0.00110475,0.00110475,0.00110475,0.00110475,0.00138455,0.00138455,0.00138455,0.00138455,0.00138455,0.00176961,0.00176961,0.00176961,0.00176961,0.00176961,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.0023076999999999998,0.00359973,0.00359973,0.00359973,0.00359973,0.00359973,0.00591472,0.00591472,0.00591472,0.00591472,0.00591472,0.00950085,0.00950085,0.00950085,0.00950085,0.00950085,0.01638849,0.01638849,0.01638849,0.01638849,0.01638849,0.02402259,0.02402259,0.02402259,0.02402259,0.02402259,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.041889499999999996,0.06091943,0.06091943,0.06091943,0.06091943,0.06091943,0.10665353,0.10665353,0.10665353,0.10665353,0.10665353,0.14453075,0.14453075,0.14453075,0.14453075,0.14453075,0.21806526,0.21806526,0.21806526,0.21806526,0.21806526,0.32059528,0.32059528,0.32059528,0.32059528,0.32059528,0.44752431,0.44752431,0.44752431,0.44752431,0.44752431,0.59315064,0.59315064,0.59315064,0.59315064,0.59315064,0.71847519
