Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,80499,77212,74222,71524,69113,66982,65125,63535,62207,61135,60250,59486,59144,59342,59889,60517,61327,61771,61562,60958,60256,59094,58861,60179,62217,64099.00000000001,66698,65901,59797,50629,42056,32758.000000000004,27844,30041,36712,42612,48932,53206,53726,51826,50553,49300,48151,47455,46983,46162,45109,43935,42634,41217,39760,38329,36604,34460,32094,29773,27378,25525,24529,24090,23601,23193,22623,21710,20588,19567,18584,17628,16725,15856,14974,14085,13203,12330,11461,10607,9784,8896,7897,6845,5838,4853,3986,3293,2733,2202,1714,1305,979,724,476,313,247,175,98,58,48,37,25,13,17
1951,89391,80929,77644,74637,71905,69448,67258,65328,63678,62310,61212,60298,59505,59132,59293,59802,60397,61179,61608,61403,60818,60135,58995,58794,60160,62254,64190,66843,66088,60009,50851,42290,33005,28077,30220,36813,42638,48876,53099,53618,51752,50507,49281,48158,47482,47024,46219,45183,44015,42704,41266,39784,38324,36569,34394,31996,29640,27209,25312,24258,23751,23197,22720,22096,21153,20014,18975,17977,17001,16065.000000000002,15157,14242,13325,12421,11533,10655,9796,8973,8101.000000000001,7145,6152,5206,4285,3484,2853,2354,1877,1454,1109,828,602,392,260,204,144,81,46,36,24,12,15
1952,96028,90055,81243,77964,74944,72183,69683,67436,65437,63727,62323,61201,60258,59437,59034,59159,59629,60192,60943,61357,61155,60591,59929,58810,58642,60054,62201,64188.99999999999,66891,66180,60136,51001,42461,33203,28269,30354,36861,42601,48749,52915,53434,51604,50388,49191,48097,47441,46997,46210,45194,44032,42713,41253,39750,38264,36480,34279,31852,29464,27003,25063,23951,23379,22759,22216,21538,20563,19409,18354,17346,16351,15382,14435,13489,12546,11621,10718,9834,8973,8150,7296,6382,5451,4567,3712,2975,2409,1972,1549,1191,911,677,480,307,207,161,114,63,35,23,11,14
1953,100210,93986,88388,81570,78299,75265,72473,69930,67627,65560,63790,62348,61200,60229,59382,58948,59036,59468,59998,60720,61117,60921,60375,59734,58637,58502,59959,62160,64200,66953,66285,60272,51159,42641,33408,28466,30496,36916,42574,48632,52742,53262,51467,50279,49112,48044,47409,46981,46209,45211,44058,42730,41250,39724,38212,36400,34170,31715,29296,26802,24819,23650,23012,22328,21717,20985,19981,18811,17739,16718,15704,14704,13719,12740,11771,10824,9907,9016,8151.999999999999,7329,6493,5623,4751,3928,3139,2469,1966,1590,1222,928,714,526,359,223,152,119,84,46,23,11,14
1954,101890,96314,91208,86554,81949,78683,75633,72810,70221,67861,65723,63893,62411,61240,60239,59364,58899,58951,59344,59841,60533,60916,60724,60197,59576,58501,58398,59904,62159,64251.99999999999,67056,66432,60448,51350,42849,33635,28681,30654,36994,42573,48546,52603,53122,51362,50202,49063,48023,47407,46993,46239,45259,44112,42775,41274,39724,38184,36343,34085,31599,29146,26618,24592,23364,22660,21910,21232,20446,19410,18224,17135,16101,15067,14035,13011,11999,11003,10034,9102,8204,7337,6513,5695,4866,4054.0000000000005,3294,2568,1965,1525,1209,896,667,517,375,237,140,99,77,53,28,11,12
1955,101165,97108,93184,89407,85789,82343,79080,76014,73158,70524,68106,65897,64007.00000000001,62485,61288,60259,59355,58860,58875,59230,59695,60359,60726,60538,60030,59430,58375,58306,59858,62168,64316,67172,66590,60633,51551,43063,33867,28901,30820,37079,42581,48468,52473,52992,51265,50133,49023,48009,47414,47014,46276,45313,44173,42827,41304,39731,38163,36292,34004,31487,29000,26439,24369,23083,22312,21497,20751,19911,18844,17641,16535,15486,14433,13368,12304,11261,10237,9247,8300,7393,6522,5698,4897,4111,3359,2659,1998,1461,1083,828,570,405,320,224,116,56,46,34,23,10,12
1956,98369,100261,96793,93248,89677,86124,82599,79111,75900,73091,70615,68280,66129,64235,62616,61266,60091,59034,58442,58458,58877,59395,60113,60533,60387,59912,59351,58340,58298,59852,62148,64282,67129,66529,60546,51433,42912,33671,28700,30678,37033,42623,48607,52649,53110,51266,50028,48806,47707,47074,46668,45915,44929,43785,42463,40980,39447,37929,36062,33700,31064,28465,25781,23635,22345,21617,20836,20130,19303,18196,16922,15759,14654,13564,12492,11444,10417,9413,8447,7528,6653,5818,5031,4282,3567,2897,2266,1690,1240,917,689,469,335,265,185,95,46,35,23,11,12
1957,94300,95030,99467,96582,93415,90045,86554,82947,79229,75868,73104,70783,68529,66435,64535,62816,61310,59989,58776,58088,58104,58589,59159,59934,60407,60303,59860,59337,58370,58355,59912,62197,64319.99999999999,67159,66542,60524,51372,42807,33511,28530,30571,37028,42712,48800,52883,53287,51324,49976,48642,47456,46785,46374,45604,44594,43445,42147,40702,39206,37738,35871,33433,30674,27961,25153,22927,21633,20946,20198,19532,18715,17568,16222.999999999998,15000,13838,12709,11631,10596,9584,8599,7658,6764,5919,5119,4370,3672,3027,2439,1877,1384,1020.9999999999999,752,550,369,265,209,145,74,37,23,11,11
1958,89672,92926,94775,98661,96362,93571,90403,86976,83288,79339,75829,73109,70944,68772,66733,64828,63010,61347,59880,58513,57729,57745,58293,58918,59749,60276,60212,59802,59317,58394,58406,59967,62238,64352.00000000001,67184,66547,60497,51304,42698,33347,28358,30461,37020,42797,48988,53113,53459,51376,49920,48473,47201,46491,46075,45288,44253,43101,41826,40419,38961,37542,35676,33162,30282,27453,24522,22215,20917,20272,19558,18932,18125,16937,15522,14239,13019,11851,10765,9746,8748,7784,6865,5999,5184,4419,3707,3060,2485,1979,1485,1076,802,585,411,269,196,154,106,53,25,11,11
1959,85370,90594,94060,95956,97756,96046,93635,90673,87312,83546,79371,75715,73042,71035,68947,66966,65058.00000000001,63141,61324,59714,58191,57311,57328,57940,58618,59504,60084,60062,59685,59239,58359,58400,59963,62219,64319.99999999999,67142,66487,60411,51188,42548,33152,28158,30320,36976,42840,49128,53290,53578,51378,49816,48256,46899,46152,45730,44928,43870,42714,41464,40096,38678,37311,35447,32860,29860,26918,23865,21482,20180,19578,18898,18312,17517,16290,14805,13463,12187,10981,9890,8886,7903,6959,6067,5226,4443,3715,3041,2445,1941,1518,1093,767,581,419,271,168,125,97,67,32,11,11
