Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,218361,209414,201222,193728,186874,180604,174861,169587,164726,160221,156082,152317,148538,144554,140508,136698,133021,129645.00000000001,126669,123968,121366,118957,116333,113293,110051,106920,103712,101152,99592,98624,97592,96752,95112,92152,88392,84776,81000,77960,76160,75104,73920,72936,71136,67976,64032,60304,56448,53608,52408,52232,51923,51813,51013,48997,46254,43715,41090,39106,38186,37904,37469,37105,36185,34338,31903,29576,27200,25047,23320,21857,20353,18937,17301,15285,13088,11019,8949,7425,6729,6580,6420,6366,6163,5626,4888,4275,3734,3188,2635,2094,1466,964,779,571,342,222,184,143,99,52,75
1951,242674,214921,205827,197743,190556,184155,178495,173532,168820,164113,159501,155328,151541,147745,143779,139772,135969,132282,128896.99999999999,125921,123225,120623,118209,115584,112546,109308,106181,102978,100418,98851,97872,96830,95979,94334,91379,87631,84026,80262,77230,75432,74373,73187,72198,70401,67257,63335,59626,55790,52956,51739,51531,51191,51043,50215,48190,45447,42903,40275,38269,37297,36944,36442,36011,35038,33161,30715,28379,26000,23841,22099,20619,19105,17675,16062.000000000002,14120,12031,10067,8112,6664,5976,5794,5611,5535,5330,4832,4160,3597,3117,2655,2183,1715,1192,787,635,465,278,155,120,83,44,66
1952,261940,239133,211181,201953,193987,187117,181177,176134,171956,167810,163264,158551,154352,150548,146739,142799,138835,135046,131353,127964,124992,122305,119707,117293,114669,111638,108410,105290,102097,99541,97969,96980,95929,95068,93421,90476,86744,83156,79410,76391,74597,73537,72350,71358,69567,66442,62548,58864,55054,52230,50997,50758,50386,50201,49347,47315,44576,42032,39405,37380,36356,35933,35365,34867,33842,31941,29487,27144,24765,22605,20850,19356,17832,16391,14802,12938,10959,9103,7266,5895,5217,5002,4797,4697,4493,4034,3429,2917,2497,2121,1729,1334,917,610,491,359,214,100,69,37,57
1953,276505,250502,228813,207749,198375,190516,183953,178464,174029,170628,167041,162648,157828,153597,149771,145944,142023,138097,134317,130613,127216,124244,121561,118963,116545,113920,110891,107667,104552,101362,98807,97228,96228,95167,94295,92643,89704,85984,82406,78673,75662,73869,72807,71618,70621,68833,65724,61852,58187,54398,51579,50330,50059,49655,49433,48552,46510,43770,41222,38593,36546,35470,34977,34342,33776,32698.999999999996,30769,28303,25951,23570,21403,19634,18123,16589,15134,13567,11779,9906,8154.999999999999,6433,5137,4467,4219,3992,3869,3664,3245,2704,2242,1882,1590,1280,957,645,433,348,253,150,58,31,50
1954,286627,260011.00000000003,237695,219274,204725,195185,187418,181148,176100,172265,169634,166599,162351,157415,153143,149287,145436,141526,137630,133852,130128.99999999999,126717,123739,121056,118452,116026,113394,110361,107135,104018,100827,98267,96678,95665,94592,93707,92047,89107,85392,81818,78090,75082,73287,72220,71026,70023,68234,65135.00000000001,61277,57624,53848,51029,49761,49458,49021,48762,47851,45795,43051,40493,37857,35784,34653,34088,33386,32750.999999999996,31619,29656,27175,24809,22420,20243,18456,16925,15377,13907,12359,10641,8872,7222,5612,4388,3725,3445,3195,3048,2842,2461,1985,1572,1271,1063,832,581,374,258,205,148,87,27,43
1955,292575,267737,246584,228787,214014,201934,192218,184534,178551,173938,170700,168840,166356,162248,157189,152871,148981,145100,141196,137327,133545,129799,126368,123380,120694,118081,115644,113002,109962,106730,103606,100410,97842,96241,95214,94127,93229,91559,88615,84899,81325,77598,74589,72790,71717,70518,69506,67715,64620.99999999999,60773,57129,53361,50539,49250,48914,48444,48146,47205,45133,42380,39809,37163,35062,33875,33237,32466,31762,30572,28576,26075,23692,21293,19104,17295,15744,14180,12691,11160,9513,7845,6294,4795,3642,2985,2671,2398,2228,2020,1677,1265,901,659,535,384,205,102,82,62,43,23,37
1956,293221,284426,262436,243295,226799,212741,200805,190677,182697,176881,172692,169588,167684,165170,161086,156081,151782,147887,144006,140112,136257,132485,128747.99999999999,125322,122337,119652,117040,114601,111961,108928,105707,102593,99408,96844,95236,94194,93095,92181,90509,87582,83895,80348,76650,73660,71860,70775,69564,68537,66741,63662,59838,56213,52465,49645,48328,47948,47432,47085,46104,44014,41253,38672,36020,33892,32644,31924,31080,30303,29067,27064,24586,22228,19864,17711,15935,14417,12895,11448,9989,8456,6929,5517,4162,3122,2527,2240,2005.9999999999998,1857,1675,1383,1033,731,535,434,311,166,72,55,37,20,31
1957,292458,276382,277193,257971.99999999997,240778,225526,212137,200307,189736,181438,175769,171989,169009,167056,164504,160431,155464,151170,147259,143366,139469,135617,131843,128102,124671,121680,118987,116367,113920,111274,108239,105017,101903,98720,96152,94531,93472,92357,91425,89745,86825,83157,79626,75945,72964,71158,70057,68831,67786,65980,62904,59092,55475,51736,48909,47562,47134,46573,46174,45151,43035,40259,37660,34994,32832,31518,30716,29795,28943,27657,25642,23179,20839,18503,16379.000000000002,14630,13140,11654,10245,8852,7429,6038,4759,3544,2614,2078,1817,1622,1493,1337,1094,806,563,414,335,240,127,49,33,18,27
1958,291422,280447,269262,270328,253854,238584,224558,211820,200080,189052,180424,174894,171518,168658,166654,164060,159993,155057,150762,146831,142919,139014,135160,131379,127629,124188,121187,118483,115852,113393,110737,107695,104469,101351,98165,95590,93954,92877,91743,90792,89101,86186,82530,79010,75342,72366,70551,69433,68190,67126,65307,62231,58426,54812,51076,48238,46858,46384,45775,45324,44258,42114,39318,36698,34015,31816,30434,29547,28550,27622,26283,24253,21802,19477,17164,15068,13343,11880,10428,9054,7727,6412,5154,4006.9999999999995,2930,2109,1631,1396,1240,1131,1000,807,579,396,293,236,168,89,30,16,22
1959,291568,284810,276726,267551,263451,249730,236388,223592,211506,199856,188370,179410,174020,171049,168310,166254,163618,159556,154652,150356,146403,142474,138561,134704,130917,127157,123707,120694,117980,115337,112866,110200,107152,103922,100799,97611,95028,93377,92281,91129,90159,88458,85546,81903,78394,74739,71767,69944,68809,67549,66465,64632.99999999999,61558,57759,54148,50416,47567,46154,45632,44976,44473,43363,41191,38376,35734,33033,30798,29348,28377,27301,26297,24907,22862,20422,18111,15823,13754,12052,10616,9199,7860,6598,5392,4268,3253,2315,1602,1183,974,856,767,661,518,351,229,171,137,97,51,14,19
