Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,662260,629678,603312,582300,565779,552883,542752,534522,527329,520311.00000000006,514650,511528,499855,474676,441264,409756,378014,351549,334090,322999,311185,299205,291367,288829,289624,291089,294313,293307,284999,272209,260668,249037,239710,234395,231685,228171,224179,220859,218326,216007,213844,212605,207484,196321,181609,167516,152636,142218,139109,140617,141335,142515,141687,137131,130231,123956,117555,111925,107763,104382,100650,97086,91943,84336,75262,66508,57594,50117,45014,41493,37927,34773,31227,26767,21920,17552,13270,10426,9708,10353,10994,12010,12157,10708,8295,6245,4266,2727,1936,1650,1256,943,757,586,427,343,298,244,182,111,216
1951,637201,644838,615492,591543,572245,556854,544526,534421,526272,519527.00000000006,513149,507838,504868,493398,468552,435542,404371,372927,346715,329449,318501,306818,294965,287186,284620,285329,286703,289807,288752,280514,267865,256442.99999999997,244933,235687,230385,227642,224111,220111,216755,214146,211733,209473,208113,202968,191935,177441,163550,148891,138580,135396,136710,137256,138254,137298,132715,125852,119606,113249,107633,103422,99964,96178,92560,87462,80048,71263,62797,54194,46981,42046,38635,35191,32134.999999999996,28760,24595,20104,16075,12161,9497,8665,9016,9393,10107,10135,8878,6849,5137,3496,2251,1600,1346,1018.9999999999999,767,615,475,346,231,187,139,87,179
1952,630446,601048,633253,606839,585063,567288,552880,541007,530845,522710.00000000006,516350,510555,505549,502709,491339,466586,433658,402521,371070,344861,327627,316725,305070,293238,285456,282848,283497,284806,287837,286736,278500,265882,254482,242991,233747,228412,225615,222033,217990,214568,211867,209346,206976,205492,200281,189276,174866,161048,146475,136177,132886,134021,134401,135226,134136,129483,122594,116320,109952,104296,99998,96434,92561,88858,83761,76475,67903,59651,51285,44269,39459,36129,32775,29788,26555,22646,18473,14743,11164,8655,7701,7766,7883,8304,8216,7138,5473,4078.9999999999995,2760,1798,1278,1056,794,600,481,370,268,145,108,70,149
1953,645492,619141,597289,624208,600624,580937,564618,551136,539673,529410,521256.99999999994,515260.99999999994,510028,505311,502593,491274,466508,433516,402277,370682,344360,327086,316187,304514,292654,284838,282184,282777,284034,287010,285864,277600,264962,253539,242023,232741,227353,224490,220844,216739,213240,210436,207798,205313,203699,198402,187381,172994,159192,144642,134313,130902.99999999999,131861,132076,132732,131500,126759,119815,113486,107079,101362,96960,93274,89299,85495,80378,73192,64799.00000000001,56729,48567,41723,37018,33756,30480,27551,24446,20781,16907,13466,10206,7845,6766,6543,6399,6528,6323,5420,4114,3035,2033,1350,960,768,571,433,346,266,192,85,55,124
1954,683212,655665,631747,611111,615341,594601,577013,562154,549601,538544,528174,519999,514368.00000000006,509701,505272,502678,491406,466614,433544,402187,370430,343983,326661,315760,304064,292173,284320,281618,282159,283365,286287,285096,276800,264139,252687,241140,231819,226374,223444,219731,215562,211983,209075,206321,203717,201973,196588,185546,171177,157383,142852,132486,128953,129735.99999999999,129783.99999999999,130270.00000000001,128895.00000000001,124063,117060,110674,104225,98444,93935,90124,86046,82139,77000,69912,61697,53806,45848,39175,34574,31379,28178,25307,22331,18908,15338,12185,9245,7032,5825,5313,4907,4740,4418,3691,2745,1984,1301,900,642,480,346,266,212,162,115,46,103
1955,741933,707383,676802,649876,626289,605728,587878,572424,559053,547448,536812,526345,518155,512898,508806,504673,502204,490994,466203,433090,401650,369767,343224,325872,314983,303275,291366,283485,280738,281224,282376,285241,284008,275689,263017,251549,239985,230633,225138,222142,218367,214139,210484,207474,204605,201885,200012,194544,183493,169157,155388,140891,130502.00000000001,126849,127452,127334,127646,126131,121211,114158,107721,101238,95399,90786,86856,82676,78671,73515,66534,58506,50806,43060,36566,32075.000000000004,28950,25831,23022,20178,17003,13739,10881,8269,6205,4873,4067.9999999999995,3400,2937,2496,1947,1365,924,564,445,320,188,120,98,77,56,37,84
1956,817563,747794,712230,680904,653413,629358,608558,590835,574679,559247,544802,531658,518797,508899,503015,499120,495149,492734,482639,460447,430796,402765,374564,350370,333185,321046,308268,295134,286329,283342,283996,285082,287799,286294,277507,264250,252226,240089,230297,224579,221499,217627,213337,209536,206233,202988,199928,197710,192016,180926,166668,152963,138553,128172,124392,124782,124478,124608,122948,117949,110860,104389,97890,92021,87345,83343,79113,75059,69942,63122,55339,47881,40395,34130,29804,26805,23825,21160,18458,15426,12304,9581,7096,5165,4011,3349,2850,2463,2090,1625,1128,756,465,367,263,154,83,65,47,30,68
1957,898982,837173,751682,715194,683199,655213,630750,609764,592215,575398,557941,540687,525063,509836,498251,491754,488064,484265,481908,472961,453439,427346,402816,378391,356622,339655,326294,312477,298149,288441,285219,286034,287047,289603,287828,278592,264785,252234,239554,229347,223422,220266,216307,211964,208028,204438,200824,197429,194872,188965,177864,163724,150122,135839,125498,121599,121774,121285,121232,119432,114366,107261,100774,94277,88394,83669,79604,75335,71244,66177,59538,52020,44824,37620,31599,27451,24584,21753,19239,16687,13805,10834,8253,5901,4108,3137,2620,2293,1983,1679,1298,887,586,364,287,206,120,56,40,25,55
1958,974836,899735,834645,754505,717140,684522,656080,631242,610100,592749,575295,555840,535804,517725,500160,486906,479805,476326,472701,470405,462618,445794,423298,402304,381689,362377,345652,331089,316254,300756,290158,286703,287676,288612,291000,288955,279285,264946,251887,238683,228075,221950,218722,214683,210296,206230,202358,198379,194654,191758,185648,174554,160551,147072,132939,122651,118639,118600,117927,117693,115754,110631,103519,97026,90541,84652,79883,75763,71459,67338,62329,55880,48635,41712,34797,29030,25064,22335,19655,17296,14897,12169,9352,6916,4701,3047,2259,1888,1733,1502,1265,970,648,416,263,206,147,85,36,22,44
1959,1032719,951192,880387,819376,757454,719209,685963,657060,631844,610542,593383,575291,553839,531026,510497,490597,475678,467972,464702,461251,459016,452384,438250,419339,401871,385056,368193,351705,335942,320089,303419,291930,288242,289372,290231,292452,290137,280029,265157,251588,237858,226847,220523,217223,213103,208672,204477,200322,195976,191921,188686,182371,171282,157415,144056,130071,119836,115712,115458,114602,114186,112110,106927,99809,93308,86834,80938,76125,71948,67611,63458,58505,52242,45270,38619,31990,26475,22690,20096,17567,15362,13114,10540,7876,5585,3504,1989,1384,1158,1176,1022,854,644,407,246,162,126,90,51,18,35
1960,1061619,985071,917483,858113,806223,761070,721912,688009,658619,633003,611522,594541,575794,552331,526725,503733,481482,464887,456573,453510,450230,448053,442571,431110,415764,401801,388765,374332,358067,341090,324206,306351,293962,290038,291327,292109,294166,291577,281024,265606,251516,237245,225823,219294,215920,211716,207237,202909,198468,193751,189363,185786,179260,168167,154425,141176,127325,117133,112893,112425,111385,110788,108573,103327,96196,89681,83213,77305,72444,68206,63830,59641,54741,48660,41952,35564,29216,23947,20340,17880,15499,13445,11347,8923,6409,4260,2313,936,511,431,620,544,443,318,168,77,62,47,32,17,29
