Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,17746,16835,16021.999999999998,15300,14656,14083,13569,13105,12681,12287,11929,11613,11248,10793,10286,9809,9347,8914,8525,8172.000000000001,7824,7475,7184,6973,6812,6657,6525,6337,6051,5707,5386,5072,4792,4569,4388,4207,4029,3882,3772,3689,3614,3555,3477,3364,3231,3112,3001,2903,2824,2762,2700,2632,2599,2615,2660,2700,2748,2747,2667,2536,2412,2283,2164,2067,1985,1893,1794,1708,1640,1582,1522,1466,1385,1264,1119,979,842,712,599,498,399,302,226,178,150,126,110,94,75,54,37,27,21,15,9,5,4,3,2,1,1
1951,17069,16886,16052,15308,14647,14057,13531,13060,12629,12225,11843,11494,11183,10826,10386,9897,9435,8986,8566,8189.999999999999,7850,7514,7177,6897,6694,6539,6391,6264,6083,5808,5476,5166,4862,4592,4378,4204,4029,3859,3717,3612,3532,3460,3403,3328,3218,3090,2974,2866,2770,2693,2632,2570,2504,2470,2483,2523,2558,2601,2597,2517,2389,2267,2140,2021.9999999999998,1927,1845,1756,1659,1573,1505,1446,1385,1328,1249,1135,999,869,740,622,519,430,343,258,192,150,125,105,92,78,62,44,30,22,17,12,7,4,3,2,1,1
1952,17343,16543,16351,15576,14887,14274,13726,13237,12798,12391,12001,11624,11278,10965,10609,10175,9695,9240,8796,8382,8012,7678,7347,7016,6741,6542,6391,6246,6123,5946,5675,5349,5045,4746,4481,4270,4100,3929,3762,3623,3520,3442,3372,3316,3242,3134,3007,2893,2785,2690,2614,2553,2491,2424,2389,2399,2434,2466,2504,2497,2416,2288,2165,2037.9999999999998,1920,1824,1743,1653,1556,1471,1400,1338,1275,1217,1139,1029,899,776,655,544,451,372,295,220,162,125,103,87,76,64,50,35,24,17,14,10,6,3,2,1,1
1953,18058,17153,16332.999999999998,15948,15227,14587,14016,13506,13050,12641,12254,11874,11499,11153,10837,10479,10047,9572,9119,8678,8265,7898,7567,7239,6912,6639,6443,6295,6152,6031,5857,5589,5266,4964,4668,4405,4197,4029,3861,3696,3559,3457,3380,3311,3256,3183,3076,2949,2835,2728,2632,2556,2494,2431,2363,2326,2334,2365,2393,2428,2418,2335,2205,2081,1953,1834,1737,1654,1563,1466,1379,1306,1241,1176,1115,1037,930,807,689,574,471,386,316,249,184,133,101,82,69,60,51,39,27,18,13,10,7,4,2,1,1
1954,18882,17862,16947,16129.000000000002,15574,14907,14315,13786,13313,12889,12509,12143,11772,11398,11051,10731,10370,9939,9469,9018,8577,8166,7800,7472,7147,6821,6551,6357,6211,6070,5952,5780,5514,5193,4893,4599,4338,4132,3966,3800,3637,3501,3401,3325,3257,3202,3130,3023,2897,2783,2675,2580,2502,2439,2376,2307,2269,2273,2301,2325,2356,2342,2257,2126,2001,1871,1751,1652,1567,1475,1378,1290,1214,1146,1078,1014.9999999999999,936,833,715,603,494,397,321,261,202,147,104,77,61,51,44,37,28,18,11,9,7,5,3,1,1
1955,19608,18508,17525,16649,15871,15180,14568,14025,13540,13105,12714,12364,12019,11657,11286,10937,10613,10250,9821,9355,8907,8467,8057,7694,7368,7046,6723,6456,6264,6120,5982,5866,5696,5433,5114,4817,4525,4267,4062.9999999999995,3899,3735,3573,3440,3341,3266,3199,3145,3073,2967,2841,2727,2619,2524,2446,2382,2318,2248,2208,2209,2233,2254,2280,2263,2177,2044,1917,1786,1664,1564,1478,1385,1288,1198,1119,1048,977,911,833,733,621,515,412,322,255,204,155,110,75,53,40,33,28,23,17,9,5,4,3,2,1,1
1956,20043,19080,18048,17124,16300,15564,14910,14329,13807,13335,12905,12517,12165,11819,11461,11096,10752,10431,10071,9647,9187,8745,8311,7906,7549,7228,6911,6593,6330,6141,6000,5865,5751,5584,5325,5011,4718,4430,4176,3976,3815,3653,3495,3363,3266,3191,3124,3071,2999,2894,2769,2656,2548,2452,2374,2310,2244,2174,2131,2129,2149,2164,2187,2166,2078,1946,1819,1689,1567,1467,1382,1289,1193,1105,1026,955,885,820,745,652,550,454,360,280,220,175,132,93,64,45,33,27,23,19,14,8,4,3,2,1,1
1957,20340,19230,18523,17562,16699,15926,15235,14618,14067,13568,13110,12687,12301,11948,11602,11249,10890,10551,10233,9877,9459,9006,8570,8141.999999999999,7744,7392,7077,6765,6453,6194,6010,5871,5739,5628,5464,5210,4900,4612,4329,4078.9999999999995,3882,3725,3566,3411,3282,3186,3112,3046,2992,2921,2817,2693,2580,2473,2377,2298,2234,2167,2097,2052,2045.9999999999998,2061,2072,2090,2066,1977,1845,1719,1589,1468,1369,1283,1192,1097,1008.9999999999999,932,861,792,728,656,571,478,391,308,236,184,146,108,76,53,37,27,22,19,15,11,6,3,2,1,1
1958,20647,19555,18562,17968,17075,16273,15552,14905,14325,13806,13330,12885,12468,12085,11731,11385,11036,10685,10350,10034,9683,9271,8824,8395,7974,7582,7236,6926,6620,6313,6059,5878,5743,5613,5505,5344,5094,4790,4507,4228,3982,3789,3635,3480,3327,3200,3106,3033,2967,2914,2843,2739,2616,2504,2398,2302,2223,2158,2091,2019.0000000000002,1973,1963,1973,1980,1993,1966,1876,1745,1619,1490,1370,1271,1185,1094,1000.9999999999999,915,838,767,699,636,568,490,407,330,255,193,148,116,85,59,42,29,21,16,14,11,8,4,2,1,1
1959,21171,20054,19033,18099,17442,16618,15875,15205,14601,14057,13568,13114,12681,12270,11889,11534,11187,10842,10497,10166,9853,9505,9098,8658,8234,7819,7433,7092,6787,6485,6183,5934,5756,5624,5497,5391,5233,4987,4688,4408,4134,3892,3702,3551,3399,3249,3124,3031,2958,2893,2840,2769,2666,2545,2433,2327,2231,2152,2085,2017,1945,1897,1883,1889,1891,1900,1870,1778,1647,1522,1393,1274,1174,1089,999,907,821,745,674,607,545,480,409,336,268,204,151,113,87,61,42,31,22,14,11,9,7,5,3,1,1
