Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,115082.00000000001,107936.0,101566.0,95914.0,90917.0,86514.0,82646.0,79251.0,76268.99999999999,73639.0,71348.0,69387.0,67447.0,65369.0,63239.0,61301.0,59501.99999999999,57744.0,56003.0,54288.00000000001,52635.0,51037.0,49460.0,47891.00000000001,46339.0,44831.0,43366.00000000001,41920.0,40486.0,39076.0,37708.0,36376.0,35108.00000000001,33919.00000000001,32796.0,31702.0,30631.0,29636.0,28735.0,27897.0,27081.999999999996,26308.000000000004,25479.0,24546.0,23555.999999999996,22609.0,21694.000000000004,20804.000000000004,19950.0,19136.0,18339.000000000004,17540.0,16879.0,16417.0,16081.0,15744.000000000002,15440.0,15046.0,14492.0,13835.999999999998,13207.0,12579.0,11960.0,11366.0,10787.0,10197.000000000002,9602.0,9014.0,8435.0,7864.0,7298.999999999999,6745.0,6180.0,5597.0,5008.0,4442.0,3898.9999999999995,3370.0,2853.9999999999995,2362.0,1896.9999999999998,1450.0,1092.0,857.0,710.0,583.0,486.0,400.0,308.0,218.99999999999997,147.0,106.0,84.0,60.0,33.0,18.000000000000004,15.0,11.000000000000002,8.0,4.0,4.0
1951,118064.0,112087.0,105472.00000000001,99564.0,94305.0,89639.0,85512.99999999999,81875.0,78645.0,75760.0,73173.0,70898.0,68919.0,66965.0,64899.0,62796.00000000001,60865.0,59060.0,57299.0,55561.00000000001,53853.0,52205.0,50608.99999999999,49035.0,47470.0,45923.0,44418.0,42958.0,41516.00000000001,40086.99999999999,38681.99999999999,37319.0,35993.0,34731.0,33546.0,32428.000000000004,31339.000000000004,30273.000000000004,29283.0,28386.999999999996,27555.0,26745.0,25976.0,25153.000000000004,24225.0,23241.0,22298.0,21386.999999999996,20500.999999999996,19648.0,18834.0,18035.999999999996,17235.0,16570.0,16097.999999999998,15749.0,15400.0,15081.0,14674.000000000002,14109.000000000002,13443.0,12802.999999999998,12165.999999999998,11537.0,10932.0,10342.0,9744.0,9142.000000000002,8549.0,7967.000000000001,7395.0,6832.000000000001,6281.000000000001,5726.0,5157.999999999999,4590.0,4046.0000000000005,3526.0000000000005,3026.0000000000005,2546.9999999999995,2097.0,1674.0000000000002,1270.0,948.0,737.0,606.0,495.0,413.0,338.99999999999994,260.0,182.0,122.0,88.00000000000001,70.0,49.0,27.000000000000004,16.0,12.0,8.0,4.0,4.0
1952,121262.99999999999,114149.0,109236.0,103142.99999999999,97687.00000000001,92815.0,88473.99999999999,84618.0,81204.0,78136.00000000001,75343.0,72798.0,70535.0,68535.0,66566.0,64509.0,62428.99999999999,60503.0,58691.0,56925.0,55188.0,53485.0,51839.0,50244.0,48672.0,47108.00000000001,45563.0,44061.00000000001,42602.0,41163.99999999999,39738.0,38336.99999999999,36977.0,35655.0,34396.0,33215.0,32101.0,31015.0,29953.000000000004,28967.0,28075.0,27247.0,26441.999999999996,25677.0,24858.0,23935.0,22955.0,22016.0,21108.0,20223.0,19370.0,18555.999999999996,17756.0,16953.0,16282.0,15800.0,15437.999999999998,15075.0,14742.0,14322.000000000002,13744.000000000002,13067.0,12415.999999999998,11769.0,11129.000000000002,10512.0,9912.0,9304.0,8695.0,8095.000000000001,7510.0,6937.0,6374.0,5826.000000000001,5279.0,4727.0,4178.999999999999,3657.0,3159.0,2687.0,2245.0,1835.9999999999998,1454.0,1092.0,805.9999999999999,618.0,503.0,407.0,340.0,278.99999999999994,213.0,146.0,96.0,70.0,55.0,39.0,21.0,12.0,8.0,4.0,4.0
1953,124647.0,117472.00000000001,110956.0,106490.0,100913.0,95904.0,91413.0,87392.00000000001,83804.0,80611.0,77701.00000000001,74998.0,72492.0,70238.0,68217.0,66230.0,64181.0,62122.0,60199.0,58376.99999999999,56604.0,54867.0,53168.0,51522.0,49927.0,48354.0,46791.00000000001,45246.0,43745.0,42287.0,40850.0,39426.0,38027.0,36670.0,35351.0,34094.0,32916.0,31804.000000000004,30721.0,29660.999999999996,28677.0,27789.0,26965.999999999996,26164.0,25403.000000000004,24586.0,23668.000000000004,22690.0,21755.0,20848.000000000004,19964.000000000004,19111.0,18295.0,17493.0,16687.0,16009.0,15517.000000000002,15140.999999999998,14764.000000000002,14417.0,13982.999999999998,13392.999999999998,12704.0,12040.999999999998,11382.0,10731.0,10103.0,9491.0,8873.0,8255.0,7650.0,7060.0,6485.0,5922.000000000001,5377.000000000001,4838.0,4300.0,3772.0,3271.0000000000005,2795.0,2351.0,1945.0,1577.0,1236.0,915.9999999999999,664.0,500.0,400.0,320.0,268.0,218.99999999999997,165.0,110.0,71.0,52.00000000000001,40.99999999999999,28.999999999999996,16.0,8.0,4.0,5.0
1954,128203.0,120948.0,114340.0,108338.0,103822.0,98756.0,94191.0,90079.0,86376.0,83052.0,80078.0,77324.0,74710.0,72240.0,69994.0,67949.0,65943.0,63901.0,61861.99999999999,59940.0,58107.0,56326.0,54586.99999999999,52890.0,51244.0,49647.0,48071.99999999999,46508.0,44963.0,43461.99999999999,42004.0,40567.0,39144.0,37746.0,36391.0,35073.0,33818.00000000001,32641.0,31530.0,30449.0,29391.0,28410.0,27525.0,26704.0,25906.0,25147.0,24334.0,23418.000000000004,22443.0,21509.0,20604.0,19720.0,18866.0,18048.0,17242.0,16433.0,15748.0,15245.0,14856.0,14465.0,14103.0,13654.000000000002,13050.999999999998,12350.0,11675.0,11005.0,10342.0,9701.0,9077.0,8448.0,7822.0,7209.0,6615.0,6037.000000000001,5475.0,4931.0,4400.0,3876.0000000000005,3368.0000000000005,2887.0,2433.0000000000005,2017.0,1646.9999999999998,1319.0,1018.0,740.0,523.0,382.0,298.0,234.0,196.0,159.0,118.00000000000001,75.0,46.0,34.0,27.000000000000004,19.0,10.0,4.0,5.0
1955,131935.0,124588.0,117883.0,111780.0,106235.0,101206.0,96651.00000000001,92527.0,88792.99999999999,85407.00000000001,82346.0,79590.0,76990.0,74463.00000000001,72029.0,69790.0,67720.0,65694.0,63656.00000000001,61636.0,59715.0,57870.0,56080.0,54338.0,52641.99999999999,50994.0,49394.0,47818.00000000001,46251.99999999999,44706.0,43203.0,41744.0,40306.99999999999,38884.0,37486.0,36131.0,34814.0,33560.0,32384.0,31274.0,30194.000000000004,29136.999999999996,28158.0,27275.0,26456.999999999996,25662.0,24905.0,24094.0,23180.0,22208.000000000004,21276.0,20371.0,19487.000000000004,18632.0,17810.0,17000.999999999996,16187.000000000002,15495.999999999998,14981.0,14578.0,14172.0,13795.0,13332.0,12716.0,12002.0,11315.0,10632.0,9957.0,9302.999999999998,8666.0,8027.000000000001,7392.0,6772.0,6172.000000000001,5592.000000000001,5029.0,4488.0,3963.0,3453.0000000000005,2964.0,2504.0,2070.9999999999995,1682.0,1348.0,1061.0,800.0,564.0,381.0,264.0,195.0,147.0,124.0,99.0,70.0,39.0,20.0,17.0,13.000000000000002,8.0,4.0,5.0
1956,135367.00000000003,129002.00000000001,122107.00000000001,115815.0,110084.0,104869.0,100136.00000000001,95851.0,91922.99999999999,88288.0,84933.0,81883.0,79112.0,76500.0,73986.0,71577.0,69344.0,67268.0,65238.0,63203.99999999999,61192.0,59273.99999999999,57433.0,55645.0,53907.0,52215.0,50571.00000000001,48975.0,47403.0,45842.0,44300.0,42802.0,41349.0,39917.0,38499.0,37107.0,35758.0,34446.0,33198.0,32029.000000000004,30927.0,29854.0,28803.0,27829.0,26950.0,26134.0,25339.000000000004,24583.000000000004,23772.0,22858.0,21885.0,20951.0,20044.0,19157.0,18298.0,17473.0,16660.0,15842.0,15142.000000000002,14613.0,14190.999999999998,13767.000000000002,13373.0,12892.999999999998,12264.000000000002,11540.0,10843.0,10152.999999999998,9472.000000000002,8816.0,8177.999999999999,7542.000000000001,6911.000000000001,6297.999999999999,5710.0,5146.0,4600.0,4078.0000000000005,3577.0,3098.0000000000005,2643.0000000000005,2218.0,1820.0,1466.9999999999998,1167.0,912.9999999999999,680.9999999999999,477.00000000000006,325.0,225.0,163.99999999999997,122.0,103.00000000000001,81.99999999999999,57.99999999999999,32.0,17.0,13.000000000000002,9.000000000000002,4.0,5.0
1957,139118.0,131594.0,126219.0,119767.00000000001,113881.0,108515.0,103622.99999999999,99181.0,95160.0,91422.00000000001,87883.0,84554.0,81514.0,78723.0,76097.0,73592.0,71206.0,68977.0,66893.0,64857.0,62823.0,60816.0,58901.0,57060.0,55273.99999999999,53537.0,51847.0,50205.0,48611.99999999999,47042.0,45483.00000000001,43945.0,42450.0,41000.0,39571.99999999999,38158.0,36770.0,35425.0,34117.0,32874.0,31711.0,30615.0,29546.999999999996,28503.0,27533.0,26656.0,25840.0,25046.0,24289.0,23476.999999999996,22561.999999999996,21587.0,20651.0,19740.0,18848.0,17986.0,17156.0,16338.000000000002,15514.000000000002,14805.0,14261.0,13820.0,13379.000000000002,12966.0,12470.0,11827.0,11092.0,10386.0,9686.0,8999.0,8339.0,7701.000000000001,7065.0,6438.0,5832.999999999999,5256.0,4706.0,4178.0,3674.0,3196.0,2747.0,2327.0,1936.0,1571.9999999999998,1254.0,988.0,767.0,563.0,391.0,270.0,187.0,133.0,98.0,81.99999999999999,65.0,46.0,25.0,13.000000000000002,9.000000000000002,4.0,5.0
1958,143218.0,135552.00000000003,128533.99999999999,123542.0,117527.99999999999,112041.0,107036.0,102464.0,98307.0,94547.99999999999,90997.00000000001,87550.0,84246.00000000001,81211.0,78400.0,75756.0,73259.0,70893.99999999999,68667.0,66573.00000000001,64529.0,62495.0,60491.00000000001,58577.0,56735.0,54948.0,53211.99999999999,51522.0,49881.0,48288.00000000001,46718.99999999999,45162.0,43626.00000000001,42133.99999999999,40686.0,39260.0,37849.00000000001,36464.0,35122.0,33817.0,32578.000000000004,31419.0,30328.000000000004,29266.0,28226.0,27259.0,26383.000000000004,25568.0,24773.000000000004,24015.0,23202.0,22285.0,21308.000000000004,20368.0,19452.0,18555.0,17688.0,16854.0,16029.0,15200.0,14481.0,13921.0,13460.999999999998,13001.0,12570.0,12057.0,11400.0,10654.000000000002,9936.0,9228.0,8533.0,7869.0,7230.0,6595.0,5971.0,5372.999999999999,4806.999999999999,4271.0,3759.0,3273.0,2818.0,2398.0,2012.0,1655.0,1325.9999999999998,1042.0,810.0,621.0,445.0,305.0,214.0,149.0,102.0,73.0,61.0,48.0,34.0,18.000000000000004,9.000000000000002,5.0,6.0
1959,147706.00000000003,139836.0,132632.99999999997,126052.0,120932.0,115354.0,110264.0,105617.0,101362.00000000001,97488.99999999999,93988.99999999999,90622.99999999999,87267.00000000001,83986.0,80955.0,78121.00000000001,75459.0,72968.0,70623.0,68396.99999999999,66290.0,64238.0,62202.0,60201.0,58286.0,56443.00000000001,54654.0,52917.0,51227.0,49585.0,47992.0,46424.0,44867.0,43332.0,41841.0,40394.0,38970.0,37561.0,36179.0,34839.0,33536.0,32299.0,31145.0,30059.0,29000.0,27965.0,27000.999999999996,26125.999999999996,25310.0,24514.0,23755.0,22939.0,22020.0,21040.0,20096.0,19175.0,18273.0,17401.0,16561.0,15729.000000000002,14894.0,14165.0,13589.0,13110.0,12630.999999999998,12181.0,11651.0,10980.0,10221.0,9493.0,8774.0,8072.000000000001,7403.0,6762.0,6127.999999999999,5507.000000000001,4915.0,4359.0,3838.0,3342.0,2873.0,2441.9999999999995,2050.0,1698.0000000000002,1375.0,1080.0,830.0,632.0,476.00000000000006,327.0,218.99999999999997,159.0,111.0,71.0,48.0,40.0,32.0,22.000000000000004,12.0,5.0,6.0
