Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,232236,217594,204562,193017,182830,173874,166023,159149,153127,147829,143231,139310,135423,131237,126934,123027,119413,115857,112295,108766,105368,102074,98880,95793,92797,89881,87060,84246,81399,78562,75812,73122,70580,68232,66032,63877,61776,59750,57798,55901,54063,52298,50477,48540,46549,44632,42770,40992,39329,37769,36248,34750,33439,32381,31490,30616,29788,28893,27860,26737,25646,24570,23449,22264,21037,19810,18577,17361,16180,15025,13879,12752,11626,10498,9381,8308,7284,6293,5336,4429,3576,2764,2104,1651,1348,1085,879,702,529,370,243,172,135,95,51,26,22,16,11,5,5
1951,238250,226071,212531,200457,189727,180225,171839,164460,157926,152103,146895,142326,138367,134446,130274,126010,122104,118464,114890,111328,107811,104419,101127,97940,94867,91890,88992,86190,83393,80561,77737,75001,72327,69797,67457,65265,63117,61022,59004,57059,55172,53341,51583,49770,47840,45859,43949,42093,40321,38659,37097,35574,34073,32753.999999999996,31681,30771,29878,29029,28113,27058,25912,24799,23703,22562,21360,20118,18879,17638,16418,15236,14086,12949,11834,10732,9637,8564,7538,6560,5628,4742,3914,3141,2409,1817,1412,1144,916,742,592,444,307,200,142,112,78,41,23,17,11,5,5
1952,244720,230173,220209,207753,196616,186687,177857,170028,163109,156906,151273,146150,141604,137601,133643,129478.00000000001,125248,121337,117667,114072,110505,106995,103605,100312,97129,94065,91101,88218,85430,82649,79828,77015,74288,71625,69104,66771,64583,62440,60349,58335,56395,54514,52689,50936,49128,47205,45229,43324,41473,39701,38038,36475,34948,33442,32113,31024,30094,29180,28309,27371,26292,25123,23986,22869,21707,20485,19228,17975,16725,15498,14315,13168,12038,10934,9853,8792,7761,6780,5848,4972,4156,3406,2710,2057,1534,1177,943,747,606,484,362,245,157,113,88,62,32,17,11,5,5
1953,251584,236920,223615,214567,203182,192971,183832,175663,168385,161920,156041,150592,145549,141021,136972,132972,128812.00000000001,124609,120690,116986,113365,109791,106286,102893,99596,96413,93356,90403,87531,84756,81985,79173,76367,73649,70994,68479,66151,63965,61824,59735,57722,55787,53911,52089,50339,48533,46616,44643,42743,40892,39121,37456,35889,34357,32844,31503,30397,29446,28510,27618,26656,25553,24358,23197,22056,20872,19631,18356,17090,15827,14594,13408,12263,11138,10045,8984,7955,6966,6028,5142,4321,3575,2902,2283,1709,1252,942,743,580,471,376,278,183,115,83,65,45,24,11,5,6
1954,258820,243992,230500,218255,209086,198763,189473,181118,173605,166872,160856,155296,150030,145061,140548,136448,132403,128245,124068,120137,116397,112747,109162,105657,102261,98956,95770,92718,89774,86912,84147,81385,78580,75779,73067,70418,67908,65581,63395,61256,59167,57156,55223,53348,51529,49781,47978,46062,44093,42193,40343,38571,36903,35330,33790,32270.000000000004,30917,29794,28821,27863,26948,25961,24833,23612,22426,21261,20054,18792,17499,16216.000000000002,14942,13700,12510,11365,10247,9163,8122,7124,6175,5280,4439,3674,2996,2400,1857,1361,971,708,543,413,337,268,195,122,72,53,42,29,15,5,6
1955,266436,251413,237716,225260,213955,203715,194451,186076,178503,171645,165454,159885,154641,149553,144658,140157,136004,131911,127751,123598,119654,115874,112194,108596,105091,101687,98373,95184,92134,89198,86342,83586,80832,78032,75234,72525,69881,67374,65049.00000000001,62863,60722,58632,56621,54688,52816,50999,49250,47448,45533,43566,41667,39817,38042,36370,34790,33243,31713,30349,29206,28211,27229,26290,25279,24125,22878,21666,20475,19245,17961,16648,15349,14063,12812,11617,10473,9359,8285,7261,6294,5386,4534,3736,3025,2417,1897,1430,1012.9999999999999,688,474,342,246,202,160,112,60,29,24,19,12,5,6
1956,273435,260408.00000000003,246318,233474,221787,211165,201536,192830,184859,177490,170694,164525,158923,153648,148574,143715,139212,135031,130918,126759,122619,118680,114904,111231,107649,104163,100779,97486,94315,91279,88353,85509,82765,80022,77233,74445,71747,69111,66612,64296.00000000001,62120,59987,57904,55899,53972,52102,50286,48538,46736,44823,42856,40955,39103,37324,35646,34060,32505.000000000004,30968,29588,28424,27401,26392,25427,24390,23211,21941,20709,19501,18260,16974,15666,14377,13103,11873,10708,9602,8529,7499,6528,5622,4781,3998,3269,2627,2083,1625,1211,853,584,402,286,203,167,132,92,49,25,19,13,6,6
1957,281098,265687,254691,241516,229510,218577,208623,199595,191435,183855,176683,169941,163788,158145,152834,147768,142939,138429,134216,130079.00000000001,125914,121782,117845,114067,110398,106827,103356,99988,96713,93556,90530,87612,84776,82041,79306,76524,73743,71051,68421,65929,63619,61449,59322,57246,55244,53319,51449,49633,47883,46079,44165,42196,40293,38435,36650,34966,33370,31806,30258,28863,27675,26623,25587,24595,23531,22326,21032,19779,18551,17298,16008,14704,13422,12161,10951,9815,8744,7712,6724,5803,4959,4185,3469,2807,2231,1752,1355,994,694,481,331,230,162,132,104,73,38,19,13,6,6
1958,289477,273761,259392,249194,236923,225742,215554,206260,197822,190203,183009,176026,169333,163189,157502,152150,147087,142285,137764,133515,129350,125177,121049,117111,113328,109659,106096,102638,99283,96021,92876,89858,86946,84117,81387,78658,75881,73105,70417,67790,65302.00000000001,62996,60831,58709,56636,54636,52710,50840,49021,47269,45463,43545,41573,39664,37800,36007,34314,32710,31134,29575,28163,26950,25868,24803,23784,22692,21460,20142,18865,17618,16350.000000000002,15055,13755,12480,11229,10039,8930,7894,6901,5955,5084,4299,3592,2942,2348,1838,1422,1085,777,536,377,260,175,119,97,76,53,27,13,7,8
1959,298642,282499,267744,254281,243838,232465,222104,212655,204017,196166,189082,182270,175473,168825,162688,156951,151555,146492,141716,137182,132892,128697,124513,120388,116445,112656,108985,105428,101980,98636,95386,92252,89240,86331,83506,80780,78055,75282,72509,69824,67199,64712.99999999999,62411,60249,58129,56059,54060,52133,50261,48439,46683,44871,42949,40973,39058,37186,35385,33683,32067.999999999996,30479,28908,27479,26240,25129,24034,22986,21866,20607,19262,17963,16694,15412,14111,12813,11544,10304,9130,8048,7048,6093,5188,4368,3641,3000,2417,1890,1445,1093,817,561,378,274,190,119,77,63,49,34,18,7,8
