Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,4573,4128,3744,3416,3139,2909,2720,2568,2448,2355,2288,2245,2205,2157,2106,2067,2037.9999999999998,2005.9999999999998,1966,1922,1878,1834,1794,1762,1733,1704,1682,1634,1546,1435,1330,1218,1146,1138,1170,1195,1226,1234,1202,1144,1094,1048,1000,952,906,858,805,773,773,792,810,834,834,794,730,670,606,566,566,590,610,634,634,594,530,470,406,366,366,390,409,431,431,394,335,280,224,181,160,154,146,137,127,112,94,79,65,53,43,35,27,21,17,13,8,5,4,3,2,1,2
1951,4547,4503,4097,3740,3430,3163,2935,2742,2586,2466,2377,2309,2263,2221,2173,2123,2084,2056,2023.0000000000002,1983,1938,1894,1849,1808,1776,1747,1718,1695,1647,1558,1447,1341,1228,1155,1147,1179,1205,1236,1244,1212,1153,1103,1057,1008,960,913,865,811,779,779,799,816,839,839,800,738,680,618,576,568,581,589,601,593,551,489,432,370,331,330,352,369,390,391,359,307,259,211,173,153,144,133,123,112,97,82,68,56,46,37,30,23,18,15,11,7,4,3,2,1,2
1952,4607,4362,4414,4048,3721,3430,3175,2950,2753,2593,2475,2389,2322,2273,2229,2180,2131,2093,2064,2032,1992,1946,1902,1857,1816,1784,1754,1725,1703,1654,1565,1453,1346,1233,1160,1152,1184,1210,1241,1249,1217,1158,1108,1061,1012,964,917,868,815,782,782,802,819,841,841,804,744,688,628,584,568,569,565,566,550,506,446,391,332,294,292,311,327,346,348,321,277,237,197,164,145,133,120,107,95,82,69,57,47,39,31,24,18,14,12,9,5,3,2,1,2
1953,4736,4533,4322,4303,3980,3683,3414,3171,2951,2750,2587,2471,2390,2322,2271,2225,2177,2129,2092,2063,2031.0000000000002,1991,1945,1901,1856,1815,1782,1753,1724,1701,1653,1564,1452,1345,1232,1159,1151,1183,1209,1240,1248,1216,1157,1107,1060,1012,963,916,868,814,782,782,801,818,839,839,804,746,692,635,589,565,553,539,527,503,458,401,348,292,256,253,269,283,300,303,282,246,214,182,155,135,122,107,92,78,66,56,46,38,31,25,19,14,11,9,7,4,2,1,2
1954,4921,4730,4525,4310,4175,3896,3632,3384,3154,2940,2736,2572,2458,2381,2314,2260,2213,2165,2118,2082,2054,2021.9999999999998,1982,1936,1892,1847,1806,1774,1745,1716,1693,1645,1556,1445,1339,1226,1154,1146,1178,1204,1234,1242,1210,1152,1102,1055,1006.9999999999999,959,912,864,810,778,778,798,814,834,834,800,745,693,639,592,560,536,511,487,455,408,354,303,251,217,212,226,239,254,258,242,214,190,167,145,126,110,93,75,61,50,42,34,28,23,18,13,9,7,6,4,3,1,2
1955,5148,4946,4731,4506,4275,4038.9999999999995,3804,3572,3346,3130,2922,2717,2550,2439,2367,2300,2244,2195,2148,2103,2068,2040,2008,1968,1923,1879,1834,1794,1762,1733,1704,1681,1633,1545,1435,1329,1218,1146,1138,1170,1195,1226,1234,1202,1144,1094,1048,1000,952,906,858,805,773,773,792,808,827,827,795,742,692,641,593,553,518,481,446,406,358,307,259,209,177,172,183,194,207,212,202,183,166,151,134,116,97,79,59,44,34,29,23,19,15,12,7,5,4,3,2,1,2
1956,5456,5130,4916,4693,4464,4231,3999,3770,3542,3316,3097,2887,2683,2516,2403,2328,2260,2200,2153,2115,2084,2062,2048,2023.0000000000002,1977,1917,1860,1800,1750,1717,1691,1665,1645,1599,1509,1395,1287,1172,1101,1103,1149,1188,1234,1248,1208,1134,1069,1004,948,908,879,847,811,786,780,784,787,793,783,748,696,647,595,550,518,494,468,444,412,366,313,264,212,178,170,178,185,195,197,186,166,149,134,118,101,85,68,51,38,29,24,19,16,13,10,6,4,3,2,1,2
1957,5769,5505,5103,4876,4645,4413,4180,3951,3729,3506,3280,3058,2848,2644,2477,2362,2286,2215,2152,2107,2079,2062,2052,2053,2033.9999999999998,1981,1907,1837,1763,1704,1668,1646,1623,1606,1561,1470,1353,1242,1123,1054,1066,1126,1178,1240,1260,1212,1121,1041,959,895,863,852,834,815,799,786,774,764,757,737,699,648,599,547,506,482,468,453,441,417,374,319,268,215,179,168,173,176,182,181,169,149,132,117,101,86,72,57,42,32,24,20,15,13,10,8,5,3,2,1,2
1958,6069,5770,5477,5072,4832,4593,4358,4126,3900,3685,3467,3241,3017,2806,2602,2436,2320,2241,2169,2102,2059,2040,2037,2041,2056,2043.0000000000002,1984,1895,1812,1725,1656,1619,1600,1579,1566,1523,1430,1310,1196,1074,1006.9999999999999,1028,1102,1168,1244,1272,1216,1108,1012,913,841,817,823,821,818,810,791,764,740,720,691,650,600,552,499,461,445,443,438,438,422,381,324,272,218,179,165,168,168,169,166,152,132,115,100,85,71,59,46,34,26,20,15,12,10,8,6,4,2,1,2
1959,6336,6009,5696,5395,5040,4787,4542,4303,4070.9999999999995,3849,3640,3427,3202,2975,2763,2561,2394,2277,2197,2122,2053,2011.0000000000002,2001.9999999999998,2013,2029,2059,2053,1987,1884,1788,1686,1607,1569,1554,1535,1526,1484,1390,1266,1151,1025,959,990,1078,1157,1249,1283,1219,1094,983,867,787,771,795,808,822,822,796,754,717,684,645,600,553,504,452,416,409,417,424,435,427,387,329,275,220,180,163,162,159,156,150,135,115,98,83,68,56,46,35,25,19,15,11,8,7,5,4,2,1,2
