Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,43868,43914,43526,42771,41720,40442,39006,37480,35934,34438,32912,31278,30344,30473,31293,32088,33028,33674,33745,33466,33289,33055,33089,33574,34293,34959,35771,35877,34872,33221,31692,30005,29219,29897,31487,32888,34339,35349,35568,35256,35028,34774,34419,33991,33488,32885,32198,31441,30623,29753,28847,27921,26955,25949,24927,23906,22869,21956,21232,20636,20029,19432,18835,18219,17586,16956,16324.000000000002,15652,14923,14146,13364,12591,11720,10709,9616,8544,7479,6490,5626,4861,4118,3407,2784,2267,1838,1455,1119,840,616,441,277,178,138,94,47,22,18,13,9,3,2
1951,40245,43988,43977,43553,42782,41728,40465,39062,37560,36012,34501,32969,31327,30422,30640,31582,32488.999999999996,33545,34268,34353,34044,33842,33584,33573,33991,34629,35210,35923,35970,34967,33357,31863,30217,29438,30065,31569,32892,34262,35218,35426,35131,34916,34675,34324,33883,33355,32731,32024,31248,30410,29522,28596,27648,26663,25642,24609,23575,22525,21592,20838,20204,19561,18926,18295,17652,16996,16344.999999999998,15695,15001,14243,13434,12626,11829,10949,9953,8892,7855,6826,5880,5062,4346,3654,2996,2425,1958,1577,1235,946,712,520,366,227,147,114,78,39,18,14,9,4,2
1952,38251,41034,44178,44112,43652,42862,41805,40554,39183,37700,36148,34620,33081,31426,30550,30856,31922,32945,34118,34919,35018,34679,34452,34168,34113,34464,35022,35518,36134,36121,35120,33548,32086,30479,29706,30283,31702,32950,34241,35143,35342,35064,34860,34632,34284,33829,33276,32630.000000000004,31903,31105,30247,29338,28391,27419,26413,25376,24329,23281,22217,21263,20477,19805,19124,18450,17785,17114,16434,15760,15091,14374,13585,12743,11907,11084,10195,9212,8180.999999999999,7176,6184,5279,4505,3836,3194,2588,2069,1651,1317,1016.9999999999999,774,584,425,292,178,117,90,62,30,14,9,4,3
1953,37516,40636,42833,44326,44203,43708,42900,41839,40602,39264,37804,36248,34705,33159,31495,30647,31042,32232,33369,34659,35537,35650,35281,35029,34720,34620,34903,35380,35791,36310,36237,35238,33706,32277,30712,29945,30471,31804,32975,34186,35034,35223,34962,34770,34554,34211,33742,33163,32496.000000000004,31748,30930,30053,29125,28157,27162,26136,25085,24025,22963,21886,20912,20095,19384,18666,17955,17255,16556,15853,15158,14470,13731,12912,12037,11174,10326,9428,8460,7461,6489,5534,4670,3943,3322,2731,2178,1710,1343,1055,797,601,456,330,218,129,86,67,45,22,10,4,3
1954,37774,40664,42743,44090,44405,44226,43697,42872,41810,40588,39286,37850,36293,34737,33187,31515,30698,31181,32491.999999999996,33742,35146,36100,36227,35830,35552,35219,35074,35289,35685,36010,36430,36297,35302,33812,32418.999999999996,30897,30138,30612,31858,32949,34079,34871,35049,34807,34626,34424,34085,33603,33000,32313.000000000004,31546,30709,29813,28867,27880,26864,25820,24755,23684,22610,21522,20529,19682,18934,18180,17432,16700,15974,15249,14532,13828,13067,12219,11313,10424,9552,8647,7696,6729,5792,4875,4054.9999999999995,3374,2803,2263,1764,1349,1031,792,576,427,328,233,143,80,55,43,29,13,5,3
1955,38806,41019,42635,43709,44293,44442,44207,43643,42803,41740,40536,39270,37859,36302,34735,33183,31505,30719,31289,32720,34081,35598,36628,36768,36342,36039,35682,35494,35640,35954,36193,36514,36323,35332,33886,32529.000000000004,31052,30302,30723,31880,32892,33938,34675,34842,34618,34449,34261,33926,33432,32805,32098.999999999996,31314,30458,29544,28582,27576,26540,25479,24402,23321,22236,21137,20127,19251,18467,17678,16894,16129.000000000002,15378,14631,13894,13173,12393,11517,10580,9666,8771,7860,6925,5993,5091,4214,3437,2803,2282,1795,1349,987,720,529,355,254,199,137,68,31,25,19,12,5,4
1956,40480,39316,41066,42397,43335,43905,44161,44160,43779,42983,41888,40706,39471,38163,36817,35517,34213,32797,32134,32610,33807,34948,36230,37060,37080,36586,36196,35742,35483,35597,35903,36139,36472,36273,35239,33730,32320,30786,30017,30479,31713,32795,33917,34694,34845,34568,34352,34115,33734,33202,32543,31800,30975,30085,29146,28164,27138,26082,25002,23908,22810,21709,20597,19569,18671,17863,17051,16245.999999999998,15461,14687,13920,13164,12429,11639,10761,9829,8922,8039,7152,6259,5380,4534,3714,2997,2423,1961,1527,1142,839,610,441,293,210,165,113,56,27,21,13,6,5
1957,42472,42547,39767,41053,42097,42898,43452,43816,44048,43849,43099,41974,40815,39614,38409,37276,36245,35190,34038,33498,33880,34841,35761,36806,37437,37337,36775,36299,35748,35421,35501,35798,36032,36376,36170,35094,33526,32064,30474,29688,30191,31499,32649,33844,34661,34797,34467,34204,33919,33492,32923,32232.999999999996,31455,30592,29669,28706,27704,26660,25586,24490,23379,22267,21151,20026,18983,18065,17233,16400,15576,14771,13976,13189,12417,11668,10870,9991,9064,8167,7296,6434,5584,4761,3971,3209,2553,2039.0000000000002,1637,1257,933,689,500,353,231,167,130,90,44,23,15,6,5
1958,44664,43582,42810,40232,41055,41814,42478,43017,43489,43953,43936,43232,42075,40940,39771,38669,37748,36984,36178,35288,34871,35159,35885,36585,37395,37827,37608,36979,36415,35769,35372,35419,35708,35939,36295,36082,34964,33334,31821,30176,29371,29914,31298,32517.000000000004,33785,34642,34762,34379,34070,33736,33263,32656.999999999996,31937,31122,30222,29266,28278,27257,26194,25101,23988,22861,21734,20604,19466,18407,17468,16613,15758,14915,14089,13273,12465,11676,10914,10108,9227,8306,7418,6558,5721,4914,4145,3411,2707,2111,1658,1316,988,726,541,390,265,169,124,96,66,32,16,7,6
1959,46957,44864,43331,42285,40772,41135,41610,42139,42663,43244,43940,44106,43445,42256,41142,40003,39002,38290,37792,37233,36603,36308,36503,36996,37477,38053,38288,37949,37251,36600,35856,35389,35404,35685,35914,36282,36061,34899,33206,31638,29934,29110,29695,31156,32445.999999999996,33790,34689,34792,34357,34001,33617,33098,32454,31700,30849,29908,28918,27903,26862,25777,24664,23532,22387,21242,20096,18942,17865,16904,16024,15146,14282,13434,12596,11766,10958,10181,9365,8481,7564,6683,5834,5020,4253,3538,2859,2211,1673,1280,997,722,520,394,281,177,108,81,62,42,20,8,6
