Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.15562308,0.02141395,0.02141395,0.02141395,0.02141395,0.00464609,0.00464609,0.00464609,0.00464609,0.00464609,0.00364429,0.00364429,0.00364429,0.00364429,0.00364429,0.00489898,0.00489898,0.00489898,0.00489898,0.00489898,0.00624775,0.00624775,0.00624775,0.00624775,0.00624775,0.00702958,0.00702958,0.00702958,0.00702958,0.00702958,0.00799395,0.00799395,0.00799395,0.00799395,0.00799395,0.00893627,0.00893627,0.00893627,0.00893627,0.00893627,0.01002648,0.01002648,0.01002648,0.01002648,0.01002648,0.01136822,0.01136822,0.01136822,0.01136822,0.01136822,0.01554074,0.01554074,0.01554074,0.01554074,0.01554074,0.02134488,0.02134488,0.02134488,0.02134488,0.02134488,0.03177796,0.03177796,0.03177796,0.03177796,0.03177796,0.04686902,0.04686902,0.04686902,0.04686902,0.04686902,0.07164518,0.07164518,0.07164518,0.07164518,0.07164518,0.11011584,0.11011584,0.11011584,0.11011584,0.11011584,0.16764751,0.16764751,0.16764751,0.16764751,0.16764751,0.24739102,0.24739102,0.24739102,0.24739102,0.24739102,0.34874019,0.34874019,0.34874019,0.34874019,0.34874019,0.46729107,0.46729107,0.46729107,0.46729107,0.46729107,0.58390461
1951,0.15562308,0.02141395,0.02141395,0.02141395,0.02141395,0.00464609,0.00464609,0.00464609,0.00464609,0.00464609,0.00364429,0.00364429,0.00364429,0.00364429,0.00364429,0.00489898,0.00489898,0.00489898,0.00489898,0.00489898,0.00624775,0.00624775,0.00624775,0.00624775,0.00624775,0.00702958,0.00702958,0.00702958,0.00702958,0.00702958,0.00799395,0.00799395,0.00799395,0.00799395,0.00799395,0.00893627,0.00893627,0.00893627,0.00893627,0.00893627,0.01002648,0.01002648,0.01002648,0.01002648,0.01002648,0.01136822,0.01136822,0.01136822,0.01136822,0.01136822,0.01554074,0.01554074,0.01554074,0.01554074,0.01554074,0.02134488,0.02134488,0.02134488,0.02134488,0.02134488,0.03177796,0.03177796,0.03177796,0.03177796,0.03177796,0.04686902,0.04686902,0.04686902,0.04686902,0.04686902,0.07164518,0.07164518,0.07164518,0.07164518,0.07164518,0.11011584,0.11011584,0.11011584,0.11011584,0.11011584,0.16764751,0.16764751,0.16764751,0.16764751,0.16764751,0.24739102,0.24739102,0.24739102,0.24739102,0.24739102,0.34874019,0.34874019,0.34874019,0.34874019,0.34874019,0.46729107,0.46729107,0.46729107,0.46729107,0.46729107,0.58390461
1952,0.15562308,0.02141395,0.02141395,0.02141395,0.02141395,0.00464609,0.00464609,0.00464609,0.00464609,0.00464609,0.00364429,0.00364429,0.00364429,0.00364429,0.00364429,0.00489898,0.00489898,0.00489898,0.00489898,0.00489898,0.00624775,0.00624775,0.00624775,0.00624775,0.00624775,0.00702958,0.00702958,0.00702958,0.00702958,0.00702958,0.00799395,0.00799395,0.00799395,0.00799395,0.00799395,0.00893627,0.00893627,0.00893627,0.00893627,0.00893627,0.01002648,0.01002648,0.01002648,0.01002648,0.01002648,0.01136822,0.01136822,0.01136822,0.01136822,0.01136822,0.01554074,0.01554074,0.01554074,0.01554074,0.01554074,0.02134488,0.02134488,0.02134488,0.02134488,0.02134488,0.03177796,0.03177796,0.03177796,0.03177796,0.03177796,0.04686902,0.04686902,0.04686902,0.04686902,0.04686902,0.07164518,0.07164518,0.07164518,0.07164518,0.07164518,0.11011584,0.11011584,0.11011584,0.11011584,0.11011584,0.16764751,0.16764751,0.16764751,0.16764751,0.16764751,0.24739102,0.24739102,0.24739102,0.24739102,0.24739102,0.34874019,0.34874019,0.34874019,0.34874019,0.34874019,0.46729107,0.46729107,0.46729107,0.46729107,0.46729107,0.58390461
1953,0.15562308,0.02141395,0.02141395,0.02141395,0.02141395,0.00464609,0.00464609,0.00464609,0.00464609,0.00464609,0.00364429,0.00364429,0.00364429,0.00364429,0.00364429,0.00489898,0.00489898,0.00489898,0.00489898,0.00489898,0.00624775,0.00624775,0.00624775,0.00624775,0.00624775,0.00702958,0.00702958,0.00702958,0.00702958,0.00702958,0.00799395,0.00799395,0.00799395,0.00799395,0.00799395,0.00893627,0.00893627,0.00893627,0.00893627,0.00893627,0.01002648,0.01002648,0.01002648,0.01002648,0.01002648,0.01136822,0.01136822,0.01136822,0.01136822,0.01136822,0.01554074,0.01554074,0.01554074,0.01554074,0.01554074,0.02134488,0.02134488,0.02134488,0.02134488,0.02134488,0.03177796,0.03177796,0.03177796,0.03177796,0.03177796,0.04686902,0.04686902,0.04686902,0.04686902,0.04686902,0.07164518,0.07164518,0.07164518,0.07164518,0.07164518,0.11011584,0.11011584,0.11011584,0.11011584,0.11011584,0.16764751,0.16764751,0.16764751,0.16764751,0.16764751,0.24739102,0.24739102,0.24739102,0.24739102,0.24739102,0.34874019,0.34874019,0.34874019,0.34874019,0.34874019,0.46729107,0.46729107,0.46729107,0.46729107,0.46729107,0.58390461
1954,0.15562308,0.02141395,0.02141395,0.02141395,0.02141395,0.00464609,0.00464609,0.00464609,0.00464609,0.00464609,0.00364429,0.00364429,0.00364429,0.00364429,0.00364429,0.00489898,0.00489898,0.00489898,0.00489898,0.00489898,0.00624775,0.00624775,0.00624775,0.00624775,0.00624775,0.00702958,0.00702958,0.00702958,0.00702958,0.00702958,0.00799395,0.00799395,0.00799395,0.00799395,0.00799395,0.00893627,0.00893627,0.00893627,0.00893627,0.00893627,0.01002648,0.01002648,0.01002648,0.01002648,0.01002648,0.01136822,0.01136822,0.01136822,0.01136822,0.01136822,0.01554074,0.01554074,0.01554074,0.01554074,0.01554074,0.02134488,0.02134488,0.02134488,0.02134488,0.02134488,0.03177796,0.03177796,0.03177796,0.03177796,0.03177796,0.04686902,0.04686902,0.04686902,0.04686902,0.04686902,0.07164518,0.07164518,0.07164518,0.07164518,0.07164518,0.11011584,0.11011584,0.11011584,0.11011584,0.11011584,0.16764751,0.16764751,0.16764751,0.16764751,0.16764751,0.24739102,0.24739102,0.24739102,0.24739102,0.24739102,0.34874019,0.34874019,0.34874019,0.34874019,0.34874019,0.46729107,0.46729107,0.46729107,0.46729107,0.46729107,0.58390461
1955,0.13442948,0.01763155,0.01763155,0.01763155,0.01763155,0.00396009,0.00396009,0.00396009,0.00396009,0.00396009,0.00308518,0.00308518,0.00308518,0.00308518,0.00308518,0.00428663,0.00428663,0.00428663,0.00428663,0.00428663,0.00552493,0.00552493,0.00552493,0.00552493,0.00552493,0.00624762,0.00624762,0.00624762,0.00624762,0.00624762,0.00708085,0.00708085,0.00708085,0.00708085,0.00708085,0.00795117,0.00795117,0.00795117,0.00795117,0.00795117,0.00897595,0.00897595,0.00897595,0.00897595,0.00897595,0.01042898,0.01042898,0.01042898,0.01042898,0.01042898,0.01438368,0.01438368,0.01438368,0.01438368,0.01438368,0.01999964,0.01999964,0.01999964,0.01999964,0.01999964,0.02998014,0.02998014,0.02998014,0.02998014,0.02998014,0.04465991,0.04465991,0.04465991,0.04465991,0.04465991,0.06875154,0.06875154,0.06875154,0.06875154,0.06875154,0.10647718,0.10647718,0.10647718,0.10647718,0.10647718,0.16327012,0.16327012,0.16327012,0.16327012,0.16327012,0.24246714,0.24246714,0.24246714,0.24246714,0.24246714,0.34379633,0.34379633,0.34379633,0.34379633,0.34379633,0.46278628,0.46278628,0.46278628,0.46278628,0.46278628,0.59098393
1956,0.13442948,0.01763155,0.01763155,0.01763155,0.01763155,0.00396009,0.00396009,0.00396009,0.00396009,0.00396009,0.00308518,0.00308518,0.00308518,0.00308518,0.00308518,0.00428663,0.00428663,0.00428663,0.00428663,0.00428663,0.00552493,0.00552493,0.00552493,0.00552493,0.00552493,0.00624762,0.00624762,0.00624762,0.00624762,0.00624762,0.00708085,0.00708085,0.00708085,0.00708085,0.00708085,0.00795117,0.00795117,0.00795117,0.00795117,0.00795117,0.00897595,0.00897595,0.00897595,0.00897595,0.00897595,0.01042898,0.01042898,0.01042898,0.01042898,0.01042898,0.01438368,0.01438368,0.01438368,0.01438368,0.01438368,0.01999964,0.01999964,0.01999964,0.01999964,0.01999964,0.02998014,0.02998014,0.02998014,0.02998014,0.02998014,0.04465991,0.04465991,0.04465991,0.04465991,0.04465991,0.06875154,0.06875154,0.06875154,0.06875154,0.06875154,0.10647718,0.10647718,0.10647718,0.10647718,0.10647718,0.16327012,0.16327012,0.16327012,0.16327012,0.16327012,0.24246714,0.24246714,0.24246714,0.24246714,0.24246714,0.34379633,0.34379633,0.34379633,0.34379633,0.34379633,0.46278628,0.46278628,0.46278628,0.46278628,0.46278628,0.59098393
1957,0.13442948,0.01763155,0.01763155,0.01763155,0.01763155,0.00396009,0.00396009,0.00396009,0.00396009,0.00396009,0.00308518,0.00308518,0.00308518,0.00308518,0.00308518,0.00428663,0.00428663,0.00428663,0.00428663,0.00428663,0.00552493,0.00552493,0.00552493,0.00552493,0.00552493,0.00624762,0.00624762,0.00624762,0.00624762,0.00624762,0.00708085,0.00708085,0.00708085,0.00708085,0.00708085,0.00795117,0.00795117,0.00795117,0.00795117,0.00795117,0.00897595,0.00897595,0.00897595,0.00897595,0.00897595,0.01042898,0.01042898,0.01042898,0.01042898,0.01042898,0.01438368,0.01438368,0.01438368,0.01438368,0.01438368,0.01999964,0.01999964,0.01999964,0.01999964,0.01999964,0.02998014,0.02998014,0.02998014,0.02998014,0.02998014,0.04465991,0.04465991,0.04465991,0.04465991,0.04465991,0.06875154,0.06875154,0.06875154,0.06875154,0.06875154,0.10647718,0.10647718,0.10647718,0.10647718,0.10647718,0.16327012,0.16327012,0.16327012,0.16327012,0.16327012,0.24246714,0.24246714,0.24246714,0.24246714,0.24246714,0.34379633,0.34379633,0.34379633,0.34379633,0.34379633,0.46278628,0.46278628,0.46278628,0.46278628,0.46278628,0.59098393
1958,0.13442948,0.01763155,0.01763155,0.01763155,0.01763155,0.00396009,0.00396009,0.00396009,0.00396009,0.00396009,0.00308518,0.00308518,0.00308518,0.00308518,0.00308518,0.00428663,0.00428663,0.00428663,0.00428663,0.00428663,0.00552493,0.00552493,0.00552493,0.00552493,0.00552493,0.00624762,0.00624762,0.00624762,0.00624762,0.00624762,0.00708085,0.00708085,0.00708085,0.00708085,0.00708085,0.00795117,0.00795117,0.00795117,0.00795117,0.00795117,0.00897595,0.00897595,0.00897595,0.00897595,0.00897595,0.01042898,0.01042898,0.01042898,0.01042898,0.01042898,0.01438368,0.01438368,0.01438368,0.01438368,0.01438368,0.01999964,0.01999964,0.01999964,0.01999964,0.01999964,0.02998014,0.02998014,0.02998014,0.02998014,0.02998014,0.04465991,0.04465991,0.04465991,0.04465991,0.04465991,0.06875154,0.06875154,0.06875154,0.06875154,0.06875154,0.10647718,0.10647718,0.10647718,0.10647718,0.10647718,0.16327012,0.16327012,0.16327012,0.16327012,0.16327012,0.24246714,0.24246714,0.24246714,0.24246714,0.24246714,0.34379633,0.34379633,0.34379633,0.34379633,0.34379633,0.46278628,0.46278628,0.46278628,0.46278628,0.46278628,0.59098393
1959,0.13442948,0.01763155,0.01763155,0.01763155,0.01763155,0.00396009,0.00396009,0.00396009,0.00396009,0.00396009,0.00308518,0.00308518,0.00308518,0.00308518,0.00308518,0.00428663,0.00428663,0.00428663,0.00428663,0.00428663,0.00552493,0.00552493,0.00552493,0.00552493,0.00552493,0.00624762,0.00624762,0.00624762,0.00624762,0.00624762,0.00708085,0.00708085,0.00708085,0.00708085,0.00708085,0.00795117,0.00795117,0.00795117,0.00795117,0.00795117,0.00897595,0.00897595,0.00897595,0.00897595,0.00897595,0.01042898,0.01042898,0.01042898,0.01042898,0.01042898,0.01438368,0.01438368,0.01438368,0.01438368,0.01438368,0.01999964,0.01999964,0.01999964,0.01999964,0.01999964,0.02998014,0.02998014,0.02998014,0.02998014,0.02998014,0.04465991,0.04465991,0.04465991,0.04465991,0.04465991,0.06875154,0.06875154,0.06875154,0.06875154,0.06875154,0.10647718,0.10647718,0.10647718,0.10647718,0.10647718,0.16327012,0.16327012,0.16327012,0.16327012,0.16327012,0.24246714,0.24246714,0.24246714,0.24246714,0.24246714,0.34379633,0.34379633,0.34379633,0.34379633,0.34379633,0.46278628,0.46278628,0.46278628,0.46278628,0.46278628,0.59098393
