Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09291459071007996,0.1354982377679584,0.18437033987106544,0.23548207379217245,0.28401137828322953,0.32540665080112313,0.35632873789895864,0.3755539778529634,0.38405793316594344,0.38419257920486305,0.3790129611123742,0.37165573043683187,0.36326708666805985,0.3531135788370699,0.34049792024577075,0.32488878040608504,0.3059975254363525,0.28431110018407624,0.26090306093900834,0.23676906722155777,0.21275616634887257,0.18949961272889113,0.16665288913719695,0.14343557804183601,0.11973144392121868,0.09605823751170436,0.07340447220979228,0.053001484086649495,0.03590681426313925,0.0226648821964274,0.013236775840752744,0.007102766393177788,0.0034773934187727223,0.0015425012181765401,6.156118994507625e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0928944833463161,0.13538865252498927,0.18412880023563705,0.2350766916690837,0.28343082447540335,0.32466504093285237,0.3554637005187246,0.37461508566875895,0.38309208428227143,0.38323548465682133,0.3780851149451156,0.3707627755436257,0.3624210977004146,0.35235181515808056,0.33987935473552816,0.3244873887535673,0.3058916481871474,0.2845461533172957,0.2614677998733386,0.2376083239449506,0.2137866511995435,0.19062637120868633,0.16780944299441375,0.14459989425097997,0.12090250004088784,0.09723349043877971,0.0745633202251031,0.05409921076807017,0.03688523818492406,0.023472956116555626,0.013848223785671016,0.0075229644718287254,0.003737749223501481,0.0016869999911863426,6.870072684082459e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09300587292249857,0.13550046663542623,0.18422244231603785,0.23513472412088487,0.2834422937776295,0.32462902759276063,0.355389823986798,0.3745190553747267,0.38298937146776085,0.38313774609582807,0.37799853647972587,0.370688377497733,0.36236569901042526,0.352337539395095,0.33994143890562234,0.3246700940963369,0.30624175162349554,0.2850897885175547,0.262195691892172,0.23848379005334566,0.21475555074004699,0.19162750884184387,0.1687997619163144,0.1455646145667176,0.12184064979161757,0.09814392048825304,0.07543436148534394,0.05490477198658216,0.03759127727725665,0.024050198553224388,0.014283127753411442,0.007822030827349771,0.003923970655106216,0.001791267642891286,0.00073916635483493105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09323093017522625,0.13580200319266716,0.184601710067376,0.23558622646455857,0.2839552822768953,0.3251899656607945,0.3559849235967253,0.37513573457344596,0.38361680402836196,0.38376739165207563,0.37862447410643213,0.37130758240988254,0.36298045238718457,0.3529572526675973,0.34058150250011915,0.32534991575965205,0.30698159940866687,0.285899334098636,0.2630668263359244,0.23939487398091908,0.21567663826708097,0.1925257506178445,0.16965183129906872,0.1463616894900799,0.12258147023176386,0.09882804454067158,0.07605715924615579,0.05545559393849047,0.038056698411611634,0.024420222142146217,0.014556371574043044,0.00800744462993047,0.004038539276323973,0.0018552246247837212,7.711924676684467e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09355211403282877,0.1362621936718509,0.1852181331690923,0.23636294662655977,0.28488164329077087,0.3262421904865549,0.35713027917219214,0.3763387266529416,0.38484525267256714,0.3849962749086919,0.3798378852857208,0.3724990078572118,0.364148308758177,0.3541005269511782,0.3416994303543782,0.32644171407582373,0.3080459765130535,0.28693244832475506,0.26406127030294185,0.24034098555849326,0.2165639765901524,0.1933444785533164,0.17039465431559406,0.1470245236159458,0.12316263457515307,0.0993274497426501,0.07647571099020531,0.055795166441412886,0.038320876463529836,0.024615242876059353,0.014691518494537962,0.008094446368772597,0.004090058785979634,0.0018830329538863087,7.847589807536911e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09395196966993404,0.1368501713617388,0.18602362822768603,0.23739726671327005,0.28613414517896235,0.3276812235860886,0.35870857269846695,0.37800317124983523,0.38654717731803945,0.38669782836958916,0.3815152589345754,0.3741427436903007,0.36575360667601753,0.35565816650494547,0.3431960850820587,0.32786097914434637,0.3093699143023464,0.28814674747149704,0.2651589641410595,0.24132153484357244,0.2174318909196119,0.1941076177522676,0.1710580332583348,0.14758761790577588,0.12362333922717127,0.09968588295990821,0.0767370548182438,0.05597106666618239,0.038428268826866875,0.02467321353632555,0.014717944327403856,0.008103525741701168,0.0040913362956163735,0.0018818262587379446,7.833862302536859e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09441296093560228,0.13753493871423486,0.1869699322626553,0.23862135009919222,0.2876253136077186,0.32940233536505137,0.3606022378063673,0.38000396786316604,0.38859480733120316,0.388745262439581,0.38353286784592805,0.37611866608410965,0.36768046384007086,0.35752072890117476,0.34497203579527913,0.329522850924816,0.31088805914405404,0.289499498656294,0.266339632497809,0.2423359309699362,0.21829495107118255,0.19483955123578786,0.1716724009443413,0.14808628858654793,0.12400384636158036,0.09994851284301355,0.0768901221253941,0.056033302684930154,0.03842625241363484,0.024635302125639583,0.014668230229066255,0.008058039994128534,0.004057466162917729,0.001860356150325171,7.71604751829081e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09491733630938551,0.138285106585585,0.18800816447007296,0.23996648726808462,0.28926654826226134,0.3312994516696164,0.3626922053543173,0.38221442531323907,0.3908587563470411,0.391010192286331,0.38576543416075126,0.37830514860262043,0.36981154644725656,0.3595773922993244,0.34692658243957725,0.33134136401434444,0.3125341815791376,0.2909473768099192,0.267582710969047,0.24338358101599655,0.21916796330159044,0.1955650648341694,0.1722687049831431,0.14855646801762915,0.12434515246495255,0.10016138567658481,0.07698487948859649,0.05603305897956921,0.03836346532210723,0.02454393305251114,0.014576107023354693,0.007982303446520334,0.0040042616191947955,0.0018278578286676725,7.542344606452839e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09544366198854759,0.13906452520218204,0.18908354063899663,0.24135688428192303,0.29096097460600534,0.33325707080984834,0.36484892714807254,0.3844964919635174,0.39319761771220246,0.39335180209312903,0.38807508651320227,0.38056803432612213,0.37201729471347367,0.3617057121713544,0.348948345509569,0.33322116934669876,0.3142342873375335,0.29244108530722984,0.2688634189038165,0.24446123504976217,0.22006434422263377,0.19630849598068154,0.17287818728771806,0.1490351031046057,0.12469001759118754,0.10037302556068635,0.07707431156052295,0.05602475593754293,0.03829160929545196,0.02444408912499754,0.01447717949648886,0.007901821007729275,0.003948178797285112,0.0017938498910167104,7.36187289465353e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09595650829212414,0.1398194430810019,0.19012004551664358,0.24269188377026868,0.29258320208116056,0.33512753243001886,0.3669071984399443,0.3866733262357057,0.3954286622926275,0.39558621082386985,0.39028003064063155,0.3827292751971068,0.37412523532347053,0.3637423863228036,0.3508883034351445,0.3350336476398792,0.3158865151408028,0.29390942915832197,0.2701409604034194,0.24555492771410603,0.220991194048276,0.19709123362105177,0.17353189592769117,0.14956168019510077,0.12508661852083422,0.1006401640043639,0.07722182045445426,0.056074325509082035,0.03827360475214719,0.02439044384084451,0.014414474213055996,0.00784712216993102,0.003908663370993252,0.001769400355012998,7.230655617848368e-4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
